Date, Open, High, Low, Close, Volume,ticker
12/24/20,96.99,97.42,95.79,97.3,960160,COF
12/23/20,95.98,97.83,95.75,96.82,1769372,COF
12/22/20,95.44,96.14,94.97,94.99,2970421,COF
12/21/20,93.6,96.62,92.21,95.29,4811543,COF
12/18/20,93.96,93.96,91.05,91.57,4342599,COF
12/17/20,93.87,94.32,93.05,94.08,1822460,COF
12/16/20,93.21,94.03,91.72,93.59,2234040,COF
12/15/20,91.66,92.69,89.72,92.68,2249607,COF
12/14/20,93.46,93.95,90.26,90.42,3837868,COF
12/11/20,92.87,93.3402,91.07,92.17,3041969,COF
12/10/20,93.33,95.2947,92.1,94.67,2939954,COF
12/09/20,92.93,95.36,92.76,94.92,4599875,COF
12/08/20,91.4,93.22,91.36,92.64,2889348,COF
12/07/20,93.0,93.2,91.01,92.97,2758666,COF
12/04/20,92.03,93.15,90.87,92.24,2187806,COF
12/03/20,91.3,92.28,90.48,91.28,2123360,COF
12/02/20,88.4,91.92,88.22,91.39,2853147,COF
12/01/20,88.0,90.87,87.82,89.7,2753134,COF
11/30/20,89.66,89.9499,85.16,85.64,4422540,COF
11/27/20,89.18,89.58,87.58,87.76,2139497,COF
11/25/20,90.03,90.25,87.66,89.9,3295401,COF
11/24/20,89.54,92.08,88.76,91.36,3236569,COF
11/23/20,85.16,87.76,84.68,87.28,2224864,COF
11/20/20,84.43,85.07,83.03,83.58,3454329,COF
11/19/20,84.74,85.38,83.67,84.99,4613373,COF
11/18/20,88.23,89.385,85.54,85.61,2681268,COF
11/17/20,87.1,88.61,85.49,87.76,1829317,COF
11/16/20,89.99,90.61,87.62,88.61,2065247,COF
11/13/20,84.38,87.27,84.38,86.7,2280139,COF
11/12/20,83.27,84.58,82.53,83.58,2129929,COF
11/11/20,87.09,87.46,83.72,84.67,2709237,COF
11/10/20,87.26,88.61,85.77,86.68,2639096,COF
11/09/20,84.78,90.3,84.78,86.95,5669176,COF
11/06/20,79.07,79.79,77.115,77.77,2559591,COF
11/05/20,76.45,79.21,76.2,78.7,2294031,COF
11/04/20,75.99,77.79,73.05,75.55,3189328,COF
11/03/20,77.28,78.8299,76.83,77.57,2655795,COF
11/02/20,74.65,76.22,74.0101,75.68,2602302,COF
10/30/20,72.64,73.2,71.27,73.08,2102045,COF
10/29/20,71.48,73.62,70.78,73.12,2551907,COF
10/28/20,71.79,73.6,71.518,72.07,3696992,COF
10/27/20,74.77,74.99,73.69,74.06,3023874,COF
10/26/20,76.63,76.765,74.19,74.95,5111875,COF
10/23/20,80.48,81.0,76.82,77.99,7613979,COF
10/22/20,74.71,77.47,74.57,76.75,10451150,COF
10/21/20,76.91,77.2,73.67,73.72,5700788,COF
10/20/20,77.9,79.09,77.15,77.27,2515667,COF
10/19/20,79.77,79.89,77.09,77.12,2048499,COF
10/16/20,79.16,79.88,78.51,79.22,3590349,COF
10/15/20,77.58,78.7,76.83,78.55,2878789,COF
10/14/20,79.69,80.22,78.56,78.66,1589777,COF
10/13/20,79.38,80.67,78.87,79.54,1978091,COF
10/12/20,79.81,81.07,79.31,80.41,2056323,COF
10/09/20,81.25,81.67,79.21,79.88,1733684,COF
10/08/20,78.59,80.39,77.56,80.28,2039533,COF
10/07/20,76.87,78.79,76.87,78.24,2748166,COF
10/06/20,79.0,79.98,75.23,75.63,2874474,COF
10/05/20,76.26,78.21,75.69,78.04,3037151,COF
10/02/20,71.53,75.68,71.03,74.94,2693846,COF
10/01/20,72.98,75.31,71.31,72.93,2798028,COF
09/30/20,70.99,73.54,70.73,71.86,2757623,COF
09/29/20,71.19,71.64,69.75,70.45,2150643,COF
09/28/20,71.15,72.38,69.97,71.33,1714313,COF
09/25/20,67.22,69.83,67.0807,69.36,1991290,COF
09/24/20,68.14,69.37,66.4602,68.1,3324212,COF
09/23/20,70.25,71.29,68.0,68.13,4409001,COF
09/22/20,71.29,72.26,68.55,69.96,3187801,COF
09/21/20,72.87,73.46,70.84,71.65,3954421,COF
09/18/20,75.76,76.84,75.01,75.79,3047915,COF
