Date, Open, High, Low, Close, Volume,ticker
12/24/20,361.4055,365.335,361.4055,364.58,972522,COST
12/23/20,362.45,363.1,359.5,361.89,1782110,COST
12/22/20,364.1,364.76,360.61,362.03,2106626,COST
12/21/20,365.09,366.115,361.81199999999995,364.97,2329659,COST
12/18/20,371.1,371.36,365.93,367.0,4140033,COST
12/17/20,370.26,370.97,368.0,370.29,2314176,COST
12/16/20,371.16,372.84,368.845,369.44,2385081,COST
12/15/20,374.505,375.69,369.3,371.88,2137136,COST
12/14/20,376.56,378.18,373.21,374.38,2778433,COST
12/11/20,379.77,379.77,372.54,375.1,3483947,COST
12/10/20,374.29,375.0,371.56,372.79,2566344,COST
12/09/20,379.88,381.0,372.8,374.29,2461551,COST
12/08/20,373.95,379.524,370.75,377.6,2685523,COST
12/07/20,374.27,376.5,372.65,373.33,2652928,COST
12/04/20,375.21,375.31,371.89,373.43,2839727,COST
12/03/20,378.0,378.73,373.28,374.05,3976442,COST
12/02/20,385.47,386.88,381.57,383.5,2212845,COST
12/01/20,384.5,388.07,381.1751,387.56,2998441,COST
11/30/20,391.75,393.15,385.23,391.77,3733758,COST
11/27/20,390.46,390.67,387.75,388.39,1329425,COST
11/25/20,385.79,388.34,385.555,387.75,2034236,COST
11/24/20,383.69,386.05,380.71,384.22,2065672,COST
11/23/20,383.0,383.06,380.34,381.71,1685136,COST
11/20/20,383.95,385.5023,381.01,381.12,1809463,COST
11/19/20,383.61,384.71,380.31,383.54,1768904,COST
11/18/20,382.88800000000003,388.05,381.73,382.23,2134609,COST
11/17/20,387.32,388.48,381.79,381.92,3299130,COST
11/16/20,376.91,381.28,376.91,379.79,1691460,COST
11/13/20,376.52,379.83,374.9905,378.84,1275252,COST
11/12/20,376.95,378.24,373.5,375.71,1537419,COST
11/11/20,369.68,374.7,368.16,372.92,1688755,COST
11/10/20,363.88,371.535,360.59,366.62,2662644,COST
11/09/20,388.25,389.5,364.76,365.0,4371322,COST
11/06/20,381.88,386.8,380.89,385.66,1950329,COST
11/05/20,382.48,386.58,379.5,385.23,2255767,COST
11/04/20,374.02,381.635,374.0,376.17,2450234,COST
11/03/20,368.94,374.8,367.89,371.96,2013103,COST
11/02/20,362.22,365.66,360.71,364.39,1646349,COST
10/30/20,361.13,363.85,355.79,357.62,2724917,COST
10/29/20,363.23,369.09,362.51,364.86,1838468,COST
10/28/20,367.329,372.41,364.67,364.96,1908295,COST
10/27/20,368.77,374.913,368.77,372.72,1525684,COST
10/26/20,366.68,372.63,366.12,370.71,2144995,COST
10/23/20,375.61,376.52,373.56,374.6,1107978,COST
10/22/20,377.35,378.38,372.0301,375.75,1813550,COST
10/21/20,378.56,381.28,377.02,377.82,1466495,COST
10/20/20,377.69,382.08,376.12,378.31,1282650,COST
10/19/20,382.03,383.085,374.71,375.56,1938064,COST
10/16/20,380.5,384.87,379.12,381.54,2460490,COST
10/15/20,376.46,378.36,373.06,376.58,1699338,COST
10/14/20,382.8897,383.8715,376.7,378.34,1905710,COST
10/13/20,378.42,382.29,376.48,380.68,1823278,COST
10/12/20,371.0,380.66,370.77,376.48,2806875,COST
10/09/20,366.0,369.75,365.7,369.46,1730688,COST
10/08/20,364.80199999999996,365.97,361.75,365.09,1793133,COST
10/07/20,360.47,364.74,359.66,363.02,1959147,COST
10/06/20,361.9,363.0,357.0394,358.35,2760443,COST
10/05/20,355.33,358.98,355.33,358.58,2093540,COST
10/02/20,354.728,357.84,352.85,355.01,2124977,COST
10/01/20,356.26,359.685,354.82,358.46,2052988,COST
09/30/20,352.56,357.7,351.1705,355.0,2525800,COST
09/29/20,348.95,354.29,347.1,352.14,2526612,COST
09/28/20,343.76,349.77,343.1,349.62,3459192,COST
09/25/20,340.74,343.77,335.36,342.58,7338492,COST
09/24/20,345.0,347.3333,338.309,347.0,5779283,COST
09/23/20,348.0,348.25,344.06,344.63,3577124,COST
09/22/20,340.702,344.9,339.59,344.45,2128063,COST
09/21/20,333.971,339.62,333.71,339.57,2427359,COST
09/18/20,340.2,341.22,331.2,335.96,3409322,COST
09/17/20,339.58,342.89,336.365,338.88,2681457,COST
09/16/20,347.27,348.76,343.25,343.73,1657876,COST
09/15/20,345.02,347.76,342.75,343.91,1362499,COST
09/14/20,340.99,344.84,340.47,342.92,1522316,COST
09/11/20,340.28,343.26,336.1,339.13,1599904,COST
09/10/20,346.27,348.0,338.76,339.53,1959599,COST
09/09/20,340.9,349.7,340.39,346.43,2100864,COST
09/08/20,343.84,344.92,338.18,338.86,2144332,COST
09/04/20,353.98,353.98,340.4,346.57,2557093,COST
09/03/20,363.07,363.67,345.52,348.3,3630441,COST
09/02/20,353.61,359.92,351.31,358.86,2434933,COST
09/01/20,345.71,351.49,345.41,351.38,1774856,COST
08/31/20,346.85,348.75,344.29,347.66,1586941,COST
08/28/20,347.47,349.06,345.5,348.37,1487324,COST
08/27/20,345.61,347.74199999999996,342.5501,346.36,2221007,COST
08/26/20,343.01,344.83,341.69,344.27,1757268,COST
08/25/20,344.14,344.91,341.46,344.71,1176166,COST
08/24/20,345.11,346.11,342.105,344.13,1461915,COST
08/21/20,340.07,345.84,339.33,344.61,2372580,COST
08/20/20,340.14,341.66,338.74,340.87,1717482,COST
08/19/20,341.12,341.94,339.95,340.9,1730080,COST
08/18/20,341.0,342.8,336.81,340.75,1489444,COST
08/17/20,337.65,340.37,337.355,339.96,1504934,COST
08/14/20,336.53,338.76,335.6,336.28,1522984,COST
08/13/20,336.99,339.46,335.13,335.7,1536633,COST
08/12/20,333.745,338.9,333.17,336.76,1854172,COST
08/11/20,340.85,340.85,331.8,332.43,2065571,COST
08/10/20,340.71,341.065,338.58,340.0,1503771,COST
08/07/20,343.14,344.73,339.63,340.91,1759041,COST
