Date, Open, High, Low, Close, Volume,ticker
12/24/20,123.56,124.04,122.7,123.71,291371,CPRT
12/23/20,123.25,124.11,123.08,123.35,751706,CPRT
12/22/20,122.17,123.09,121.055,123.04,806478,CPRT
12/21/20,120.57,122.33,118.4,122.18,1883070,CPRT
12/18/20,122.56,122.56,120.74,122.36,2452796,CPRT
12/17/20,121.42,122.11,120.89,121.68,892393,CPRT
12/16/20,121.6,123.16,120.08,120.92,953426,CPRT
12/15/20,119.19,122.24,119.02,121.36,1839604,CPRT
12/14/20,117.5,119.94,117.135,118.29,1874682,CPRT
12/11/20,114.19,117.05,113.54,116.98,1296397,CPRT
12/10/20,113.76,114.92,112.87,114.75,986560,CPRT
12/09/20,115.38,116.36,113.65,114.08,945959,CPRT
12/08/20,114.03,116.18,113.5,115.56,1108003,CPRT
12/07/20,112.62,115.04,112.21,114.61,1145023,CPRT
12/04/20,115.0,115.3217,111.9,112.09,1363664,CPRT
12/03/20,111.95,115.57,111.95,115.0,1507006,CPRT
12/02/20,115.06,115.17,113.13,113.3,1065804,CPRT
12/01/20,116.0,117.2,114.935,115.25,1414529,CPRT
11/30/20,115.21,115.65,113.7807,115.45,2910965,CPRT
11/27/20,114.29,115.4,114.0,115.21,484586,CPRT
11/25/20,113.78,115.04,113.03,114.76,983610,CPRT
11/24/20,113.719,114.26,112.67,113.2,1497514,CPRT
11/23/20,114.16,114.53,111.86,113.15,1393723,CPRT
11/20/20,113.45,115.37,112.57,114.47,1451069,CPRT
11/19/20,116.65,117.25,112.05,113.83,2010346,CPRT
11/18/20,116.79,118.02,115.29,115.97,1849695,CPRT
11/17/20,115.81,116.74,114.19,116.19,1271778,CPRT
11/16/20,117.65,118.755,115.8,116.05,1966912,CPRT
11/13/20,117.5,118.9,117.13,117.71,1630856,CPRT
11/12/20,118.81,119.39,116.98,117.33,903048,CPRT
11/11/20,117.62,118.74,116.73,117.8,1075766,CPRT
11/10/20,120.19,120.9,116.51,116.99,1856302,CPRT
11/09/20,129.43,130.96,121.3,121.33,1815275,CPRT
11/06/20,124.25,124.25,122.64,123.72,719553,CPRT
11/05/20,122.6,124.73,121.77,123.95,1080347,CPRT
11/04/20,119.39,122.93,117.61,121.34,1105513,CPRT
11/03/20,114.83,118.77,114.33,116.38,1395608,CPRT
11/02/20,111.9,114.255,110.17,113.4,1547955,CPRT
10/30/20,109.98,111.3,109.24,110.36,1498382,CPRT
10/29/20,108.11,112.26,107.64,111.28,1641024,CPRT
10/28/20,110.33,110.93,108.37,108.47,1269821,CPRT
10/27/20,112.01,113.12,111.65,112.1,837574,CPRT
10/26/20,112.32,113.19,110.2,111.98,957588,CPRT
10/23/20,114.98,115.805,113.69,114.29,1238466,CPRT
10/22/20,114.74,115.08,113.2,114.09,1000749,CPRT
10/21/20,115.1,116.04,114.01,114.6,612160,CPRT
10/20/20,115.8,116.62,114.83,114.98,615155,CPRT
10/19/20,116.91,118.36,114.685,115.26,900065,CPRT
10/16/20,117.86,118.56,116.73,117.18,860136,CPRT
10/15/20,114.91,118.1,114.61,117.64,730901,CPRT
10/14/20,116.39,118.12,115.485,115.8,804160,CPRT
10/13/20,117.06,117.83,116.24,116.37,1124691,CPRT
10/12/20,116.42,118.36,114.76,117.09,1108507,CPRT
10/09/20,114.59,116.45,114.28,115.21,939313,CPRT
10/08/20,111.88,114.01,111.43,114.0,1222777,CPRT
10/07/20,110.78,111.78,110.57,111.32,1125984,CPRT
