Date, Open, High, Low, Close, Volume,ticker
12/24/20,44.45,44.59,44.23,44.54,5720538,CSCO
12/23/20,44.65,44.8029,44.35,44.375,12032640,CSCO
12/22/20,44.44,45.07,44.44,44.69,16031550,CSCO
12/21/20,44.47,44.955,44.065,44.88,19865301,CSCO
12/18/20,44.9,45.57,44.77,45.44,41026969,CSCO
12/17/20,44.91,44.93,44.6,44.82,16141600,CSCO
12/16/20,44.695,45.14,44.525,44.72,16191980,CSCO
12/15/20,44.39,44.795,44.135,44.72,18165250,CSCO
12/14/20,44.27,44.91,44.15,44.24,16112330,CSCO
12/11/20,43.94,44.33,43.72,44.32,14577710,CSCO
12/10/20,44.54,44.605,44.11,44.32,17741490,CSCO
12/09/20,44.47,44.83,44.36,44.69,22679750,CSCO
12/08/20,44.206,44.525,43.93,44.37,13348460,CSCO
12/07/20,44.287,44.49,43.91,44.35,14086830,CSCO
12/04/20,43.89,44.51,43.89,44.38,17319801,CSCO
12/03/20,43.78,44.14,43.595,44.11,27710711,CSCO
12/02/20,43.39,43.96,43.35,43.89,17422160,CSCO
12/01/20,43.01,44.07,43.01,43.54,23948789,CSCO
11/30/20,42.44,43.05,42.41,43.02,34741648,CSCO
11/27/20,42.855,42.98,42.64,42.7,10769520,CSCO
11/25/20,42.78,42.8,42.21,42.5,22617660,CSCO
11/24/20,42.14,42.71,41.9,42.61,22849730,CSCO
11/23/20,41.03,41.8,41.02,41.64,19656680,CSCO
11/20/20,41.05,41.39,40.92,40.97,19778949,CSCO
11/19/20,41.0,41.37,40.77,41.17,22177711,CSCO
11/18/20,41.9,42.2386,41.255,41.32,21327711,CSCO
11/17/20,41.92,42.345,41.62,41.88,23140910,CSCO
11/16/20,41.74,42.59,41.35,42.54,34572648,CSCO
11/13/20,41.2,41.52,40.56,41.4,49120102,CSCO
11/12/20,38.98,39.39,38.395,38.67,29543619,CSCO
11/11/20,39.01,39.45,38.44,39.33,27332811,CSCO
11/10/20,38.21,39.025,38.167,38.72,31514510,CSCO
11/09/20,39.92,40.23,38.12,38.2,42649539,CSCO
11/06/20,37.56,37.6,37.08,37.53,19475289,CSCO
11/05/20,37.02,37.3,36.91,37.23,23149699,CSCO
11/04/20,37.031,37.3,36.5,36.57,30121920,CSCO
11/03/20,36.36,37.33,36.3,36.68,27342891,CSCO
11/02/20,36.19,36.35,35.67,35.9,23483100,CSCO
10/30/20,35.595,35.93,35.49,35.9,29159660,CSCO
10/29/20,35.51,36.07,35.28,35.69,35331969,CSCO
10/28/20,36.315,36.51,35.68,35.71,34561488,CSCO
10/27/20,37.38,37.5,36.59,36.87,37911473,CSCO
10/26/20,38.4,38.43,37.15,37.67,29146551,CSCO
