Date, Open, High, Low, Close, Volume,ticker
12/24/20,89.79,90.22,89.15,90.05,876389,CSX
12/23/20,89.89,90.51,89.22,89.67,4027333,CSX
12/22/20,89.26,90.19,89.1,89.55,4876413,CSX
12/21/20,88.78,90.37,88.5701,89.69,2763096,CSX
12/18/20,90.48,90.98,89.45,90.66,5637233,CSX
12/17/20,89.33,90.97,89.33,90.55,2947433,CSX
12/16/20,90.05,90.37,88.9703,89.1,3040876,CSX
12/15/20,89.88,90.52,88.84,90.22,3981658,CSX
12/14/20,91.21,91.33,88.89,88.92,2612330,CSX
12/11/20,89.21,90.685,89.0,90.43,3345981,CSX
12/10/20,89.55,90.55,89.54,90.0,4333853,CSX
12/09/20,91.68,92.285,91.2,91.73,2837471,CSX
12/08/20,91.15,92.09,90.98,91.5,3707121,CSX
12/07/20,91.45,92.32,91.1,92.035,4456691,CSX
12/04/20,90.64,91.97,90.46,91.85,4674847,CSX
12/03/20,90.99,91.595,89.97,90.43,5120953,CSX
12/02/20,90.03,91.36,90.02,90.68,5072911,CSX
12/01/20,90.92,92.08,90.35,90.62,4968869,CSX
11/30/20,91.09,91.84,89.96,90.05,6642819,CSX
11/27/20,92.49,92.72,91.14,91.29,1380240,CSX
11/25/20,92.99,93.12,91.56,92.24,2375222,CSX
11/24/20,93.4591,93.4591,92.22,92.915,7772819,CSX
11/23/20,91.96,92.67,91.25,92.06,3077553,CSX
11/20/20,91.53,92.28,90.94,91.54,2132066,CSX
11/19/20,90.85,91.85,90.19,91.7,2775630,CSX
11/18/20,92.84,93.64,91.29,91.33,2632852,CSX
11/17/20,91.82,92.92,91.44,92.5,2456151,CSX
11/16/20,92.23,93.08,91.28,93.0,3589498,CSX
11/13/20,90.11,91.65,89.73,90.6,3409269,CSX
11/12/20,89.49,90.55,88.92,89.73,4070615,CSX
11/11/20,91.6,91.88,89.3,90.04,4393008,CSX
11/10/20,87.75,91.88,87.18,91.4,7164052,CSX
11/09/20,90.35,93.705,88.02,88.2,5963523,CSX
11/06/20,87.18,87.69,85.62,86.18,2890551,CSX
11/05/20,85.51,87.89,85.0,87.03,6103972,CSX
11/04/20,85.48,87.55,84.56,84.83,6449127,CSX
11/03/20,82.63,84.79,82.23,84.22,5598437,CSX
11/02/20,80.325,82.11,79.25,81.76,5828478,CSX
10/30/20,77.65,79.01,77.5,78.94,5884117,CSX
10/29/20,75.67,78.94,75.39,77.89,5506170,CSX
10/28/20,76.475,77.56,75.74,75.93,6200629,CSX
10/27/20,78.99,79.47,77.62,78.09,5462070,CSX
10/26/20,80.33,80.39,78.32,78.87,3331765,CSX
10/23/20,81.7,82.58,80.36,81.29,3178494,CSX
10/22/20,82.16,84.81,81.015,81.73,7153010,CSX
10/21/20,79.2,80.08,78.63,78.72,4684285,CSX
10/20/20,79.3,81.22,79.16,80.13,2805022,CSX
10/19/20,79.81,80.865,78.81,79.05,3108625,CSX
10/16/20,80.95,81.34,80.08,80.11,5290326,CSX
10/15/20,79.56,81.14699999999999,79.27,81.03,2739606,CSX
10/14/20,79.46,81.25,79.46,80.47,4131851,CSX
10/13/20,80.51,80.99,78.96,79.19,4323477,CSX
10/12/20,78.93,80.21,78.43,79.56,4698869,CSX
10/09/20,77.97,78.94,77.97,78.48,2123986,CSX
10/08/20,78.92,79.2,77.2,77.71,3444616,CSX
10/07/20,77.11,79.15,77.04,78.69,3496465,CSX
10/06/20,77.97,78.4,76.47,76.72,3297151,CSX
10/05/20,77.49,78.29,77.31,77.74,2865253,CSX
10/02/20,76.78,77.87,76.31,77.15,3549426,CSX
10/01/20,78.35,78.35,76.27,76.86,4249217,CSX
09/30/20,78.39,79.23,77.38,77.67,4877624,CSX
09/29/20,78.96,79.46,77.57,77.6,3827980,CSX
09/28/20,79.16,79.72,78.5,79.33,2896853,CSX
09/25/20,77.24,78.335,76.65,78.08,3459219,CSX
09/24/20,76.07,77.55,75.38,76.58,4245873,CSX
09/23/20,78.667,78.99,76.09,76.5,4486968,CSX
09/22/20,77.65,78.28,77.14,77.93,3634290,CSX
09/21/20,78.3,78.76,76.31,77.58,4358523,CSX
09/18/20,79.75,80.58,79.25,79.83,6739133,CSX
09/17/20,77.99,80.0,77.38,79.5,4618635,CSX
09/16/20,81.2,81.4,79.14,79.35,4985466,CSX
09/15/20,79.74,81.1,79.25,80.27,4996235,CSX
09/14/20,77.84,79.39,77.25,78.96,3498188,CSX
09/11/20,76.25,77.42,76.06,77.17,2892741,CSX
09/10/20,76.35,77.0,75.28,75.82,3725096,CSX
09/09/20,75.73,77.875,75.68,76.66,3663347,CSX
09/08/20,75.37,76.57,74.14,75.26,4100824,CSX
09/04/20,76.23,76.97,74.41,75.51,4178930,CSX
09/03/20,78.32,78.41,75.08,75.65,4718712,CSX
09/02/20,77.95,78.65,77.165,77.68,8116096,CSX
09/01/20,76.21,78.06,75.75,78.04,3319198,CSX
08/31/20,77.18,77.56,76.15,76.46,3215515,CSX
08/28/20,75.97,77.18,75.77,77.07,2654548,CSX
08/27/20,75.99,76.73,75.28,76.19,2542020,CSX
08/26/20,75.48,75.785,74.97,75.41,2820142,CSX
08/25/20,75.59,75.93,74.82,75.83,2533531,CSX
08/24/20,74.569,75.18,74.38,75.11,2602616,CSX
08/21/20,73.9,74.26,73.42,74.13,3025038,CSX
08/20/20,73.3,74.17,73.25,73.91,2548152,CSX
08/19/20,74.72,74.85,73.91,74.05,2713921,CSX
08/18/20,75.19,75.19,74.32,74.41,2414928,CSX
08/17/20,74.42,75.28,74.35,74.99,2988666,CSX
08/14/20,73.67,74.67,73.49,74.25,2383121,CSX
08/13/20,74.51,74.96,73.75,74.0,2558589,CSX
08/12/20,75.58,76.31,74.93,75.03,3025124,CSX
08/11/20,75.1,76.47,74.67,75.14,5479460,CSX
08/10/20,73.35,74.43,72.93,74.08,3904021,CSX
08/07/20,71.95,73.23,71.835,72.93,3428066,CSX
08/06/20,71.45,72.65,71.22,72.27,2376540,CSX
08/05/20,71.16,71.515,70.81,71.43,2171929,CSX
08/04/20,70.17,70.78,69.795,70.76,3119864,CSX
08/03/20,71.192,71.65,70.28,70.35,2742687,CSX
07/31/20,69.91,71.39,68.07,71.34,5576369,CSX
07/30/20,70.98,71.3,70.06,70.24,3217032,CSX
07/29/20,70.69,72.13,70.3823,71.92,3883094,CSX
07/28/20,71.3,71.33,69.95,70.1,2981190,CSX
07/27/20,70.99,72.205,70.92,71.59,3412068,CSX
07/24/20,71.75,72.61,71.245,71.34,2954189,CSX
07/23/20,72.07,72.95,70.93,71.53,5102840,CSX
07/22/20,72.5,73.77,72.29,73.26,4209359,CSX
07/21/20,71.92,72.59,71.6,72.43,2541277,CSX
07/20/20,71.86,72.04,70.88,71.56,2973624,CSX
07/17/20,71.65,72.45,71.0,72.16,2947822,CSX
07/16/20,70.29,71.87,70.2001,71.07,2779829,CSX
07/15/20,70.5,71.015,69.38,70.66,4396632,CSX
07/14/20,68.06,69.45,67.8,69.34,3874486,CSX
07/13/20,68.21,69.975,67.58,68.64,4019815,CSX
07/10/20,67.69,68.09,67.16,67.54,3667548,CSX
07/09/20,68.29,69.05,67.48,67.86,4275391,CSX
07/08/20,68.64,69.25,68.17,69.1,2975754,CSX
07/07/20,69.43,70.03,68.35,68.52,2908001,CSX
07/06/20,69.73,70.68,69.69,70.25,2774359,CSX
07/02/20,69.16,69.88,68.68,68.86,2543244,CSX
07/01/20,69.86,70.29,67.87,68.24,3283380,CSX
06/30/20,68.16,70.31,67.99,69.74,3621438,CSX
06/29/20,66.57,68.52,66.34,68.5,3561109,CSX
06/26/20,68.0,68.29,65.37,65.91,9397386,CSX
06/25/20,67.32,68.35,66.4126,68.22,2918607,CSX
06/24/20,68.43,68.86,67.44,67.5,3738329,CSX
06/23/20,69.32,69.865,68.75,69.43,3105679,CSX
06/22/20,67.75,68.67,67.07,68.6,3226660,CSX
06/19/20,70.4,70.47,67.75,67.99,7092686,CSX
06/18/20,69.24,70.12,69.08,69.47,2789468,CSX
06/17/20,71.07,71.07,69.83,69.9,3058703,CSX
06/16/20,72.56,72.57,69.585,70.36,3888445,CSX
06/15/20,67.91,70.56,67.44,70.15,3922356,CSX
06/12/20,70.51,70.67,68.06,69.57,4171151,CSX
06/11/20,71.78,72.4,68.22,68.29,4971051,CSX
