Date, Open, High, Low, Close, Volume,ticker
12/24/20,81.35,81.35,80.6,81.07,1036965,CTSH
12/23/20,81.35,81.89,80.98,80.99,1674190,CTSH
12/22/20,80.18,81.65,80.1376,81.02,2405730,CTSH
12/21/20,79.85,80.54,78.56,80.47,2369111,CTSH
12/18/20,82.1,82.1,80.52,81.02,7656768,CTSH
12/17/20,81.27,82.73,81.0,81.73,5462100,CTSH
12/16/20,80.64,80.64,78.8391,79.32,2543149,CTSH
12/15/20,80.104,80.53,79.07,80.53,2741899,CTSH
12/14/20,79.0,79.49,78.61,79.19,2640603,CTSH
12/11/20,78.562,79.95,78.19,78.51,3528717,CTSH
12/10/20,79.01,79.01,77.94,78.38,2069903,CTSH
12/09/20,80.32,80.76,78.81,79.01,3585612,CTSH
12/08/20,79.26,80.59,78.74,79.87,2979505,CTSH
12/07/20,79.95,80.74,79.7,80.53,2419691,CTSH
12/04/20,79.15,81.11,78.49,81.06,3078986,CTSH
12/03/20,78.07,79.1297,77.75,78.76,2108235,CTSH
12/02/20,78.66,78.66,77.98,78.12,2250988,CTSH
12/01/20,78.109,79.035,77.95,78.66,3653650,CTSH
11/30/20,77.94,78.33,77.07,78.13,3797954,CTSH
11/27/20,77.94,78.89,77.66,78.41,1104925,CTSH
11/25/20,78.94,79.0,78.17,78.55,2189506,CTSH
11/24/20,77.95,78.77,77.265,78.75,2594878,CTSH
11/23/20,76.0,77.3,75.92,77.2,1958073,CTSH
11/20/20,75.92,76.28,75.67,75.9,2277130,CTSH
11/19/20,74.99,76.3,74.56,76.2,2915689,CTSH
11/18/20,76.47,76.77,74.68,74.7,4192621,CTSH
11/17/20,76.75,77.38,76.17,77.0,2026769,CTSH
11/16/20,77.87,78.47,77.23,77.8,2162525,CTSH
11/13/20,77.0,77.67,76.8,77.19,2681154,CTSH
11/12/20,76.82,77.18,75.59,76.22,3087184,CTSH
11/11/20,75.51,77.09,75.44,76.76,3254337,CTSH
11/10/20,73.76,75.49,73.53,75.1,3789867,CTSH
11/09/20,75.19,78.21,73.82,73.88,3344135,CTSH
11/06/20,74.48,74.62,73.6,74.22,1394681,CTSH
11/05/20,73.77,74.91,73.42,74.24,2079270,CTSH
11/04/20,73.77,74.09,71.86,73.02,2427350,CTSH
11/03/20,71.92,72.94,71.41,71.94,2089612,CTSH
11/02/20,71.47,71.91,70.29,70.8,3276126,CTSH
10/30/20,70.471,71.78,69.97,71.42,4298214,CTSH
10/29/20,74.83,76.45,70.81,71.02,7110849,CTSH
10/28/20,72.36,72.93,70.98,71.1,8444543,CTSH
10/27/20,72.83,73.495,72.52,73.39,5498403,CTSH
10/26/20,73.2,73.45,71.87,72.71,6195658,CTSH
10/23/20,73.46,74.32,73.09,74.12,2135638,CTSH
10/22/20,72.73,73.58,72.23,73.38,2705353,CTSH
10/21/20,73.03,74.04,72.88,72.89,2916296,CTSH
10/20/20,73.05,74.01,72.295,73.35,2252389,CTSH
10/19/20,73.19,73.75,71.96,72.2,2791442,CTSH
10/16/20,74.34,74.63,73.31,73.36,2533193,CTSH
10/15/20,73.25,73.89,72.76,73.72,2637225,CTSH
10/14/20,73.22,74.4,73.1,73.96,3273388,CTSH
10/13/20,74.99,75.32,73.04,73.22,3322191,CTSH
10/12/20,74.09,74.92,73.27,74.63,4748863,CTSH
10/09/20,73.65,74.06,72.75,73.08,3584320,CTSH
10/08/20,72.5,73.45,72.23,72.91,2312751,CTSH
10/07/20,70.73,72.48,70.6,72.24,3180263,CTSH
10/06/20,70.9,71.6,69.69,69.83,3111058,CTSH
10/05/20,69.62,71.26,69.5,70.93,4117464,CTSH
10/02/20,67.92,69.35,67.79,68.86,2460550,CTSH
10/01/20,70.22,70.595,68.975,69.33,3426441,CTSH
09/30/20,69.28,70.105,68.86,69.42,3912154,CTSH
09/29/20,69.44,70.08,68.63,69.0,2585597,CTSH
09/28/20,68.97,69.65,68.73,69.32,3971430,CTSH
09/25/20,66.87,68.32,66.5,68.08,2758064,CTSH
09/24/20,65.95,67.6,65.58,66.9,2855009,CTSH
09/23/20,68.46,69.19,66.81,67.09,3086110,CTSH
09/22/20,67.63,68.5,66.71,68.25,2838703,CTSH
09/21/20,67.86,68.17,67.072,67.39,3190042,CTSH
09/18/20,70.08,70.4,67.97,68.86,5525498,CTSH
09/17/20,68.11,70.865,67.9076,70.12,3819546,CTSH
09/16/20,70.9,71.81,70.05,70.72,3161210,CTSH
09/15/20,69.2363,70.99,69.2363,70.13,3436586,CTSH
09/14/20,68.36,69.58,68.35,69.29,3411916,CTSH
09/11/20,67.77,69.17,67.06,68.18,4935531,CTSH
09/10/20,66.31,67.67,65.36,65.56,2679201,CTSH
09/09/20,66.04,66.94,65.29,66.41,2275403,CTSH
09/08/20,65.45,66.67,65.04,65.6,3102694,CTSH
09/04/20,67.4,68.12,65.84,66.81,2544865,CTSH
09/03/20,68.67,68.89,66.33,67.12,3366681,CTSH
09/02/20,67.45,68.99,67.09,68.82,2711194,CTSH
09/01/20,66.26,67.03,65.875,66.97,1705206,CTSH
08/31/20,67.39,67.54,66.72,66.86,2653687,CTSH
08/28/20,67.38,67.735,67.01,67.69,1536856,CTSH
08/27/20,68.0,68.3,67.1568,67.41,1589980,CTSH
08/26/20,67.08,67.85,66.58,67.75,2071041,CTSH
08/25/20,67.62,67.65,66.47,66.94,1864206,CTSH
08/24/20,65.71,67.63,65.54,67.62,2429918,CTSH
08/21/20,66.17,66.21,65.12,65.72,3580139,CTSH
08/20/20,66.12,66.71,66.02,66.3,1315338,CTSH
08/19/20,67.3,67.67,66.76,66.89,1935478,CTSH
08/18/20,67.6,67.88,67.0,67.22,1535440,CTSH
08/17/20,67.25,67.84,66.95,67.54,1769228,CTSH
08/14/20,66.49,67.275,66.0,66.93,1289343,CTSH
08/13/20,66.32,67.295,66.15,66.9,1531481,CTSH
08/12/20,66.96,67.62,66.89,66.98,2699002,CTSH
08/11/20,67.29,67.575,66.27,66.53,2302548,CTSH
08/10/20,67.36,67.48,66.6131,67.11,2338784,CTSH
08/07/20,67.2,67.645,66.695,67.48,2054490,CTSH
08/06/20,67.49,67.73,66.665,67.58,2307649,CTSH
08/05/20,68.14,68.675,67.16,67.43,2697270,CTSH
08/04/20,67.17,67.99,66.87,67.92,2963068,CTSH
08/03/20,66.85,68.12,66.67,68.04,3398170,CTSH
07/31/20,68.79,69.0,66.99,68.32,3646901,CTSH
07/30/20,68.92,69.49,67.0,69.18,6495271,CTSH
07/29/20,63.07,65.2,62.68,64.79,4818264,CTSH
07/28/20,63.42,63.84,62.58,62.64,3155019,CTSH
07/27/20,61.69,63.665,61.29,63.43,2997383,CTSH
07/24/20,62.18,62.33,61.455,61.8,2677980,CTSH
07/23/20,62.162,62.56,61.79,62.08,2515242,CTSH
07/22/20,61.63,62.4099,61.28,61.96,3036926,CTSH
07/21/20,62.25,62.91,61.4,61.62,2495293,CTSH
07/20/20,61.36,62.01,61.05,61.71,2134999,CTSH
07/17/20,61.37,61.77,60.795,61.43,3011453,CTSH
07/16/20,60.9,61.7,60.5,61.05,5221047,CTSH
07/15/20,58.0,60.4,58.0,59.67,4574878,CTSH
07/14/20,56.02,56.55,55.175,56.47,2395252,CTSH
07/13/20,56.44,57.72,56.16,56.46,3415263,CTSH
07/10/20,55.05,55.88,54.915,55.78,2037889,CTSH
07/09/20,55.67,55.7,54.57,55.28,3043120,CTSH
07/08/20,56.09,56.36,55.22,55.7,1783422,CTSH
07/07/20,55.52,56.4,55.36,55.85,2604593,CTSH
07/06/20,57.0,57.09,56.085,56.26,2203022,CTSH
07/02/20,57.01,57.68,56.01,56.08,3123236,CTSH
07/01/20,57.0,57.4293,55.95,56.42,2966548,CTSH
06/30/20,56.59,57.55,56.27,56.82,3845031,CTSH
06/29/20,55.77,56.52,54.99,56.49,2907251,CTSH
06/26/20,55.37,55.59,54.59,55.21,3743941,CTSH
06/25/20,54.03,55.67,53.99,55.59,3854683,CTSH
06/24/20,54.76,54.89,53.77,53.8,4597212,CTSH
06/23/20,54.51,55.44,54.02,55.2,3103277,CTSH
06/22/20,53.92,54.53,53.16,53.85,2388699,CTSH
06/19/20,56.0,56.01,53.91,54.16,5365021,CTSH
06/18/20,54.66,55.2,53.9,54.89,2570650,CTSH
06/17/20,55.88,56.05,54.71,55.49,2234968,CTSH
06/16/20,56.2,57.05,54.83,55.37,2685608,CTSH
06/15/20,52.59,55.1,52.5,54.67,2724204,CTSH
06/12/20,54.35,55.47,53.48,54.8,2472916,CTSH
06/11/20,56.08,56.23,53.62,53.66,3404444,CTSH
06/10/20,57.86,58.39,56.68,57.53,2811039,CTSH
06/09/20,58.0,58.0,56.64,57.19,2364906,CTSH
