Date, Open, High, Low, Close, Volume,ticker
12/24/20,132.4,133.12,131.14,132.57,431857,CTXS
12/23/20,133.58,134.09,131.77,131.77,999585,CTXS
12/22/20,131.82,133.27,129.94,132.72,3073704,CTXS
12/21/20,130.67,132.19,129.02,131.11,1358323,CTXS
12/18/20,131.4,134.85,129.86,132.65,6630058,CTXS
12/17/20,130.59,131.34,128.72,130.74,1556347,CTXS
12/16/20,127.76,129.89,127.1,129.28,1192606,CTXS
12/15/20,129.44,130.11,126.73,127.45,1293471,CTXS
12/14/20,130.58,131.82,127.9,128.43,1955831,CTXS
12/11/20,131.68,132.89,127.75,130.65,2018543,CTXS
12/10/20,130.73,133.045,130.13,132.67,1661589,CTXS
12/09/20,131.41,132.23,129.7,131.82,1386714,CTXS
12/08/20,129.76,131.88,129.33,130.88,1285673,CTXS
12/07/20,130.56,131.57,129.82,131.37,1081342,CTXS
12/04/20,128.47,130.66,127.9,130.53,1279681,CTXS
12/03/20,126.59,129.145,125.02,127.87,1219421,CTXS
12/02/20,125.01,127.55,124.19,127.31,1455610,CTXS
12/01/20,124.31,126.18,123.7,125.59,1928555,CTXS
11/30/20,123.34,124.11,121.16,123.92,2874621,CTXS
11/27/20,121.73,123.94,120.6,122.44,735833,CTXS
11/25/20,123.64,124.0,120.995,121.41,1264469,CTXS
11/24/20,120.41,125.42,119.94,122.09,2346915,CTXS
11/23/20,120.23,121.3906,119.23,120.16,1582659,CTXS
11/20/20,120.75,122.555,120.17,120.48,2513640,CTXS
11/19/20,118.24,121.22,117.2574,120.77,1572378,CTXS
11/18/20,119.32,121.325,118.43,118.99,1773951,CTXS
11/17/20,118.79,121.265,118.31,119.68,1597327,CTXS
11/16/20,117.8,118.83,116.38,118.48,1678548,CTXS
11/13/20,116.82,118.44,115.2101,118.26,1314191,CTXS
11/12/20,115.58,116.9,114.69,115.38,1172146,CTXS
11/11/20,115.27,116.42,114.42,114.9,1499762,CTXS
11/10/20,113.84,115.78,111.26,114.14,2303653,CTXS
11/09/20,118.41,119.66,114.55,114.65,2835924,CTXS
11/06/20,119.33,119.51,117.18,118.89,1019412,CTXS
11/05/20,119.04,120.88,118.32,119.42,1346178,CTXS
11/04/20,118.9,119.47,116.45,116.87,1692540,CTXS
11/03/20,115.07,116.79,114.025,115.97,1362504,CTXS
11/02/20,113.62,114.78,111.6,114.43,1631745,CTXS
10/30/20,113.78,114.98,111.865,113.27,1761850,CTXS
10/29/20,115.01,116.13,113.7,113.92,1580996,CTXS
10/28/20,117.855,118.39,114.68,114.82,1833762,CTXS
10/27/20,124.66,125.96,119.25,119.47,2490307,CTXS
10/26/20,121.83,124.29,120.71,123.82,1784465,CTXS
10/23/20,124.6,125.47,120.76,122.715,4006614,CTXS
10/22/20,135.39,136.1,125.75,126.65,4542274,CTXS
10/21/20,136.68,137.94,135.86,136.36,1217021,CTXS
10/20/20,136.14,139.41,135.98,136.72,1200402,CTXS
10/19/20,139.11,140.17,134.36,134.84,1138655,CTXS
10/16/20,139.16,139.73,137.67,138.26,1134587,CTXS
10/15/20,140.15,140.51,138.24,138.91,869650,CTXS
10/14/20,142.47,143.99,139.5,140.91,1218625,CTXS
10/13/20,145.0,146.03,141.9,144.03,1554388,CTXS
10/12/20,141.0,146.9372,140.7102,145.25,1655003,CTXS
10/09/20,137.02,139.4758,136.1,139.43,890391,CTXS
10/08/20,134.79,135.77,133.65,135.51,722559,CTXS
10/07/20,134.05,134.85,132.21,133.51,1208201,CTXS
10/06/20,134.981,137.43,132.86,133.34,1106455,CTXS
10/05/20,135.49,136.17,134.2,135.63,955584,CTXS
10/02/20,137.42,138.49,134.6,134.89,780807,CTXS
10/01/20,139.21,139.93,137.665,139.2,852639,CTXS
09/30/20,137.22,139.14,136.06,137.71,933281,CTXS
09/29/20,137.92,139.05,136.89,136.95,797168,CTXS
09/28/20,137.7,139.0,136.69,138.32,767632,CTXS
09/25/20,133.7,136.765,133.335,136.13,749512,CTXS
09/24/20,132.13,135.17,132.07,133.85,549397,CTXS
09/23/20,136.64,137.48,132.86,133.15,805205,CTXS
09/22/20,135.7,137.81,133.9,137.2,807016,CTXS
09/21/20,133.76,134.84,132.405,134.22,1328412,CTXS
09/18/20,134.14,135.86,132.3,133.99,3356305,CTXS
09/17/20,132.67,134.85,131.41,133.94,1424451,CTXS
09/16/20,137.05,138.63,134.96,135.13,1128029,CTXS
09/15/20,135.78,137.59,135.23,135.92,1504382,CTXS
09/14/20,134.02,136.22,133.33,135.4,1320306,CTXS
09/11/20,135.71,136.93,131.15,132.37,1613606,CTXS
09/10/20,140.45,142.45,134.16,134.88,1996800,CTXS
09/09/20,140.4,142.24,137.37,141.53,1618502,CTXS
09/08/20,133.89,140.8,133.11,138.65,2843272,CTXS
09/04/20,139.06,141.04,135.13,137.14,1574134,CTXS
09/03/20,147.12,147.1283,138.47,140.6,1779561,CTXS
09/02/20,145.88,148.47,144.395,147.8,1220553,CTXS
09/01/20,145.04,148.47,144.5,145.23,1956744,CTXS
08/31/20,143.59,145.48,142.67,145.2,1237990,CTXS
08/28/20,143.08,146.49,142.62,144.03,957162,CTXS
08/27/20,144.15,144.39,140.96,142.24,982219,CTXS
08/26/20,142.92,144.92,142.4,144.29,906735,CTXS
08/25/20,143.26,144.4,142.3907,142.91,924241,CTXS
08/24/20,144.01,144.49,141.27,142.8,1004551,CTXS
08/21/20,141.3,143.73,140.2716,143.23,1364835,CTXS
08/20/20,140.2,141.99,139.67,141.51,804008,CTXS
08/19/20,139.9,141.98,139.075,140.49,898820,CTXS
08/18/20,138.96,141.12,138.37,140.39,962623,CTXS
08/17/20,137.1,138.74,136.91,138.08,903960,CTXS
08/14/20,137.32,138.46,135.96,136.35,706611,CTXS
08/13/20,137.0,138.48,136.42,137.4,972817,CTXS
08/12/20,135.71,137.89,135.45,136.49,860568,CTXS
08/11/20,138.13,138.3828,135.36,135.73,1490864,CTXS
08/10/20,141.0,141.0,136.015,137.57,1241819,CTXS
08/07/20,141.03,143.3134,140.32,141.14,1141093,CTXS
08/06/20,142.29,142.98,140.15,140.79,1186379,CTXS
08/05/20,142.75,142.78,140.15,142.64,1342173,CTXS
08/04/20,138.85,142.75,137.8,142.64,1466970,CTXS
08/03/20,142.91,143.44,139.305,139.85,2254127,CTXS
07/31/20,142.54,144.15,138.18,142.76,2193384,CTXS
07/30/20,138.4,142.01,136.93,141.69,1844090,CTXS
