Date, Open, High, Low, Close, Volume,ticker
12/24/20,68.17,68.17,67.4867,67.97,2117597,CVS
12/23/20,67.53,68.48,67.49,68.01,4924123,CVS
12/22/20,68.43,68.55,67.06,67.22,5694732,CVS
12/21/20,68.7,68.96,67.96,68.71,6988393,CVS
12/18/20,69.74,69.79,68.82,69.55,12530490,CVS
12/17/20,69.45,69.89,68.69,69.59,7497569,CVS
12/16/20,69.15,69.6299,68.35,69.32,7380700,CVS
12/15/20,70.08,70.19,68.8,69.89,7812787,CVS
12/14/20,72.31,72.33,69.6815,69.72,7157555,CVS
12/11/20,72.0,72.11,70.65,71.58,6515800,CVS
12/10/20,72.77,73.16,72.08,72.21,6003142,CVS
12/09/20,74.38,74.44,72.86,73.53,6825909,CVS
12/08/20,72.73,73.94,72.6233,73.86,6044156,CVS
12/07/20,74.23,74.64,72.43,73.63,6867975,CVS
12/04/20,72.72,74.52,72.57,74.5,11964680,CVS
12/03/20,69.71,72.63,69.23,72.52,13270240,CVS
12/02/20,67.55,70.2938,67.45,69.63,8138469,CVS
12/01/20,68.39,69.33,67.355,67.54,8239672,CVS
11/30/20,67.81,68.0884,67.2,67.79,8242633,CVS
11/27/20,67.71,68.16,67.48,67.87,2803745,CVS
11/25/20,68.33,68.4,67.08,67.63,6789114,CVS
11/24/20,67.26,68.83,66.73,68.43,8313693,CVS
11/23/20,66.87,67.4799,66.4,66.78,5889126,CVS
11/20/20,65.9,66.87,65.82,66.39,8825118,CVS
11/19/20,66.02,66.49,65.18,66.06,11656370,CVS
11/18/20,67.5,68.27,66.29,66.35,11674570,CVS
11/17/20,68.25,68.72,66.65,67.14,34429660,CVS
11/16/20,73.59,74.06,72.47,73.47,13265630,CVS
11/13/20,69.71,71.18,69.08,71.0,6727584,CVS
11/12/20,69.0,69.9,68.445,69.39,6069357,CVS
11/11/20,70.1,71.01,69.45,69.51,9627953,CVS
11/10/20,68.45,70.65,68.0,70.23,15038770,CVS
11/09/20,69.0,69.63,65.775,67.53,15696360,CVS
11/06/20,63.05,67.33,63.02,64.95,24526891,CVS
11/05/20,61.36,62.6104,61.03,61.41,10069430,CVS
11/04/20,61.25,61.96,60.225,60.37,11190790,CVS
11/03/20,58.46,60.08,58.4,59.45,7153941,CVS
11/02/20,56.87,58.23,56.1897,58.08,9437916,CVS
10/30/20,55.93,56.305,55.4,56.09,8665545,CVS
10/29/20,56.46,56.67,55.36,55.93,9757946,CVS
10/28/20,57.36,57.94,56.44,56.57,10660220,CVS
10/27/20,59.12,59.263999999999996,58.11,58.15,5415021,CVS
10/26/20,59.91,59.98,58.67,59.56,7551482,CVS
10/23/20,59.78,60.6,59.69,60.25,6810115,CVS
10/22/20,59.14,59.525,58.6243,59.48,5724113,CVS
10/21/20,58.62,59.62,58.61,59.23,5385324,CVS
10/20/20,59.04,59.865,58.46,59.43,7590649,CVS
10/19/20,60.06,60.44,58.71,58.78,6983876,CVS
10/16/20,59.37,59.86,58.9,59.59,6822607,CVS
10/15/20,58.08,59.33,57.91,59.32,8208656,CVS
10/14/20,58.94,59.34,58.44,58.51,6193746,CVS
10/13/20,59.4,59.95,58.95,59.12,5700153,CVS
10/12/20,59.5,60.22,59.2717,59.72,5806887,CVS
10/09/20,60.8,60.8,59.21,59.4,5698910,CVS
10/08/20,59.63,60.5,59.328,60.47,4894071,CVS
10/07/20,58.6,59.9789,58.56,59.42,6061370,CVS
10/06/20,59.11,59.5176,58.16,58.23,5707955,CVS
10/05/20,58.26,58.97,58.19,58.95,5168915,CVS
10/02/20,57.09,58.69,56.92,57.83,7143310,CVS
10/01/20,58.43,58.67,57.355,57.84,7559198,CVS
09/30/20,57.64,59.095,57.6,58.4,8156380,CVS
09/29/20,57.95,57.95,57.05,57.54,5784250,CVS
09/28/20,57.6,58.595,57.6,57.94,5304882,CVS
09/25/20,56.31,57.43,56.11,57.32,4911411,CVS
09/24/20,57.18,57.6,56.35,56.71,6960880,CVS
09/23/20,58.16,58.375,57.365,57.4,6725981,CVS
09/22/20,58.81,59.2278,58.09,58.14,6906419,CVS
09/21/20,58.85,59.01,57.96,58.87,9784511,CVS
09/18/20,58.51,59.77,57.88,59.57,13532250,CVS
09/17/20,57.1,58.675,56.82,58.41,12278650,CVS
09/16/20,57.2,57.845,56.1,57.48,15422690,CVS
09/15/20,58.0,58.61,56.99,57.0,10139240,CVS
09/14/20,57.63,58.21,57.55,57.97,12955240,CVS
09/11/20,58.13,58.14,57.06100000000001,57.4,11597090,CVS
09/10/20,59.44,59.645,57.96,58.0,10105430,CVS
09/09/20,59.69,60.14,59.21,59.53,6259268,CVS
09/08/20,60.43,60.805,59.2796,59.53,7801546,CVS
09/04/20,60.45,60.8,59.29,60.24,8655172,CVS
09/03/20,61.38,61.99,60.0387,60.45,8928906,CVS
09/02/20,60.3,61.32,60.18,60.91,15721260,CVS
09/01/20,62.01,62.04,59.95,60.28,12375670,CVS
08/31/20,62.46,63.06,62.11,62.12,8171366,CVS
08/28/20,63.47,63.63,62.83,63.21,5045042,CVS
08/27/20,62.63,63.61,62.27,63.39,5074027,CVS
08/26/20,63.12,63.17,61.89,62.7,8198779,CVS
08/25/20,64.06,64.17,63.19,63.47,4326130,CVS
08/24/20,64.01,67.3,63.419,63.87,8360121,CVS
08/21/20,63.7,64.12,63.43,63.94,4961718,CVS
08/20/20,64.82,64.93,63.635,63.72,6035360,CVS
08/19/20,65.39,65.71,64.99,65.28,5069975,CVS
08/18/20,65.01,65.555,64.9,65.18,7119120,CVS
08/17/20,65.85,65.88,64.88,64.9,5603831,CVS
08/14/20,64.28,65.68,64.09,65.67,4920509,CVS
08/13/20,64.57,64.975,64.05,64.7,6557999,CVS
08/12/20,65.83,65.98,64.61,64.99,6867332,CVS
08/11/20,66.3,67.17,65.07,65.26,6957495,CVS
08/10/20,64.9,65.96,64.79,65.71,6516521,CVS
08/07/20,63.79,64.97,63.65,64.96,6115102,CVS
08/06/20,64.55,65.4,63.92,64.12,6644064,CVS
08/05/20,65.54,65.6,63.9,64.4,12908900,CVS
08/04/20,63.74,65.41,63.67,64.98,9482413,CVS
08/03/20,63.45,64.17,63.02,63.86,6137626,CVS
07/31/20,63.79,63.9,62.29,62.94,9200682,CVS
07/30/20,63.66,64.145,63.275,64.0,4600770,CVS
07/29/20,63.46,64.5842,63.09,64.22,6376044,CVS
07/28/20,62.42,63.5,62.23,63.27,5593549,CVS
07/27/20,62.86,63.055,62.11,62.57,6993393,CVS
07/24/20,64.28,64.99,63.01,63.34,6436801,CVS
07/23/20,63.8,64.3474,63.53,63.79,5138255,CVS
07/22/20,64.11,64.21,63.125,63.78,4835956,CVS
07/21/20,63.88,64.77,63.55,64.52,5954258,CVS
07/20/20,65.34,65.4663,63.75,63.91,5679829,CVS
07/17/20,65.31,65.63,65.02,65.36,5121428,CVS
07/16/20,64.5,65.36,64.12,64.99,5783668,CVS
07/15/20,63.95,64.63,63.49,64.58,7171057,CVS
07/14/20,62.42,63.9,62.2,63.7,6563287,CVS
07/13/20,62.67,63.54,62.37,62.62,6745077,CVS
07/10/20,61.4,62.73,61.001999999999995,62.65,9474658,CVS
07/09/20,62.34,62.74,60.55,61.28,10172530,CVS
07/08/20,63.8,64.13,62.43,63.14,9400333,CVS
07/07/20,64.32,64.5674,63.64,63.92,5845869,CVS
07/06/20,65.06,65.4,64.54,64.93,5307346,CVS
07/02/20,65.16,65.8,64.555,64.7,4700689,CVS
07/01/20,64.97,65.5987,64.49,64.56,5008224,CVS
06/30/20,64.71,65.27,63.96,64.97,7036070,CVS
06/29/20,64.0,65.27,63.865,64.42,7109127,CVS
06/26/20,63.9,64.1233,62.7166,63.45,7321872,CVS
06/25/20,62.7,64.1997,62.42,64.02,5681430,CVS
06/24/20,63.81,64.05,62.33,63.18,7164441,CVS
06/23/20,64.86,65.26,64.33,64.43,5260303,CVS
06/22/20,64.54,64.73,63.28,64.3,6069628,CVS
06/19/20,65.91,66.0,64.11,64.49,21231350,CVS
06/18/20,64.65,64.97,63.89,64.49,5852226,CVS
06/17/20,66.0,66.14,64.665,65.0,7183272,CVS
06/16/20,64.97,66.1899,63.92,65.58,10977960,CVS
06/15/20,63.03,63.78,61.82,63.32,9382759,CVS
06/12/20,64.77,65.78,62.74,64.15,10345520,CVS
06/11/20,66.11,66.43,62.71,63.16,11927460,CVS
06/10/20,69.58,69.61,67.38,67.51,6344432,CVS
06/09/20,69.87,70.29,68.98,69.37,5957102,CVS
06/08/20,68.2,70.64,68.16,70.62,8556275,CVS
06/05/20,67.28,69.19,67.13,68.35,8598303,CVS
06/04/20,66.29,66.72,65.95,66.53,5468872,CVS
06/03/20,67.14,67.6751,66.24,66.85,6102396,CVS
06/02/20,65.64,67.31,65.4102,66.84,5463736,CVS
06/01/20,65.44,65.96,65.0122,65.64,5188419,CVS
05/29/20,66.39,66.7,64.62,65.57,8979346,CVS
05/28/20,66.7,67.73,66.41,66.56,6604269,CVS
05/27/20,64.97,66.0,63.85,65.97,7118418,CVS
05/26/20,64.47,65.6,64.33,64.64,7974432,CVS
05/22/20,63.42,63.49,62.89,63.33,3495887,CVS
05/21/20,62.95,63.93,62.73,63.34,5484094,CVS
05/20/20,64.1,64.33,62.99,63.22,7046547,CVS
05/19/20,63.3,64.18,62.865,63.61,5061128,CVS
05/18/20,64.47,64.86,63.67,63.73,6820251,CVS
05/15/20,61.77,63.3,61.71,63.19,10420600,CVS
05/14/20,62.31,62.41,60.34,62.31,8854939,CVS
05/13/20,63.28,63.4999,60.755,61.15,10931410,CVS
05/12/20,64.2,64.57,63.05,63.35,10781910,CVS
05/11/20,62.71,64.079,62.68,63.84,6912066,CVS
05/08/20,62.16,63.23,61.76,63.12,7322623,CVS
05/07/20,61.36,61.7916,60.85,61.45,9783735,CVS
05/06/20,63.43,63.49,60.26,60.41,16385980,CVS
05/05/20,60.63,61.61,60.35,61.21,7846516,CVS
05/04/20,59.16,60.13,58.9402,59.95,6371984,CVS
05/01/20,60.79,60.8,59.27,59.7,7715807,CVS
04/30/20,62.35,62.68,61.41,61.55,7361358,CVS
04/29/20,63.52,64.05,62.5201,62.61,7689346,CVS
04/28/20,65.0,65.0,62.78,63.24,7346584,CVS
04/27/20,62.98,63.83,62.81,63.5,6728239,CVS
04/24/20,61.34,62.7,60.98,62.31,6098308,CVS
04/23/20,60.89,62.23,60.86,61.28,6053368,CVS
04/22/20,60.79,60.99,60.08,60.35,5742170,CVS
04/21/20,61.51,61.71,59.97,60.25,8569679,CVS
04/20/20,62.75,63.685,62.16,62.34,8217900,CVS
04/17/20,64.01,64.25,62.3531,63.36,8006340,CVS
04/16/20,60.84,62.8927,60.43,62.56,11098640,CVS
04/15/20,60.65,60.928000000000004,59.45,60.56,9272759,CVS
04/14/20,59.88,61.67,59.67,61.56,8254165,CVS
04/13/20,60.5,61.2641,58.12,58.96,9990309,CVS
04/09/20,59.52,61.45,59.32,60.47,9169438,CVS
04/08/20,57.33,59.82,56.8486,59.41,8559753,CVS
04/07/20,57.9,58.52,56.16,56.87,12324060,CVS
04/06/20,57.77,57.92,55.78,56.22,11700000,CVS
04/03/20,55.22,56.6,54.35,55.72,8792991,CVS
04/02/20,56.77,56.98,54.07,55.41,16796350,CVS
04/01/20,57.75,58.87,57.2,58.34,11474400,CVS
03/31/20,59.18,59.84,58.18,59.33,11023180,CVS
03/30/20,58.92,60.4,57.78,59.68,12939180,CVS
03/27/20,56.75,59.78,55.82,58.6,15034010,CVS
03/26/20,53.65,58.45,52.28,58.31,23198311,CVS
03/25/20,54.4,57.53,52.71,53.64,19601471,CVS
03/24/20,55.13,55.64,52.86,54.35,19331510,CVS
03/23/20,53.86,54.97,52.04,53.09,16336820,CVS
03/20/20,55.81,56.78,53.53,54.7,15682300,CVS
03/19/20,56.8,59.11,54.14,55.38,16247070,CVS
