Date, Open, High, Low, Close, Volume,ticker
12/24/20,85.93,85.93,84.81,85.33,3335646,CVX
12/23/20,85.0,86.66,85.0,85.69,7223112,CVX
12/22/20,85.44,85.8,84.3,84.36,8589973,CVX
12/21/20,84.35,86.835,83.53,86.09,11430470,CVX
12/18/20,87.98,88.71,86.26,87.19,27427609,CVX
12/17/20,89.54,89.55,87.55,88.41,11748930,CVX
12/16/20,89.2,89.35,87.85,88.69,9892928,CVX
12/15/20,89.42,90.48,88.77,89.37,11782520,CVX
12/14/20,93.4,93.7,89.24,89.44,12198390,CVX
12/11/20,92.525,93.28,91.03,92.45,9584454,CVX
12/10/20,91.55,94.56,90.7756,93.35,11992090,CVX
12/09/20,92.2,93.02,89.37,90.44,11129430,CVX
12/08/20,90.34,92.4623,90.1887,91.54,7627316,CVX
12/07/20,91.82,92.38,89.88,90.76,9398377,CVX
12/04/20,91.22,93.45,90.92,93.28,10791110,CVX
12/03/20,90.58,91.11,89.07,89.8,8249758,CVX
12/02/20,87.26,91.31,87.1003,89.87,10509610,CVX
12/01/20,89.28,89.71,87.07,87.45,9915692,CVX
11/30/20,90.01,90.85,86.9,87.18,14288410,CVX
11/27/20,91.33,92.59,90.54,91.31,4627670,CVX
11/25/20,94.68,94.68,92.14,92.14,10556560,CVX
11/24/20,93.39,95.82,93.0,95.62,17266430,CVX
11/23/20,87.45,91.58,86.76,91.03,13387120,CVX
11/20/20,85.72,86.31,84.88,85.79,8296993,CVX
11/19/20,83.545,85.96,83.06,85.73,8820183,CVX
11/18/20,87.37,87.9,84.25,84.28,10583710,CVX
11/17/20,86.4,87.53,84.83,87.04,14329010,CVX
11/16/20,86.24,89.18,85.54,88.96,18980211,CVX
11/13/20,81.15,83.3482,81.03,83.03,10898830,CVX
11/12/20,80.98,82.24,79.905,80.67,8929433,CVX
11/11/20,84.1,84.49,81.8,82.46,11640580,CVX
11/10/20,81.14,83.15,79.7063,83.07,15039670,CVX
11/09/20,80.0,84.27,78.26,79.4,24015180,CVX
