Date, Open, High, Low, Close, Volume,ticker
12/24/20,267.93,269.58,267.315,269.21,289945,DE
12/23/20,270.68,271.38,267.83,267.94,938783,DE
12/22/20,267.58,270.58,265.23,269.26,1535405,DE
12/21/20,265.92,272.0,265.58,267.75,2147346,DE
12/18/20,265.0,271.45,264.56,270.7,3274395,DE
12/17/20,263.03,264.64,261.5424,264.53,1525282,DE
12/16/20,261.84,262.38,259.635,261.12,1210787,DE
12/15/20,256.33,264.11,255.98,261.99,2083375,DE
12/14/20,258.0,258.75,252.51,252.72,972882,DE
12/11/20,251.44,256.0,250.82,255.77,1403717,DE
12/10/20,253.59,254.24,250.615,253.45,1158927,DE
12/09/20,252.5,255.5,251.6,254.83,1373929,DE
12/08/20,253.12,254.84,251.27,252.6,1303641,DE
12/07/20,253.13,253.5,250.5425,252.01,1598433,DE
12/04/20,253.86,255.75,252.79,253.39,1655180,DE
12/03/20,258.49,259.81,251.93,252.68,2080076,DE
12/02/20,255.13,260.435,254.39,259.0,2773408,DE
12/01/20,263.22,265.35,255.12,255.13,2087627,DE
11/30/20,262.94,264.2292,258.1083,261.62,2342210,DE
11/27/20,258.62,262.2,258.15,261.95,1072234,DE
11/25/20,263.01,265.8673,254.51,256.43,3037881,DE
11/24/20,263.65,264.17,260.01,261.51,2345332,DE
11/23/20,260.7,262.76,260.16,261.11,2099979,DE
11/20/20,256.64,259.66,255.5,258.56,1615146,DE
11/19/20,257.29,259.53,255.0,255.59,1700393,DE
11/18/20,258.44,260.6,257.25,257.33,1618516,DE
11/17/20,256.5,259.72,253.5,258.21,1411215,DE
11/16/20,255.0,260.34,253.61,259.1,1927580,DE
11/13/20,250.82,252.5904,249.08,251.79,977668,DE
11/12/20,250.85,252.203,246.87,248.01,1275729,DE
11/11/20,253.96,254.27,245.955,249.35,1658970,DE
11/10/20,249.49,256.9,249.49,253.97,1852805,DE
11/09/20,260.59,265.87,248.35,248.87,2219604,DE
11/06/20,246.58,250.365,246.11,247.64,1481737,DE
11/05/20,237.82,247.09,237.33,246.02,2032178,DE
11/04/20,237.4,240.0,233.2,233.3,1992678,DE
11/03/20,235.61,241.62,234.42,239.96,1571789,DE
11/02/20,228.49,232.24,227.5,231.7,1435930,DE
10/30/20,227.63,228.59,222.61,225.91,1306183,DE
10/29/20,222.07,229.81,221.73,228.02,1190731,DE
10/28/20,225.0,227.5,222.51,223.37,1375301,DE
10/27/20,234.2,234.59,228.0,228.51,1395734,DE
10/26/20,237.1,237.49,231.745,234.25,1010501,DE
10/23/20,237.12,240.0,237.12,239.53,820498,DE
10/22/20,236.06,238.0,234.88,236.88,1246389,DE
10/21/20,239.52,241.92,236.06,236.4,1506494,DE
10/20/20,239.8,242.035,237.76,238.87,969001,DE
10/19/20,240.25,242.9,237.11,238.17,905592,DE
10/16/20,240.0,243.4,239.71,240.06,1652689,DE
10/15/20,234.66,239.35,234.365,238.24,1225180,DE
10/14/20,237.39,240.66,237.09,238.47,1062545,DE
10/13/20,236.14,237.58,234.49,237.22,1311422,DE
10/12/20,237.14,237.61,235.0725,236.52,1234788,DE
10/09/20,235.02,237.01,233.58,234.81,1091540,DE
10/08/20,230.99,234.81,230.71,234.24,1148436,DE
10/07/20,229.27,232.53,228.105,230.57,1029194,DE
10/06/20,227.27,230.64,226.0101,226.12,1385895,DE
10/05/20,227.26,231.12,224.85,226.96,2071483,DE
10/02/20,215.25,226.52,215.02,224.79,1403675,DE
10/01/20,223.5,223.78,218.57,219.04,1383845,DE
09/30/20,221.38,226.06,220.235,221.63,1883964,DE
09/29/20,221.65,222.39,218.07,220.18,903349,DE
09/28/20,222.06,224.3565,221.5,221.9,1191484,DE
09/25/20,214.95,220.93,214.83,219.25,1225484,DE
09/24/20,213.7,219.38,211.38,216.52,1025931,DE
09/23/20,217.58,220.67,214.38,214.55,1683466,DE
09/22/20,215.09,219.06,214.53,217.58,1622567,DE
09/21/20,216.25,217.45,210.175,214.21,2134052,DE
09/18/20,219.47,225.38,219.45,221.97,3063663,DE
09/17/20,213.8,221.6,212.0105,219.94,2094331,DE
09/16/20,217.16,218.92,214.86,215.4,1573006,DE
09/15/20,219.81,220.96,215.19,215.77,1740236,DE
09/14/20,217.9,219.12,216.7,218.33,1249318,DE
09/11/20,214.13,218.507,213.0,215.96,1902364,DE
09/10/20,215.92,218.23,213.61,215.11,1840588,DE
09/09/20,210.86,217.3,210.86,215.52,1569294,DE
09/08/20,209.86,213.24,207.97,210.24,1918482,DE
09/04/20,213.19,214.0,208.18,211.34,1662351,DE
09/03/20,217.27,218.73,209.07,210.81,1975367,DE
09/02/20,218.24,219.71,215.67,217.11,1983120,DE
09/01/20,208.52,217.72,208.27,217.69,1873548,DE
08/31/20,210.0,211.43,207.77,210.06,1944497,DE
08/28/20,210.33,210.8,208.745,209.9,1261483,DE
08/27/20,211.16,212.4522,208.82,209.83,1875503,DE
08/26/20,206.59,212.29,204.76,211.01,2040293,DE
08/25/20,206.0,209.4,205.35,205.6,2707075,DE
08/24/20,204.37,206.48,202.66,205.4,3177982,DE
08/21/20,196.76,202.95,196.0,199.5,6446260,DE
08/20/20,190.21,192.05,189.38,191.1,1558667,DE
08/19/20,193.0,194.6,191.94,191.99,1512676,DE
08/18/20,193.81,194.82,191.895,192.13,1120968,DE
08/17/20,193.25,194.24,191.2,192.99,1026228,DE
08/14/20,189.22,193.21,188.43,191.13,900649,DE
08/13/20,188.55,191.17,188.45,189.5,1324832,DE
08/12/20,191.29,192.82,189.59,192.31,1628997,DE
08/11/20,192.3,195.85,192.205,193.22,1909915,DE
08/10/20,185.0,191.35,184.4,189.91,2631056,DE
08/07/20,181.41,183.71,179.8605,183.5,1254634,DE
08/06/20,182.0,183.24,180.25,181.26,968080,DE
08/05/20,180.0,183.59,179.95,182.82,1366456,DE
08/04/20,176.92,178.88,176.625,178.11,672802,DE
08/03/20,177.38,178.87,175.83,177.62,841234,DE
07/31/20,176.81,176.92,173.36,176.31,1409720,DE
07/30/20,178.21,179.25,176.2752,178.04,1235913,DE
07/29/20,176.71,180.76,176.01,180.25,1886888,DE
07/28/20,174.9,177.14,174.65,175.79,850025,DE
07/27/20,174.69,176.685,172.91,176.0,887263,DE
