Date, Open, High, Low, Close, Volume,ticker
12/24/20,88.61,88.8,87.42,88.29,592612,DFS
12/23/20,87.29,88.92,87.15,88.37,1569554,DFS
12/22/20,86.99,87.645,86.22,86.84,2057851,DFS
12/21/20,86.27,88.1275,85.21,87.03,3128934,DFS
12/18/20,87.38,88.2,84.95,85.99,5843521,DFS
12/17/20,86.57,87.59,85.89,87.48,2375194,DFS
12/16/20,85.26,86.53,83.92,86.35,2335596,DFS
12/15/20,83.66,85.42,81.93,85.36,2140101,DFS
12/14/20,84.83,85.08,82.05,82.63,3313007,DFS
12/11/20,82.64,84.01,81.935,83.46,4025868,DFS
12/10/20,81.99,84.41,81.0401,84.16,3327717,DFS
12/09/20,82.88,83.395,82.115,83.19,2174105,DFS
12/08/20,81.24,82.7,81.2,81.95,2097982,DFS
12/07/20,82.21,82.915,81.32,82.45,2253710,DFS
12/04/20,81.88,82.79,81.0,82.7,2076204,DFS
12/03/20,81.7,82.63,80.06,80.84,2610825,DFS
12/02/20,79.33,82.5,79.27,81.69,2439242,DFS
12/01/20,78.33,81.0,78.21,80.15,2958308,DFS
11/30/20,77.86,79.13,76.0,76.17,3551229,DFS
11/27/20,78.7,79.24,78.36,78.87,1037699,DFS
11/25/20,80.3,80.5541,78.7,79.29,3247078,DFS
11/24/20,79.99,81.74,79.85,81.6,3118810,DFS
11/23/20,76.28,78.49,75.88,78.12,1824828,DFS
11/20/20,76.32,76.465,74.78,74.8,1737877,DFS
11/19/20,74.94,77.0973,74.0,76.76,2325685,DFS
11/18/20,77.11,79.18,76.02,76.08,3408570,DFS
11/17/20,76.52,77.44,74.45,77.1,3489990,DFS
11/16/20,79.0,79.515,76.93,77.77,2211202,DFS
11/13/20,73.85,77.0,73.57,76.61,1690167,DFS
11/12/20,73.0,74.19,72.67,73.39,2804769,DFS
11/11/20,76.14,76.53,72.57,74.25,3033892,DFS
11/10/20,76.49,78.6,75.85,76.34,3321713,DFS
11/09/20,75.0,78.79,74.64,76.19,5127047,DFS
11/06/20,68.93,69.08,67.38,67.91,1813145,DFS
11/05/20,68.66,69.81,68.34,68.5,2886443,DFS
11/04/20,67.43,69.79,65.32,67.87,3086640,DFS
11/03/20,68.69,69.94,68.24,69.36,2602134,DFS
11/02/20,65.86,67.57,65.46,67.21,3432847,DFS
10/30/20,63.43,65.11,62.64,65.01,3631728,DFS
10/29/20,61.89,64.35,61.6,64.01,2214165,DFS
10/28/20,63.04,64.2175,62.27,62.53,3307596,DFS
10/27/20,65.63,66.4096,65.06,65.26,3804352,DFS
10/26/20,66.57,67.0,64.9,65.88,4362638,DFS
10/23/20,67.08,68.67,66.37,68.0,4502760,DFS
10/22/20,65.36,67.12,63.86,66.16,6869056,DFS
10/21/20,62.87,63.04,60.42,60.6,4483978,DFS
10/20/20,64.29,64.64,62.79,63.0,2369522,DFS
10/19/20,65.5,65.87,63.29,63.56,2009212,DFS
10/16/20,65.0,66.235,64.52,65.48,2340998,DFS
10/15/20,63.43,64.83,62.31,64.59,2225606,DFS
10/14/20,64.42,65.46,64.03,64.33,1661080,DFS
10/13/20,63.72,64.91,63.37,64.13,1909956,DFS
10/12/20,65.0,65.29,64.13,64.63,1829020,DFS
10/09/20,66.2,66.33,64.3873,64.89,2097494,DFS
10/08/20,64.35,65.95,63.49,65.41,2931276,DFS
10/07/20,62.29,64.08,62.29,63.72,2733582,DFS
10/06/20,63.91,64.37,60.42,61.1,3266451,DFS
10/05/20,62.1,63.6,61.13,63.17,2791057,DFS
10/02/20,57.56,61.11,56.94,60.92,3307844,DFS
10/01/20,57.63,58.93,57.24,58.91,2721207,DFS
09/30/20,56.1,58.63,56.1,57.78,4271253,DFS
09/29/20,56.26,57.03,55.25,55.64,2283913,DFS
09/28/20,55.79,57.28,55.47,56.46,3822274,DFS
09/25/20,52.66,54.51,52.61,54.13,1607252,DFS
09/24/20,53.08,54.19,51.74,53.14,1687298,DFS
09/23/20,54.79,56.03,53.15,53.23,2120056,DFS
09/22/20,54.69,55.32,52.78,54.52,4954960,DFS
09/21/20,56.44,57.09,54.61,55.02,4310778,DFS
09/18/20,59.33,60.21,58.55,59.03,4608475,DFS
09/17/20,58.3,60.1,57.91,59.54,4110156,DFS
09/16/20,57.23,60.45,56.68,59.22,4180643,DFS
09/15/20,58.11,59.54,56.86,57.05,3556916,DFS
