Date, Open, High, Low, Close, Volume,ticker
12/24/20,211.35,212.35,210.64,211.28,535702,DG
12/23/20,211.86,213.34,211.02,211.17,1691284,DG
12/22/20,212.04,213.5,210.825,213.07,1705692,DG
12/21/20,209.0,212.2,206.82,210.96,1996811,DG
12/18/20,212.87,213.26,209.96,210.48,4192640,DG
12/17/20,212.01,213.37,211.47,212.55,1670062,DG
12/16/20,207.95,212.25,207.76,211.02,1710392,DG
12/15/20,206.6,208.97,205.88,207.78,2247828,DG
12/14/20,206.8,207.7,205.62,205.9,1858460,DG
12/11/20,206.15,207.815,205.685,206.61,1745521,DG
12/10/20,208.44,208.93,205.26,205.87,2264130,DG
12/09/20,211.5,212.2099,206.11,208.98,2347421,DG
12/08/20,212.15,212.85,210.19,211.37,1691540,DG
12/07/20,214.01,217.21,211.93,213.36,1962141,DG
12/04/20,214.2,215.87,212.19,213.43,1867160,DG
12/03/20,213.48,216.0,211.5,214.49,3042604,DG
12/02/20,219.09,219.48,216.55,217.54,1756603,DG
12/01/20,218.89,221.67,218.08,219.84,2028785,DG
11/30/20,218.51,218.94,214.321,218.58,2911392,DG
11/27/20,216.93,218.255,216.33,218.01,723045,DG
11/25/20,213.75,217.49,213.04,217.0,1363383,DG
11/24/20,212.01,214.44,211.71,212.98,1723622,DG
11/23/20,211.36,212.73,210.265,211.04,1456325,DG
11/20/20,211.01,213.29,210.07,210.23,1435053,DG
11/19/20,209.01,211.89,207.5,211.21,1837856,DG
11/18/20,208.93,211.57,206.3,208.57,1843276,DG
11/17/20,212.0,212.42,208.42,208.75,2241731,DG
11/16/20,214.3,215.5,212.5,213.09,1769185,DG
11/13/20,213.85,215.22,211.68,213.9,1232149,DG
11/12/20,214.0,214.02,209.7227,212.78,1442338,DG
11/11/20,211.5,216.57,211.5,213.57,1507634,DG
11/10/20,210.98,213.99,208.25,210.56,1879020,DG
11/09/20,224.87,225.25,210.24,210.49,2640582,DG
11/06/20,218.33,222.07,216.62,221.4,926200,DG
11/05/20,219.0,220.6,216.07,218.01,1406710,DG
11/04/20,216.77,219.48,214.66,216.23,1646188,DG
11/03/20,211.3,216.905,211.1629,214.1,1452508,DG
11/02/20,209.75,212.11,207.09,209.52,1550185,DG
10/30/20,210.0,211.24,206.14,208.71,1830217,DG
10/29/20,210.81,212.8,209.62,210.73,1251073,DG
10/28/20,212.18,215.33,210.04,211.02,1568538,DG
10/27/20,212.5,214.72,211.7,213.71,1073746,DG
10/26/20,214.02,214.83,209.64,212.04,1194737,DG
10/23/20,214.07,215.825,212.7101,215.44,1333683,DG
10/22/20,218.88,219.48,213.8,214.32,1345521,DG
10/21/20,217.83,221.715,217.83,219.86,1758589,DG
10/20/20,218.07,220.26,217.41,217.78,1056182,DG
10/19/20,222.43,224.07,217.38,218.07,1558915,DG
10/16/20,224.03,224.815,221.71,221.71,1604191,DG
10/15/20,219.94,223.65,219.14,222.87,1498009,DG
10/14/20,222.7,222.775,219.75,220.1,1178679,DG
10/13/20,220.7,223.94,220.7,223.0,1122628,DG
10/12/20,222.12,222.505,220.0,220.56,1505691,DG
10/09/20,219.85,222.78,219.72,220.98,1301673,DG
10/08/20,216.66,219.4,215.9,218.88,1412156,DG
10/07/20,213.87,215.73,213.6,214.53,1572940,DG
10/06/20,214.5,216.48,211.57,212.29,1670258,DG
10/05/20,212.0,213.58,210.82,213.19,1315768,DG
10/02/20,209.79,212.68,209.555,211.52,1302616,DG
10/01/20,211.26,213.92,210.97,211.52,1829295,DG
09/30/20,210.33,211.64,208.35,209.62,1707664,DG
09/29/20,209.5,211.98,209.25,209.64,1289502,DG
09/28/20,208.72,210.89,206.1901,209.8,1528269,DG
09/25/20,205.11,209.34,204.35,208.39,1160471,DG
09/24/20,204.22,206.29,202.58,205.02,1407592,DG
09/23/20,208.44,209.86,203.83,204.22,1893012,DG
09/22/20,202.31,208.96,202.31,208.34,1857466,DG
09/21/20,206.92,207.36,202.31,202.94,2316366,DG
09/18/20,204.32,208.99,203.74,208.1,3920136,DG
09/17/20,200.62,204.13,200.5,203.5,1934658,DG
09/16/20,203.9,204.88,202.4,202.75,1857129,DG
09/15/20,202.57,203.93,201.7947,202.87,1526271,DG
09/14/20,201.13,203.75,200.81,202.11,1977451,DG
09/11/20,197.98,200.94,197.91,200.5,1676913,DG
09/10/20,197.45,200.35,196.73,197.12,1829597,DG
09/09/20,193.35,198.91,193.2,197.45,1714737,DG
09/08/20,194.13,195.705,190.76,192.4,2235951,DG
09/04/20,196.97,198.17,191.47,195.72,1777189,DG
09/03/20,203.39,203.688,196.04,196.8,2163424,DG
09/02/20,200.0,204.99,197.76,204.1,2416587,DG
09/01/20,201.6,203.0825,199.79,199.9,1748225,DG
08/31/20,200.93,203.49,199.85,201.88,2112880,DG
08/28/20,202.25,202.96,198.56,200.39,2232241,DG
08/27/20,206.0,206.98,199.55,201.34,3846319,DG
08/26/20,198.74,204.66,198.56,204.09,2407460,DG
08/25/20,199.13,199.57,197.51,198.66,1552570,DG
08/24/20,201.0,201.18,198.01,198.32,2686843,DG
