Date, Open, High, Low, Close, Volume,ticker
12/24/20,173.99,174.5799,172.38,173.73,2720964,DIS
12/23/20,172.96,175.95,172.3,173.55,9994045,DIS
12/22/20,170.0,171.45,169.16,170.45,6424901,DIS
12/21/20,170.09,171.94,168.19,170.69,11424230,DIS
12/18/20,173.6,175.843,172.28,172.89,21172080,DIS
12/17/20,173.815,174.84,171.96,173.55,9004574,DIS
12/16/20,173.99,174.85,171.6226,173.12,11105790,DIS
12/15/20,170.49,174.4699,167.8201,173.94,18817189,DIS
12/14/20,173.8,177.3,168.81,169.3,30939391,DIS
12/11/20,169.675,179.45,165.33,175.72,87410703,DIS
12/10/20,153.32,155.34,152.5,154.69,8993216,DIS
12/09/20,156.29,157.46,153.89,154.43,10804340,DIS
12/08/20,152.42,154.88,152.2505,153.72,7900575,DIS
12/07/20,153.18,153.88,152.26,153.68,6815460,DIS
12/04/20,153.69,154.68,152.81,154.14,6033271,DIS
12/03/20,153.45,154.4399,152.13,153.24,9063241,DIS
12/02/20,149.49,154.01,148.34,153.61,10601880,DIS
12/01/20,149.57,151.4,149.0,149.44,8827829,DIS
11/30/20,147.06,148.69,146.29,148.01,9710134,DIS
11/27/20,149.0,150.3499,146.53,147.13,5306365,DIS
11/25/20,150.27,150.27,147.235,149.09,9551978,DIS
11/24/20,148.16,151.86,147.849,151.49,16711740,DIS
11/23/20,142.45,147.75,141.7,145.98,12887050,DIS
11/20/20,141.71,142.61,140.86,141.07,8485920,DIS
11/19/20,142.57,143.2996,141.7,141.72,8892462,DIS
11/18/20,144.5,145.48,143.35,143.9,9456229,DIS
11/17/20,144.4,144.83,142.56,144.5,9354936,DIS
11/16/20,141.57,144.74,141.57,144.67,16382490,DIS
11/13/20,140.9,141.19,136.52,138.36,21074461,DIS
11/12/20,136.34,138.49,134.105,135.52,13893300,DIS
11/11/20,141.47,142.0,136.62,137.82,9600863,DIS
11/10/20,139.97,142.37,137.67,142.11,18115410,DIS
11/09/20,140.26,147.68,138.065,142.59,35634680,DIS
11/06/20,126.255,128.04,124.6147,127.46,6259697,DIS
11/05/20,126.78,128.62,125.8,126.96,7654761,DIS
11/04/20,123.58,126.86,123.41,125.07,7483043,DIS
11/03/20,121.605,125.07,121.37,124.02,8144940,DIS
11/02/20,122.24,122.93,119.81,120.13,9186007,DIS
10/30/20,120.64,121.75,119.0881,121.25,8098891,DIS
10/29/20,118.16,122.63,117.23,121.54,9583749,DIS
10/28/20,121.01,121.53,118.32,118.47,11654680,DIS
10/27/20,124.03,124.61,123.03,123.31,6813840,DIS
10/26/20,127.11,127.11,122.95,124.06,8578901,DIS
10/23/20,128.1,128.5,126.35,128.35,5439906,DIS
10/22/20,126.67,128.1,125.97,127.56,5180071,DIS
10/21/20,124.36,127.56,123.835,126.63,6591520,DIS
10/20/20,124.58,125.73,123.64,124.95,6166070,DIS
10/19/20,127.37,127.4,123.71,124.23,6576923,DIS
10/16/20,127.81,128.12,126.33,126.81,6295112,DIS
10/15/20,125.0,127.4,124.43,127.36,7748617,DIS
10/14/20,129.14,129.5,125.29,126.59,11536580,DIS
10/13/20,129.8,131.36,127.9,128.96,22388971,DIS
10/12/20,124.9,125.94,123.73,124.97,10958230,DIS
10/09/20,123.85,125.5495,123.33,124.98,11502210,DIS
10/08/20,123.58,123.75,122.4201,123.09,7404570,DIS
10/07/20,121.95,123.3098,120.93,122.91,10187810,DIS
10/06/20,123.13,124.19,120.61,120.93,9051995,DIS
10/05/20,123.26,123.595,122.33,123.37,5919150,DIS
10/02/20,121.99,123.6775,121.69,122.55,6490237,DIS
10/01/20,124.94,125.47,122.42,123.31,8908316,DIS
09/30/20,123.24,125.55,123.24,124.08,13642450,DIS
09/29/20,125.92,126.29,123.675,125.4,7432567,DIS
09/28/20,125.75,126.86,125.37,125.99,6283678,DIS
09/25/20,121.36,124.19,120.98,124.0,6851806,DIS
09/24/20,121.93,123.8,120.78,122.49,8479997,DIS
09/23/20,127.07,127.3,122.90100000000001,123.28,8323568,DIS
09/22/20,125.26,127.47,124.7,127.21,6978779,DIS
09/21/20,125.98,126.8858,123.59,125.41,10352690,DIS
09/18/20,129.5,130.79,128.1201,128.63,9916267,DIS
09/17/20,130.55,131.77,128.6,130.22,6723544,DIS
09/16/20,132.17,133.62,131.4,132.09,6605949,DIS
09/15/20,131.46,132.54,131.005,131.24,7289104,DIS
09/14/20,132.53,132.93,130.904,131.25,8391896,DIS
09/11/20,133.74,133.74,131.09,131.75,7165255,DIS
09/10/20,133.58,136.75,132.74,133.22,9853420,DIS
09/09/20,134.28,135.55,132.26,133.36,8891787,DIS
09/08/20,131.99,137.14,130.86,134.2,17257350,DIS
09/04/20,133.75,134.88,129.42,131.99,11248300,DIS
09/03/20,135.24,137.2374,132.02,133.24,12079180,DIS
09/02/20,133.63,135.92,133.264,135.39,8187761,DIS
09/01/20,131.92,133.61,130.89,133.55,8344079,DIS
08/31/20,135.25,135.54,131.25,131.87,11617510,DIS
08/28/20,134.5,136.8,133.5801,135.54,11020070,DIS
08/27/20,133.0,136.36,132.82,133.73,13667640,DIS
08/26/20,130.0,132.6,129.52,132.18,8447779,DIS
08/25/20,130.83,131.09,129.31,129.79,5494391,DIS
08/24/20,128.15,130.88,127.93,130.69,7613610,DIS
08/21/20,127.72,128.31,127.23,127.44,6064709,DIS
08/20/20,126.8,128.45,126.53,128.12,4918122,DIS
08/19/20,129.25,130.2166,127.43,127.77,7624193,DIS
08/18/20,129.44,129.59,128.36,128.92,6714570,DIS
08/17/20,130.1,130.1371,128.54,129.37,7492155,DIS
08/14/20,130.01,131.08,129.74,130.53,6507571,DIS
08/13/20,130.64,132.35,130.45,130.96,6468610,DIS
08/12/20,130.67,133.0,130.49,131.79,12205200,DIS
08/11/20,130.53,132.76,130.0,130.49,13885680,DIS
08/10/20,129.75,131.32,128.49,128.79,8529151,DIS
08/07/20,130.22,131.94,128.66,129.93,16088580,DIS
08/06/20,126.96,131.63,125.61,130.82,27238000,DIS
08/05/20,123.37,130.31,123.28,127.61,53122391,DIS
08/04/20,115.96,118.35,115.76,117.29,17293920,DIS
08/03/20,116.17,117.12,115.35,116.35,10229170,DIS
07/31/20,115.22,117.05,114.12,116.94,9623821,DIS
07/30/20,114.91,116.29,113.37,115.66,9713524,DIS
07/29/20,116.22,116.71,115.11,115.61,9496463,DIS
07/28/20,115.46,116.84,114.68,116.18,6821077,DIS
07/27/20,117.2,117.42,115.6842,116.31,9412967,DIS
07/24/20,115.7,118.21,115.53,117.61,8233263,DIS
07/23/20,118.86,119.35,117.01,118.12,7255832,DIS
07/22/20,118.19,119.3,117.925,119.03,7063295,DIS
07/21/20,118.05,120.39,117.66,118.62,8955973,DIS
07/20/20,118.05,118.485,116.82,117.79,8947906,DIS
07/17/20,118.9,119.56,117.06,118.65,9848857,DIS
07/16/20,117.72,119.99,117.6,119.43,10210150,DIS
07/15/20,121.63,122.09,119.7,120.9,15314200,DIS
07/14/20,115.23,119.08,114.54,118.66,12425140,DIS
07/13/20,119.94,120.13,115.89,116.22,15620190,DIS
07/10/20,116.83,119.4394,116.21,119.34,14207920,DIS
07/09/20,116.51,117.85,115.38,116.81,13582870,DIS
07/08/20,113.48,117.1299,112.81,116.66,13629530,DIS
07/07/20,113.63,115.08,112.61,113.63,10836470,DIS
07/06/20,113.83,114.53,112.9,114.43,11933430,DIS
07/02/20,115.0,115.1,112.0,112.18,10311970,DIS
07/01/20,112.82,115.6,112.29,113.01,11930870,DIS
06/30/20,111.5,112.05,109.93,111.51,10565920,DIS
06/29/20,109.0,111.57,108.1001,111.52,12584330,DIS
06/26/20,110.95,111.2,108.0221,109.1,15270850,DIS
06/25/20,108.99,111.51,108.5,111.36,17240439,DIS
06/24/20,115.85,116.0,110.03,112.07,22252539,DIS
06/23/20,116.96,117.45,115.97,116.59,10187620,DIS
06/22/20,114.19,116.1925,113.11,115.92,12868010,DIS
06/19/20,119.98,120.12,114.35,114.35,23496270,DIS
06/18/20,116.88,118.53,115.93,118.37,9577324,DIS
06/17/20,118.64,119.23,117.14,117.65,8921557,DIS
06/16/20,121.24,121.5,116.05,118.44,12951190,DIS
06/15/20,112.08,118.12,111.71,117.08,14156380,DIS
06/12/20,115.17,117.0,112.89,115.49,18361939,DIS
06/11/20,117.6,118.0,112.25,112.64,26078850,DIS
06/10/20,124.02,124.1,120.93,122.18,11497110,DIS
06/09/20,125.63,125.79,123.51,123.89,10882800,DIS
06/08/20,125.1,127.44,123.94,127.28,13858100,DIS
06/05/20,126.31,127.82,124.28,124.82,16581600,DIS
06/04/20,121.95,124.5,121.85,123.69,14195120,DIS
06/03/20,119.99,122.45,119.3201,122.18,12584300,DIS
06/02/20,119.0,119.85,117.83,118.75,10753110,DIS
06/01/20,117.26,119.6498,116.93,118.77,10548790,DIS
05/29/20,116.19,117.75,114.12,117.3,17845760,DIS
05/28/20,121.6,121.98,116.0,116.75,18625660,DIS
05/27/20,123.68,123.78,119.7112,121.53,19345391,DIS
05/26/20,121.05,122.505,120.43,120.95,16466400,DIS
05/22/20,117.5,118.57,116.83,118.02,9288238,DIS
05/21/20,119.34,120.3,116.5,117.83,17578301,DIS
05/20/20,116.42,120.87,116.04,119.92,25749910,DIS
05/19/20,115.1,116.47,113.42,114.37,20332580,DIS
05/18/20,114.47,119.78,114.47,116.85,40075680,DIS
05/15/20,104.98,109.38,104.27,109.05,29765971,DIS
05/14/20,101.98,105.92,99.6587,105.91,22002221,DIS
05/13/20,104.5,104.54,101.6,102.92,21085770,DIS
05/12/20,109.06,109.44,104.49,104.56,17049740,DIS
05/11/20,108.4,108.805,106.41,107.77,20555869,DIS
05/08/20,109.05,109.18,106.63,109.16,24101680,DIS
05/07/20,101.85,105.61,101.83,105.57,20868770,DIS
05/06/20,101.48,105.27,98.86,100.88,51992367,DIS
05/05/20,101.51,105.18,100.9,101.06,30169820,DIS
05/04/20,102.01,103.83,100.55,103.18,19514840,DIS
05/01/20,106.36,106.91,104.47,105.5,13209150,DIS
04/30/20,109.44,110.31,106.86,108.15,18638721,DIS
04/29/20,109.94,112.7,108.56,112.25,20139801,DIS
04/28/20,108.79,110.06,105.98,106.21,16503670,DIS
04/27/20,102.0,106.52,101.61,106.06,15518290,DIS
04/24/20,101.78,101.92,99.52,101.19,13621100,DIS
04/23/20,100.65,102.5299,99.46,101.0,17132150,DIS
04/22/20,101.8,102.63,100.89,100.99,11491990,DIS
04/21/20,100.01,101.51,99.13,100.54,16101430,DIS
04/20/20,103.58,104.86,102.0,102.26,17020980,DIS
04/17/20,106.21,106.79,104.35,106.63,17926939,DIS
04/16/20,103.53,103.7198,100.89,102.02,18029330,DIS
04/15/20,104.39,104.88,102.7,103.37,14157640,DIS
04/14/20,105.5,107.64,103.9,106.03,19866910,DIS
04/13/20,104.71,104.87,99.61,103.5,17305980,DIS
04/09/20,107.92,107.99,103.53,104.5,31485590,DIS
04/08/20,100.53,102.35,98.65,101.07,22562539,DIS
04/07/20,104.86,105.89,100.25,101.24,22899570,DIS
04/06/20,97.26,100.19,94.52,99.58,20353500,DIS
04/03/20,96.31,96.92,92.71,93.88,14814620,DIS
04/02/20,94.2,97.255,94.2,96.97,13936520,DIS
04/01/20,93.5,97.4,92.56,94.92,18303939,DIS
03/31/20,100.22,103.16,96.16,96.6,21563221,DIS
03/30/20,96.0,100.46,92.1,99.8,23119211,DIS
03/27/20,100.45,101.49,95.54,96.4,30591529,DIS
03/26/20,100.83,107.7319,100.8,105.36,24532410,DIS
03/25/20,100.66,105.9199,95.51,100.73,28533051,DIS
03/24/20,92.33,99.16799999999999,91.8,98.12,32538100,DIS
03/23/20,84.49,87.28,81.09,85.76,32246580,DIS
03/20/20,95.99,96.99,85.84,85.98,31957770,DIS
03/19/20,88.0,97.4,85.11,94.93,30866820,DIS
03/18/20,87.59,89.34,79.07,88.8,43592473,DIS
03/17/20,95.8,97.4604,91.15,93.53,27526240,DIS
03/16/20,91.8,98.28,90.0,95.01,35379527,DIS
03/13/20,100.78,102.87,92.25,102.52,40960059,DIS
03/12/20,97.62,100.0,91.64,91.81,40392871,DIS
03/11/20,108.42,108.9,102.86,105.51,24794289,DIS
03/10/20,108.1,111.58,102.43,111.46,24083650,DIS
03/09/20,108.69,110.43,104.28,104.35,26233570,DIS
03/06/20,110.76,115.87,110.32,115.27,22899619,DIS
03/05/20,116.86,116.96,112.11,113.98,22397240,DIS
03/04/20,118.96,119.24,115.48,119.18,13842100,DIS
03/03/20,121.15,121.78,115.15,116.45,19529721,DIS
03/02/20,119.13,119.98,116.03,119.98,21775920,DIS
02/28/20,114.51,118.31,113.21,117.65,35453801,DIS
02/27/20,119.81,122.9,117.92,118.04,30827529,DIS
02/26/20,126.12,128.37,122.13,123.36,31227000,DIS
02/25/20,133.75,133.94,127.98,128.19,21032490,DIS
02/24/20,132.9,134.4365,131.21,133.01,19336449,DIS
02/21/20,139.86,139.88,138.58,138.97,7725829,DIS
02/20/20,141.63,141.63,138.85,140.37,5981715,DIS
02/19/20,139.63,141.87,139.23,141.3,7080871,DIS
02/18/20,139.02,139.66,138.1,139.14,8223909,DIS
02/14/20,141.1,141.28,139.13,139.54,9110543,DIS
02/13/20,141.17,141.9,140.82,140.9,7543117,DIS
02/12/20,141.34,142.22,140.87,141.85,8168150,DIS
02/11/20,142.85,142.99,140.46,141.01,10790080,DIS
02/10/20,141.03,142.59,140.46,142.59,8162055,DIS
02/07/20,141.89,141.9895,140.12,141.02,10948880,DIS
02/06/20,141.92,143.945,141.22,142.7,9504618,DIS
02/05/20,146.6,147.3,138.57,141.37,27824119,DIS
02/04/20,145.49,145.59,143.25,144.73,23519730,DIS
02/03/20,139.79,141.82,139.75,141.32,12659960,DIS
01/31/20,138.4,138.67,137.06,138.31,12379080,DIS
01/30/20,135.09,137.85,134.83,137.81,11847330,DIS
01/29/20,138.6,138.68,135.795,136.06,9389202,DIS
01/28/20,136.5,138.93,135.86,138.37,10390020,DIS
01/27/20,135.86,137.73,135.0,135.9,12831820,DIS
01/24/20,141.4,142.25,139.2,140.08,13076330,DIS
01/23/20,143.6,143.61,140.65,142.2,11081970,DIS
01/22/20,144.45,144.79,143.54,144.01,7549950,DIS
01/21/20,144.24,144.59,143.01,143.56,9250157,DIS
01/17/20,145.54,145.64,144.01,144.33,10355330,DIS
01/16/20,145.09,145.43,144.44,145.12,6948369,DIS
01/15/20,145.71,145.71,143.93,144.32,6818180,DIS
01/14/20,143.41,146.72,142.29,145.2,14846350,DIS
01/13/20,144.75,144.75,143.36,143.88,9926387,DIS
01/10/20,145.3,145.5,144.26,144.62,5154850,DIS
01/09/20,146.47,146.625,144.61,144.83,6668201,DIS
01/08/20,145.49,146.13,144.82,145.4,6986395,DIS
01/07/20,145.99,146.8699,145.42,145.7,6972813,DIS
01/06/20,145.54,146.03,144.31,145.65,8268374,DIS
01/03/20,146.4,147.9,146.0549,146.5,7321837,DIS
01/02/20,145.29,148.2,145.1,148.2,9504711,DIS
12/31/19,143.67,144.77,143.26,144.63,5663965,DIS
12/30/19,145.75,145.87,143.4,143.77,6605481,DIS
12/27/19,146.05,146.51,145.45,145.75,5497500,DIS
12/26/19,145.4,145.86,145.17,145.7,4431113,DIS
12/24/19,144.58,145.43,144.45,145.29,3508541,DIS
12/23/19,145.91,146.33,144.33,144.68,9318682,DIS
12/20/19,147.15,147.88,145.77,146.88,12631870,DIS
12/19/19,146.18,146.7973,145.32,146.15,10249310,DIS
12/18/19,147.77,147.95,146.19,146.26,9472498,DIS
12/17/19,148.1,148.46,147.62,147.73,8779665,DIS
12/16/19,147.59,148.65,146.55,148.46,9146339,DIS
12/13/19,147.43,147.8,146.31,146.38,9348850,DIS
12/12/19,147.92,148.93,147.25,147.76,7763316,DIS
12/11/19,147.39,147.89,146.76,147.59,8260750,DIS
12/10/19,145.26,146.85,145.05,146.1,7089746,DIS
12/09/19,147.96,148.515,145.4,146.21,11642040,DIS
12/06/19,148.4,148.6098,147.18,147.66,7087551,DIS
12/05/19,148.69,148.83,147.1,147.44,7369731,DIS
12/04/19,149.3,149.33,148.18,148.28,7686996,DIS
12/03/19,147.74,149.11,146.87,148.58,9392732,DIS
12/02/19,152.94,152.97,149.1,150.62,10365740,DIS
11/29/19,151.48,152.4656,151.01,151.58,6284938,DIS
11/27/19,152.3,152.5693,151.15,151.48,6166318,DIS
11/26/19,151.75,153.41,150.61,151.64,24973010,DIS
11/25/19,148.8,150.21,147.7,149.69,11329310,DIS
11/22/19,147.21,149.44,146.68,148.29,9639428,DIS
11/21/19,147.16,147.4703,146.26,146.9,6241359,DIS
11/20/19,148.09,148.99,146.03,146.93,9451314,DIS
11/19/19,148.18,149.48,146.8,148.38,11508730,DIS
11/18/19,144.75,149.04,143.69,147.65,15356970,DIS
11/15/19,147.14,147.2,144.21,144.67,13749340,DIS
11/14/19,148.0,150.63,146.2765,147.15,28414289,DIS
11/13/19,138.58,149.92,136.84,148.72,46491398,DIS
11/12/19,138.03,139.34,136.74,138.58,17283990,DIS
11/11/19,137.5,138.555,136.21,136.74,10144900,DIS
11/08/19,140.22,140.25,136.74,137.96,24187461,DIS
11/07/19,132.35,133.7,131.75,132.96,18047600,DIS
11/06/19,131.6,131.66,130.66,131.27,9132465,DIS
11/05/19,132.77,132.77,130.89,131.45,7404474,DIS
11/04/19,134.12,134.14,132.47,132.92,7631780,DIS
11/01/19,130.99,132.8,130.5111,132.75,8507567,DIS
10/31/19,129.53,130.15,128.75,129.92,9628296,DIS
10/30/19,129.69,130.31,129.1535,129.6,10880050,DIS
10/29/19,130.5,130.77,129.44,129.48,9305072,DIS
10/28/19,131.45,132.08,130.14,130.53,8940309,DIS
10/25/19,130.5,131.76,130.03,130.9,6696035,DIS
10/24/19,131.52,131.7,129.63,130.26,6792298,DIS
10/23/19,132.45,132.68,130.76,131.13,7075669,DIS
10/22/19,133.15,133.68,132.1,132.4,10540840,DIS
10/21/19,131.44,131.73,130.02,130.26,7391094,DIS
10/18/19,132.37,133.16,130.89,130.89,8695515,DIS
10/17/19,132.53,133.44,130.51,132.37,8037035,DIS
10/16/19,129.76,131.83,129.7,130.86,7671898,DIS
10/15/19,130.01,130.89,129.4,129.76,5937287,DIS
10/14/19,130.13,130.3,129.48,129.7,3753018,DIS
10/11/19,130.3,130.99,129.5885,130.02,6809765,DIS
10/10/19,129.22,130.14,128.88,129.34,4581018,DIS
10/09/19,129.1,129.85,128.06,129.33,5037437,DIS
10/08/19,129.9,130.04,128.37,128.47,6778174,DIS
10/07/19,130.27,131.565,129.04,130.9,5842436,DIS
10/04/19,128.69,130.44,128.61,130.27,6803210,DIS
10/03/19,128.6,129.43,127.54,128.15,8683717,DIS
10/02/19,128.51,129.22,127.57,129.14,8343560,DIS
10/01/19,130.8,131.78,129.51,129.55,6011451,DIS
09/30/19,130.35,130.86,129.82,130.32,5845989,DIS
09/27/19,130.1,131.0,128.92,129.96,8402934,DIS
09/26/19,133.14,133.3,129.06,131.27,11851670,DIS
09/25/19,131.79,133.42,131.22,133.09,6613058,DIS
09/24/19,134.01,134.15,131.5,131.97,11940340,DIS
09/23/19,131.99,132.89,131.89,132.46,6146871,DIS
09/20/19,133.03,133.23,131.6125,132.27,25640029,DIS
09/19/19,137.0,137.36,133.0,133.3,12585400,DIS
09/18/19,136.41,137.065,135.72,136.8,6894548,DIS
09/17/19,135.8,136.725,135.67,136.31,4759951,DIS
09/16/19,136.29,137.2411,135.3,135.8,6329260,DIS
09/13/19,137.85,138.22,137.11,138.02,5209146,DIS
09/12/19,136.84,138.67,136.54,137.5,7333931,DIS
09/11/19,135.56,136.24,134.93,136.19,7896359,DIS
09/10/19,138.12,138.44,134.58,135.79,10974580,DIS
09/09/19,139.58,140.08,138.4847,138.83,5458689,DIS
09/06/19,139.13,139.81,138.25,139.55,4089995,DIS
09/05/19,138.92,139.27,138.3236,138.84,5145232,DIS
