Date, Open, High, Low, Close, Volume,ticker
12/24/20,123.72,124.07,122.69,124.02,178269,DOV
12/23/20,124.26,125.36,123.63,123.64,1218843,DOV
12/22/20,123.98,124.71,123.09,123.44,666103,DOV
12/21/20,121.1,124.63,121.04,123.87,609438,DOV
12/18/20,123.74,125.69,122.5,123.86,1690488,DOV
12/17/20,121.53,123.93,120.5,123.76,918537,DOV
12/16/20,122.38,122.51,120.73,120.87,503201,DOV
12/15/20,121.31,122.3,120.04,121.84,536293,DOV
12/14/20,122.7,122.8999,119.985,120.13,525554,DOV
12/11/20,120.52,121.92,120.421,121.37,663798,DOV
12/10/20,123.06,123.103,120.12,121.37,658535,DOV
12/09/20,122.23,123.54,121.61,123.24,604414,DOV
12/08/20,121.36,122.83,121.1,121.93,875795,DOV
12/07/20,123.27,123.3,121.52,122.24,1062648,DOV
12/04/20,121.92,123.65,121.73,123.54,1520431,DOV
12/03/20,122.58,123.38,120.93,121.14,691452,DOV
12/02/20,122.16,123.395,121.56,122.29,981029,DOV
12/01/20,123.61,124.9,122.53,122.64,741875,DOV
11/30/20,122.87,123.3017,121.03,122.03,1025119,DOV
11/27/20,124.03,124.6,123.48,123.88,256614,DOV
11/25/20,125.57,126.03,123.2,124.12,1413111,DOV
11/24/20,124.27,127.035,124.12,126.34,797340,DOV
11/23/20,122.75,124.675,122.75,123.43,793779,DOV
11/20/20,124.69,125.175,122.91,123.48,537315,DOV
11/19/20,123.74,125.0,123.01,124.68,473281,DOV
11/18/20,125.97,126.855,124.36,124.36,750133,DOV
11/17/20,124.95,125.87,122.82,125.41,600426,DOV
11/16/20,124.56,125.89,122.31,125.8,944043,DOV
11/13/20,120.98,122.92,119.98,122.28,639586,DOV
11/12/20,120.4,121.09,118.98,120.0,581587,DOV
11/11/20,120.56,121.29,118.14,120.87,804819,DOV
11/10/20,120.31,122.6,119.58,119.81,1688970,DOV
11/09/20,121.39,127.39,119.6,119.72,1014135,DOV
11/06/20,117.96,118.2,113.86,116.42,858334,DOV
11/05/20,115.68,119.03,115.68,117.37,539576,DOV
11/04/20,116.24,117.26,113.09,114.07,685744,DOV
11/03/20,116.58,118.16,116.06,117.16,624589,DOV
11/02/20,112.61,115.13,112.41,114.87,654821,DOV
10/30/20,109.83,111.17,109.45,110.71,991289,DOV
10/29/20,108.42,111.08,108.0,110.09,794838,DOV
10/28/20,109.23,110.79,108.5,109.29,1303161,DOV
10/27/20,113.98,114.23,111.5,111.55,671353,DOV
10/26/20,114.89,114.96,112.34,113.82,584919,DOV
10/23/20,116.21,116.53,115.2,116.27,532528,DOV
10/22/20,114.41,115.78,114.055,115.24,528414,DOV
10/21/20,113.95,115.38,113.67,113.73,687876,DOV
10/20/20,113.08,116.68,112.62,114.24,1043277,DOV
10/19/20,114.55,115.99,112.45,112.77,686265,DOV
10/16/20,114.41,115.4169,113.91,114.07,650341,DOV
10/15/20,112.06,114.21,111.82,113.9,404765,DOV
10/14/20,112.95,114.67,112.95,113.62,564940,DOV
10/13/20,113.75,114.53,111.93,112.43,475370,DOV
10/12/20,113.89,114.495,113.14,113.97,609961,DOV
10/09/20,113.81,114.29,112.31,113.08,500323,DOV
10/08/20,112.37,112.97,111.02,112.93,444613,DOV
10/07/20,111.47,113.0475,110.88,111.7,522430,DOV
10/06/20,111.53,112.67,109.9,110.09,437508,DOV
