Date, Open, High, Low, Close, Volume,ticker
12/24/20,38.91,39.32,38.75,39.3,592519,DRE
12/23/20,39.5,39.74,38.72,38.74,1792772,DRE
12/22/20,39.02,39.47,38.92,39.41,2055480,DRE
12/21/20,38.65,39.07,38.35,38.99,2108800,DRE
12/18/20,40.45,40.45,38.77,39.24,4152921,DRE
12/17/20,40.05,40.58,39.89,40.45,2819473,DRE
12/16/20,39.61,40.28,39.46,39.85,2430983,DRE
12/15/20,38.83,39.58,38.4,39.58,2592061,DRE
12/14/20,38.62,39.36,38.37,38.71,2639814,DRE
12/11/20,38.05,38.5,37.97,38.34,1800182,DRE
12/10/20,38.21,38.48,38.03,38.24,1479460,DRE
12/09/20,38.54,38.56,37.865,38.17,1511583,DRE
12/08/20,38.64,38.78,38.37,38.52,1777080,DRE
12/07/20,38.5,38.75,38.18,38.63,1611732,DRE
12/04/20,37.97,38.66,37.97,38.56,1607039,DRE
12/03/20,37.59,38.03,37.54,37.8,1988820,DRE
12/02/20,38.42,38.76,37.64,37.73,1403448,DRE
12/01/20,38.29,38.8,38.09,38.6,2054526,DRE
11/30/20,38.42,38.5,37.71,38.06,4222582,DRE
11/27/20,38.69,38.69,38.19,38.39,553719,DRE
11/25/20,38.12,38.87,38.01,38.71,1854651,DRE
11/24/20,38.73,38.98,37.94,37.98,2097378,DRE
11/23/20,38.52,38.92,38.3,38.44,1843383,DRE
11/20/20,38.67,38.84,38.22,38.41,3809504,DRE
11/19/20,38.63,38.94,38.4042,38.69,3492248,DRE
11/18/20,39.85,40.09,38.79,38.81,1627839,DRE
11/17/20,39.67,40.195,39.38,39.85,1293259,DRE
11/16/20,40.86,40.99,39.56,39.89,1558097,DRE
11/13/20,40.13,40.42,39.77,40.33,1617032,DRE
11/12/20,40.28,40.73,39.975,40.37,1911031,DRE
11/11/20,40.35,40.615,39.74,40.33,1915583,DRE
11/10/20,38.71,39.83,38.48,39.57,2974080,DRE
11/09/20,42.76,43.45,38.5,38.66,3258144,DRE
11/06/20,40.72,41.02,40.28,40.78,1663875,DRE
11/05/20,41.22,41.32,40.56,40.59,3251481,DRE
11/04/20,40.64,41.35,40.295,40.93,2602338,DRE
11/03/20,39.37,40.54,39.07,40.27,2050929,DRE
11/02/20,38.37,39.22,38.1,39.04,2229189,DRE
10/30/20,37.8,38.27,37.55,37.99,2328221,DRE
10/29/20,37.2,38.29,36.8,37.83,1750163,DRE
10/28/20,37.06,37.905,36.8001,37.16,2400073,DRE
10/27/20,38.19,38.52,37.74,37.74,1272552,DRE
10/26/20,38.59,38.7,38.0,38.22,993134,DRE
10/23/20,38.97,39.12,38.62,38.95,810632,DRE
10/22/20,38.56,38.9353,38.44,38.67,878016,DRE
10/21/20,38.71,38.86,38.38,38.53,1473103,DRE
10/20/20,38.7,39.02,38.47,38.74,1273438,DRE
10/19/20,38.98,39.0,38.315,38.4,1863052,DRE
10/16/20,38.75,39.32,38.6657,38.86,1406748,DRE
10/15/20,38.31,39.07,38.31,38.94,1307997,DRE
10/14/20,39.59,39.59,38.555,38.63,1630099,DRE
10/13/20,40.12,40.31,39.45,39.57,1362165,DRE
10/12/20,39.98,40.62,39.69,40.5,1004282,DRE
10/09/20,39.92,39.97,39.44,39.82,1430423,DRE
10/08/20,39.19,39.7,39.11,39.67,1327884,DRE
10/07/20,39.16,39.32,38.93,38.99,1225016,DRE
10/06/20,39.22,39.59,38.76,38.99,2012490,DRE
10/05/20,38.68,39.348,38.22,39.22,1832349,DRE
10/02/20,37.09,38.57,36.91,38.44,2390662,DRE
10/01/20,37.05,37.51,36.6,37.49,2141438,DRE
09/30/20,37.21,37.48,36.52,36.9,2143550,DRE
09/29/20,36.67,37.07,36.48,36.96,1705526,DRE
09/28/20,36.71,37.015,36.47,36.93,1224075,DRE
09/25/20,35.54,36.25,35.37,36.23,1484233,DRE
09/24/20,35.91,36.68,35.61,35.66,1851680,DRE
09/23/20,36.59,36.855,35.86,35.9,1722821,DRE
09/22/20,35.86,36.96,35.86,36.65,1951826,DRE
09/21/20,36.09,36.41,35.65,35.83,2165493,DRE
09/18/20,36.91,37.29,36.29,36.54,3910068,DRE
09/17/20,37.68,37.82,36.8,37.04,1908898,DRE
09/16/20,38.06,38.44,37.825,37.98,2003815,DRE
09/15/20,37.98,38.27,37.76,37.82,2581667,DRE
09/14/20,37.44,38.07,37.34,37.9,2518928,DRE
09/11/20,37.59,37.76,36.795,37.15,1562539,DRE
09/10/20,37.87,38.0,37.465,37.5,1885220,DRE
09/09/20,37.91,38.77,37.84,37.92,1699249,DRE
09/08/20,37.75,37.78,37.23,37.65,2043033,DRE
09/04/20,38.81,39.03,37.34,38.17,1427173,DRE
09/03/20,39.47,39.52,38.39,38.79,1785420,DRE
09/02/20,38.58,39.32,38.36,39.29,1693704,DRE
09/01/20,38.33,38.705,38.05,38.56,1278100,DRE
08/31/20,38.54,38.6325,38.31,38.55,1673983,DRE
08/28/20,38.83,38.945,38.215,38.68,1567532,DRE
08/27/20,38.81,39.11,38.6,38.94,1500319,DRE
08/26/20,38.48,38.92,38.22,38.66,1990461,DRE
08/25/20,38.4,38.57,38.025,38.54,1601252,DRE
08/24/20,38.16,38.33,37.58,38.32,1414452,DRE
08/21/20,38.29,38.34,37.69,38.16,1191447,DRE
08/20/20,37.82,38.43,37.78,38.1,1270186,DRE
08/19/20,38.54,38.67,37.78,37.89,2004951,DRE
08/18/20,38.66,38.77,38.33,38.47,1064812,DRE
08/17/20,37.87,38.755,37.68,38.71,1479430,DRE
08/14/20,38.79,38.79,37.77,37.89,2756524,DRE
08/13/20,39.26,39.59,38.75,38.78,1332872,DRE
08/12/20,39.2,39.73,38.91,39.59,1112173,DRE
08/11/20,40.01,40.01,38.67,38.81,1624458,DRE
08/10/20,39.84,39.99,39.58,39.63,1679798,DRE
08/07/20,39.49,39.86,39.4795,39.75,1412569,DRE
08/06/20,39.62,39.92,39.45,39.63,1155746,DRE
08/05/20,40.13,40.36,39.41,39.77,1579435,DRE
08/04/20,39.48,40.03,39.3,39.9,1849551,DRE
08/03/20,39.7,39.82,39.21,39.67,1804777,DRE
07/31/20,39.91,40.2,39.27,40.19,2155059,DRE
07/30/20,39.76,40.84,39.72,39.97,2744360,DRE
07/29/20,38.67,40.32,38.67,40.2,2561921,DRE
07/28/20,37.62,38.67,37.5,38.43,2033322,DRE
07/27/20,37.2,37.81,37.12,37.72,2359216,DRE
07/24/20,37.28,37.52,37.17,37.26,2122040,DRE
07/23/20,37.07,37.65,37.04,37.27,2553080,DRE
07/22/20,36.25,37.26,36.12,37.19,2215301,DRE
07/21/20,36.12,36.695,35.99,36.39,2436196,DRE
07/20/20,35.98,36.025,35.53,35.79,2126185,DRE
07/17/20,35.73,36.32,35.56,36.08,2914629,DRE
07/16/20,35.62,36.0,35.42,35.51,1700002,DRE
07/15/20,36.03,36.125,35.47,35.82,2034198,DRE
07/14/20,35.17,35.7199,35.1,35.5,1671470,DRE
07/13/20,35.96,36.11,35.03,35.31,1663627,DRE
07/10/20,35.77,36.13,35.47,35.79,2084228,DRE
07/09/20,35.43,35.97,35.04,35.9,2107207,DRE
07/08/20,35.66,35.73,35.26,35.49,2001952,DRE
07/07/20,35.81,36.225,35.6,35.66,1380884,DRE
07/06/20,37.05,37.1323,36.24,36.34,2645439,DRE
07/02/20,36.71,36.71,36.04,36.26,1435207,DRE
07/01/20,35.52,36.3,35.24,36.12,2539051,DRE
06/30/20,34.6,35.56,34.01,35.39,2345607,DRE
06/29/20,35.07,35.14,34.46,34.58,1808421,DRE
06/26/20,34.89,35.18,34.24,34.58,5478158,DRE
06/25/20,34.48,35.05,34.01,35.04,2431969,DRE
06/24/20,34.97,35.36,34.12,34.58,2307866,DRE
06/23/20,35.75,35.89,35.3,35.39,1879687,DRE
06/22/20,35.47,35.72,34.92,35.45,2216377,DRE
06/19/20,37.11,37.11,35.6,35.6,7399511,DRE
06/18/20,36.33,36.74,36.06,36.57,2073489,DRE
06/17/20,37.12,37.25,36.49,36.72,2268042,DRE
06/16/20,37.38,37.5,36.36,36.91,2516716,DRE
06/15/20,34.34,36.54,34.31,36.21,3071211,DRE
06/12/20,35.6,35.81,34.64,35.35,3858260,DRE
06/11/20,34.48,35.41,34.36,34.53,3676083,DRE
06/10/20,36.78,36.78,35.65,35.65,1844707,DRE
06/09/20,36.8,37.06,36.38,36.9,1850927,DRE
06/08/20,36.73,37.41,36.69,37.21,2854181,DRE
06/05/20,37.16,37.44,36.28,36.81,3560741,DRE
06/04/20,36.27,36.33,35.65,36.15,2823880,DRE
06/03/20,36.0,36.74,35.8615,36.59,2239898,DRE
06/02/20,35.44,35.95,35.15,35.64,2641976,DRE
06/01/20,34.57,35.4579,34.43,35.2,2063167,DRE
05/29/20,34.43,34.88,34.15,34.48,5490321,DRE
05/28/20,34.68,35.01,34.185,34.83,2527814,DRE
05/27/20,34.89,35.1125,33.52,34.13,7312573,DRE
05/26/20,34.49,34.64,33.81,34.12,2029300,DRE
05/22/20,32.97,33.35,32.9,33.28,1685944,DRE
05/21/20,32.48,33.37,32.48,33.04,2196227,DRE
05/20/20,32.72,32.95,32.36,32.66,3516048,DRE
05/19/20,32.32,32.61,31.84,31.87,1767923,DRE
05/18/20,31.97,32.71,31.95,32.45,3407438,DRE
05/15/20,30.18,31.12,29.575,30.83,8012925,DRE
05/14/20,29.88,30.49,28.8,30.49,3391508,DRE
05/13/20,31.17,31.36,30.31,30.41,3010053,DRE
05/12/20,33.89,34.11,31.61,31.65,3165598,DRE
05/11/20,33.51,34.23,33.34,33.89,2143087,DRE
05/08/20,33.81,34.05,33.365,33.92,1879447,DRE
