Date, Open, High, Low, Close, Volume,ticker
12/24/20,119.09,119.94,117.31,117.89,507401,DRI
12/23/20,118.86,121.29,118.5,119.58,1316055,DRI
12/22/20,116.79,119.94,115.43,119.64,1377342,DRI
12/21/20,113.5,117.88,112.34,116.92,1911422,DRI
12/18/20,117.9,120.97,115.25,116.16,3851463,DRI
12/17/20,118.52,119.36,115.35,118.62,1807913,DRI
12/16/20,113.57,118.2,113.42,116.49,1675038,DRI
12/15/20,113.86,114.96,112.37,114.43,1440798,DRI
12/14/20,114.35,115.68,111.15,112.51,1347299,DRI
12/11/20,113.99,115.46,110.7484,112.72,1313181,DRI
12/10/20,114.05,115.9,112.16,115.44,1437191,DRI
12/09/20,112.5,115.17,111.64,114.39,1450690,DRI
12/08/20,111.45,112.42,110.2426,111.65,1598886,DRI
12/07/20,113.48,113.5766,110.4669,112.12,1445561,DRI
12/04/20,113.38,114.93,112.82,114.82,2790782,DRI
12/03/20,109.6,113.81,108.62,112.79,3856581,DRI
12/02/20,109.46,110.2548,107.72,109.63,1766192,DRI
12/01/20,109.2,111.17,107.675,110.51,1994054,DRI
11/30/20,109.11,109.25,105.49,107.98,2667874,DRI
11/27/20,110.14,111.64,109.12,109.95,613717,DRI
11/25/20,110.37,111.01,108.54,110.58,1179536,DRI
11/24/20,110.85,114.42,110.65,113.46,1522475,DRI
11/23/20,111.45,111.96,108.78,109.58,1831007,DRI
11/20/20,109.85,109.86,106.89,108.45,1598175,DRI
11/19/20,108.8,110.29,107.65,109.8,1409794,DRI
11/18/20,108.01,112.04,107.6,110.16,2031825,DRI
11/17/20,110.34,110.6,107.13,108.53,1424218,DRI
11/16/20,111.06,112.71,107.96,110.08,2070390,DRI
11/13/20,106.56,107.89,105.55,107.59,1653451,DRI
11/12/20,106.02,107.47,104.51,106.31,1828502,DRI
11/11/20,113.93,113.93,105.5226,107.08,2634838,DRI
11/10/20,118.0,119.665,111.835,113.35,3203006,DRI
11/09/20,115.92,125.96,112.8,120.55,6141969,DRI
11/06/20,100.97,103.16,100.5,102.12,5172321,DRI
11/05/20,96.69,101.52,96.69,101.52,2770717,DRI
11/04/20,93.86,98.13,92.6,96.59,2422751,DRI
11/03/20,93.0,93.77,92.075,93.1,1259153,DRI
11/02/20,92.86,92.99,90.22,91.84,1185656,DRI
10/30/20,91.71,93.0495,89.34,91.92,1492447,DRI
10/29/20,90.19,93.5,89.9019,92.51,1577585,DRI
10/28/20,93.67,93.82,89.89,90.19,2993144,DRI
10/27/20,95.55,96.54,94.67,95.84,1691895,DRI
10/26/20,98.72,98.72,94.02,95.4,1439975,DRI
10/23/20,100.52,100.52,96.5388,99.53,1454460,DRI
10/22/20,97.79,99.9,97.25,99.82,882663,DRI
10/21/20,97.94,98.07,96.7,97.69,873345,DRI
