Date, Open, High, Low, Close, Volume,ticker
12/24/20,118.59,119.93,118.11,119.72,353245,DTE
12/23/20,119.87,121.0,118.54,118.58,710623,DTE
12/22/20,118.28,119.18,117.7,118.92,925605,DTE
12/21/20,120.29,120.7,116.86,118.34,1319380,DTE
12/18/20,123.52,123.75,120.74,121.7,2555558,DTE
12/17/20,124.37,124.99,123.335,123.55,876353,DTE
12/16/20,125.26,125.39,123.28,123.55,1037956,DTE
12/15/20,123.62,125.08,123.0,124.8,1057688,DTE
12/14/20,125.93,126.79,123.22,123.52,961370,DTE
12/11/20,123.51,125.38,123.51,125.07,1113746,DTE
12/10/20,124.91,125.33,123.33,124.22,856885,DTE
12/09/20,124.75,125.49,124.38,124.98,800568,DTE
12/08/20,124.23,124.91,123.13,124.63,749810,DTE
12/07/20,125.32,126.59,124.51,124.85,835176,DTE
12/04/20,126.61,127.55,125.06,125.93,671377,DTE
12/03/20,127.96,128.63,126.22,126.83,1137606,DTE
12/02/20,125.81,128.85,124.25,128.75,1619227,DTE
12/01/20,127.0,128.19,126.19,126.24,1166157,DTE
11/30/20,128.6,129.14,125.43,125.81,2370473,DTE
11/27/20,132.36,132.445,128.275,128.53,526913,DTE
11/25/20,131.42,132.34,129.92,132.24,1389333,DTE
11/24/20,131.64,131.92,130.855,131.71,1433180,DTE
11/23/20,130.22,130.98,129.86,130.41,1279385,DTE
11/20/20,130.16,130.67,129.34,129.86,1759928,DTE
11/19/20,130.5,131.06,128.2,129.66,2108639,DTE
11/18/20,133.33,133.33,130.14,130.2,1128369,DTE
11/17/20,133.91,135.6,132.77,132.84,1331895,DTE
11/16/20,133.0,135.28,132.705,135.2,1950098,DTE
11/13/20,129.09,131.46,128.9,130.7,1188241,DTE
11/12/20,129.79,129.79,125.94,128.5,1741777,DTE
11/11/20,132.6,132.6,129.63,130.06,1511299,DTE
11/10/20,129.15,132.62,128.95,132.0,1101534,DTE
11/09/20,128.19,131.5,127.96,128.81,1230505,DTE
11/06/20,125.23,125.46,122.82,123.86,1238816,DTE
11/05/20,126.25,128.53,125.04,125.13,720583,DTE
11/04/20,126.07,129.07,124.545,125.17,929644,DTE
11/03/20,127.42,128.13,125.48,126.46,784217,DTE
11/02/20,124.87,126.0,123.18,125.7,897505,DTE
10/30/20,122.75,123.53,120.9128,123.42,1100519,DTE
10/29/20,121.66,125.35,120.16,123.47,906036,DTE
10/28/20,124.14,126.405,121.91,122.15,1876529,DTE
10/27/20,125.56,130.89,125.05,127.17,2352209,DTE
10/26/20,123.87,125.22,122.87,124.24,1196041,DTE
10/23/20,124.46,125.605,123.75,125.15,962554,DTE
10/22/20,120.99,123.2384,120.41,123.03,690912,DTE
10/21/20,121.03,123.25,120.73,121.46,1067064,DTE
10/20/20,119.64,122.29,119.64,121.34,1082212,DTE
10/19/20,119.11,119.79,117.74,118.17,1603556,DTE
10/16/20,118.04,120.12,117.66,119.3,1678639,DTE
10/15/20,117.89,118.78,117.5,117.94,1464523,DTE
10/14/20,119.68,120.44,117.95,119.4,929848,DTE
10/13/20,119.85,120.7,118.25,119.07,1021970,DTE
10/12/20,120.22,121.06,119.59,120.78,612560,DTE
