Date, Open, High, Low, Close, Volume,ticker
12/24/20,15.68,15.7,15.13,15.33,2793211,DVN
12/23/20,15.2,15.925,14.93,15.66,6573905,DVN
12/22/20,15.32,15.345,14.814,14.83,5472657,DVN
12/21/20,14.66,15.49,14.34,15.3,10013570,DVN
12/18/20,16.05,16.245,15.435,15.63,18161881,DVN
12/17/20,16.11,16.28,15.72,16.1,10290030,DVN
12/16/20,15.93,16.08,15.46,15.91,11101610,DVN
12/15/20,15.56,15.83,15.22,15.79,6705566,DVN
12/14/20,16.54,16.6,15.36,15.37,8244669,DVN
12/11/20,16.47,16.49,15.935,16.16,6840744,DVN
12/10/20,15.58,16.72,15.48,16.57,9436689,DVN
12/09/20,16.21,16.35,15.35,15.71,11767550,DVN
12/08/20,15.75,16.5,15.665,15.97,10695900,DVN
12/07/20,16.41,16.52,15.9,15.95,10100850,DVN
12/04/20,15.75,16.74,15.66,16.72,13820330,DVN
12/03/20,14.91,15.65,14.585,15.31,10305580,DVN
12/02/20,13.9,15.2775,13.78,14.8,11248510,DVN
12/01/20,14.42,14.59,13.9,14.0,6990261,DVN
11/30/20,14.57,14.625,13.96,13.99,11358960,DVN
11/27/20,14.98,15.23,14.66,14.78,4805764,DVN
11/25/20,15.08,15.325,14.85,15.12,8835462,DVN
11/24/20,15.04,15.435,14.8,15.3,15286510,DVN
11/23/20,13.49,14.53,13.43,14.48,13055840,DVN
11/20/20,13.5,13.57,13.035,13.16,9144347,DVN
11/19/20,12.76,13.585,12.66,13.56,13796560,DVN
11/18/20,13.22,13.635,12.75,12.76,13030710,DVN
11/17/20,12.4,13.11,12.27,13.11,10544270,DVN
11/16/20,12.53,12.58,12.21,12.53,9010514,DVN
11/13/20,11.34,11.83,11.29,11.78,6256369,DVN
11/12/20,11.4,11.819,11.06,11.22,7157197,DVN
11/11/20,11.94,11.95,11.57,11.66,9467041,DVN
11/10/20,11.55,11.78,11.2,11.76,12157080,DVN
11/09/20,10.83,11.88,10.83,11.33,17784170,DVN
11/06/20,9.95,10.28,9.73,9.77,13372660,DVN
11/05/20,9.75,10.345,9.665,10.05,14737750,DVN
11/04/20,9.71,10.02,9.3,9.81,16189970,DVN
11/03/20,9.69,9.9,9.44,9.64,9359954,DVN
11/02/20,9.07,9.58,8.67,9.43,9494794,DVN
10/30/20,8.44,8.93,8.34,8.93,15696180,DVN
10/29/20,7.89,8.46,7.73,8.45,12843600,DVN
10/28/20,8.39,8.45,8.01,8.1,10995640,DVN
10/27/20,8.72,8.85,8.6,8.69,8523717,DVN
10/26/20,9.12,9.18,8.675,8.81,9174089,DVN
10/23/20,9.41,9.56,9.21,9.36,8760413,DVN
10/22/20,8.64,9.38,8.64,9.34,10618310,DVN
10/21/20,8.88,9.0,8.62,8.63,13997330,DVN
10/20/20,8.92,9.12,8.732000000000001,8.97,10046680,DVN
10/19/20,9.05,9.09,8.77,8.86,8942918,DVN
10/16/20,9.38,9.47,8.94,8.95,9139273,DVN
10/15/20,9.12,9.4375,8.93,9.42,10028960,DVN
10/14/20,9.57,9.865,9.3,9.32,11721170,DVN
10/13/20,9.8,9.97,9.48,9.5,8267614,DVN
10/12/20,10.0,10.03,9.76,9.86,6470931,DVN
10/09/20,10.41,10.46,10.0,10.07,8986308,DVN
10/08/20,9.97,10.33,9.84,10.32,8721951,DVN
10/07/20,9.8,9.95,9.59,9.87,9363485,DVN
10/06/20,10.45,10.59,9.69,9.73,11454030,DVN
10/05/20,9.87,10.16,9.62,10.15,12036780,DVN
10/02/20,8.7,9.86,8.65,9.6,14637610,DVN
10/01/20,9.41,9.54,9.02,9.1,12066540,DVN
09/30/20,9.61,9.76,9.4,9.46,12237470,DVN
09/29/20,9.76,9.77,8.97,9.57,25320680,DVN
09/28/20,9.56,10.02,8.985,9.8,39400848,DVN
09/25/20,8.77,8.97,8.68,8.82,6859718,DVN
09/24/20,8.64,9.14,8.43,8.96,9167459,DVN
09/23/20,9.26,9.34,8.68,8.68,6896849,DVN
09/22/20,9.34,9.49,9.11,9.2,5359403,DVN
09/21/20,9.38,9.46,9.125,9.27,5664180,DVN
09/18/20,9.91,10.065,9.67,9.78,12580980,DVN
09/17/20,9.51,9.97,9.4595,9.95,6791052,DVN
09/16/20,9.4,9.93,9.22,9.76,7847853,DVN
09/15/20,9.17,9.39,9.13,9.23,8890372,DVN
09/14/20,9.04,9.22,8.9,9.12,6228140,DVN
09/11/20,8.79,9.015,8.66,8.97,10429340,DVN
09/10/20,9.58,9.69,8.86,8.87,12149750,DVN
09/09/20,9.77,9.79,9.365,9.58,7062138,DVN
09/08/20,10.21,10.25,9.49,9.62,11081020,DVN
09/04/20,10.61,10.7745,10.35,10.55,5498361,DVN
09/03/20,10.48,10.77,10.39,10.47,8122473,DVN
09/02/20,10.91,10.94,10.585,10.66,8443800,DVN
09/01/20,10.76,11.07,10.62,10.91,5748459,DVN
08/31/20,11.1,11.1403,10.75,10.87,5002643,DVN
08/28/20,10.84,11.23,10.79,11.1,5612540,DVN
08/27/20,10.76,10.87,10.52,10.76,5458367,DVN
08/26/20,11.0,11.1,10.68,10.7,5244404,DVN
08/25/20,10.9,11.065,10.71,10.98,5796308,DVN
08/24/20,10.54,10.915,10.47,10.78,5947059,DVN
08/21/20,10.67,10.705,10.38,10.44,4932329,DVN
08/20/20,10.86,11.015,10.68,10.69,5064611,DVN
08/19/20,11.34,11.4,11.06,11.09,6724876,DVN
08/18/20,11.64,11.72,11.285,11.34,6895150,DVN
08/17/20,12.01,12.04,11.5422,11.74,6813187,DVN
08/14/20,11.77,12.12,11.58,12.12,4218075,DVN
08/13/20,12.21,12.3583,11.83,11.84,7692518,DVN
08/12/20,12.67,12.75,12.31,12.51,6984044,DVN
08/11/20,13.04,13.25,12.3,12.36,8952613,DVN
08/10/20,12.25,12.7,12.12,12.64,10311320,DVN
08/07/20,11.57,12.17,11.43,12.11,9433928,DVN
08/06/20,11.9,12.0463,11.635,11.77,9407312,DVN
08/05/20,11.86,12.14,11.55,12.04,14173270,DVN
08/04/20,10.57,11.32,10.55,11.09,11389170,DVN
08/03/20,10.51,10.765,10.28,10.6,6596775,DVN
07/31/20,10.23,10.52,10.13,10.49,7554313,DVN
07/30/20,10.52,10.59,10.16,10.34,7693253,DVN
07/29/20,10.41,10.85,10.2718,10.84,7501132,DVN
07/28/20,10.36,10.675,10.31,10.34,5853441,DVN
07/27/20,10.67,10.7,10.26,10.43,7119603,DVN
07/24/20,10.85,11.09,10.67,10.7,5428010,DVN
07/23/20,10.87,11.215,10.755,10.88,9172957,DVN
07/22/20,11.14,11.25,10.88,11.07,9684398,DVN
07/21/20,10.69,11.63,10.69,11.35,14806930,DVN
07/20/20,10.26,10.58,10.18,10.27,7695065,DVN
07/17/20,10.72,10.93,10.195,10.29,6261769,DVN
07/16/20,10.61,10.97,10.33,10.67,6045705,DVN
07/15/20,10.73,10.83,10.47,10.74,7685489,DVN
07/14/20,9.91,10.43,9.74,10.43,8370748,DVN
07/13/20,10.2,10.455,9.83,9.96,8218629,DVN
07/10/20,9.69,10.24,9.61,10.19,8822343,DVN
07/09/20,10.32,10.43,9.78,9.8,8992407,DVN
07/08/20,10.31,10.5,10.085,10.36,9995387,DVN
07/07/20,10.97,10.9983,10.33,10.35,10357080,DVN
07/06/20,11.5,11.73,10.98,11.16,8733491,DVN
07/02/20,11.47,11.66,11.135,11.24,8120855,DVN
07/01/20,11.36,11.795,10.98,11.1,9292622,DVN
06/30/20,10.95,11.43,10.78,11.34,8480676,DVN
06/29/20,10.92,11.1997,10.755,11.12,8125954,DVN
06/26/20,11.56,11.57,10.85,10.94,9114517,DVN
06/25/20,11.11,11.79,11.06,11.7,8708348,DVN
06/24/20,12.11,12.17,11.25,11.25,11073140,DVN
06/23/20,12.91,13.0,12.28,12.38,9560764,DVN
06/22/20,12.91,12.98,12.555,12.7,6084872,DVN
06/19/20,13.42,13.66,12.725,12.94,15559680,DVN
06/18/20,12.44,13.14,12.37,12.95,6610960,DVN
06/17/20,13.2,13.31,12.6,12.63,7580321,DVN
06/16/20,13.87,13.88,12.8,13.3,10075500,DVN
06/15/20,12.01,13.09,11.821,12.89,7488220,DVN
06/12/20,13.03,13.09,12.11,12.8,8107056,DVN
06/11/20,12.2,13.22,11.9203,12.2,9180422,DVN
06/10/20,14.15,14.5,13.35,13.67,12575590,DVN
06/09/20,15.0,15.03,14.22,14.55,10895950,DVN
06/08/20,15.65,15.76,14.54,15.76,13064250,DVN
06/05/20,13.51,14.9,13.5,14.6,15550340,DVN
06/04/20,12.35,12.82,12.081,12.72,10409230,DVN
06/03/20,12.4,12.59,12.08,12.52,8261420,DVN
06/02/20,11.88,12.22,11.855,12.16,8460765,DVN
06/01/20,10.8,11.875,10.62,11.7,12175340,DVN
05/29/20,11.5,11.56,10.77,10.81,43105621,DVN
05/28/20,12.39,12.4,11.57,11.66,11209820,DVN
05/27/20,12.5,12.5,11.78,12.43,9418862,DVN
05/26/20,12.74,12.79,12.11,12.31,9076912,DVN
05/22/20,12.15,12.25,11.795,12.14,8327756,DVN
05/21/20,12.49,12.61,12.045,12.29,8138896,DVN
05/20/20,12.62,12.87,12.36,12.42,10717340,DVN
05/19/20,13.14,13.16,12.3,12.31,9861117,DVN
05/18/20,12.86,13.36,12.63,13.12,10694600,DVN
05/15/20,11.61,12.3404,11.51,11.95,8335831,DVN
05/14/20,11.21,12.055,10.79,11.66,7713914,DVN
05/13/20,12.25,12.27,11.29,11.53,9738795,DVN
05/12/20,12.64,13.08,12.4,12.4,8833999,DVN
05/11/20,12.5,12.78,12.245,12.46,8113498,DVN
05/08/20,12.32,12.72,12.25,12.7,7419138,DVN
05/07/20,11.95,12.425999999999998,11.9135,12.01,8928829,DVN
05/06/20,11.9,12.05,11.25,11.49,10874270,DVN
05/05/20,12.16,12.25,11.11,11.18,8942299,DVN
05/04/20,10.86,11.43,10.64,11.42,6554265,DVN
05/01/20,11.92,12.195,11.04,11.15,7152088,DVN
04/30/20,12.81,12.85,11.9,12.47,10380980,DVN
04/29/20,11.51,12.9,11.345,12.63,11865380,DVN
04/28/20,11.03,11.25,10.66,10.97,8856029,DVN
04/27/20,10.3,10.89,9.88,10.76,7466844,DVN
04/24/20,10.9,11.225,10.19,10.52,16018610,DVN
04/23/20,10.13,11.0,10.05,10.57,12396430,DVN
04/22/20,9.58,9.82,9.33,9.74,7396721,DVN
04/21/20,8.69,9.265,8.58,9.05,14497630,DVN
04/20/20,8.39,9.58,8.3,9.16,12798880,DVN
04/17/20,8.18,9.25,8.13,9.22,12742930,DVN
04/16/20,8.6,8.63,8.08,8.09,6949219,DVN
04/15/20,8.35,8.73,8.05,8.67,10246920,DVN
04/14/20,9.42,9.72,8.865,9.11,11435580,DVN
04/13/20,10.26,10.34,9.43,9.71,11422380,DVN
04/09/20,10.1,10.56,8.855,9.67,24421250,DVN
04/08/20,9.03,9.44,8.62,9.41,11611270,DVN
04/07/20,9.59,10.08,8.635,8.71,14770890,DVN
04/06/20,8.46,8.89,8.2,8.8,13508200,DVN
04/03/20,8.3,8.568,7.562,8.38,17941900,DVN
04/02/20,7.29,9.04,7.07,7.79,24076439,DVN
04/01/20,6.57,6.94,6.2246,6.79,16931551,DVN
03/31/20,6.68,7.4482,6.68,6.91,14607580,DVN
03/30/20,6.16,6.52,5.46,6.35,19194779,DVN
03/27/20,6.94,6.96,6.21,6.29,13563140,DVN
03/26/20,7.31,7.595,6.75,7.36,13401280,DVN
03/25/20,7.38,7.79,6.64,7.16,12033100,DVN
03/24/20,6.8,7.63,6.37,7.41,14859810,DVN
03/23/20,6.02,6.59,5.7,6.18,13426510,DVN
03/20/20,6.74,7.34,5.94,6.08,18814850,DVN
03/19/20,5.51,6.55,5.26,6.55,14057910,DVN
03/18/20,5.88,5.96,4.7,5.41,14374570,DVN
03/17/20,7.6,7.865,6.36,6.46,13441320,DVN
03/16/20,7.1,8.36,6.5,7.57,14135810,DVN
03/13/20,8.13,8.71,7.19,8.7,18626641,DVN
03/12/20,7.76,8.095,7.01,7.27,14551030,DVN
03/11/20,8.42,8.94,8.09,8.41,15483940,DVN
03/10/20,9.38,9.4,7.8201,9.01,20127670,DVN
03/09/20,9.15,9.77,8.03,8.37,24783080,DVN
03/06/20,15.16,15.22,13.01,13.37,13648390,DVN
03/05/20,15.63,16.1,15.46,15.95,9800306,DVN
03/04/20,16.15,16.55,15.69,16.26,8787214,DVN
03/03/20,16.22,16.81,15.48,15.79,11433170,DVN
03/02/20,16.53,16.67,15.41,16.31,11011960,DVN
02/28/20,14.93,16.315,14.79,16.24,13850500,DVN
02/27/20,15.83,16.73,15.4,15.67,13203420,DVN
02/26/20,17.87,17.93,16.69,16.72,10340360,DVN
02/25/20,19.21,19.355,17.605,17.78,10388930,DVN
02/24/20,19.93,19.93,19.1,19.18,10968810,DVN
02/21/20,21.7,21.73,20.85,20.97,9273967,DVN
02/20/20,22.33,22.62,22.06,22.15,7706528,DVN
02/19/20,22.52,23.03,22.16,22.72,10966690,DVN
02/18/20,22.5,22.56,22.01,22.16,9685350,DVN
02/14/20,23.44,23.59,22.56,22.82,7211001,DVN
02/13/20,22.97,23.365,22.79,23.3,5176490,DVN
02/12/20,23.35,23.79,23.115,23.26,4484131,DVN
02/11/20,23.0,23.15,22.665,22.7,3700773,DVN
02/10/20,22.7,22.84,22.33,22.54,3741446,DVN
02/07/20,22.73,23.09,22.5,22.97,3338514,DVN
02/06/20,23.48,23.55,22.94,23.13,5152786,DVN
02/05/20,22.48,23.61,22.4,23.41,6787524,DVN
02/04/20,21.75,22.33,21.67,21.86,6171026,DVN
02/03/20,21.7,21.79,21.145,21.18,5867440,DVN
01/31/20,21.95,22.05,21.27,21.72,7340524,DVN
01/30/20,21.82,22.54,21.66,22.49,5609178,DVN
01/29/20,22.95,23.0767,22.12,22.19,5954024,DVN
01/28/20,22.9,22.975,22.54,22.72,5050190,DVN
01/27/20,23.2,23.42,22.44,22.62,6349022,DVN
01/24/20,24.34,24.35,23.56,23.95,5564879,DVN
01/23/20,24.04,24.59,23.6,24.4,5921408,DVN
01/22/20,24.74,24.85,24.18,24.3,8146489,DVN
01/21/20,25.65,25.77,24.98,24.99,5810070,DVN
01/17/20,26.56,26.56,25.72,25.85,5842579,DVN
01/16/20,26.49,26.98,26.385,26.44,6293543,DVN
01/15/20,26.0,26.26,25.86,26.24,5669161,DVN
01/14/20,25.51,26.36,25.37,26.23,6388516,DVN
01/13/20,25.01,25.43,24.64,25.36,4745173,DVN
01/10/20,25.7,25.7,25.015,25.1,5205875,DVN
01/09/20,25.89,25.935,25.2,25.85,7500190,DVN
01/08/20,26.45,26.49,25.21,25.55,8227487,DVN
01/07/20,26.25,26.57,26.1,26.49,6462429,DVN
