Date, Open, High, Low, Close, Volume,ticker
12/24/20,23.08,23.2025,22.74,22.9,580729,DXC
12/23/20,22.9,23.44,22.76,22.89,2516816,DXC
12/22/20,23.01,23.09,22.65,22.69,1355855,DXC
12/21/20,22.48,23.17,22.36,23.01,2176428,DXC
12/18/20,23.38,23.69,22.91,23.1,3820071,DXC
12/17/20,23.32,23.75,23.14,23.39,2017789,DXC
12/16/20,23.43,23.46,22.88,23.06,1866766,DXC
12/15/20,23.45,23.65,22.91,23.43,1789993,DXC
12/14/20,24.27,24.37,23.205,23.24,1799614,DXC
12/11/20,24.74,25.04,23.81,23.93,2467008,DXC
12/10/20,24.34,25.16,24.33,24.85,1852629,DXC
12/09/20,24.37,24.905,24.3,24.84,1881151,DXC
12/08/20,24.18,24.42,24.01,24.24,2275315,DXC
12/07/20,24.76,24.76,23.9,24.19,2864390,DXC
12/04/20,23.9,25.47,23.8,24.95,3017530,DXC
12/03/20,22.5,23.97,22.465,23.76,2946533,DXC
12/02/20,21.8,22.46,21.63,22.34,1674533,DXC
12/01/20,22.32,22.72,21.93,22.14,2372615,DXC
11/30/20,23.0,23.04,21.82,21.91,2447305,DXC
11/27/20,23.56,23.77,23.16,23.28,702315,DXC
11/25/20,23.64,23.64,22.9901,23.56,1877368,DXC
11/24/20,22.72,23.78,22.62,23.67,1824747,DXC
11/23/20,21.73,22.32,21.73,22.19,2326809,DXC
11/20/20,21.99,22.27,21.4,21.46,2033834,DXC
11/19/20,22.05,22.21,21.47,22.03,1592330,DXC
11/18/20,22.05,23.24,21.96,22.28,3116499,DXC
11/17/20,21.6,22.17,21.14,22.05,2419451,DXC
11/16/20,21.41,22.205,20.78,21.5,3096586,DXC
11/13/20,20.66,21.15,20.35,20.5,3170748,DXC
11/12/20,20.69,20.84,20.0617,20.28,3536179,DXC
11/11/20,21.15,21.365,20.51,21.02,3470541,DXC
11/10/20,19.65,21.17,19.55,21.06,4166043,DXC
11/09/20,19.09,20.93,18.9,19.54,4786161,DXC
11/06/20,20.24,20.4,18.03,18.11,4827941,DXC
11/05/20,19.44,19.94,19.41,19.58,4101245,DXC
11/04/20,19.67,19.86,18.96,19.07,1945176,DXC
11/03/20,19.33,19.9,19.21,19.53,2001876,DXC
11/02/20,18.65,19.22,18.38,18.96,2602211,DXC
10/30/20,18.1,18.44,17.59,18.42,2875712,DXC
10/29/20,17.5,18.45,17.36,18.25,2894983,DXC
10/28/20,17.3,17.94,16.878,17.64,3335640,DXC
10/27/20,18.66,18.89,17.81,17.85,1801590,DXC
10/26/20,19.36,19.455,18.38,18.64,2279586,DXC
10/23/20,20.1,20.1535,19.51,19.84,1646370,DXC
10/22/20,19.9,20.065,19.5,19.94,1170170,DXC
10/21/20,19.99,20.15,19.645,19.84,1125385,DXC
10/20/20,20.06,20.44,19.89,20.01,1492787,DXC
10/19/20,20.59,20.77,19.79,19.89,1793311,DXC
10/16/20,20.29,20.82,20.13,20.59,1684620,DXC
10/15/20,19.6,20.21,19.44,20.18,1734357,DXC
10/14/20,20.26,21.015,19.96,19.97,2312487,DXC
10/13/20,20.04,20.49,20.0,20.21,2149728,DXC
10/12/20,20.07,20.195,19.81,20.18,1646464,DXC
10/09/20,20.3,20.37,19.95,20.05,2255872,DXC
10/08/20,18.77,20.175,18.61,19.99,3843885,DXC
10/07/20,18.01,18.45,17.99,18.44,2029590,DXC
10/06/20,18.92,19.2,17.81,17.89,1808706,DXC
10/05/20,18.75,18.88,18.41,18.71,1325970,DXC
10/02/20,18.04,18.595,17.85,18.36,2685396,DXC
10/01/20,18.08,18.82,18.04,18.81,2817755,DXC
09/30/20,17.79,18.37,17.74,17.85,3471199,DXC
09/29/20,16.98,17.865,16.91,17.7,3673926,DXC
09/28/20,16.82,17.34,16.6,17.09,2909236,DXC
09/25/20,15.91,16.455,15.82,16.32,2376837,DXC
09/24/20,16.0,16.38,15.64,16.18,3679781,DXC
09/23/20,17.17,17.4,16.27,16.28,3448460,DXC
09/22/20,17.41,17.54,16.575,17.13,3046707,DXC
09/21/20,17.93,17.99,17.23,17.32,3128442,DXC
09/18/20,18.68,18.7,18.06,18.46,7785040,DXC
09/17/20,19.0,19.09,18.645,18.87,2730198,DXC
09/16/20,19.85,19.91,19.35,19.41,3366350,DXC
09/15/20,20.22,20.28,19.53,19.56,1718732,DXC
09/14/20,19.82,20.26,19.7,20.19,2011997,DXC
09/11/20,19.56,19.65,19.25,19.55,1891971,DXC
09/10/20,20.51,20.56,19.42,19.58,2386633,DXC
09/09/20,20.23,20.23,19.3,20.1,2219123,DXC
09/08/20,20.2,20.64,19.92,19.96,2594759,DXC
09/04/20,21.1,21.44,20.21,20.65,3655073,DXC
09/03/20,22.6,22.7,21.16,21.35,4165187,DXC
09/02/20,20.09,22.43,19.95,22.37,8137294,DXC
09/01/20,19.75,20.06,19.58,20.04,1992543,DXC
08/31/20,20.44,20.44,19.94,19.98,2684887,DXC
08/28/20,19.96,20.59,19.79,20.56,2033606,DXC
08/27/20,19.51,19.84,19.31,19.76,1864735,DXC
08/26/20,19.48,19.64,19.02,19.46,1799464,DXC
08/25/20,19.16,19.31,18.78,19.21,1581025,DXC
08/24/20,18.76,19.06,18.285,18.94,2029489,DXC
08/21/20,19.17,19.22,18.5501,18.68,1506797,DXC
08/20/20,19.42,19.64,19.12,19.13,1618259,DXC
08/19/20,19.34,19.9,19.3,19.71,1984458,DXC
08/18/20,20.16,20.16,19.28,19.37,2784774,DXC
08/17/20,20.51,20.97,20.12,20.15,2522290,DXC
08/14/20,19.47,20.7175,19.39,20.41,2713230,DXC
08/13/20,19.38,19.86,19.27,19.64,2189788,DXC
08/12/20,20.08,20.205,19.56,19.6,3226949,DXC
08/11/20,20.72,21.19,20.01,20.02,3624084,DXC
08/10/20,19.86,20.48,19.86,20.26,3932082,DXC
08/07/20,19.0,20.64,18.835,19.9,6480403,DXC
08/06/20,18.19,18.86,18.03,18.69,2860281,DXC
08/05/20,18.5,18.7401,18.31,18.48,2090945,DXC
08/04/20,18.23,18.4987,18.0426,18.24,2565980,DXC
08/03/20,17.88,18.71,17.57,18.15,12474020,DXC
07/31/20,17.62,17.99,17.35,17.91,2019289,DXC
07/30/20,17.36,17.86,16.8,17.76,1817749,DXC
07/29/20,17.0,17.89,16.92,17.8,2761933,DXC
07/28/20,17.12,17.38,16.92,16.94,1633698,DXC
07/27/20,17.09,17.2,16.71,17.13,2415041,DXC
07/24/20,17.51,17.71,17.062,17.15,2027862,DXC
07/23/20,17.18,17.79,17.16,17.53,2117959,DXC
07/22/20,16.91,17.44,16.79,17.28,1570234,DXC
07/21/20,17.18,17.61,17.035,17.1,2312624,DXC
07/20/20,16.72,17.02,16.43,16.9,1925383,DXC
07/17/20,16.72,16.96,16.54,16.81,2600236,DXC
07/16/20,16.1,16.94,15.97,16.66,2932382,DXC
07/15/20,15.74,16.49,15.725,16.42,3929719,DXC
07/14/20,15.34,15.48,15.07,15.41,2681807,DXC
07/13/20,15.67,16.01,15.44,15.51,3319151,DXC
07/10/20,15.07,15.555,14.9211,15.49,3200098,DXC
07/09/20,15.35,15.37,14.73,15.16,2518488,DXC
07/08/20,15.32,15.54,15.0,15.46,2846692,DXC
07/07/20,15.05,15.795,14.95,15.28,5368834,DXC
07/06/20,16.51,16.58,15.0811,15.29,6106550,DXC
07/02/20,16.68,17.06,16.095,16.15,3522301,DXC
07/01/20,16.45,16.87,15.62,16.14,12751780,DXC
06/30/20,15.99,16.59,15.87,16.5,3418678,DXC
06/29/20,15.57,16.09,15.22,16.08,3557608,DXC
06/26/20,15.74,15.79,15.11,15.48,5440615,DXC
06/25/20,14.94,15.98,14.82,15.91,7065814,DXC
