Date, Open, High, Low, Close, Volume,ticker
12/24/20,141.32,142.2004,140.78,141.81,688124,EA
12/23/20,139.52,142.39,138.63,141.51,1762444,EA
12/22/20,141.24,141.72,138.69,139.43,2105095,EA
12/21/20,141.63,142.37,138.97,141.01,2631175,EA
12/18/20,140.66,142.97,139.58,142.61,4874221,EA
12/17/20,141.95,142.495,138.32,139.85,3625919,EA
12/16/20,139.5,143.445,139.33,141.6,4029311,EA
12/15/20,137.81,140.8,137.11,140.66,3394791,EA
12/14/20,138.5,138.59,136.6,137.54,3356949,EA
12/11/20,134.78,137.11,134.63,135.8,3195673,EA
12/10/20,131.658,135.37,131.25,134.68,2903822,EA
12/09/20,131.56,133.63,130.84,133.17,4229637,EA
12/08/20,130.43,132.54,129.7199,132.15,2835775,EA
12/07/20,129.19,130.98,128.88,130.84,2671429,EA
12/04/20,126.415,129.15,126.25,128.69,2743137,EA
12/03/20,130.5,130.87,128.1801,128.38,2352164,EA
12/02/20,127.03,129.75,126.48,129.54,1905666,EA
12/01/20,127.58,128.0,125.66,127.24,2827862,EA
11/30/20,124.77,128.4,123.27,127.75,10085310,EA
11/27/20,123.58,125.0,122.41,124.17,2489440,EA
11/25/20,120.81,123.56,120.6,121.51,2850887,EA
11/24/20,121.49,121.97,119.74,120.25,3471791,EA
11/23/20,122.03,123.39,120.435,121.86,2086006,EA
11/20/20,119.53,123.0,119.1,121.87,3186929,EA
11/19/20,116.735,121.52,116.41,120.14,2839206,EA
11/18/20,118.34,118.575,116.65,116.84,2509222,EA
11/17/20,119.33,120.65,118.05,118.52,2954293,EA
11/16/20,119.25,120.705,117.55,118.6,3069469,EA
11/13/20,120.22,121.46,119.37,120.8,2111294,EA
11/12/20,120.93,122.32,118.97,119.32,2341420,EA
11/11/20,120.3,120.64,117.59,119.78,3573032,EA
11/10/20,116.99,120.53,114.78,118.93,4454291,EA
11/09/20,116.46,121.3011,110.15,116.97,7097239,EA
11/06/20,119.5,120.7,114.53,119.19,12151130,EA
11/05/20,128.88,128.88,126.28,128.33,3291699,EA
11/04/20,124.88,126.98,123.72,125.31,2594811,EA
11/03/20,120.75,121.46,119.4,120.74,2022547,EA
11/02/20,120.94,121.055,117.79,119.81,2650022,EA
10/30/20,122.99,124.09,118.52,119.83,3313123,EA
10/29/20,125.79,126.17,122.77,123.9,2633669,EA
10/28/20,125.62,127.07,124.81,125.6,2079571,EA
10/27/20,127.36,127.58,126.095,126.62,1452780,EA
10/26/20,126.41,127.49600000000001,125.03,126.68,2166019,EA
10/23/20,127.24,127.65,125.53,126.77,1215209,EA
10/22/20,127.78,128.01,125.3975,126.92,1792367,EA
10/21/20,127.98,129.45,127.3,127.65,2200937,EA
10/20/20,130.42,130.6,127.09,127.36,2249230,EA
10/19/20,133.14,133.89,129.51,129.87,1454331,EA
10/16/20,132.5,133.26,131.05,131.92,1925033,EA
10/15/20,131.07,132.41,129.88,131.34,1903434,EA
10/14/20,133.79,133.86,131.74,132.75,2520501,EA
10/13/20,131.87,133.54,130.16,132.94,2117365,EA
10/12/20,128.98,132.065,127.83,130.88,2106617,EA
10/09/20,126.86,128.44,125.915,127.45,1991745,EA
10/08/20,126.1,126.38,124.42,125.99,1959558,EA
10/07/20,126.41,126.5,123.97,125.01,3257483,EA
10/06/20,130.36,130.4,124.52,124.84,3753713,EA
10/05/20,130.09,132.95,129.07,130.72,1270110,EA
10/02/20,131.37,132.24,127.71,129.07,1751296,EA
10/01/20,132.07,134.055,131.46,132.78,1868992,EA
09/30/20,129.73,131.99,129.45,130.41,2164435,EA
09/29/20,132.06,132.43,129.5,130.02,1793543,EA
09/28/20,133.36,133.85,130.87,132.28,1796846,EA
09/25/20,129.51,132.015,128.69,131.19,1915724,EA
09/24/20,128.21,130.305,128.09,129.32,2001512,EA
09/23/20,131.57,132.32,127.935,128.42,2444503,EA
09/22/20,129.84,131.22,128.46,131.02,2082109,EA
09/21/20,124.33,128.47,124.15,128.29,2017441,EA
09/18/20,125.49,126.7,123.37,125.9,3402812,EA
09/17/20,124.22,126.54,123.54,125.26,2151772,EA
09/16/20,128.99,129.52,126.47,126.74,1832214,EA
09/15/20,127.99,129.86,127.5,128.33,2129559,EA
09/14/20,127.93,128.01,125.9253,126.18,1377254,EA
09/11/20,127.99,128.39,124.4,126.02,1746640,EA
09/10/20,129.88,131.129,126.34,127.26,2459965,EA
09/09/20,126.537,129.52,124.89,128.7,2776509,EA
09/08/20,127.46,127.5,123.33,124.3,4622778,EA
09/04/20,131.63,132.6508,126.91,130.13,2430011,EA
09/03/20,138.24,138.24,131.22,132.82,3430484,EA
09/02/20,138.0,140.3,136.64,139.56,2337422,EA
09/01/20,140.74,140.74,137.08,138.29,2720882,EA
08/31/20,141.08,141.11,138.09,139.47,2727367,EA
08/28/20,142.34,142.34,140.015,140.87,1553879,EA
08/27/20,143.38,143.74,139.85,141.77,1922978,EA
08/26/20,142.06,144.5,142.06,143.63,1580507,EA
08/25/20,142.01,142.4,141.0,142.21,857689,EA
08/24/20,142.27,142.84,141.21,142.33,1842651,EA
08/21/20,142.76,142.99,140.84,141.21,1940008,EA
08/20/20,141.62,143.96,141.05,143.48,1268149,EA
08/19/20,142.28,143.62,141.07,141.86,1816572,EA
08/18/20,140.6,142.74,140.16,142.58,1413936,EA
08/17/20,139.25,140.97,138.31,140.45,1481084,EA
08/14/20,141.6436,142.0091,139.95,140.43,1904209,EA
08/13/20,141.12,142.85,140.58,141.77,1191474,EA
08/12/20,136.88,140.3,136.18,139.9,1714289,EA
08/11/20,141.15,141.15,135.5601,135.7,2221709,EA
08/10/20,142.77,143.99,139.5,140.7,1378381,EA
08/07/20,146.43,146.84,142.316,143.99,1514878,EA
08/06/20,146.33,147.36,144.5,146.95,1671696,EA
08/05/20,145.82,146.335,143.26,146.18,1937018,EA
08/04/20,143.24,146.5,143.105,146.32,2680365,EA
08/03/20,141.55,143.43,139.55,142.36,2234014,EA
