Date, Open, High, Low, Close, Volume,ticker
12/24/20,51.23,51.24,49.94,50.12,2718524,EBAY
12/23/20,52.0,52.0,51.13,51.13,4739607,EBAY
12/22/20,51.71,52.02,51.08,51.62,6216128,EBAY
12/21/20,52.62,52.68,51.17,51.57,6082303,EBAY
12/18/20,53.1,53.26,52.395,53.06,10943140,EBAY
12/17/20,53.63,53.96,52.44,53.05,6195674,EBAY
12/16/20,52.16,54.89,52.16,53.65,12846710,EBAY
12/15/20,49.96,52.1,49.69,52.08,7780397,EBAY
12/14/20,49.23,50.5,49.23,49.57,9127370,EBAY
12/11/20,49.44,49.61,48.67,49.13,4549638,EBAY
12/10/20,49.4,49.84,48.93,49.6,4344046,EBAY
12/09/20,49.96,50.18,49.22,49.5,6794469,EBAY
12/08/20,49.91,50.23,49.28,49.89,7091510,EBAY
12/07/20,50.91,51.01,49.91,50.03,5132246,EBAY
12/04/20,50.03,51.19,49.6401,50.97,4791038,EBAY
12/03/20,51.25,51.3,50.11,50.29,5354235,EBAY
12/02/20,50.52,51.54,50.36,51.35,9281900,EBAY
12/01/20,50.5,51.46,50.18,50.52,7161528,EBAY
11/30/20,51.03,51.23,49.36,50.43,10743230,EBAY
11/27/20,50.94,51.93,50.9,51.34,3604040,EBAY
11/25/20,50.75,51.03,50.05,50.45,4438875,EBAY
11/24/20,49.92,51.29,49.825,50.53,7223267,EBAY
11/23/20,49.18,50.34,49.1,49.9,9421401,EBAY
11/20/20,49.8,49.88,48.96,48.99,10521530,EBAY
11/19/20,48.646,50.05,48.56,49.78,12012190,EBAY
11/18/20,48.07,49.455,48.07,48.53,12734060,EBAY
11/17/20,48.37,48.9,47.96,48.33,9892613,EBAY
11/16/20,48.45,49.17,48.01,48.55,14933350,EBAY
11/13/20,46.9,48.715,46.72,48.67,12084770,EBAY
11/12/20,48.13,48.17,46.4,46.59,10267540,EBAY
11/11/20,47.168,48.1,46.81,47.71,13142280,EBAY
11/10/20,47.55,47.64,45.36,46.54,15521810,EBAY
11/09/20,48.0,49.25,46.85,48.32,19388020,EBAY
11/06/20,49.7,51.17,49.05,50.69,10244440,EBAY
11/05/20,48.71,49.95,48.47,49.41,10325150,EBAY
11/04/20,49.47,49.64,47.56,47.82,16562131,EBAY
