Date, Open, High, Low, Close, Volume,ticker
12/24/20,61.73,62.23,61.015,62.19,382290,EIX
12/23/20,61.67,62.12,61.29,61.3,1526443,EIX
12/22/20,61.82,61.82,60.97,61.32,1043376,EIX
12/21/20,61.73,62.25,60.45,61.88,2180650,EIX
12/18/20,62.91,63.47,62.01,62.54,3717912,EIX
12/17/20,62.86,63.33,62.725,62.9,1424685,EIX
12/16/20,63.66,63.83,62.56,62.7,1512696,EIX
12/15/20,62.49,63.78,62.37,63.76,1860843,EIX
12/14/20,63.0,63.3,62.18,62.26,1413594,EIX
12/11/20,62.89,63.4213,62.62,62.8,1640572,EIX
12/10/20,63.0,63.01,62.22,62.88,1400128,EIX
12/09/20,62.09,63.005,62.08,62.91,1434868,EIX
12/08/20,61.43,62.2,61.34,61.89,1467132,EIX
12/07/20,61.3,62.19,61.13,61.94,1449003,EIX
12/04/20,61.76,62.15,61.15,61.83,1173031,EIX
12/03/20,62.05,62.76,61.4,61.54,1917487,EIX
12/02/20,62.04,62.21,61.07,62.19,1739992,EIX
12/01/20,61.88,63.1,61.84,62.09,1514522,EIX
11/30/20,62.38,62.43,60.89,61.36,2684389,EIX
11/27/20,63.67,63.89,62.51,62.79,968285,EIX
11/25/20,64.92,65.05,63.14,63.71,2866741,EIX
11/24/20,64.99,65.74,64.61,65.45,1737328,EIX
11/23/20,63.56,64.38,63.15,64.15,2692809,EIX
11/20/20,63.71,64.155,63.0,63.38,2986994,EIX
11/19/20,64.15,64.5,63.0901,63.62,2676396,EIX
11/18/20,66.01,66.68,64.46,64.54,1623989,EIX
11/17/20,64.77,66.545,64.6385,65.6,1468659,EIX
11/16/20,64.99,65.3973,64.02,65.17,1862597,EIX
11/13/20,63.0,64.7525,62.905,64.06,1457576,EIX
11/12/20,62.48,63.37,61.77,62.79,1977846,EIX
11/11/20,63.12,63.705,62.74,62.9,1304345,EIX
11/10/20,61.14,63.2275,60.86,62.72,3126736,EIX
11/09/20,61.93,63.23,58.92,60.76,2624926,EIX
11/06/20,59.21,59.7,58.01,58.32,1476147,EIX
11/05/20,58.11,59.71,57.99,59.38,1610445,EIX
11/04/20,57.93,59.42,57.39,57.43,1399150,EIX
11/03/20,58.14,59.25,58.09,58.41,1440494,EIX
11/02/20,56.4,57.59,56.0,57.55,1271168,EIX
10/30/20,55.85,56.55,54.83,56.04,1654696,EIX
10/29/20,56.12,56.78,55.06,56.07,2426318,EIX
10/28/20,58.0,59.09,56.54,56.56,2402909,EIX
10/27/20,57.99,58.5486,57.32,57.81,2066129,EIX
10/26/20,59.98,60.11,56.18,58.19,3642082,EIX
