Date, Open, High, Low, Close, Volume,ticker
12/24/20,100.8,101.41,100.2,101.31,154109,EMN
12/23/20,101.62,102.54,100.81,100.92,511223,EMN
12/22/20,102.82,102.82,100.86,100.97,979834,EMN
12/21/20,102.54,102.92,100.5515,102.58,785127,EMN
12/18/20,102.4,103.9,101.68,103.68,2835805,EMN
12/17/20,102.33,103.07,101.37,102.5,1028660,EMN
12/16/20,101.85,101.85,100.58,101.7,868355,EMN
12/15/20,101.27,102.0112,100.265,101.48,988654,EMN
12/14/20,102.89,103.39,99.75,100.19,1200362,EMN
12/11/20,101.97,102.99,101.39,102.5,949181,EMN
12/10/20,103.0,104.32,102.56,102.98,1247827,EMN
12/09/20,103.43,104.83,103.135,104.15,1247223,EMN
12/08/20,101.3,103.65,100.71,103.17,811838,EMN
12/07/20,101.77,102.32,101.0,101.72,1430990,EMN
12/04/20,99.49,102.44,98.93,102.39,1167663,EMN
12/03/20,98.44,99.045,96.8492,98.15,1063139,EMN
12/02/20,99.14,99.64,97.83,98.18,793249,EMN
12/01/20,99.19,100.59,97.88,98.78,707697,EMN
11/30/20,99.61,99.83,97.205,97.4,1454000,EMN
11/27/20,100.5,100.9,98.74,99.9,353325,EMN
11/25/20,102.0,102.54,99.41,99.84,855457,EMN
11/24/20,100.9,103.73,99.8,103.22,1236961,EMN
11/23/20,97.0,100.07,96.72,100.0,1114640,EMN
11/20/20,96.32,96.99,95.44,96.55,761375,EMN
11/19/20,96.01,96.54,94.33,96.51,845616,EMN
11/18/20,97.34,97.91,96.12,96.73,643444,EMN
11/17/20,97.0,97.02,95.41,97.01,1197265,EMN
11/16/20,95.06,98.52,94.88,98.0,1102278,EMN
11/13/20,91.1,94.32,91.1,94.0,737856,EMN
11/12/20,90.73,91.74,90.0861,90.75,905791,EMN
11/11/20,93.15,93.6978,90.805,91.76,714773,EMN
11/10/20,90.36,93.84,90.3121,93.4,1135652,EMN
11/09/20,90.1,93.1,89.27,90.34,1084114,EMN
