Date, Open, High, Low, Close, Volume,ticker
12/24/20,80.49,80.49,79.54,79.98,456579,EMR
12/23/20,79.99,80.44,79.325,80.02,2551137,EMR
12/22/20,80.3,80.5,79.05,79.33,2897710,EMR
12/21/20,79.03,81.15,78.41,80.57,3195329,EMR
12/18/20,81.11,81.51,80.06,80.9,5390413,EMR
12/17/20,81.92,82.19,80.44,81.16,2528285,EMR
12/16/20,81.97,82.38,80.59,81.28,1852850,EMR
12/15/20,82.75,82.96,80.86,82.44,3170091,EMR
12/14/20,82.82,83.14,80.32,80.41,3428238,EMR
12/11/20,80.59,82.65,80.5,82.42,3870830,EMR
12/10/20,81.35,81.84,80.64,81.36,2990242,EMR
12/09/20,81.37,82.0,80.73,81.6,3746692,EMR
12/08/20,78.22,81.48,78.11,81.34,3918028,EMR
12/07/20,79.83,79.97,78.25,79.17,4038858,EMR
12/04/20,75.71,80.44,75.58,80.1,5503052,EMR
12/03/20,75.94,76.37,75.36,75.48,2582650,EMR
12/02/20,74.55,76.15,74.5,75.9,3035287,EMR
12/01/20,77.95,78.34,75.65,75.77,3076655,EMR
11/30/20,78.0,78.0,75.97,76.82,2724625,EMR
11/27/20,78.73,79.09,77.84,78.16,664103,EMR
11/25/20,79.32,79.46,78.21,78.26,1658718,EMR
11/24/20,78.99,80.195,78.51,79.95,4222538,EMR
11/23/20,76.62,77.99,76.52,77.81,2205829,EMR
11/20/20,77.0,77.05,75.47,75.96,1810734,EMR
11/19/20,76.68,77.36,75.89,77.24,1563387,EMR
11/18/20,76.78,78.11,76.41,76.89,2559466,EMR
11/17/20,77.75,77.88,75.82,76.39,2269819,EMR
11/16/20,77.23,78.14,76.51,77.99,2742274,EMR
11/13/20,74.61,75.92,74.61,75.81,1789272,EMR
11/12/20,74.42,74.75,73.4699,74.23,2387268,EMR
11/11/20,77.18,77.4,74.78,74.9,3441219,EMR
11/10/20,76.56,77.91,75.9701,77.44,3291184,EMR
11/09/20,75.0,77.56,75.0,76.29,6659396,EMR
11/06/20,70.56,70.7,69.56,70.12,2348877,EMR
11/05/20,69.86,71.23,69.17,70.47,2700772,EMR
11/04/20,68.67,69.92,66.5,68.15,4053493,EMR
11/03/20,68.2,70.87,68.065,70.4,4692298,EMR
11/02/20,65.9,68.35,65.74,67.96,5200490,EMR
10/30/20,64.41,64.81,63.65,64.79,3902890,EMR
10/29/20,64.53,65.5,64.15,64.44,4505755,EMR
10/28/20,65.22,66.145,64.49,64.99,3326015,EMR
10/27/20,67.57,68.05,66.84,66.92,3110088,EMR
10/26/20,69.18,69.18,67.05,67.73,2514970,EMR
10/23/20,70.48,70.9,69.69,70.02,2044761,EMR
10/22/20,69.57,69.87,69.21,69.76,1556759,EMR
10/21/20,69.39,70.32,69.09,69.21,2525606,EMR
10/20/20,70.39,71.09,69.735,70.0,1882882,EMR
10/19/20,70.33,70.73,69.74,69.96,3219543,EMR
10/16/20,70.0,70.8,69.87,70.28,2848169,EMR
10/15/20,68.42,69.6,68.314,69.58,2020634,EMR
10/14/20,69.08,70.14,69.08,69.38,1918620,EMR
10/13/20,69.65,69.98,68.45,68.89,1878988,EMR
10/12/20,70.3,70.47,69.21,69.58,1999871,EMR
10/09/20,70.0,71.2,69.905,69.95,3006341,EMR
10/08/20,69.23,69.58,68.7,69.28,1627128,EMR
10/07/20,68.21,69.07,67.87,68.88,1883294,EMR
10/06/20,67.78,69.13,67.17,67.28,2160879,EMR
10/05/20,66.5,67.84,66.3064,67.59,2295294,EMR
10/02/20,63.38,66.31,63.26,65.54,2090072,EMR
10/01/20,66.23,66.34,64.16,64.63,2314846,EMR
09/30/20,65.62,66.64,65.03,65.57,2687053,EMR
09/29/20,65.74,65.95,64.71,65.16,1399086,EMR
09/28/20,65.55,66.23,65.19,65.52,1949318,EMR
09/25/20,63.69,64.635,63.61,64.33,1847877,EMR
09/24/20,63.71,65.1,63.16,64.39,1646114,EMR
09/23/20,65.58,66.32,63.74,63.89,1918651,EMR
09/22/20,64.84,65.68,64.49,65.23,2114586,EMR
09/21/20,66.5,66.89,64.145,64.98,2767771,EMR
09/18/20,68.73,69.62,67.75,67.85,3503617,EMR
09/17/20,67.93,69.3794,67.23,69.09,2398248,EMR
09/16/20,68.93,69.32,67.5201,68.68,3143617,EMR
09/15/20,68.52,69.535,68.34,68.41,2233592,EMR
09/14/20,68.43,68.815,67.73,68.19,2684342,EMR
09/11/20,67.91,68.48,67.49,67.92,2253642,EMR
09/10/20,68.86,69.17,67.2,67.51,2226976,EMR
09/09/20,68.58,69.54,68.3,68.7,1671768,EMR
09/08/20,68.7,69.04,67.6,67.76,2716902,EMR
09/04/20,69.76,70.55,68.65,69.54,2236430,EMR
09/03/20,70.85,71.08,68.18,68.74,2243234,EMR
09/02/20,69.79,70.975,69.71,70.7,2880967,EMR
09/01/20,69.46,70.17,69.04,70.13,2255879,EMR
08/31/20,70.5,70.59,69.26,69.47,2387289,EMR
08/28/20,69.61,70.9301,69.27,70.65,2049656,EMR
08/27/20,70.72,71.19,69.13,69.59,2122765,EMR
08/26/20,69.87,70.71,69.04,70.27,2901710,EMR
08/25/20,70.29,70.49,69.115,69.78,2094858,EMR
08/24/20,68.23,69.65,67.94,69.65,2539101,EMR
08/21/20,67.79,68.04,67.41,67.86,2730385,EMR
08/20/20,67.68,67.97,67.41,67.66,2830595,EMR
08/19/20,68.65,68.86,67.9,68.32,3146030,EMR
08/18/20,68.91,69.44,68.29,68.36,2302610,EMR
08/17/20,69.99,70.51,69.04,69.25,1435044,EMR
08/14/20,69.55,70.31,69.4,69.73,2018433,EMR
08/13/20,70.64,71.21,69.98,70.2,3635524,EMR
08/12/20,70.95,71.91,70.31,71.79,6260111,EMR
08/11/20,69.94,71.535,69.91,70.29,5555028,EMR
08/10/20,66.41,68.55,66.39,68.17,3431888,EMR
08/07/20,65.34,66.405,64.66,66.37,3830918,EMR
08/06/20,65.0,65.32,64.56,65.12,2060482,EMR
08/05/20,63.13,64.97,62.79,64.69,3182345,EMR
08/04/20,62.785,63.62,61.4088,61.93,3501162,EMR
08/03/20,62.37,63.65,62.22,62.77,2823875,EMR
07/31/20,62.31,62.3208,60.78,62.01,3472268,EMR
07/30/20,62.79,62.93,61.65,62.65,2103445,EMR
07/29/20,62.76,63.89,62.42,63.74,2749143,EMR
07/28/20,63.08,63.42,62.19,62.27,2341346,EMR
07/27/20,63.16,63.61,62.75,63.41,2496569,EMR
07/24/20,64.24,64.33,63.235,63.36,1427748,EMR
07/23/20,63.9,64.34,63.63,64.01,1659292,EMR
07/22/20,63.54,64.02,63.18,63.96,2143304,EMR
07/21/20,63.11,64.255,63.0,63.79,2509123,EMR
07/20/20,62.83,63.38,62.04,62.35,1936517,EMR
07/17/20,63.61,63.92,63.21,63.53,2091315,EMR
07/16/20,63.24,64.095,62.79,63.14,2493390,EMR
07/15/20,63.48,63.96,62.57,63.63,2262643,EMR
07/14/20,60.35,62.27,59.83,62.09,2889357,EMR
07/13/20,60.06,61.94,59.88,60.83,3155697,EMR
07/10/20,59.68,59.93,59.07,59.77,2330992,EMR
07/09/20,60.98,61.2,59.345,59.47,2039710,EMR
07/08/20,61.1,61.34,60.52,61.09,2624528,EMR
07/07/20,62.09,62.25,60.63,60.82,2977852,EMR
07/06/20,62.88,63.04,61.825,62.51,2543821,EMR
07/02/20,62.24,63.44,61.59,61.65,2327654,EMR
07/01/20,62.09,62.33,60.92,61.21,2486453,EMR
06/30/20,61.24,62.29,60.92,62.03,2590065,EMR
06/29/20,60.78,61.38,60.37,61.38,2001523,EMR
06/26/20,59.89,60.37,59.27,59.87,4462105,EMR
06/25/20,59.3,60.41,58.669,60.35,2337690,EMR
06/24/20,61.0,61.18,59.495,59.63,3896770,EMR
06/23/20,62.28,62.59,61.58,61.82,2080266,EMR
06/22/20,61.45,61.85,60.26,61.44,2744460,EMR
06/19/20,62.58,62.58,60.47,61.98,9675107,EMR
06/18/20,61.8,62.8,61.06,61.39,2696366,EMR
06/17/20,63.64,63.74,62.49,62.59,2165270,EMR
06/16/20,65.16,65.38,62.52,63.46,2904635,EMR
06/15/20,59.39,62.85,59.21,62.27,2757018,EMR
06/12/20,62.7,62.81,59.76,61.35,3067943,EMR
06/11/20,62.64,63.16,60.4,60.46,4186232,EMR
06/10/20,67.24,67.24,65.505,65.88,3717805,EMR
06/09/20,67.7,68.12,66.8,67.51,3094788,EMR
06/08/20,68.0,69.4,67.78,69.33,3853831,EMR
06/05/20,66.05,67.5,65.44,67.1,4348297,EMR
06/04/20,62.46,63.16,61.91,63.13,2606569,EMR
06/03/20,62.24,63.16,62.0,62.92,2987699,EMR
06/02/20,60.85,61.69,60.45,61.15,2580060,EMR
06/01/20,60.81,61.2312,60.12,60.4,2294921,EMR
05/29/20,60.33,61.25,59.53,61.02,4713397,EMR
05/28/20,62.31,62.41,60.51,61.03,3073410,EMR
05/27/20,61.03,62.04,60.4,61.89,4238905,EMR
05/26/20,58.26,59.65,57.79,59.27,3461697,EMR
05/22/20,56.37,56.53,55.36,55.87,4231769,EMR
05/21/20,56.88,57.0385,55.93,56.25,2602912,EMR
05/20/20,56.51,57.7,56.45,56.81,3218944,EMR
05/19/20,56.03,57.16,55.38,55.7,2672750,EMR
05/18/20,54.97,56.83,54.97,56.42,4306116,EMR
05/15/20,52.95,54.46,52.8245,52.94,8300030,EMR
05/14/20,50.2,53.43,50.03,53.38,4718472,EMR
05/13/20,53.23,53.4,51.37,51.9,3649369,EMR
05/12/20,56.25,56.5825,53.42,53.44,2893872,EMR
05/11/20,56.27,56.39,55.27,56.02,3662497,EMR
05/08/20,56.34,56.45,55.7,56.1,2938160,EMR
05/07/20,55.86,56.25,55.055,55.26,2763848,EMR
05/06/20,54.5,55.14,53.77,54.58,3597559,EMR
05/05/20,55.45,55.74,54.6,54.7,3124137,EMR
05/04/20,53.19,54.32,52.25,54.29,4255154,EMR
05/01/20,55.87,55.99,53.38,53.79,4095948,EMR
04/30/20,58.14,58.34,56.72,57.03,4807906,EMR
04/29/20,59.0,59.66,58.38,59.07,2902049,EMR
04/28/20,57.37,58.41,56.18,57.53,3973316,EMR
04/27/20,53.99,56.48,53.99,56.03,2852208,EMR
04/24/20,53.53,54.19,52.6153,53.82,5052890,EMR
04/23/20,52.6,54.19,52.6,52.91,4729058,EMR
04/22/20,52.34,52.72,51.69,52.11,3726551,EMR
04/21/20,50.0,51.46,49.12,50.77,7351901,EMR
04/20/20,49.28,51.77,48.64,50.92,5376504,EMR
04/17/20,48.98,50.71,48.98,50.54,5357570,EMR
04/16/20,47.96,48.26,46.34,47.37,5423792,EMR
04/15/20,48.74,49.15,46.58,47.91,4022463,EMR
04/14/20,52.32,52.35,49.89,50.49,3872371,EMR
04/13/20,51.45,51.5976,50.02,51.19,3612992,EMR
04/09/20,53.51,55.14,50.55,51.78,3978766,EMR
04/08/20,50.64,52.89,50.64,52.1,3722622,EMR
04/07/20,52.3,53.41,50.18,50.29,4636750,EMR
04/06/20,48.46,49.8,47.83,49.39,3810640,EMR
04/03/20,47.78,48.69,45.37,45.72,4739068,EMR
04/02/20,45.54,48.64,45.445,47.73,5714118,EMR
04/01/20,44.82,45.92,43.55,45.7,4608066,EMR
03/31/20,46.31,48.13,46.21,47.65,4996266,EMR
03/30/20,45.96,46.98,45.26,46.63,4569310,EMR
03/27/20,46.18,47.035,45.1,45.58,5209613,EMR
03/26/20,48.69,49.36,46.23,48.8,6629779,EMR
03/25/20,44.75,49.94,44.2,47.61,6406966,EMR
03/24/20,40.89,44.74,40.16,44.3,5698011,EMR
03/23/20,42.84,43.0,37.75,38.08,7546190,EMR
03/20/20,46.5,48.1194,43.218999999999994,44.09,7373698,EMR
03/19/20,40.52,47.97,39.3,46.02,7001028,EMR
03/18/20,43.99,44.55,38.0,41.14,10350070,EMR
03/17/20,47.66,48.0,45.16,47.42,8577972,EMR
03/16/20,44.92,48.46,43.44,46.96,10564270,EMR
03/13/20,48.8,50.33,45.3,50.33,12188130,EMR
03/12/20,47.54,51.86,45.12,46.18,8994572,EMR
03/11/20,51.66,53.1,50.94,52.14,11823020,EMR
03/10/20,52.52,53.865,49.77,53.86,10773530,EMR
03/09/20,55.0,57.0,50.33,50.36,12611000,EMR
03/06/20,62.82,64.06,61.22,62.14,7721439,EMR
03/05/20,64.51,66.5,64.26,64.73,4692958,EMR
03/04/20,64.72,66.94,64.41,66.67,4313422,EMR
03/03/20,66.22,67.9,63.2105,63.74,5142525,EMR
03/02/20,64.54,66.53,63.52,66.3,4778469,EMR
02/28/20,62.45,64.22,62.11,64.11,6483771,EMR
02/27/20,65.05,67.71,64.37,64.38,4641667,EMR
02/26/20,67.27,68.61,66.57,66.63,4799644,EMR
02/25/20,69.37,69.69,66.32,66.6,4330268,EMR
02/24/20,69.57,69.95,69.0,69.19,3591952,EMR
02/21/20,71.47,72.1,71.0,72.09,2593358,EMR
02/20/20,71.76,72.82,71.51,72.02,2338207,EMR
02/19/20,71.87,72.58,71.58,71.86,2961410,EMR
02/18/20,72.26,72.71,70.7,71.44,4292381,EMR
02/14/20,73.06,73.51,72.61,73.51,2797075,EMR
02/13/20,74.35,74.49,72.39,73.14,3549835,EMR
02/12/20,74.55,75.585,74.3,75.4,3357951,EMR
02/11/20,73.87,74.67,73.7,73.83,2729780,EMR
02/10/20,73.46,73.76,72.77,73.39,2753052,EMR
02/07/20,74.94,74.94,73.615,73.77,2283730,EMR
02/06/20,76.63,76.63,74.9136,75.25,2241710,EMR
02/05/20,74.6,76.16,74.54,76.01,3944289,EMR
02/04/20,74.54,74.76,72.965,73.24,3781151,EMR
02/03/20,72.1,73.34,71.74,72.6,3933625,EMR
01/31/20,73.31,73.7,71.2,71.63,4309872,EMR
01/30/20,73.0,73.86,72.65,73.83,2659389,EMR
01/29/20,74.98,75.0,73.87,73.91,3087519,EMR
01/28/20,74.12,74.89,73.6,74.43,4289661,EMR
01/27/20,75.04,75.23,73.73,73.74,3566001,EMR
01/24/20,77.83,77.83,76.23,76.7,2037816,EMR
01/23/20,76.61,77.71,76.03399999999999,77.59,1819619,EMR
01/22/20,77.78,77.8,76.87,77.02,3024260,EMR
01/21/20,77.43,77.64,76.68,77.25,3146356,EMR
01/17/20,77.84,78.38,77.66,77.78,5008297,EMR
01/16/20,77.09,77.885,77.01,77.87,2438803,EMR
01/15/20,76.87,77.28,76.32,76.66,2367984,EMR
01/14/20,77.23,77.56,76.78,76.87,2280248,EMR
01/13/20,77.15,77.435,76.95,77.39,1964450,EMR
01/10/20,77.95,77.98,76.83,76.94,2628909,EMR
01/09/20,77.76,77.82,77.03,77.8,2309130,EMR
01/08/20,77.11,77.77,76.84,77.51,2554317,EMR
01/07/20,76.54,77.45,76.3701,77.24,2497027,EMR
01/06/20,75.88,77.09,75.75,77.05,3788980,EMR
01/03/20,76.0,76.51,75.56,76.42,2672646,EMR
01/02/20,76.57,77.51,76.28,77.48,2447577,EMR
12/31/19,76.36,76.747,76.03,76.26,1655564,EMR
12/30/19,76.63,76.81,76.12,76.44,1253969,EMR
12/27/19,76.86,76.87,76.33,76.51,992714,EMR
12/26/19,76.35,76.67,76.065,76.67,877370,EMR
12/24/19,76.99,76.99,76.0777,76.1,489733,EMR
12/23/19,76.44,76.86,76.22,76.79,1458313,EMR
12/20/19,76.92,76.95,76.07,76.27,5460172,EMR
12/19/19,76.06,76.28,75.72,76.09,2426942,EMR
12/18/19,76.46,76.48,75.63,76.04,2664232,EMR
12/17/19,76.61,76.61,76.0157,76.15,10667330,EMR
12/16/19,76.57,76.96,76.16,76.16,2276117,EMR
12/13/19,76.53,77.24,75.59,75.98,3308299,EMR
12/12/19,75.67,77.12,75.47,76.97,2496553,EMR
12/11/19,74.89,75.77,74.55,75.73,2237405,EMR
12/10/19,74.95,75.23,74.52,74.55,4268869,EMR
12/09/19,75.14,75.54,75.04,75.16,2972805,EMR
12/06/19,74.9,75.2,74.63,75.09,3087876,EMR
12/05/19,73.99,74.11,73.38,73.98,2970077,EMR
12/04/19,73.27,74.19,73.085,73.5,2463552,EMR
12/03/19,72.67,72.86,71.9,72.61,2772737,EMR
12/02/19,73.95,74.75,73.31,73.36,2444586,EMR
11/29/19,74.16,74.31,73.69,73.86,1086887,EMR
11/27/19,74.43,74.53,73.87,74.44,1505077,EMR
11/26/19,74.41,74.45,73.89,74.43,2077265,EMR
11/25/19,74.0,74.38,73.675,74.35,2274639,EMR
11/22/19,73.69,73.75,73.23,73.66,2425845,EMR
11/21/19,72.94,73.6,72.53,73.56,2116199,EMR
11/20/19,72.97,73.21,72.31,72.75,2243477,EMR
11/19/19,73.58,73.58,72.845,73.28,2133182,EMR
11/18/19,73.15,73.3,72.75,73.07,1678582,EMR
11/15/19,73.39,73.7,72.985,73.53,2134196,EMR
11/14/19,72.34,73.25,72.2723,72.73,2001019,EMR
11/13/19,73.5,73.8,73.26,73.58,2785724,EMR
11/12/19,74.26,74.7,73.89,74.07,2310124,EMR
11/11/19,73.29,73.885,73.17,73.81,1674105,EMR
11/08/19,73.71,73.895,73.32,73.88,2216434,EMR
11/07/19,73.88,74.29,73.57,73.79,2571954,EMR
11/06/19,73.13,74.25,72.87,73.6,4031051,EMR
11/05/19,72.1,73.925,72.0,73.79,6575541,EMR
11/04/19,72.47,75.54,72.29,73.22,6675739,EMR
11/01/19,70.61,71.79,70.46,71.79,2897445,EMR
10/31/19,70.75,71.03,69.39,70.15,2936128,EMR
10/30/19,70.75,71.05,69.86,71.03,1796491,EMR
10/29/19,70.55,71.225,70.505,70.86,2436575,EMR
10/28/19,71.27,71.44,70.53,70.99,2078087,EMR
10/25/19,70.11,71.1,69.91,70.82,1945357,EMR
10/24/19,70.75,70.8,69.44,69.88,1790553,EMR
10/23/19,70.25,70.63,69.92,70.56,2498727,EMR
10/22/19,69.56,70.43,68.95,70.23,2227297,EMR
10/21/19,69.06,69.75,68.94,69.43,2348098,EMR
10/18/19,67.97,68.82,67.92,68.65,3877198,EMR
10/17/19,67.8,68.47,67.7,68.05,2832710,EMR
10/16/19,67.43,68.09,67.28,67.32,2783137,EMR
10/15/19,67.21,68.42,66.64,67.73,4784747,EMR
10/14/19,66.61,67.38,66.535,67.21,2156895,EMR
10/11/19,66.25,68.03,65.97,67.04,3738215,EMR
10/10/19,63.78,65.43,63.78,65.05,2842115,EMR
10/09/19,63.68,64.12,62.98,63.62,2778156,EMR
10/08/19,63.76,64.015,63.1,63.16,2742670,EMR
10/07/19,65.03,65.49,64.44,64.45,2053741,EMR
10/04/19,64.36,65.2,64.36,65.19,3216013,EMR
10/03/19,63.1,64.43,62.8,64.4,3331469,EMR
10/02/19,64.28,64.6,62.98,63.5,4188617,EMR
10/01/19,67.97,68.27,65.175,65.25,7704578,EMR
09/30/19,66.95,67.21,66.62,66.86,5055231,EMR
09/27/19,65.08,66.8,64.0,66.4,6476658,EMR
09/26/19,64.48,64.48,63.83,64.19,1933669,EMR
09/25/19,63.89,64.59,63.75,64.46,2399496,EMR
09/24/19,65.0,65.28,63.78,63.99,3693382,EMR
09/23/19,64.4,65.2637,64.15,64.93,2610564,EMR
09/20/19,65.35,65.74,64.51,64.95,4134010,EMR
09/19/19,65.1,65.54,64.79,65.17,2067722,EMR
09/18/19,64.57,64.92,64.02,64.91,3523240,EMR
09/17/19,65.3,65.4,64.35,64.95,2220073,EMR
09/16/19,65.53,65.91,65.22,65.66,2279358,EMR
09/13/19,65.58,66.2099,65.16,65.55,2247727,EMR
09/12/19,65.0,65.5206,64.41,64.71,2408460,EMR
09/11/19,64.96,65.37,64.19,65.2,3047321,EMR
