Date, Open, High, Low, Close, Volume,ticker
12/24/20,707.94,711.43,702.605,705.94,97343,EQIX
12/23/20,714.92,719.24,703.08,703.08,342359,EQIX
12/22/20,700.0,714.09,698.0757,713.44,371434,EQIX
12/21/20,701.33,706.39,697.08,704.4,516269,EQIX
12/18/20,713.8,713.8,704.13,709.73,861995,EQIX
12/17/20,696.37,717.73,695.82,712.74,565483,EQIX
12/16/20,699.49,702.52,686.93,690.19,379063,EQIX
12/15/20,696.52,698.29,687.45,695.64,423123,EQIX
12/14/20,688.98,699.75,687.0024,690.03,453967,EQIX
12/11/20,685.46,689.695,671.9,688.86,454971,EQIX
12/10/20,676.03,689.25,676.03,686.99,419746,EQIX
12/09/20,702.91,703.89,675.84,678.4,596922,EQIX
12/08/20,705.0,706.41,692.125,695.28,454180,EQIX
12/07/20,714.96,717.76,694.38,697.55,681987,EQIX
12/04/20,692.9,712.96,690.49,708.33,632860,EQIX
12/03/20,701.73,701.73,689.775,692.65,669140,EQIX
12/02/20,710.0,712.93,688.14,690.62,552169,EQIX
12/01/20,706.59,714.86,700.03,712.58,798115,EQIX
11/30/20,701.6,706.73,695.44,697.79,1021745,EQIX
11/27/20,701.04,705.695,691.625,700.52,469679,EQIX
11/25/20,698.99,705.345,686.765,693.54,880685,EQIX
11/24/20,714.95,715.85,690.06,692.38,1218270,EQIX
11/23/20,727.2,733.0,709.38,711.46,518851,EQIX
11/20/20,732.97,742.32,725.55,728.12,538347,EQIX
11/19/20,737.73,737.73,727.75,730.59,444534,EQIX
11/18/20,747.89,758.1,733.37,734.32,658477,EQIX
11/17/20,750.61,755.0,743.82,751.18,512235,EQIX
11/16/20,762.57,764.48,736.2,755.09,404951,EQIX
11/13/20,764.6,766.2999,755.31,760.81,314339,EQIX
11/12/20,767.12,767.215,754.33,760.31,390296,EQIX
11/11/20,733.72,766.05,731.0,760.85,554783,EQIX
11/10/20,743.13,743.87,716.03,726.77,770194,EQIX
11/09/20,800.41,808.02,740.54,743.21,852359,EQIX
11/06/20,790.72,797.27,781.25,794.39,471478,EQIX
11/05/20,790.0,795.34,779.75,781.05,335235,EQIX
11/04/20,759.35,787.0,758.72,777.29,363786,EQIX
11/03/20,742.6,755.33,738.37,752.28,313760,EQIX
11/02/20,740.25,748.0,729.8434,738.32,426500,EQIX
10/30/20,731.46,739.71,719.86,731.24,413390,EQIX
10/29/20,767.74,767.74,737.795,740.68,574099,EQIX
10/28/20,763.19,771.68,755.01,756.07,487595,EQIX
10/27/20,778.8,778.8,767.11,773.31,308577,EQIX
10/26/20,777.0,777.0,762.5,770.48,293258,EQIX
10/23/20,778.0,781.09,769.51,777.03,378130,EQIX
10/22/20,806.12,809.43,776.34,777.55,420050,EQIX
10/21/20,802.78,806.93,797.52,803.16,307563,EQIX
10/20/20,810.78,813.35,800.0,804.94,300067,EQIX
10/19/20,820.14,822.77,808.35,810.0,283995,EQIX
10/16/20,816.26,826.795,812.08,817.69,324856,EQIX
10/15/20,814.01,822.0,811.47,814.83,255159,EQIX
10/14/20,823.89,828.11,812.61,817.4,472890,EQIX
10/13/20,838.26,838.26,822.03,826.11,305459,EQIX
10/12/20,832.88,839.77,823.94,835.0,301533,EQIX
10/09/20,834.28,834.28,825.5511,829.35,356691,EQIX
10/08/20,803.04,835.59,797.5,824.4,613196,EQIX
10/07/20,790.82,805.765,789.61,803.26,347192,EQIX
10/06/20,787.42,796.94,775.0,790.83,394678,EQIX
10/05/20,777.79,788.27,762.81,788.26,301118,EQIX
10/02/20,764.38,779.81,760.34,778.0,446659,EQIX
10/01/20,764.26,771.61,756.02,768.35,378178,EQIX
09/30/20,767.57,770.16,752.675,760.13,442158,EQIX
09/29/20,764.81,768.6,760.4204,763.46,290466,EQIX
09/28/20,766.97,771.425,760.485,764.81,333082,EQIX
09/25/20,732.62,751.68,731.94,751.32,251112,EQIX
09/24/20,734.27,744.83,730.69,733.73,346919,EQIX
09/23/20,729.3902,754.12,729.3902,730.67,317931,EQIX
09/22/20,742.58,756.33,742.58,750.0,327215,EQIX
09/21/20,750.0,751.32,730.01,745.55,349960,EQIX
09/18/20,754.74,757.84,746.67,752.07,421267,EQIX
09/17/20,763.5,766.52,744.725,755.65,294540,EQIX
09/16/20,778.81,783.39,766.53,767.34,264624,EQIX
09/15/20,759.07,773.305,759.07,768.45,217987,EQIX
09/14/20,751.69,761.18,747.0,756.04,278358,EQIX
09/11/20,747.11,750.76,737.97,747.79,222027,EQIX
09/10/20,752.23,753.81,742.0,742.87,274829,EQIX
09/09/20,749.0,760.88,746.535,753.42,320517,EQIX
09/08/20,743.595,753.44,738.08,741.05,362634,EQIX
09/04/20,762.05,767.4,737.865,752.18,399875,EQIX
09/03/20,789.63,793.43,754.71,762.45,449829,EQIX
09/02/20,787.0,801.98,776.64,799.61,535831,EQIX
09/01/20,790.16,793.0,773.54,789.8,306360,EQIX
08/31/20,788.0,796.385,787.525,789.78,580459,EQIX
08/28/20,788.28,788.28,778.13,787.02,286940,EQIX
08/27/20,787.03,795.495,783.0,789.65,302774,EQIX
08/26/20,781.57,782.5,770.385,782.0,313520,EQIX
08/25/20,776.32,782.06,771.48,779.71,186231,EQIX
08/24/20,785.0,785.0,763.13,772.47,371392,EQIX
08/21/20,787.71,787.71,774.625,782.17,504593,EQIX
08/20/20,776.62,788.09,776.62,784.91,312112,EQIX
08/19/20,794.63,794.63,774.23,778.71,333960,EQIX
08/18/20,772.0,789.98,770.46,786.85,453645,EQIX
08/17/20,758.36,773.01,758.36,772.08,390744,EQIX
08/14/20,771.2,776.335,758.11,762.01,361648,EQIX
08/13/20,769.32,778.17,767.94,770.12,284529,EQIX
08/12/20,764.68,776.21,756.62,772.99,315306,EQIX
08/11/20,781.46,781.46,754.92,758.17,505911,EQIX
08/10/20,797.95,805.81,780.03,782.74,307744,EQIX
08/07/20,791.69,798.4780000000001,788.44,791.7,224852,EQIX
08/06/20,787.67,793.78,786.47,792.06,254279,EQIX
08/05/20,799.0,799.0,786.24,794.04,250074,EQIX
08/04/20,783.46,794.72,775.03,793.43,382885,EQIX
08/03/20,776.64,785.47,775.185,779.12,386533,EQIX
07/31/20,774.18,785.8,770.88,785.48,334613,EQIX
07/30/20,780.0,787.7,770.0,777.95,461519,EQIX
