Date, Open, High, Low, Close, Volume,ticker
12/24/20,191.21,193.74,188.08,190.31,1116600,ETSY
12/23/20,196.9,197.38,190.03,190.17,2099294,ETSY
12/22/20,191.11,198.5,190.4428,197.38,3383280,ETSY
12/21/20,189.16,193.0,184.55,189.2,3033982,ETSY
12/18/20,190.59,191.73,184.69,190.76,5352792,ETSY
12/17/20,184.32,192.09,183.33,188.1,4322550,ETSY
12/16/20,173.69,182.78,171.34,182.34,4292726,ETSY
12/15/20,172.0,179.93,170.51,177.8,3380649,ETSY
12/14/20,172.25,176.48,169.66,169.97,3072326,ETSY
12/11/20,166.08,171.66,165.72,170.02,3064479,ETSY
12/10/20,157.3,167.62,157.0,165.3,2593618,ETSY
12/09/20,165.94,167.52,157.6401,159.23,3891022,ETSY
12/08/20,158.85,167.9155,156.8,163.97,3272537,ETSY
12/07/20,155.5983,158.8799,153.61,156.93,1942480,ETSY
12/04/20,154.13,157.09,153.2219,155.03,1967585,ETSY
12/03/20,154.49,157.0205,154.2,154.74,2016084,ETSY
12/02/20,151.375,155.6,150.0,154.62,2195947,ETSY
12/01/20,161.51,161.51,154.1,154.67,3254227,ETSY
11/30/20,161.94,164.64,153.36,160.7,11341610,ETSY
11/27/20,148.72,160.6296,148.53,160.55,5023016,ETSY
11/25/20,138.63,146.95,138.51,145.09,3551953,ETSY
11/24/20,139.99,140.0396,133.65,137.6,3333545,ETSY
11/23/20,141.0,143.23,138.22,140.2,2596504,ETSY
11/20/20,136.52,143.9599,136.265,140.06,4421206,ETSY
11/19/20,128.0,134.7,127.445,134.5,3011077,ETSY
11/18/20,127.84,129.24,124.7,127.01,2538649,ETSY
11/17/20,126.71,128.94,123.6,128.82,2503297,ETSY
11/16/20,122.54,127.24,120.5,125.62,3497720,ETSY
11/13/20,128.55,129.995,123.33,124.92,3484455,ETSY
11/12/20,129.64,133.5,125.8101,127.03,3878032,ETSY
11/11/20,121.92,131.07,121.79,130.59,5260721,ETSY
11/10/20,126.22,126.4,113.4866,119.43,6264807,ETSY
11/09/20,130.96,134.0,116.31,121.2,10639290,ETSY
11/06/20,143.68,146.6,140.55,146.28,2591103,ETSY
11/05/20,140.0,144.95,138.1247,143.64,2741357,ETSY
11/04/20,135.5,138.79,133.5098,136.2,3635934,ETSY
