Date, Open, High, Low, Close, Volume,ticker
12/24/20,41.95,41.95,41.41,41.83,1476671,EXC
12/23/20,41.93,42.43,41.65,41.71,3322921,EXC
12/22/20,41.59,41.965,41.48,41.76,3121752,EXC
12/21/20,42.21,42.21,41.11,41.51,4402792,EXC
12/18/20,42.69,43.03,42.34,42.57,9169932,EXC
12/17/20,42.61,43.115,42.605,42.65,5229598,EXC
12/16/20,42.8,43.11,42.18,42.44,7583779,EXC
12/15/20,41.44,42.83,41.275,42.72,8301152,EXC
12/14/20,41.48,42.09,41.03,41.06,4025620,EXC
12/11/20,40.83,41.29,40.705,41.19,3532441,EXC
12/10/20,41.26,41.38,40.551,41.2,4396124,EXC
12/09/20,41.28,41.47,40.97,41.09,4392419,EXC
12/08/20,41.17,41.39,40.61,41.32,4130692,EXC
12/07/20,40.7,41.445,40.66,41.195,3235857,EXC
12/04/20,41.3,41.34,40.53,40.93,3546301,EXC
12/03/20,41.3,41.65,40.8,41.05,4361370,EXC
12/02/20,41.12,41.61,40.72,41.57,5152715,EXC
12/01/20,41.32,41.88,41.1,41.25,5704755,EXC
11/30/20,41.483000000000004,41.52,40.92,41.07,9445750,EXC
11/27/20,42.24,42.31,41.585,41.74,1723438,EXC
11/25/20,42.46,42.56,41.78,42.22,3368949,EXC
11/24/20,42.06,42.81,41.87,42.75,4812111,EXC
11/23/20,42.29,42.3,41.395,41.57,4373778,EXC
11/20/20,42.24,42.56,41.78,41.87,4069937,EXC
11/19/20,42.47,42.58,41.78,42.35,5376687,EXC
11/18/20,43.19,43.38,42.68,42.7,5759432,EXC
11/17/20,42.88,43.54,42.81,43.07,4676072,EXC
11/16/20,43.21,43.51,42.63,43.34,4110897,EXC
11/13/20,42.7,42.95,42.51,42.89,3668734,EXC
11/12/20,43.45,43.63,42.385,42.7,5418055,EXC
11/11/20,43.2,43.85,42.88,43.835,5882684,EXC
11/10/20,43.27,43.67,42.92,42.99,10020000,EXC
11/09/20,44.41,46.02,43.11,43.32,8128001,EXC
11/06/20,42.94,43.17,42.61,42.84,8848182,EXC
11/05/20,42.46,43.36,42.31,43.07,7379248,EXC
11/04/20,42.69,42.94,41.65,42.22,8022245,EXC
11/03/20,42.72,42.99,41.62,42.47,6441796,EXC
11/02/20,40.51,40.975,39.94,40.96,5063709,EXC
10/30/20,39.722,40.25,39.46,39.89,7071659,EXC
10/29/20,39.18,40.565,38.8,40.16,5470756,EXC
10/28/20,40.37,40.83,39.425,39.57,6321729,EXC
10/27/20,41.62,42.005,41.14,41.15,5194860,EXC
10/26/20,41.41,41.765,41.04,41.7,6386740,EXC
10/23/20,42.58,42.65,41.95,42.2,4142908,EXC
10/22/20,42.08,42.29,41.575,42.23,4844992,EXC
10/21/20,42.29,42.77,42.12,42.14,4990413,EXC
10/20/20,42.21,42.66,42.04,42.4,6113320,EXC
10/19/20,41.87,42.285,41.8,41.86,8246954,EXC
10/16/20,41.4,42.17,41.17,42.09,6516543,EXC
10/15/20,40.44,41.48,40.315,41.4,5918793,EXC
10/14/20,41.327,41.75,40.98,41.03,9089313,EXC
10/13/20,40.9,41.1197,39.92,40.98,12124400,EXC
10/12/20,39.21,40.295,39.09,39.98,5940854,EXC
10/09/20,40.49,40.62,38.92,39.2,6014484,EXC
10/08/20,37.436,39.36,37.436,39.32,6929500,EXC
10/07/20,37.38,37.95,37.26,37.85,6227860,EXC
10/06/20,36.7,37.83,36.69,37.17,5710893,EXC
10/05/20,36.05,36.89,35.73,36.79,4998176,EXC
10/02/20,35.552,36.195,35.22,35.94,5178773,EXC
10/01/20,35.91,36.15,35.54,35.83,4727194,EXC
09/30/20,35.65,36.11,35.51,35.76,7059208,EXC
09/29/20,35.84,35.94,35.15,35.32,3278925,EXC
09/28/20,35.82,36.23,35.64,35.74,4661643,EXC
09/25/20,34.68,35.64,34.44,35.52,5196554,EXC
09/24/20,34.31,35.145,33.965,34.81,4594920,EXC
09/23/20,35.177,35.39,34.4,34.48,5043841,EXC
09/22/20,34.91,35.385,34.81,35.21,4448856,EXC
09/21/20,34.64,34.785,34.01,34.75,5216869,EXC
09/18/20,35.96,36.01,34.84,35.07,8477076,EXC
09/17/20,35.97,36.0,35.43,35.93,7085210,EXC
09/16/20,36.085,36.78,35.91,36.26,5631380,EXC
09/15/20,36.42,36.86,35.99,36.165,3310756,EXC
09/14/20,35.705,36.49,35.64,36.26,3664322,EXC
09/11/20,36.0,36.05,35.62,35.83,4602052,EXC
09/10/20,36.67,36.67,35.72,35.84,6101963,EXC
09/09/20,36.8,37.105,36.54,36.67,4467937,EXC
09/08/20,36.77,37.09,36.07,36.42,6070600,EXC
09/04/20,37.525,37.7,36.64,37.09,5989735,EXC
09/03/20,38.04,38.35,36.84,37.29,8410014,EXC
09/02/20,36.77,38.23,36.25,38.03,9580882,EXC
09/01/20,36.7,36.75,36.12,36.33,4373858,EXC
08/31/20,36.75,37.31,36.75,36.91,3984153,EXC
08/28/20,36.899,37.06,36.645,37.04,3930978,EXC
08/27/20,37.15,37.5666,36.68,36.89,5470192,EXC
08/26/20,37.01,37.3,36.55,37.275,6602568,EXC
08/25/20,37.78,37.8,36.85,37.13,3815976,EXC
08/24/20,36.81,37.74,36.54,37.69,5732081,EXC
08/21/20,36.45,36.585,35.97,36.52,6336109,EXC
08/20/20,37.2,37.24,36.28,36.31,3633104,EXC
08/19/20,37.17,37.4,36.89,37.02,4590506,EXC
08/18/20,37.4168,37.6101,36.89,37.07,4123642,EXC
08/17/20,37.59,37.72,37.15,37.34,7655685,EXC
08/14/20,37.75,38.02,37.55,37.93,3313704,EXC
08/13/20,38.17,38.27,37.73,37.94,4095387,EXC
08/12/20,38.0,38.93,37.91,38.71,4890535,EXC
08/11/20,38.54,38.75,37.72,37.9,6477580,EXC
08/10/20,38.94,39.29,37.95,38.31,7763990,EXC
08/07/20,37.9,39.055,37.74,38.93,6261929,EXC
08/06/20,37.65,37.95,37.35,37.9,4525757,EXC
08/05/20,38.688,38.92,37.51,37.72,5287948,EXC
08/04/20,37.56,38.93,37.34,38.75,7111962,EXC
08/03/20,38.38,38.45,37.7,37.99,4724055,EXC
07/31/20,38.31,38.63,37.95,38.61,9205194,EXC
07/30/20,38.05,38.495,37.56,38.47,4250583,EXC
07/29/20,38.02,38.57,37.8,38.56,5405067,EXC
07/28/20,37.48,38.59,37.41,37.97,6857269,EXC
07/27/20,37.83,38.0,37.0377,37.58,5770085,EXC
07/24/20,38.48,38.93,37.505,37.8,5426154,EXC
07/23/20,39.05,39.3,38.42,38.64,6242199,EXC
07/22/20,38.247,39.03,37.833,38.985,10427110,EXC
07/21/20,38.46,38.92,38.14,38.73,6951049,EXC
07/20/20,39.08,39.25,38.115,38.32,5437350,EXC
07/17/20,38.65,39.52,38.4,39.395,6946729,EXC
07/16/20,38.09,38.4101,37.82,38.06,4157983,EXC
07/15/20,38.11,38.59,37.91,38.05,5090299,EXC
07/14/20,37.22,38.07,37.22,37.87,7244238,EXC
07/13/20,37.35,37.73,37.1,37.47,5701839,EXC
