Date, Open, High, Low, Close, Volume,ticker
12/24/20,94.8,95.11,94.22,94.64,191059,EXPD
12/23/20,95.13,95.64,94.01,94.51,658516,EXPD
12/22/20,94.51,94.97,93.97,94.7,940546,EXPD
12/21/20,93.89,95.48,92.89,94.38,1045354,EXPD
12/18/20,93.91,95.47,93.52,95.4,2478284,EXPD
12/17/20,91.36,94.315,91.36,94.03,1092534,EXPD
12/16/20,90.37,92.12,90.085,91.4,1109354,EXPD
12/15/20,90.84,91.415,89.8,90.13,1661281,EXPD
12/14/20,91.18,91.89,89.88,90.18,1080840,EXPD
12/11/20,89.67,91.02,88.71,90.49,895874,EXPD
12/10/20,90.37,90.9,88.85,89.7,868824,EXPD
12/09/20,90.3,90.83,90.06,90.63,650273,EXPD
12/08/20,89.61,90.31,89.09,90.06,719489,EXPD
12/07/20,90.07,90.39,89.29,89.75,842870,EXPD
12/04/20,88.855,90.63,88.76,90.06,944503,EXPD
12/03/20,88.63,89.75,88.2,88.7,926329,EXPD
12/02/20,89.67,90.115,87.95,88.64,930877,EXPD
12/01/20,89.33,91.5,88.985,89.75,1354026,EXPD
11/30/20,88.62,89.47,88.06,89.37,2782455,EXPD
11/27/20,89.7,90.05,88.85,88.96,1031945,EXPD
11/25/20,90.38,90.62,88.89,90.3,773130,EXPD
11/24/20,89.62,91.63,89.13,90.34,1159677,EXPD
11/23/20,89.33,89.73,88.47,88.78,1393748,EXPD
11/20/20,90.25,90.72,88.86,88.99,1200214,EXPD
11/19/20,89.99,90.495,89.1,90.28,949315,EXPD
11/18/20,89.92,91.93,89.57,90.15,1108943,EXPD
11/17/20,89.74,90.11,88.7952,89.9,847383,EXPD
11/16/20,90.35,91.16,89.07,90.27,1045113,EXPD
11/13/20,88.72,90.16,86.7,89.19,1172049,EXPD
11/12/20,88.86,89.33,87.235,87.77,1088499,EXPD
11/11/20,88.95,89.59,87.71,88.61,813695,EXPD
11/10/20,87.11,88.94,86.75,88.28,1276289,EXPD
11/09/20,92.55,93.0,87.235,87.31,1818176,EXPD
11/06/20,87.71,88.7,86.83,88.32,931199,EXPD
11/05/20,87.94,88.97,86.87,87.41,1490184,EXPD
11/04/20,88.01,89.49,86.5,86.93,1723178,EXPD
11/03/20,89.16,91.74,85.01,86.89,2276452,EXPD
11/02/20,89.69,90.11,87.94,88.62,1751835,EXPD
10/30/20,88.68,89.745,86.91,88.37,1782928,EXPD
10/29/20,89.2,90.43,88.24,89.41,1206255,EXPD
10/28/20,92.81,93.42,89.15,89.19,1422702,EXPD
10/27/20,94.59,95.05,94.17,94.28,939605,EXPD
10/26/20,94.53,94.88,93.34,94.27,1153444,EXPD
10/23/20,94.39,95.375,93.96,95.2,532647,EXPD
10/22/20,94.16,94.56,93.28,94.27,736174,EXPD
10/21/20,93.86,95.29,93.485,93.78,863809,EXPD
10/20/20,93.31,94.9,92.9,93.73,794174,EXPD
10/19/20,93.68,93.9,92.25,92.56,965842,EXPD
10/16/20,93.91,93.96,92.8201,93.29,1391838,EXPD
10/15/20,93.53,93.96,92.67,93.86,516105,EXPD
10/14/20,93.2,94.44,92.92,93.75,721564,EXPD
10/13/20,93.2,94.08,92.01,92.87,1004322,EXPD
10/12/20,92.84,93.4,92.43,93.26,824875,EXPD
10/09/20,92.07,92.6,91.75,92.46,670051,EXPD
10/08/20,91.05,91.82,90.36,91.66,962883,EXPD
10/07/20,90.33,91.42,89.925,90.74,865675,EXPD
10/06/20,91.3,91.36,89.2,89.32,808941,EXPD
10/05/20,90.23,91.19,90.23,91.09,822293,EXPD
10/02/20,88.53,90.1,88.31,89.65,840977,EXPD
10/01/20,91.12,91.47,88.86,89.29,1080103,EXPD
09/30/20,91.76,92.19,89.945,90.52,1181112,EXPD
09/29/20,91.49,92.12,90.9,91.63,695775,EXPD
09/28/20,91.46,92.19,90.97,91.37,742641,EXPD
09/25/20,88.87,90.7,88.31,90.32,629640,EXPD
09/24/20,88.39,90.09,87.75,89.36,907801,EXPD
09/23/20,89.67,90.7,88.65,88.74,1017117,EXPD
09/22/20,88.68,89.78,88.44,89.16,1142497,EXPD
09/21/20,89.97,90.355,87.3,88.33,1008652,EXPD
09/18/20,93.66,93.79,90.69,91.32,2407535,EXPD
09/17/20,90.7,92.79,90.36,92.38,1176065,EXPD
09/16/20,95.1165,95.1165,91.3,91.52,1112470,EXPD
09/15/20,91.25,93.58,91.03,93.3,1372500,EXPD
09/14/20,90.8,91.85,90.69,91.21,1339452,EXPD
09/11/20,88.93,90.635,88.93,90.36,1569817,EXPD
09/10/20,89.52,89.82,88.54,88.61,1096331,EXPD
09/09/20,87.67,90.2,87.2445,89.55,1011624,EXPD
09/08/20,87.68,87.9273,86.23,86.46,1463144,EXPD
09/04/20,89.0,89.4,86.71,87.8,866331,EXPD
09/03/20,90.89,91.0,87.93,88.55,970644,EXPD
09/02/20,89.58,91.22,89.58,90.77,1284848,EXPD
09/01/20,88.74,89.75,87.76,89.68,778004,EXPD
08/31/20,88.83,89.12,88.0,88.39,900923,EXPD
08/28/20,88.04,88.97,87.465,88.88,699741,EXPD
08/27/20,87.83,88.13,87.26,87.5,1068404,EXPD
08/26/20,87.04,87.62,86.71,87.55,848706,EXPD
08/25/20,87.45,87.64,86.9,87.44,621589,EXPD
08/24/20,86.91,87.25,86.42,87.14,845641,EXPD
08/21/20,86.74,86.95,86.06,86.29,1232577,EXPD
08/20/20,86.51,87.18,86.32,86.86,906121,EXPD
08/19/20,86.98,87.74,86.8358,87.17,642663,EXPD
08/18/20,86.46,87.16,86.26,86.84,1075882,EXPD
08/17/20,86.27,86.98,86.12,86.5,735979,EXPD
08/14/20,86.18,87.135,85.31,86.1,676079,EXPD
08/13/20,85.94,86.2,85.14,85.98,1194679,EXPD
08/12/20,86.52,87.0,85.96,86.15,995742,EXPD
08/11/20,85.56,86.665,85.19,85.69,1397575,EXPD
08/10/20,84.99,86.03,84.69,85.19,1283009,EXPD
08/07/20,84.69,85.705,84.5,85.45,1169312,EXPD
08/06/20,84.54,85.07,83.97,84.53,1154789,EXPD
08/05/20,81.69,85.975,81.51,84.09,2043825,EXPD
08/04/20,86.0,87.65,84.21,86.84,1803777,EXPD
08/03/20,84.35,85.88,84.31,85.83,2020001,EXPD
07/31/20,82.87,84.9,82.65,84.51,2042252,EXPD
07/30/20,83.5,83.79,82.08,83.02,921219,EXPD
07/29/20,81.5,83.94,80.99,83.82,1366925,EXPD
07/28/20,81.05,81.13,79.41,79.45,612692,EXPD
07/27/20,80.11,81.17,79.69,81.08,897298,EXPD
07/24/20,80.34,80.79,80.03,80.19,576800,EXPD
07/23/20,79.87,80.5,79.49,80.39,931780,EXPD
07/22/20,79.96,80.14,79.34,79.51,560222,EXPD
07/21/20,79.59,80.48,79.23,79.86,910145,EXPD
07/20/20,79.38,80.01,78.93,79.42,679080,EXPD
07/17/20,79.57,79.99,79.33,79.63,1371619,EXPD
07/16/20,79.89,80.19,79.03,79.14,748068,EXPD
07/15/20,79.02,80.03,78.24,79.83,970500,EXPD
07/14/20,77.44,78.36,76.73,78.12,888572,EXPD
07/13/20,78.29,78.58,77.06,77.23,801122,EXPD
07/10/20,77.32,77.93,76.01,77.58,622508,EXPD
07/09/20,76.68,77.29,75.91,77.01,728819,EXPD
07/08/20,77.06,77.8,76.09,76.46,779603,EXPD
07/07/20,75.7,77.58,75.146,77.22,1234880,EXPD
07/06/20,77.95,78.41,76.79,77.24,888209,EXPD
07/02/20,76.7,77.53,76.31,77.15,830579,EXPD
07/01/20,76.7,77.78,75.1,76.19,1310886,EXPD
06/30/20,74.62,76.36,74.43,76.04,1124265,EXPD
06/29/20,74.12,75.07,73.69,74.3,872583,EXPD
06/26/20,72.84,74.01,72.58,73.54,2021816,EXPD
06/25/20,73.45,74.08,72.3,72.99,1232971,EXPD
06/24/20,75.0,75.47,73.49,73.62,1289264,EXPD
06/23/20,75.44,76.07,74.6,75.43,1054964,EXPD
06/22/20,73.11,75.28,72.13,74.575,1841661,EXPD
06/19/20,74.48,74.74,72.415,73.55,2269256,EXPD
06/18/20,74.08,74.745,73.41,73.62,950763,EXPD
06/17/20,74.5,75.05,73.55,73.98,1313088,EXPD
06/16/20,75.63,77.36,73.54,73.98,1336805,EXPD
06/15/20,72.14,74.43,71.94,74.18,1247939,EXPD
06/12/20,74.4,75.33,72.29,73.57,1024622,EXPD
06/11/20,77.53,77.72,73.49,73.54,1698545,EXPD
06/10/20,78.61,78.61,77.56,77.91,1413962,EXPD
06/09/20,77.4,78.443,76.79,78.18,1209208,EXPD
06/08/20,77.64,78.9,77.43,77.92,1068977,EXPD
06/05/20,78.75,78.9,77.815,77.92,1318601,EXPD
06/04/20,78.34,78.99,77.24,77.61,1144687,EXPD
06/03/20,77.75,78.73,77.32,78.42,1290241,EXPD
06/02/20,76.19,77.19,76.07,77.16,1186889,EXPD
06/01/20,76.0,76.36,73.63,75.59,853656,EXPD
05/29/20,75.01,76.5,74.42,76.37,2016088,EXPD
05/28/20,75.5,76.41,75.13,75.66,1002537,EXPD
05/27/20,75.0,75.46300000000001,74.01,75.375,1192812,EXPD
05/26/20,73.2,74.475,72.45100000000001,73.67,1117097,EXPD
05/22/20,72.06,72.25,71.09,72.06,900006,EXPD
05/21/20,72.28,72.89,72.06,72.19,886283,EXPD
05/20/20,72.81,73.895,72.46,72.74,1451211,EXPD
05/19/20,74.04,74.04,71.85,71.92,1506276,EXPD
05/18/20,73.18,73.81,72.35,73.69,2126736,EXPD
05/15/20,72.31,73.47,71.29,71.51,4568360,EXPD
05/14/20,72.54,73.0,71.07,72.98,1292665,EXPD
05/13/20,73.45,74.415,72.34,73.3,1251081,EXPD
05/12/20,75.31,75.41,73.57,73.57,1166795,EXPD
05/11/20,74.06,75.49,73.82,75.08,1252430,EXPD
05/08/20,74.91,75.56,74.07,74.83,1009248,EXPD
05/07/20,73.82,75.07,73.13,74.38,1108480,EXPD
05/06/20,71.91,73.38,71.14,72.74,1518407,EXPD
05/05/20,72.18,74.54,72.01,72.9,1665791,EXPD
05/04/20,70.67,71.49,69.54,71.42,1665393,EXPD
05/01/20,71.0,71.75,70.23,71.36,1214430,EXPD
04/30/20,72.05,72.4898,70.84,71.605,2000356,EXPD
04/29/20,73.0,73.0,71.105,72.49,1253711,EXPD
04/28/20,72.96,73.23,71.75,71.92,1023933,EXPD
04/27/20,72.21,72.77,71.68,72.29,1102675,EXPD
04/24/20,70.49,72.07,69.51,71.93,1195026,EXPD
04/23/20,70.35,71.73,69.707,70.22,1293762,EXPD
04/22/20,70.78,70.78,69.0,70.37,1337440,EXPD
04/21/20,69.82,70.42,69.16,69.67,1132326,EXPD
04/20/20,70.97,71.72,70.16,70.67,878560,EXPD
04/17/20,71.6,71.93,70.13,71.74,1523935,EXPD
04/16/20,68.92,70.24,67.56,69.95,2049360,EXPD
04/15/20,69.87,70.18,68.57,68.74,1625563,EXPD
04/14/20,71.28,71.85,70.23,70.62,2195890,EXPD
04/13/20,71.35,71.68,69.7,70.55,985672,EXPD
04/09/20,72.62,73.47,71.0,71.48,1523784,EXPD
04/08/20,71.05,73.0,70.19,72.47,1673338,EXPD
04/07/20,70.2,71.86,70.2,70.68,1913761,EXPD
04/06/20,68.73,69.66,68.03,69.21,1844160,EXPD
04/03/20,67.23,68.44,66.35,67.1,1381622,EXPD
04/02/20,65.87,67.96,65.32,67.7,2073661,EXPD
04/01/20,64.95,67.55,64.01,65.48,1604171,EXPD
03/31/20,66.19,67.615,65.96,66.72,1667696,EXPD
03/30/20,65.52,67.34,63.86,66.97,1482354,EXPD
03/27/20,63.57,66.7,62.385,65.11,1515697,EXPD
03/26/20,64.73,66.02,62.5801,65.2,2004619,EXPD
03/25/20,63.63,67.2905,61.2705,64.4,2156522,EXPD
03/24/20,57.6,63.67,57.56,63.09,2687287,EXPD
03/23/20,55.0,57.56,52.55,55.86,2307293,EXPD
03/20/20,58.6,59.36,52.85,54.94,3214975,EXPD
03/19/20,60.09,61.49,57.7,58.01,2202304,EXPD
03/18/20,59.36,61.285,56.96,60.75,2262496,EXPD
03/17/20,60.19,62.23,58.0,61.77,3161924,EXPD
03/16/20,57.85,62.6,57.8,58.74,2589436,EXPD
03/13/20,64.15,65.26,61.01,65.15,3102010,EXPD
03/12/20,63.47,66.13,61.98,62.02,4430483,EXPD
03/11/20,68.62,69.79,67.0,67.36,2911742,EXPD
03/10/20,69.15,70.1,67.45,69.95,3563143,EXPD
