Date, Open, High, Low, Close, Volume,ticker
12/24/20,126.94,127.43,125.75,126.96,564080,EXPE
12/23/20,123.99,128.155,123.17,126.49,1353786,EXPE
12/22/20,124.08,126.11,122.5,123.15,2185970,EXPE
12/21/20,121.78,124.69,120.15,123.36,2637559,EXPE
12/18/20,125.2,127.46,122.4,125.54,7924096,EXPE
12/17/20,125.66,125.66,122.34,124.48,3609811,EXPE
12/16/20,126.49,126.49,122.82,124.98,2739871,EXPE
12/15/20,124.5,126.66,123.36,126.0,2218584,EXPE
12/14/20,124.45,125.0,122.2,123.33,2774089,EXPE
12/11/20,129.525,129.6599,122.74,123.02,4987934,EXPE
12/10/20,125.69,134.085,125.69,130.47,4567854,EXPE
12/09/20,128.24,132.92,125.75,128.84,3469307,EXPE
12/08/20,125.82,127.4,124.05,126.28,1693465,EXPE
12/07/20,128.51,128.78,124.62,126.52,1767393,EXPE
12/04/20,128.19,128.78,125.25,128.58,2024365,EXPE
12/03/20,129.11,129.9299,126.7,127.35,1710695,EXPE
12/02/20,124.7,129.42,124.49,127.87,1726785,EXPE
12/01/20,126.79,128.31,125.17,126.22,1987262,EXPE
11/30/20,123.71,125.31,121.36,124.49,2791261,EXPE
11/27/20,124.0,125.68,122.46,123.73,840785,EXPE
11/25/20,124.25,124.3799,121.8,123.18,1344947,EXPE
11/24/20,125.7,125.745,122.8,125.05,2620022,EXPE
11/23/20,121.18299999999999,124.95,120.12,122.8,2290897,EXPE
11/20/20,123.45,123.66,119.77,119.9,2937723,EXPE
11/19/20,121.61,124.16,120.03,123.96,2045136,EXPE
11/18/20,123.1,126.08,122.01,122.52,1981660,EXPE
11/17/20,122.58,123.78,121.13,123.03,1937660,EXPE
11/16/20,128.77,128.98,122.32,123.56,3136091,EXPE
11/13/20,119.1,124.975,118.3,123.45,3639141,EXPE
11/12/20,118.3,119.9,115.6,117.5,3191114,EXPE
11/11/20,120.3,123.39,118.64,119.7,3728442,EXPE
11/10/20,122.281,126.81,119.74,122.75,7438947,EXPE
11/09/20,119.2,130.57,119.19,128.64,19306740,EXPE
11/06/20,102.0,104.32,100.8,103.27,1926389,EXPE
11/05/20,102.01,106.74,100.52,103.1,4470035,EXPE
11/04/20,99.24,100.72,97.17,98.5,3813594,EXPE
11/03/20,95.95,99.745,95.51,98.8,2635725,EXPE
11/02/20,95.05,95.23,92.555,94.72,2571240,EXPE
10/30/20,94.88,95.26,92.7075,94.15,2124927,EXPE
10/29/20,91.19,95.91,90.52,95.22,1733189,EXPE
10/28/20,92.8,93.85,90.77,91.83,2808330,EXPE
10/27/20,98.96,98.96,94.47,95.07,1908747,EXPE
10/26/20,101.56,101.64,96.16,99.01,2311401,EXPE
10/23/20,101.0,103.06,100.26,102.72,2625946,EXPE
10/22/20,93.05,102.11,92.58,101.04,4711793,EXPE
10/21/20,92.56,93.32,91.5,92.7,1062759,EXPE
10/20/20,92.92,95.42,92.55,92.96,2105582,EXPE
10/19/20,91.87,93.13,91.45,92.14,2078524,EXPE
10/16/20,91.06,91.76,89.95,90.71,2201069,EXPE
10/15/20,91.15,91.22,87.9,90.23,3394166,EXPE
10/14/20,94.57,95.69,92.35,92.4,2346121,EXPE
10/13/20,97.36,97.36,93.68,94.32,1792178,EXPE
10/12/20,98.005,98.48,96.77,97.34,1553948,EXPE
10/09/20,97.22,97.49,95.095,96.3,1298502,EXPE
10/08/20,94.06,96.05,93.022,95.95,1271166,EXPE
10/07/20,93.73,94.27,92.43,93.49,1412561,EXPE
10/06/20,92.89,95.57,91.4866,91.87,2154047,EXPE
10/05/20,93.1,93.47,90.9,92.16,1286826,EXPE
10/02/20,89.215,92.51,88.42,92.09,1891189,EXPE
10/01/20,92.55,94.725,91.95,92.06,2434882,EXPE
09/30/20,92.3,93.8653,90.42,91.69,2401807,EXPE
09/29/20,94.04,94.05,91.06,91.78,2245397,EXPE
09/28/20,92.99,95.2587,91.67,94.29,2240393,EXPE
09/25/20,91.04,93.89,90.38,93.57,2151962,EXPE
09/24/20,91.23,93.96,89.72,92.05,1871160,EXPE
09/23/20,93.38,95.3,91.68,91.92,1874476,EXPE
09/22/20,91.94,94.19,90.67,93.95,2413953,EXPE
09/21/20,91.17,92.3799,89.83,91.29,3202827,EXPE
09/18/20,97.31,97.31,92.97,93.8,3519817,EXPE
09/17/20,97.23,98.12,94.41,96.79,2131651,EXPE
09/16/20,97.75,101.374,97.26,99.03,2013799,EXPE
09/15/20,96.84,99.26,96.12,97.4,1560268,EXPE
09/14/20,96.14,96.53,94.72,95.92,2141251,EXPE
09/11/20,96.25,96.59,92.12,94.74,3019716,EXPE
09/10/20,99.08,101.19,97.15,97.24,2216466,EXPE
09/09/20,99.36,99.76,96.95,99.23,2069979,EXPE
09/08/20,98.26,100.84,97.48,99.27,1790950,EXPE
09/04/20,101.12,102.29,97.08,99.8,3345419,EXPE
09/03/20,101.72,104.05,99.21,100.29,3888067,EXPE
09/02/20,100.46,103.49,99.2,102.94,3812784,EXPE
09/01/20,97.6,99.3305,96.69,99.25,1967874,EXPE
08/31/20,101.02,101.02,98.07,98.15,2817387,EXPE
08/28/20,98.73,101.45,97.9,100.89,3020390,EXPE
08/27/20,96.1,98.48,95.77,97.735,2765560,EXPE
08/26/20,96.0,96.82,94.9415,95.11,2099354,EXPE
08/25/20,95.59,96.63,93.33,96.42,2377029,EXPE
08/24/20,92.15,95.97,91.55,95.46,4114322,EXPE
08/21/20,88.23,91.3,87.97,91.1,2582867,EXPE
08/20/20,86.97,89.205,86.76,88.67,1256670,EXPE
08/19/20,88.14,88.82,87.0,87.68,2428608,EXPE
08/18/20,87.1564,88.72,86.6825,88.5,1740469,EXPE
08/17/20,87.37,87.83,85.66,87.7,1909420,EXPE
08/14/20,86.56,86.99,85.44,86.73,1830788,EXPE
08/13/20,86.95,88.76,86.14,86.97,1585057,EXPE
08/12/20,88.35,88.99,85.73,86.95,1938041,EXPE
08/11/20,87.6,90.69,87.42,88.12,4141194,EXPE
08/10/20,83.11,86.37,83.1,84.91,2585576,EXPE
08/07/20,83.48,84.05,80.89,82.56,3199731,EXPE
08/06/20,81.81,85.58,81.48,84.21,3157316,EXPE
08/05/20,80.96,82.8,80.5,82.58,2757373,EXPE
08/04/20,79.86,81.4,79.07,79.74,4332857,EXPE
08/03/20,81.1,82.29,79.42,79.96,3514006,EXPE
07/31/20,80.83,81.32,76.75,81.01,10891850,EXPE
07/30/20,83.91,85.08,81.48,84.93,2841310,EXPE
07/29/20,84.01,85.67,82.27,85.32,1859521,EXPE
07/28/20,84.19,85.48,83.48,83.68,1516452,EXPE
07/27/20,83.4,84.8,80.7,84.42,2423741,EXPE
07/24/20,84.86,85.6,83.285,83.72,2503091,EXPE
07/23/20,87.1,87.23,83.75,85.17,2873722,EXPE
07/22/20,86.88,87.8,85.99,87.68,2082038,EXPE
07/21/20,87.72,89.11,86.7,87.53,1899969,EXPE
07/20/20,86.09,87.55,84.53,86.89,1924828,EXPE
07/17/20,87.21,87.25,85.57,86.87,1631638,EXPE
