Date, Open, High, Low, Close, Volume,ticker
12/24/20,113.25,114.44,112.86,114.39,123276,EXR
12/23/20,115.7,115.7,112.72,112.83,604797,EXR
12/22/20,114.22,115.6,113.8,115.19,635249,EXR
12/21/20,112.34,114.64,111.56,114.22,745550,EXR
12/18/20,113.79,114.5,111.76,112.49,1431883,EXR
12/17/20,112.19,114.43,111.75,114.17,1076921,EXR
12/16/20,111.98,112.34,110.15,111.07,2194590,EXR
12/15/20,110.34,111.72,108.53,111.65,1950354,EXR
12/14/20,110.57,112.91,109.61,109.88,1107001,EXR
12/11/20,109.93,111.69,109.645,110.4,1067588,EXR
12/10/20,112.07,113.43,109.99,110.02,1072413,EXR
12/09/20,113.57,113.8,111.3,112.5,653576,EXR
12/08/20,114.96,115.0,113.16,113.58,694901,EXR
12/07/20,113.6,115.355,113.6,115.0,1192828,EXR
12/04/20,113.72,114.9,112.51,114.35,612222,EXR
12/03/20,111.63,113.6,111.29,113.5,876825,EXR
12/02/20,113.27,114.49,111.06,111.42,582375,EXR
12/01/20,112.93,114.18,111.66,113.66,1044744,EXR
11/30/20,109.64,112.74,109.64,112.73,1072423,EXR
11/27/20,111.87,111.87,109.25,110.0,253139,EXR
11/25/20,110.41,112.23,109.955,111.99,727350,EXR
11/24/20,111.64,111.805,109.5,110.0,1121435,EXR
11/23/20,112.85,113.94,110.55,110.89,1024798,EXR
11/20/20,112.33,113.01,111.34,112.69,685189,EXR
11/19/20,112.84,113.61,111.25,112.62,664756,EXR
11/18/20,117.84,117.91,113.12,113.12,697724,EXR
11/17/20,117.23,118.33,116.23,117.87,865911,EXR
11/16/20,119.2,119.32,115.05,117.91,1012834,EXR
11/13/20,117.57,117.92,116.139,117.72,838009,EXR
11/12/20,118.17,118.3,114.46,115.58,603678,EXR
11/11/20,116.06,118.12,114.63,117.99,1294509,EXR
11/10/20,106.92,115.51,106.33,115.51,1700057,EXR
11/09/20,119.64,121.07,106.77,106.92,2201859,EXR
11/06/20,114.88,116.04,112.445,112.72,1875963,EXR
11/05/20,117.46,119.03,113.55,113.9,1509602,EXR
11/04/20,117.0,119.62,116.32,117.35,1469475,EXR
11/03/20,116.83,117.53,115.6,116.85,1889493,EXR
11/02/20,116.55,117.545,115.14,115.85,1158482,EXR
10/30/20,115.58,116.985,114.32,115.95,785319,EXR
10/29/20,115.72,117.02,115.04,116.32,1494216,EXR
10/28/20,116.6,117.52,114.385,115.7,1132190,EXR
10/27/20,118.77,120.29,116.99,117.09,1021264,EXR
10/26/20,118.04,118.72,116.13,118.61,1360424,EXR
10/23/20,118.0,118.7,117.06,118.66,920299,EXR
10/22/20,115.08,117.65,115.08,117.46,930741,EXR
10/21/20,114.67,116.34,114.24,115.35,1171018,EXR
10/20/20,114.58,115.47,113.93,114.37,800634,EXR
10/19/20,114.81,115.07,113.45,113.73,869624,EXR
10/16/20,114.7,115.5,114.13,114.63,1310208,EXR
10/15/20,112.88,115.115,112.795,114.94,1357751,EXR
10/14/20,113.48,113.82,112.71,113.37,887407,EXR
10/13/20,114.4,114.4,110.64,113.15,2468989,EXR
10/12/20,113.42,114.1,111.75,113.91,723345,EXR
10/09/20,114.47,114.54,112.18,113.35,1137068,EXR
10/08/20,112.76,113.96,112.59,113.75,1029782,EXR
10/07/20,112.58,113.19,111.28,112.53,1069068,EXR
10/06/20,113.43,114.29,110.95,111.95,1716163,EXR
10/05/20,113.0,113.14,108.61,112.79,1198397,EXR
10/02/20,108.69,112.86,107.48,112.39,1405295,EXR
10/01/20,107.31,109.78,107.09,109.24,1061532,EXR
09/30/20,107.69,108.3,106.135,106.99,1056005,EXR
09/29/20,107.89,108.56,106.39,107.24,630465,EXR
09/28/20,107.02,108.73,106.37,108.12,797031,EXR
09/25/20,103.43,105.71,102.735,105.45,1453250,EXR
09/24/20,104.97,105.465,103.1,103.92,853858,EXR
09/23/20,107.85,107.85,103.58,104.39,1224027,EXR
09/22/20,107.25,109.185,107.25,107.84,976124,EXR
09/21/20,107.93,109.61,105.55,107.56,1038003,EXR
09/18/20,110.2,111.0,109.245,109.32,1309972,EXR
09/17/20,111.42,112.36,109.92,111.21,770403,EXR
09/16/20,111.67,113.1899,111.07,112.29,1096078,EXR
09/15/20,111.18,112.51,110.32,111.15,615129,EXR
09/14/20,110.89,111.62,110.58,111.33,783649,EXR
09/11/20,109.98,112.34,108.95,111.19,650910,EXR
09/10/20,110.42,110.71,109.31,109.88,449765,EXR
09/09/20,108.8,112.5,108.8,110.82,940899,EXR
09/08/20,107.9,109.25,106.47,108.03,643189,EXR
09/04/20,108.13,109.21,106.27,108.35,710342,EXR
09/03/20,109.3,109.95,107.31,108.15,462817,EXR
09/02/20,106.79,108.51,106.135,108.46,904130,EXR
09/01/20,106.99,107.41,105.65,106.85,436261,EXR
08/31/20,106.02,106.965,105.4,106.55,816648,EXR
08/28/20,106.54,106.76,105.23,106.74,619332,EXR
08/27/20,106.38,106.955,106.195,106.53,581933,EXR
08/26/20,105.31,105.84,103.86,105.8,608206,EXR
08/25/20,106.43,106.69,104.65,106.06,821434,EXR
08/24/20,105.31,106.74,104.75,106.24,510778,EXR
08/21/20,104.53,105.43,104.04,105.31,807862,EXR
08/20/20,102.01,104.21,101.89,104.16,627406,EXR
08/19/20,104.5,104.76,101.98,102.2,500542,EXR
08/18/20,104.75,105.52,103.98,105.09,616144,EXR
08/17/20,104.22,104.72,103.42,104.68,687290,EXR
08/14/20,103.03,105.22,103.03,104.21,622216,EXR
08/13/20,103.11,104.65,102.51,103.03,603942,EXR
08/12/20,103.32,103.725,101.97,103.49,711875,EXR
08/11/20,105.9,106.355,102.6,102.99,632869,EXR
08/10/20,104.11,105.78,103.675,105.03,646293,EXR
08/07/20,100.81,104.26,100.595,103.76,1024794,EXR
08/06/20,100.94,101.57,97.4,101.1,1145399,EXR
08/05/20,105.67,105.96,101.28,102.27,1142590,EXR
08/04/20,102.11,105.79,101.59,105.12,1051534,EXR
08/03/20,102.56,102.56,101.16,101.92,965906,EXR
07/31/20,101.39,103.44,100.15,103.34,1047724,EXR
07/30/20,99.86,101.81,99.43,101.51,1665557,EXR
07/29/20,99.88,101.19,99.29,100.86,895659,EXR
07/28/20,95.77,99.71,95.77,99.59,916538,EXR
07/27/20,95.15,95.87,94.1,95.56,556794,EXR
07/24/20,97.7,98.065,95.25,95.4,802176,EXR
07/23/20,97.51,97.975,96.41,96.96,564742,EXR
07/22/20,96.24,98.42,95.83,97.94,575931,EXR
07/21/20,97.47,97.99,96.4,96.77,762586,EXR
07/20/20,98.48,98.79,96.64,96.97,991178,EXR
07/17/20,96.89,99.09,95.785,98.68,1124066,EXR
07/16/20,97.79,98.38,96.415,96.7,951429,EXR
07/15/20,98.08,98.61,97.35,98.08,870756,EXR
07/14/20,96.44,97.79,96.08,97.3,739896,EXR
07/13/20,96.65,96.87,95.63,96.0,811473,EXR
07/10/20,95.43,96.67,95.43,96.25,804012,EXR
07/09/20,95.41,95.835,93.787,95.21,429699,EXR
07/08/20,95.13,95.91,94.67,95.67,933906,EXR
07/07/20,95.28,96.3,94.5814,95.08,608979,EXR
07/06/20,99.04,99.22,95.82,96.21,543964,EXR
07/02/20,98.08,98.7,96.71,97.25,755840,EXR
07/01/20,92.52,97.24,92.04,96.96,853037,EXR
06/30/20,92.0,93.96,91.36,92.37,1201845,EXR
06/29/20,91.85,92.14,90.79,91.83,512472,EXR
06/26/20,91.77,92.81,90.31,91.01,1124724,EXR
06/25/20,90.26,91.89,89.84,91.79,721271,EXR
06/24/20,90.77,91.71,88.88,90.48,1023432,EXR
06/23/20,93.72,94.35,91.5,91.67,809268,EXR
06/22/20,92.45,93.83,90.8,92.82,759240,EXR
06/19/20,96.9,96.9,92.73,92.97,2960240,EXR
06/18/20,96.05,96.23,94.16,95.52,667135,EXR
06/17/20,98.18,98.66,96.28,96.99,637301,EXR
06/16/20,100.18,100.29,96.83,97.62,942777,EXR
06/15/20,94.77,98.04,94.03,97.42,917963,EXR
06/12/20,95.88,97.255,93.55,96.71,811641,EXR
06/11/20,98.13,98.87,93.96,94.12,1260089,EXR
06/10/20,103.09,103.09,100.0,100.66,657603,EXR
06/09/20,103.1,103.66,101.33,102.95,806577,EXR
06/08/20,103.86,106.35,103.53,104.56,905318,EXR
06/05/20,103.96,106.37,103.09,103.34,1247680,EXR
06/04/20,101.95,102.2,100.01,101.46,771385,EXR
06/03/20,100.28,103.27,100.28,102.38,1280880,EXR
06/02/20,100.0,100.605,97.89,100.18,1503966,EXR
06/01/20,96.84,99.22,95.26,98.82,940709,EXR
05/29/20,96.76,97.08,94.23,96.75,1352230,EXR
05/28/20,94.68,97.34,93.63,97.22,885171,EXR
05/27/20,93.39,94.74,92.69,94.38,942253,EXR
05/26/20,88.19,92.46,88.02,92.19,1017007,EXR
05/22/20,86.84,87.66,85.88,86.23,522974,EXR
05/21/20,87.05,88.3,86.3,86.93,510575,EXR
