Date, Open, High, Low, Close, Volume,ticker
12/24/20,9.01,9.02,8.8,8.86,27927000,F
12/23/20,8.82,9.03,8.8,8.99,54086672,F
12/22/20,8.98,8.99,8.75,8.79,59157727,F
12/21/20,8.87,9.01,8.79,8.93,63908129,F
12/18/20,9.09,9.09,8.91,8.95,78764625,F
12/17/20,9.09,9.13,9.0,9.08,49301602,F
12/16/20,9.17,9.18,8.97,9.04,55274527,F
12/15/20,9.03,9.15,8.94,9.15,69665883,F
12/14/20,9.13,9.1752,8.88,8.91,76826016,F
12/11/20,9.19,9.19,9.01,9.02,73438234,F
12/10/20,9.31,9.32,9.1,9.12,83372758,F
12/09/20,9.31,9.49,9.29,9.45,60780320,F
12/08/20,9.19,9.33,9.17,9.25,56296672,F
12/07/20,9.31,9.33,9.15,9.22,58305191,F
12/04/20,9.26,9.44,9.24,9.34,48775551,F
12/03/20,9.26,9.32,9.15,9.21,50302059,F
12/02/20,9.16,9.24,9.08,9.2,48344953,F
12/01/20,9.16,9.4,9.16,9.24,68970328,F
11/30/20,9.23,9.23,8.98,9.08,77970078,F
11/27/20,9.12,9.14,9.03,9.09,27853850,F
11/25/20,9.2,9.25,9.0,9.08,95217805,F
11/24/20,9.15,9.5,9.14,9.45,99520477,F
11/23/20,8.82,8.98,8.78,8.86,71537109,F
11/20/20,8.81,8.82,8.68,8.74,57024273,F
11/19/20,8.88,8.88,8.74,8.82,56672688,F
11/18/20,8.82,9.05,8.78,8.82,77759273,F
11/17/20,8.66,8.85,8.63,8.75,46754512,F
11/16/20,8.74,8.85,8.61,8.8,84853859,F
11/13/20,8.23,8.57,8.23,8.54,79534148,F
11/12/20,8.26,8.29,8.1,8.21,82319820,F
11/11/20,8.6,8.6,8.29,8.33,75644430,F
11/10/20,8.23,8.59,8.18,8.38,87468359,F
11/09/20,8.11,8.38,8.08,8.2,110511297,F
11/06/20,8.01,8.02,7.75,7.79,50912121,F
11/05/20,7.76,7.99,7.71,7.99,61442609,F
11/04/20,7.86,7.87,7.63,7.64,67326844,F
11/03/20,7.76,7.93,7.73,7.88,65108840,F
11/02/20,7.83,7.86,7.68,7.71,59962910,F
10/30/20,7.85,7.91,7.61,7.73,79392477,F
10/29/20,8.17,8.24,7.85,7.9,118999906,F
10/28/20,7.68,7.88,7.63,7.7,82938281,F
10/27/20,8.01,8.09,7.9,7.92,64154480,F
10/26/20,8.035,8.07,7.94,8.03,62130953,F
10/23/20,8.3,8.35,8.09,8.16,62248980,F
10/22/20,7.93,8.22,7.89,8.21,74008469,F
10/21/20,7.77,7.88,7.73,7.85,51981070,F
10/20/20,7.62,7.85,7.58,7.74,63447008,F
10/19/20,7.68,7.72,7.57,7.59,38960738,F
10/16/20,7.71,7.75,7.61,7.67,47509406,F
10/15/20,7.42,7.62,7.37,7.62,49336160,F
10/14/20,7.73,7.75,7.55,7.57,57808898,F
10/13/20,7.82,7.88,7.63,7.76,74562570,F
10/12/20,7.36,7.865,7.33,7.67,97692930,F
10/09/20,7.36,7.44,7.23,7.25,50977879,F
10/08/20,7.29,7.35,7.2,7.35,54513312,F
10/07/20,7.11,7.25,7.06,7.23,50664141,F
10/06/20,7.06,7.25,6.96,6.98,78203805,F
10/05/20,6.95,7.05,6.945,7.02,42359406,F
10/02/20,6.62,6.93,6.6,6.89,60798406,F
10/01/20,6.71,6.77,6.63,6.75,58340609,F
09/30/20,6.61,6.75,6.59,6.66,55944609,F
09/29/20,6.69,6.695,6.54,6.6,39014262,F
09/28/20,6.59,6.77,6.58,6.69,47582633,F
09/25/20,6.61,6.7064,6.5,6.51,53761840,F
09/24/20,6.6,6.76,6.41,6.66,59822910,F
09/23/20,6.81,6.93,6.63,6.64,52588559,F
09/22/20,6.89,6.99,6.77,6.78,55865539,F
09/21/20,7.09,7.09,6.81,6.87,72850258,F
09/18/20,7.31,7.4,7.22,7.23,71929398,F
09/17/20,7.04,7.34,6.98,7.28,84850148,F
09/16/20,7.05,7.12,6.99,7.02,46269820,F
09/15/20,7.16,7.18,7.0,7.04,65198500,F
09/14/20,7.01,7.18,6.98,7.12,58704320,F
09/11/20,6.94,7.0,6.85,7.0,55080559,F
09/10/20,6.99,7.035,6.87,6.91,69228602,F
09/09/20,7.07,7.1,6.93,6.97,56501434,F
09/08/20,6.83,7.17,6.81,7.03,84749281,F
09/04/20,6.86,6.95,6.75,6.9,70017539,F
09/03/20,6.92,7.09,6.76,6.82,78130883,F
09/02/20,6.81,6.97,6.77,6.95,59008941,F
09/01/20,6.77,6.87,6.72,6.83,48214180,F
08/31/20,6.9,6.93,6.79,6.82,50089520,F
08/28/20,6.93,6.95,6.86,6.94,39936922,F
08/27/20,6.83,6.98,6.83,6.91,45740871,F
08/26/20,6.94,6.97,6.77,6.82,48600102,F
08/25/20,7.01,7.1,6.86,6.94,49549980,F
08/24/20,6.73,7.0,6.69,6.98,64974711,F
08/21/20,6.78,6.85,6.65,6.66,39158898,F
08/20/20,6.77,6.89,6.73,6.84,41824520,F
08/19/20,6.89,7.02,6.86,6.87,44158121,F
08/18/20,6.98,7.01,6.885,6.89,40444199,F
08/17/20,7.05,7.06,6.87,6.98,64555152,F
08/14/20,6.97,7.11,6.93,7.04,43517660,F
08/13/20,7.03,7.18,7.0,7.03,50066762,F
08/12/20,7.33,7.37,7.06,7.11,59194129,F
08/11/20,7.21,7.375,7.19,7.23,74016359,F
08/10/20,6.91,7.13,6.905,7.09,57229039,F
08/07/20,6.87,6.92,6.79,6.86,47480059,F
08/06/20,6.93,7.0,6.89,6.93,48668520,F
08/05/20,6.86,7.0291,6.86,6.96,82716367,F
08/04/20,6.91,6.91,6.73,6.86,69377570,F
08/03/20,6.65,6.72,6.53,6.69,53845887,F
07/31/20,6.89,6.9,6.52,6.61,115394094,F
07/30/20,6.74,6.83,6.67,6.74,58990992,F
07/29/20,7.05,7.06,6.83,6.92,59437160,F
07/28/20,6.9,7.05,6.9,7.01,56312512,F
