Date, Open, High, Low, Close, Volume,ticker
12/24/20,49.37,49.52,49.15,49.52,704477,FAST
12/23/20,49.78,49.7887,48.9,49.09,1935027,FAST
12/22/20,49.7,49.75,49.18,49.47,2331463,FAST
12/21/20,48.8,49.71,48.34,49.61,3342195,FAST
12/18/20,49.69,49.82,48.82,49.34,5756989,FAST
12/17/20,49.65,49.74,49.3,49.57,2752570,FAST
12/16/20,48.91,49.64,48.73,49.47,2859693,FAST
12/15/20,49.42,50.18,49.28,49.83,2608323,FAST
12/14/20,49.35,49.86,49.19,49.22,2502177,FAST
12/11/20,48.3,49.58,47.6,49.21,2813478,FAST
12/10/20,49.27,49.54,48.33,48.39,2537998,FAST
12/09/20,49.03,49.845,49.02,49.63,3189128,FAST
12/08/20,48.37,49.3484,48.16,49.095,2884833,FAST
12/07/20,48.0,48.995,47.72,48.68,3332553,FAST
12/04/20,47.58,48.46,47.53,48.05,3388551,FAST
12/03/20,47.47,48.01,47.23,47.37,3001976,FAST
12/02/20,48.31100000000001,48.675,47.405,47.58,2338891,FAST
12/01/20,49.51,49.6,48.42,48.52,3425810,FAST
11/30/20,48.53,49.53,48.31,49.45,6174054,FAST
11/27/20,48.25,48.8,48.13,48.58,1655295,FAST
11/25/20,48.78,48.95,47.84,48.19,2172679,FAST
11/24/20,48.13,49.14,47.63,48.94,3758575,FAST
11/23/20,47.38,47.97,47.06,47.91,4708572,FAST
11/20/20,47.83,48.11,47.2,47.3,5157452,FAST
11/19/20,47.5,48.08,46.93,47.98,1846977,FAST
11/18/20,47.71,48.15,47.43,47.61,2655750,FAST
11/17/20,48.06,48.29,47.46,47.655,2356708,FAST
11/16/20,47.75,48.61,47.36,48.61,2254601,FAST
11/13/20,46.79,47.67,46.67,47.53,2156144,FAST
11/12/20,47.02,47.12,46.01,46.33,2589095,FAST
11/11/20,47.12,47.36,46.42,47.24,2089477,FAST
11/10/20,45.55,47.17,45.47,46.76,3750982,FAST
11/09/20,48.66,49.36,45.91,45.99,3904932,FAST
11/06/20,46.41,47.13,46.04,46.98,2136603,FAST
11/05/20,47.41,47.65,46.29,46.34,3267509,FAST
11/04/20,46.71,47.75,46.39,46.6,4040682,FAST
11/03/20,45.06,46.43,45.06,46.22,3124214,FAST
11/02/20,43.67,44.55,43.67,44.52,2695600,FAST
10/30/20,42.88,43.495,42.63,43.23,3018333,FAST
10/29/20,42.96,43.65,42.57,43.12,2291171,FAST
10/28/20,42.79,43.38,42.66,42.94,3218821,FAST
10/27/20,44.42,44.57,43.53,43.58,2332847,FAST
10/26/20,43.92,44.34,43.74,44.3,3012568,FAST
10/23/20,44.34,45.1,44.035,45.0,2533107,FAST
10/22/20,44.05,44.205,43.5,44.09,2587351,FAST
10/21/20,45.07,45.37,43.92,43.94,3432859,FAST
10/20/20,44.911,45.42,44.8,45.04,2374101,FAST
10/19/20,45.23,45.3698,44.2,44.43,4116612,FAST
10/16/20,44.91,45.625,44.77,45.26,3384415,FAST
10/15/20,44.64,45.165,44.3,44.62,3295135,FAST
10/14/20,45.67,45.97,44.81,44.95,3516084,FAST
10/13/20,45.23,46.09,44.55,45.35,6417899,FAST
10/12/20,47.11,48.77,47.02,47.64,5920573,FAST
10/09/20,46.22,47.085,46.17,46.63,3132347,FAST
10/08/20,46.41,46.585,45.92,46.0,2939202,FAST
10/07/20,45.44,46.34,45.355,46.21,2740700,FAST
10/06/20,45.7,46.14,45.03,45.13,3647129,FAST
10/05/20,44.69,45.985,44.69,45.83,3043153,FAST
10/02/20,44.26,44.83,44.1,44.54,3767342,FAST
10/01/20,45.37,45.38,44.65,44.76,3170283,FAST
