Date, Open, High, Low, Close, Volume,ticker
12/24/20,268.875,270.4,266.2,267.4,6702033,FB
12/23/20,266.89,272.1699,266.23,268.11,14329040,FB
12/22/20,271.5,271.5,264.63,267.09,17335000,FB
12/21/20,272.978,274.67,267.79,272.79,16553740,FB
12/18/20,275.775,278.0,271.14,276.4,26693250,FB
12/17/20,277.07,280.44,273.61,274.48,16377840,FB
12/16/20,274.76,277.86,272.51,275.67,15885000,FB
12/15/20,274.83,276.08,267.47,275.55,23979461,FB
12/14/20,273.372,277.22,271.56,274.19,16376880,FB
12/11/20,274.53,276.48,270.25,273.55,14391400,FB
12/10/20,275.535,278.73,271.86,277.12,20065090,FB
12/09/20,283.66,287.63,271.75,277.92,25189711,FB
12/08/20,286.01,286.4272,281.55,283.4,10747650,FB
12/07/20,279.19,288.49,278.2,285.58,13007670,FB
12/04/20,280.3,283.46,279.3,279.7,10880300,FB
12/03/20,286.25,286.65,281.07,281.85,12921690,FB
12/02/20,285.36,291.78,280.825,287.52,17361619,FB
12/01/20,279.16,289.3,278.96,286.55,20777910,FB
11/30/20,276.03,277.7,271.01,276.97,16693340,FB
11/27/20,277.39,279.13,274.82,277.81,7808426,FB
11/25/20,278.14,280.18,272.65,275.59,12467010,FB
11/24/20,268.49,277.8199,267.87,276.92,16930420,FB
11/23/20,270.89,270.9471,264.53,268.43,20990789,FB
11/20/20,272.56,273.0,269.41,269.7,18122410,FB
11/19/20,271.025,273.47,269.19,272.94,12963660,FB
11/18/20,274.52,277.3889,271.84,271.97,12152950,FB
11/17/20,277.68,277.68,273.29,275.0,15040300,FB
11/16/20,275.05,279.41,274.63,278.96,12970350,FB
11/13/20,277.72,277.76,273.1,276.95,10400100,FB
11/12/20,277.18,279.75,274.43,275.08,12914210,FB
11/11/20,273.47,278.4,272.48,276.48,14956950,FB
11/10/20,273.1,274.0,264.0,272.43,29067689,FB
11/09/20,289.87,292.58,278.53,278.77,25117650,FB
11/06/20,293.95,294.6,288.06,293.41,13890970,FB
11/05/20,291.897,297.38,288.95,294.68,23823631,FB
11/04/20,281.0,288.94,278.62,287.38,35364422,FB
11/03/20,263.16,270.05,260.88,265.3,17961859,FB
11/02/20,264.6,270.47,257.34,261.36,27165680,FB
10/30/20,274.5,276.7,259.1,263.11,47299000,FB
10/29/20,276.55,283.6,273.78,280.83,32368119,FB
10/28/20,278.79,278.79,267.26,267.67,23121811,FB
10/27/20,278.76,284.51,276.31,283.29,16287250,FB
10/26/20,283.16,285.23,274.26,277.11,21322930,FB
10/23/20,278.802,285.24,276.82,284.79,17535160,FB
10/22/20,279.87,282.45,275.04,278.12,16720029,FB
10/21/20,279.56,283.05,276.37,278.73,28998641,FB
10/20/20,263.06,269.7,262.88,267.56,18763250,FB
10/19/20,265.53,268.55,259.88,261.4,13586960,FB
10/16/20,267.375,271.37,265.3,265.93,16622699,FB
10/15/20,267.6,269.04,263.67,266.72,15416060,FB
10/14/20,277.62,278.75,271.5,271.82,15601150,FB
10/13/20,277.58,279.1,273.39,276.14,18063340,FB
10/12/20,270.2,280.18,267.87,275.75,31019260,FB
10/09/20,264.52,264.75,262.17,264.45,14107800,FB
10/08/20,259.75,264.62,259.1488,263.76,16312760,FB
10/07/20,259.21,260.18,254.82,258.12,23133420,FB
10/06/20,261.78,265.69,258.24,258.66,18696920,FB
10/05/20,262.2,264.865,260.8401,264.65,12822250,FB
10/02/20,261.21,265.15,259.18,259.94,16367600,FB
10/01/20,265.35,268.33,264.8,266.63,20009801,FB
09/30/20,261.98,266.085,260.1,261.9,20142551,FB
09/29/20,257.81,263.33,256.9,261.79,20215500,FB
09/28/20,259.4,259.6,254.8208,256.82,18826250,FB
09/25/20,249.4,255.75,246.61,254.82,18351311,FB
09/24/20,246.5,252.24,245.62,249.53,20006750,FB
09/23/20,255.26,257.9921,248.15,249.02,19641270,FB
09/22/20,253.31,255.32,248.22,254.75,30293100,FB
09/21/20,247.54,249.95,244.13,248.15,24709381,FB
09/18/20,258.405,259.2,250.05,252.53,28130770,FB
09/17/20,258.28,261.5,250.19,254.82,31281439,FB
09/16/20,267.29,272.44,261.79,263.52,29207590,FB
09/15/20,270.67,274.52,269.3,272.42,18478529,FB
09/14/20,270.95,276.64,265.7,266.15,24093830,FB
09/11/20,270.06,271.39,262.64,266.61,18913881,FB
09/10/20,275.51,279.16,267.0319,268.09,24814670,FB
09/09/20,275.77,278.48,271.35,273.72,22918770,FB
09/08/20,271.28,279.3,269.42,271.16,24864000,FB
09/04/20,287.25,289.0,271.14,282.73,30333670,FB
09/03/20,295.99,297.6,283.63,291.12,32294090,FB
09/02/20,298.88,303.6,293.05,302.5,24341369,FB
09/01/20,294.71,301.49,292.71,295.44,17320869,FB
08/31/20,293.95,296.88,291.55,293.2,17345131,FB
08/28/20,295.0,297.23,290.98,293.66,17172420,FB
08/27/20,300.16,301.23,292.02,293.22,30301311,FB
08/26/20,284.0,304.67,284.0,303.91,69015148,FB
08/25/20,272.41,283.09,270.2601,280.82,42127238,FB
08/24/20,271.07,277.2478,268.7701,271.39,23685600,FB
08/21/20,268.69,270.49,266.42,267.01,15538620,FB
08/20/20,261.5,269.63,261.46,269.01,20299689,FB
08/19/20,261.388,267.908,261.35,262.59,23291461,FB
08/18/20,260.95,265.15,259.26,262.34,18690381,FB
08/17/20,262.5,264.0973,259.4,261.16,13351060,FB
08/14/20,262.305,262.65,258.6801,261.24,14792710,FB
08/13/20,261.55,265.16,259.57,261.3,17373971,FB
08/12/20,258.97,263.8973,258.1125,259.89,21428330,FB
08/11/20,260.185,265.915,255.13,256.13,28238279,FB
08/10/20,268.04,273.86,259.69,263.0,30248830,FB
08/07/20,264.08,278.89,263.43,268.44,72766359,FB
08/06/20,249.04,266.6,248.665,265.28,45241609,FB
08/05/20,250.19,252.2698,247.77,249.12,13088360,FB
08/04/20,251.56,252.8,247.43,249.83,17183529,FB
08/03/20,252.65,255.4,250.33,251.96,23134100,FB
07/31/20,255.82,255.85,249.0,253.67,53030039,FB
07/30/20,230.22,234.893,229.0,234.5,20615311,FB
07/29/20,231.14,233.7,230.31,233.29,13588320,FB
07/28/20,234.63,234.96,229.83,230.12,14170110,FB
07/27/20,231.46,234.95,230.83,233.5,13163080,FB
07/24/20,230.19,233.49,226.9,230.71,18325811,FB
07/23/20,239.63,242.42,231.75,232.6,21771801,FB
07/22/20,240.26,241.9,238.12,239.87,15427890,FB
07/21/20,246.22,246.91,240.08,241.75,19409689,FB
07/20/20,240.06,246.05,235.635,245.42,20872221,FB
07/17/20,241.0,244.16,237.86,242.03,18152410,FB
07/16/20,238.0,241.76,236.3306,240.93,18880711,FB
07/15/20,241.55,244.82,238.05,240.28,19133561,FB
07/14/20,236.76,240.33,232.03,239.73,23378061,FB
07/13/20,247.005,250.15,238.42,239.0,24674869,FB
07/10/20,243.685,245.49,239.32,245.07,22982721,FB
07/09/20,245.0,246.525,239.24,244.5,22174900,FB
07/08/20,238.11,246.99,236.59,243.58,29791340,FB
07/07/20,239.41,247.65,238.82,240.86,27887789,FB
07/06/20,233.76,240.4,232.27,240.28,26206160,FB
07/02/20,239.0,240.0,232.61,233.42,30633619,FB
07/01/20,228.5,239.0,227.56,237.55,43399738,FB
06/30/20,220.59,227.5,218.47,227.07,33927070,FB
06/29/20,209.75,220.75,207.11,220.64,58514281,FB
06/26/20,232.64,233.09,215.4,216.08,76343938,FB
06/25/20,234.62,237.3,232.74,235.68,18704340,FB
06/24/20,241.2,243.22,232.68,234.02,20834900,FB
06/23/20,241.28,245.1853,239.86,242.24,24017920,FB
06/22/20,238.56,240.7,236.91,239.22,18917779,FB
06/19/20,237.79,240.83,235.55,238.79,30081289,FB
06/18/20,234.99,236.14,232.15,235.94,15782450,FB
06/17/20,235.0,237.59,231.7268,235.53,19578131,FB
06/16/20,237.14,238.46,233.0,235.65,15236690,FB
06/15/20,225.09,233.77,224.8,232.5,15340260,FB
06/12/20,229.9,231.66,224.5,228.58,22091391,FB
06/11/20,229.94,232.89,223.55,224.43,26708160,FB
06/10/20,240.96,241.21,235.28,236.73,20720711,FB
06/09/20,231.52,239.77,230.41,238.67,27462869,FB
06/08/20,229.03,231.55,227.41,231.4,15466500,FB
06/05/20,226.71,231.35,225.3105,230.77,16750439,FB
06/04/20,229.56,231.63,224.61,226.29,17041480,FB
06/03/20,232.11,232.65,228.53,230.16,15380280,FB
06/02/20,230.94,233.0,226.56,232.72,20919020,FB
06/01/20,224.59,232.44,223.5,231.91,18223840,FB
05/29/20,225.2,227.49,222.88,225.09,23322480,FB
05/28/20,224.3,231.6332,224.0,225.46,29423010,FB
05/27/20,229.07,230.56,221.1347,229.14,34697551,FB
05/26/20,239.77,240.9,231.67,232.2,33178320,FB
05/22/20,231.51,235.99,228.74,234.91,33925559,FB
05/21/20,234.72,237.2,231.2,231.39,47782641,FB
05/20/20,223.5,231.34,223.19,229.97,50162879,FB
05/19/20,213.27,220.49,212.83,216.88,31843150,FB
05/18/20,212.15,214.6445,210.94,213.19,20167439,FB
05/15/20,205.27,211.34,204.12,210.88,19383150,FB
05/14/20,202.56,206.93,200.69,206.81,17178949,FB
05/13/20,209.43,210.78,202.11,205.1,20684561,FB
05/12/20,213.29,215.275,210.0,210.1,14704650,FB
05/11/20,210.887,215.0,210.37,213.18,12911950,FB
05/08/20,212.24,213.21,210.85,212.35,12524050,FB
05/07/20,211.16,211.6,209.04,211.26,15151980,FB
05/06/20,208.12,211.6,206.66,208.47,21856961,FB
05/05/20,207.02,210.38,206.5,207.07,21071221,FB
05/04/20,200.2,205.91,198.7562,205.26,19250670,FB
05/01/20,201.6,207.28,199.0501,202.27,30415580,FB
04/30/20,206.92,209.69,201.5701,204.71,46230121,FB
04/29/20,190.93,196.91,190.0,194.19,45954520,FB
04/28/20,188.66,189.2,182.56,182.91,21730990,FB
04/27/20,192.657,193.75,187.41,187.5,29197750,FB
04/24/20,183.23,190.41,180.825,190.07,28868529,FB
04/23/20,184.08,187.05,183.15,185.13,21426600,FB
04/22/20,178.45,184.78,178.14,182.28,33369930,FB
04/21/20,175.25,175.38,168.3408,170.8,24850529,FB
04/20/20,177.41,180.5,176.77,178.24,16110580,FB
04/17/20,179.2,180.28,176.66,179.24,20974750,FB
04/16/20,177.95,178.05,172.51,176.25,23593230,FB
04/15/20,175.187,178.19,172.82,176.97,17423000,FB
04/14/20,178.977,181.225,176.62,178.17,21011820,FB
04/13/20,173.67,175.0,169.45,174.79,19355359,FB
04/09/20,175.9,177.08,171.57,175.19,23534289,FB
04/08/20,171.25,175.0,167.74,174.28,21664199,FB
04/07/20,171.79,173.39,166.01,168.83,31411920,FB
04/06/20,160.15,166.2,158.51,165.55,28359600,FB
04/03/20,157.15,157.91,150.83,154.18,25983320,FB
04/02/20,159.1,161.3509,155.92,158.19,20886311,FB
04/01/20,161.615,164.15,158.035,159.6,19507561,FB
03/31/20,165.48,170.93,164.2,166.8,23676279,FB
03/30/20,159.18,166.75,158.06,165.95,22515230,FB
03/27/20,158.2,160.09,154.75,156.79,24879869,FB
03/26/20,158.25,164.0,157.0201,163.34,26579020,FB
03/25/20,158.92,162.99,153.06,156.21,35184273,FB
03/24/20,155.205,161.31,152.57,160.98,30440369,FB
03/23/20,149.66,152.31,142.25,148.1,29830770,FB
03/20/20,156.02,159.27,148.0,149.73,32568400,FB
03/19/20,146.62,159.9294,144.8,153.13,39862312,FB
03/18/20,139.75,148.18,137.1006,146.96,37553141,FB
03/17/20,150.74,153.94,140.0,149.42,34255602,FB
03/16/20,152.32,159.13,143.1,146.01,39120422,FB
03/13/20,163.53,170.79,157.6,170.28,35028633,FB
03/12/20,159.54,166.6,154.34,154.47,43266340,FB
03/11/20,174.01,175.88,167.66,170.24,20397199,FB
03/10/20,174.67,178.29,169.5,178.19,24517789,FB
03/09/20,169.6,175.0,165.19,169.5,29949039,FB
03/06/20,178.33,183.78,176.26,181.09,24559551,FB
03/05/20,186.78,188.99,183.8901,185.17,19333430,FB
03/04/20,189.17,191.83,186.39,191.76,23062471,FB
03/03/20,196.22,197.24,183.97,185.89,27984100,FB
03/02/20,194.03,196.57,188.85,196.44,24948961,FB
02/28/20,182.695,192.74,181.82,192.47,32583490,FB
02/27/20,191.82,195.88,189.5,189.75,21682631,FB
02/26/20,197.19,201.21,195.49,197.2,16555211,FB
02/25/20,202.25,203.5,195.9537,196.77,21433490,FB
02/24/20,201.8,203.65,198.17,200.72,23080061,FB
02/21/20,213.48,214.237,208.8305,210.18,14098430,FB
02/20/20,216.52,218.765,212.945,214.58,13109210,FB
02/19/20,217.99,218.32,216.11,217.49,12135110,FB
02/18/20,213.55,217.975,213.4,217.8,15630030,FB
02/14/20,214.0,214.93,212.65,214.18,10741750,FB
02/13/20,209.5235,214.3259,209.18,213.14,15396630,FB
02/12/20,207.85,211.22,207.4,210.76,13813700,FB
02/11/20,210.19,210.86,206.5102,207.19,25030811,FB
02/10/20,211.52,213.8,210.66,213.06,11856350,FB
02/07/20,210.3,212.82,209.93,212.33,12242530,FB
02/06/20,210.47,211.19,209.338,210.85,10567530,FB
02/05/20,212.51,212.73,208.71,210.11,12538150,FB
02/04/20,206.6165,210.6,205.2025,209.83,19628891,FB
02/03/20,203.44,205.14,202.5,204.19,15510510,FB
01/31/20,208.43,208.69,201.06,201.91,31359920,FB
01/30/20,206.53,211.43,204.75,209.53,48775500,FB
01/29/20,221.44,224.2,218.45,223.23,33610008,FB
01/28/20,216.14,218.74,213.52,217.79,13413840,FB
01/27/20,213.1,216.06,212.5,214.87,13810660,FB
01/24/20,220.8,221.78,216.11,217.94,11905820,FB
01/23/20,220.75,221.485,219.27,219.76,11195000,FB
01/22/20,222.31,222.75,221.28,221.32,12212810,FB
01/21/20,222.155,222.37,219.12,221.44,14275780,FB
01/17/20,222.03,222.29,220.53,222.14,15905940,FB
