Date, Open, High, Low, Close, Volume,ticker
12/24/20,88.04,89.11,87.58,89.07,179904,FBHS
12/23/20,87.86,88.22,86.34,87.77,642135,FBHS
12/22/20,88.72,89.36,87.52,87.78,671250,FBHS
12/21/20,88.03,90.23,87.795,88.67,1393285,FBHS
12/18/20,89.45,91.63,88.09,89.63,2593264,FBHS
12/17/20,86.75,89.9,86.51,88.89,1424421,FBHS
12/16/20,85.95,86.96,85.55,86.26,1833138,FBHS
12/15/20,83.56,85.84,83.56,85.43,957357,FBHS
12/14/20,83.87,84.5,83.05,83.07,788683,FBHS
12/11/20,83.44,84.14,82.76,83.23,1062433,FBHS
12/10/20,83.69,85.06,82.4,83.94,990258,FBHS
12/09/20,84.21,85.6389,83.57,84.52,1499540,FBHS
12/08/20,82.65,83.345,82.16,82.93,901850,FBHS
12/07/20,81.04,83.83,81.04,83.07,972651,FBHS
12/04/20,81.75,82.24,80.21,80.98,812835,FBHS
12/03/20,80.47,82.87,80.22,81.78,1449922,FBHS
12/02/20,82.3,82.68,79.46,80.18,1588547,FBHS
12/01/20,83.9,84.52,82.38,82.89,1203214,FBHS
11/30/20,84.54,85.17,82.95,83.5,1619821,FBHS
11/27/20,84.97,86.25,84.76,85.01,395135,FBHS
11/25/20,84.5,85.31,83.865,84.86,842881,FBHS
11/24/20,86.64,87.28,84.32,84.68,1144946,FBHS
11/23/20,84.73,86.53,84.73,86.11,847048,FBHS
11/20/20,84.79,85.11,83.49,84.46,836847,FBHS
11/19/20,83.43,85.43,83.12,85.11,1147333,FBHS
11/18/20,84.11,84.33,82.85,83.32,986560,FBHS
11/17/20,82.37,83.89,81.76,83.39,1068977,FBHS
11/16/20,84.21,85.0,82.2,82.61,1218625,FBHS
11/13/20,82.96,84.72,82.96,83.8,639954,FBHS
11/12/20,83.0,84.14,81.71,82.33,1111990,FBHS
11/11/20,81.11,83.11,79.94,83.05,1998895,FBHS
11/10/20,80.58,81.29,79.19,79.7,1953230,FBHS
11/09/20,91.41,92.59,80.05,80.06,1585701,FBHS
11/06/20,88.9,89.36,86.94,88.14,597827,FBHS
11/05/20,89.05,90.49,88.22,89.13,784741,FBHS
11/04/20,84.89,89.02,84.56,87.79,1278289,FBHS
11/03/20,85.78,86.13,84.28,84.94,852168,FBHS
11/02/20,81.93,84.75,81.78,84.58,1202041,FBHS
10/30/20,81.77,82.26,79.47,80.87,1221513,FBHS
10/29/20,81.0,84.07,80.935,81.88,1440407,FBHS
10/28/20,79.65,82.45,78.81,81.41,1942704,FBHS
10/27/20,82.51,82.74,81.47,81.81,772500,FBHS
10/26/20,84.11,84.66,81.47,82.08,707053,FBHS
10/23/20,86.03,86.385,84.26,85.47,781228,FBHS
10/22/20,86.53,86.53,84.55,85.27,684766,FBHS
10/21/20,87.46,88.63,85.5127,85.91,878236,FBHS
10/20/20,87.62,89.22,87.335,87.63,489106,FBHS
10/19/20,90.25,90.42,86.76,86.92,964365,FBHS
10/16/20,90.06,90.94,89.7,90.26,665148,FBHS
10/15/20,87.42,89.91,87.25,89.81,538924,FBHS
10/14/20,89.17,89.49,88.17,88.5,577533,FBHS
10/13/20,88.85,89.24,87.8,88.28,644375,FBHS
10/12/20,89.51,89.51,88.56,89.13,667785,FBHS
10/09/20,90.0,90.28,88.52,88.69,580954,FBHS
10/08/20,87.95,89.605,87.95,89.33,712581,FBHS
10/07/20,88.43,88.6,86.8,87.6,1060258,FBHS
10/06/20,89.0,89.56,87.07,87.18,809749,FBHS
10/05/20,88.31,88.882,88.07,88.81,1190119,FBHS
10/02/20,86.09,88.07,85.2667,87.52,835559,FBHS
10/01/20,87.42,88.21,86.13,87.67,1195805,FBHS
09/30/20,85.52,87.38,85.52,86.52,1592933,FBHS
09/29/20,86.17,86.57,84.92,85.25,725553,FBHS
09/28/20,84.58,86.6,84.22,85.82,922299,FBHS
09/25/20,81.48,83.71,81.32,83.14,763197,FBHS
09/24/20,81.95,83.525,81.27,82.06,660865,FBHS
09/23/20,84.16,85.11,82.33,82.39,833183,FBHS
09/22/20,82.76,84.81,82.595,84.5,795988,FBHS
09/21/20,82.81,82.97,80.01,82.34,1008599,FBHS
09/18/20,84.66,85.37,83.54,84.32,2006272,FBHS
09/17/20,84.25,85.59,83.42,84.77,1136214,FBHS
09/16/20,84.94,86.42,83.88,85.21,1269693,FBHS
09/15/20,84.3,85.25,83.77,84.08,773285,FBHS
09/14/20,83.5,83.83,82.455,83.77,1011256,FBHS
09/11/20,82.57,82.955,81.51,82.61,837610,FBHS
09/10/20,84.38,84.5,81.71,81.95,1276668,FBHS
09/09/20,81.99,83.125,81.74,82.55,1146394,FBHS
09/08/20,81.51,83.11,80.35,81.4,903799,FBHS
09/04/20,84.4,84.53,80.5063,82.56,798999,FBHS
09/03/20,86.0,86.46,82.01,82.98,890869,FBHS
09/02/20,85.82,86.8,84.94,86.41,715765,FBHS
09/01/20,84.06,85.82,83.9,85.74,982632,FBHS
08/31/20,85.31,85.555,84.01,84.08,1073576,FBHS
08/28/20,85.0,86.28,84.67,85.41,1187113,FBHS
08/27/20,85.85,86.47,83.92,84.86,941136,FBHS
08/26/20,85.35,85.76,84.735,85.67,826608,FBHS
08/25/20,85.81,85.99,83.61,85.52,1348257,FBHS
08/24/20,85.78,85.94,84.41,85.42,1162086,FBHS
08/21/20,83.14,85.21,82.91,85.21,1082425,FBHS
08/20/20,82.88,83.58,82.51,83.14,1216426,FBHS
08/19/20,84.15,84.41,83.51,83.68,861625,FBHS
08/18/20,85.8,86.19,83.84,83.95,1130590,FBHS
08/17/20,83.36,85.97,83.32,85.63,1421700,FBHS
08/14/20,82.8,83.24,82.46,83.06,993076,FBHS
08/13/20,82.53,83.79,82.27,83.33,600254,FBHS
08/12/20,81.86,83.49,81.19,83.01,1381689,FBHS
08/11/20,81.89,82.25,80.96,81.09,1612743,FBHS
08/10/20,79.6,81.15,79.48,81.02,814131,FBHS
08/07/20,78.36,79.97,78.22,79.81,890660,FBHS
08/06/20,78.48,78.73,77.69,78.43,723313,FBHS
08/05/20,78.58,79.22,77.7025,78.44,824724,FBHS
08/04/20,77.88,78.12,77.195,77.58,1180898,FBHS
08/03/20,77.0,78.95,76.1,78.43,1216197,FBHS
07/31/20,76.22,76.53,74.51,76.5,1344569,FBHS
07/30/20,74.09,78.25,74.09,76.99,1991546,FBHS
07/29/20,72.59,76.32,72.59,75.95,2077239,FBHS
07/28/20,73.69,73.71,72.17,72.29,1304371,FBHS
07/27/20,71.19,74.39,71.19,74.26,1410236,FBHS
07/24/20,71.0,71.28,70.09,71.0,832766,FBHS
07/23/20,70.71,72.24,70.36,71.0,1240418,FBHS
07/22/20,68.71,71.04,68.71,70.52,1069030,FBHS
07/21/20,69.3,69.81,68.7,69.15,545080,FBHS
07/20/20,68.98,69.51,68.72,69.02,572840,FBHS
07/17/20,69.07,69.73,68.57,69.17,736398,FBHS
07/16/20,68.2,69.2999,67.46,69.07,832007,FBHS
07/15/20,67.99,68.81,66.74,68.38,838752,FBHS
07/14/20,64.18,66.8,64.0,66.71,827626,FBHS
07/13/20,65.24,66.61,64.16,64.3,804266,FBHS
07/10/20,64.56,66.0,64.18,64.83,1043954,FBHS
07/09/20,64.96,65.36,63.18,64.15,1104110,FBHS
07/08/20,63.94,65.35,63.8,65.12,1210604,FBHS
07/07/20,64.04,64.55,63.67,63.73,723567,FBHS
07/06/20,64.45,64.98,64.08,64.84,784869,FBHS
07/02/20,63.61,64.71,62.2,62.69,723564,FBHS
07/01/20,64.3,64.31,61.94,62.39,758774,FBHS
06/30/20,62.83,64.4,62.71,63.93,1462107,FBHS
06/29/20,61.48,63.03,60.965,62.88,1176506,FBHS
06/26/20,60.52,61.11,59.76,60.6,2196029,FBHS
06/25/20,58.9,61.74,58.37,61.65,1444769,FBHS
