Date, Open, High, Low, Close, Volume,ticker
12/24/20,271.36,272.03,267.19,268.82,1649378,FDX
12/23/20,273.64,276.64,270.62,270.71,2350846,FDX
12/22/20,272.5,273.34,268.28,273.28,3557922,FDX
12/21/20,271.66,273.5,268.51,271.94,4989468,FDX
12/18/20,283.5,284.52,274.96,275.57,15457130,FDX
12/17/20,289.41,293.9,286.2209,292.26,6006907,FDX
12/16/20,287.38,290.85,286.61,288.81,2611752,FDX
12/15/20,286.01,289.46,283.11,285.74,3026367,FDX
12/14/20,296.0,296.35,285.41,285.54,2933932,FDX
12/11/20,289.78,291.88,286.1916,289.47,2354504,FDX
12/10/20,291.26,294.38,288.61,290.9,2961008,FDX
12/09/20,303.5,305.66,293.46,295.32,2644923,FDX
12/08/20,298.0,303.65,297.72,301.45,2889109,FDX
12/07/20,296.9,297.04,293.2,297.04,1483433,FDX
12/04/20,294.36,298.98,293.1185,294.88,1847692,FDX
12/03/20,291.72,296.34,289.78,292.7,1955755,FDX
12/02/20,287.22,293.84,285.034,291.72,2518005,FDX
12/01/20,293.56,297.66,287.6,287.76,3053837,FDX
11/30/20,287.99,290.9,280.54,286.58,3188976,FDX
11/27/20,290.8,291.2,285.35,287.41,1248021,FDX
11/25/20,291.81,292.7753,286.56,288.3,2299565,FDX
11/24/20,289.59,296.075,285.3,291.68,3716568,FDX
11/23/20,280.21,286.4,280.2,286.35,2437192,FDX
11/20/20,280.97,281.66,276.69,276.69,1887673,FDX
11/19/20,283.77,285.0,276.88,279.85,2374950,FDX
11/18/20,285.7,289.76,282.49,282.5,2874823,FDX
11/17/20,281.87,286.2,276.9,285.05,2816659,FDX
11/16/20,273.52,280.88,270.42,279.83,2474834,FDX
11/13/20,267.99,273.72,267.99,271.91,1595008,FDX
11/12/20,269.23,270.89,263.99,267.16,1924908,FDX
11/11/20,271.17,271.3076,266.0,267.81,1937663,FDX
11/10/20,264.38,268.77,258.0,267.27,2874010,FDX
11/09/20,274.24,274.5,256.35,263.88,5907191,FDX
11/06/20,278.52,284.3,277.1236,279.77,1894785,FDX
11/05/20,273.0,282.27,273.0,279.07,2234561,FDX
11/04/20,276.71,278.8,268.53,269.1,2810577,FDX
11/03/20,271.95,276.92,268.12,274.48,2630793,FDX
11/02/20,262.7,267.49,259.01,266.98,2042932,FDX
