Date, Open, High, Low, Close, Volume,ticker
12/24/20,134.63,141.79,134.51,140.79,6349896,FIS
12/23/20,135.41,135.58,133.945,134.71,5749225,FIS
12/22/20,140.11,140.17,134.6,134.81,5573292,FIS
12/21/20,142.31,142.98,135.95,139.91,6277367,FIS
12/18/20,145.76,146.92,144.05,145.22,4727785,FIS
12/17/20,144.27,146.535,143.97,145.97,2126059,FIS
12/16/20,142.53,145.55,141.0,143.6,4472491,FIS
12/15/20,145.07,145.735,143.31,145.09,3015304,FIS
12/14/20,147.82,148.14,144.02,144.22,4316512,FIS
12/11/20,145.83,148.25,145.83,147.82,2044062,FIS
12/10/20,147.93,149.03,146.46,147.47,2381479,FIS
12/09/20,151.17,151.17,146.77,147.77,4007623,FIS
12/08/20,150.72,151.37,149.69,151.18,1879582,FIS
12/07/20,150.6,151.61,149.77,150.56,3104682,FIS
12/04/20,147.83,149.95,147.395,149.86,2090645,FIS
12/03/20,148.68,149.14,146.64,147.28,2608260,FIS
12/02/20,150.38,150.53,147.82,148.59,2962433,FIS
12/01/20,149.72,151.33,149.15,150.38,3466528,FIS
11/30/20,147.0,148.5,145.18,148.41,4582470,FIS
11/27/20,148.83,149.71,147.71,148.28,1990385,FIS
11/25/20,148.25,148.65,145.98,147.97,1688965,FIS
11/24/20,146.23,149.44,145.43,148.92,2959609,FIS
11/23/20,144.66,146.36,144.15,145.32,2370668,FIS
11/20/20,147.4,147.55,144.11,144.17,2252510,FIS
11/19/20,144.9,148.0,142.84,147.7,2997712,FIS
11/18/20,146.41,146.5,144.97,144.97,2325488,FIS
11/17/20,146.96,148.785,145.18,146.97,2363430,FIS
11/16/20,147.0,148.25,145.87,147.89,2459513,FIS
11/13/20,142.77,145.5,142.54,144.72,1926618,FIS
11/12/20,143.84,144.03,141.7,142.17,2027853,FIS
11/11/20,144.14,144.24,141.7,143.55,2247641,FIS
11/10/20,141.37,145.14,141.02,144.36,3466157,FIS
11/09/20,141.37,146.04,140.0,141.69,6479428,FIS
11/06/20,133.38,133.745,131.93,133.14,1564931,FIS
11/05/20,134.79,134.885,131.69,132.59,3728439,FIS
11/04/20,130.62,134.94,129.85,132.8,3558391,FIS
11/03/20,125.97,129.26,125.13,128.49,3219524,FIS
11/02/20,125.75,126.55,123.2462,123.97,4401002,FIS
10/30/20,124.47,127.65,122.86,124.59,5496143,FIS
10/29/20,122.88,129.11,120.17,125.02,9668126,FIS
10/28/20,135.62,136.145,132.27,132.51,4285589,FIS
10/27/20,140.19,141.52,137.7234,137.86,3162483,FIS
10/26/20,142.51,142.96,138.27,139.42,2613522,FIS
10/23/20,144.31,144.94,142.93,144.4,2970996,FIS
