Date, Open, High, Low, Close, Volume,ticker
12/24/20,111.08,112.74,110.89,112.63,1683125,FISV
12/23/20,111.04,111.2,109.61,110.64,2906255,FISV
12/22/20,110.82,111.67,110.19,110.52,3802681,FISV
12/21/20,112.47,113.14,110.35,112.49,4212376,FISV
12/18/20,115.39,115.49,113.13,114.81,6349077,FISV
12/17/20,114.73,115.035,113.655,114.7,3944348,FISV
12/16/20,114.65,115.45,113.7,114.17,3659787,FISV
12/15/20,114.48,114.84,113.25,114.68,3164527,FISV
12/14/20,115.54,115.8,113.53,113.63,3691779,FISV
12/11/20,114.25,115.39,113.57,114.82,3786286,FISV
12/10/20,112.34,115.6,112.25,114.83,10790230,FISV
12/09/20,116.0,116.43,113.97,114.58,6430267,FISV
12/08/20,120.0,121.83,117.49,117.99,4837697,FISV
12/07/20,117.935,118.19,116.64,116.93,3686012,FISV
12/04/20,116.52,117.7,115.29,117.13,3444824,FISV
12/03/20,115.13,117.325,114.95,116.05,3347919,FISV
12/02/20,115.44,116.49,114.33,115.52,2479203,FISV
12/01/20,116.47,117.35,115.55,115.79,3635636,FISV
11/30/20,114.63,115.33,112.89,115.18,3735078,FISV
11/27/20,115.08,115.81,114.675,115.53,1706961,FISV
11/25/20,114.81200000000001,115.31,112.3,114.98,3663347,FISV
11/24/20,113.83,115.0,113.12,114.88,4377477,FISV
11/23/20,114.13,114.2,111.56,112.1,2896585,FISV
11/20/20,112.69,114.14,112.34,113.07,4370637,FISV
11/19/20,111.37,113.2,109.26,113.02,6914603,FISV
11/18/20,109.75,110.36,107.91,107.97,2862099,FISV
11/17/20,108.79,110.42,108.17,109.95,2524705,FISV
11/16/20,110.77,111.44,108.61,109.71,3215083,FISV
11/13/20,106.8,109.25,106.27,108.85,2620213,FISV
11/12/20,106.55,107.19,105.22,105.7,2761102,FISV
11/11/20,108.01,108.39,105.42,107.36,3031928,FISV
11/10/20,108.1,108.53,106.36,106.8,5180204,FISV
11/09/20,109.75,117.53,109.04,109.1,8323921,FISV
11/06/20,102.21,103.4,101.74,103.07,2825925,FISV
11/05/20,102.2,103.58,101.78,102.16,3679133,FISV
11/04/20,101.47,102.5,100.76,101.19,5508827,FISV
11/03/20,98.03,99.885,97.62,98.95,3593387,FISV
11/02/20,96.92,97.88,95.95,97.29,3533094,FISV
10/30/20,94.75,95.56,93.35,95.47,6677244,FISV
10/29/20,93.62,96.725,92.81,95.77,5087359,FISV
10/28/20,97.0,98.25,93.21,93.52,9223547,FISV
10/27/20,98.51,99.525,96.25,96.61,6889278,FISV
10/26/20,99.89,100.05,96.72,98.38,4897687,FISV
10/23/20,101.41,101.9,100.19,101.18,2232909,FISV
10/22/20,99.5,101.06,98.4,100.88,3174409,FISV
10/21/20,98.89,100.6,98.64,99.36,3908112,FISV
10/20/20,99.11,100.23,98.355,99.53,2889557,FISV
10/19/20,101.36,101.52,98.46,98.74,3800246,FISV
10/16/20,102.31,103.53,101.0,101.22,2886180,FISV
10/15/20,101.23,102.06,100.318,101.81,3689034,FISV
10/14/20,104.76,105.33,101.8,102.71,4643417,FISV
10/13/20,106.75,107.08,104.71,104.76,4155032,FISV
10/12/20,105.59,107.2,104.56,106.68,4772471,FISV
10/09/20,103.88,105.27,103.15,105.11,2484742,FISV
10/08/20,103.33,104.2,102.64,103.39,2680590,FISV
10/07/20,102.96,103.633,101.78,102.42,3744209,FISV
10/06/20,102.66,104.74,101.8612,102.36,4581510,FISV
10/05/20,102.8,102.99,100.06,100.82,4268129,FISV
10/02/20,101.9,102.95,100.9,101.65,3257248,FISV
10/01/20,104.29,105.8,103.38,104.25,2943581,FISV
09/30/20,103.96,104.25,102.07,103.05,5067327,FISV
09/29/20,103.58,104.74,103.41,103.59,3675108,FISV
09/28/20,104.0,104.67,103.19,104.07,3650038,FISV
09/25/20,98.0,102.495,97.535,102.13,4459408,FISV
09/24/20,98.17,99.67,96.77,98.28,4944751,FISV
09/23/20,100.56,101.37,98.5,99.35,4648583,FISV
09/22/20,100.07,101.2,98.46,101.09,3664017,FISV
09/21/20,101.24,102.0,98.16,99.61,6952149,FISV
09/18/20,104.16,104.7,101.9,103.5,15881900,FISV
09/17/20,100.14,103.86,99.73,103.8,6920870,FISV
09/16/20,101.06,103.35,100.84,102.26,7866698,FISV
09/15/20,98.24,101.41,98.0,100.59,5667044,FISV
09/14/20,94.75,97.69,94.19,97.17,5031426,FISV
09/11/20,95.412,96.07,92.15,93.06,6057920,FISV
09/10/20,96.82,98.77,94.48,95.0,4107206,FISV
09/09/20,96.83,96.83,94.64,96.425,4582655,FISV
09/08/20,97.58,97.9552,94.7427,94.98,7057312,FISV
09/04/20,101.05,101.79,98.03,99.03,5882802,FISV
09/03/20,103.17,103.37,99.37,100.66,7170763,FISV
09/02/20,100.0,103.63,99.41,103.13,4505834,FISV
09/01/20,99.44,99.99,98.64,99.37,4219231,FISV
08/31/20,100.023,101.04,98.83,99.58,4930679,FISV
08/28/20,99.26,100.17,98.26,100.16,3014387,FISV
08/27/20,99.72,99.72,97.655,99.0,4962860,FISV
08/26/20,98.72,99.2,97.63,97.94,2943234,FISV
08/25/20,96.65,98.45,96.26,98.24,3663895,FISV
08/24/20,96.43,97.46,94.99,96.22,6829283,FISV
08/21/20,96.568,97.59,95.05,95.63,6789944,FISV
08/20/20,99.53,99.72,96.82,97.0,6029014,FISV
