Date, Open, High, Low, Close, Volume,ticker
12/24/20,36.83,36.84,36.31,36.68,148028,FLS
12/23/20,36.59,37.27,36.395,36.75,479355,FLS
12/22/20,36.99,37.1,36.19,36.29,896464,FLS
12/21/20,36.26,37.16,35.74,37.07,665583,FLS
12/18/20,37.63,38.03,37.01,37.28,1961632,FLS
12/17/20,37.41,37.7,36.89,37.61,654457,FLS
12/16/20,37.8,37.8,36.73,37.31,878988,FLS
12/15/20,39.19,39.24,37.49,37.72,1381517,FLS
12/14/20,37.78,37.85,36.77,36.77,1166064,FLS
12/11/20,36.01,37.36,36.01,37.09,1013034,FLS
12/10/20,36.01,36.86,35.91,36.74,723223,FLS
12/09/20,36.1,36.61,35.8,36.36,738745,FLS
12/08/20,34.87,35.9,34.87,35.9,719657,FLS
12/07/20,35.1,36.17,34.79,35.33,1047328,FLS
12/04/20,34.07,35.85,34.07,35.58,760433,FLS
12/03/20,33.6,34.17,33.47,33.78,726688,FLS
12/02/20,33.6,33.86,33.295,33.55,1423484,FLS
12/01/20,34.72,34.83,33.86,33.96,862255,FLS
11/30/20,35.21,35.46,33.95,34.08,1084499,FLS
11/27/20,35.38,35.94,35.14,35.46,304595,FLS
11/25/20,35.95,35.99,34.67,35.2,719689,FLS
11/24/20,35.28,36.4,35.0,36.12,1423727,FLS
11/23/20,33.49,34.55,33.241,34.45,774504,FLS
11/20/20,33.9,33.92,32.57,32.91,1065241,FLS
11/19/20,34.34,34.56,33.275,34.05,897897,FLS
11/18/20,33.86,35.18,33.61,34.68,1705043,FLS
11/17/20,33.24,33.72,32.5,33.6,546834,FLS
11/16/20,33.94,34.03,32.79,33.89,1148580,FLS
11/13/20,31.96,32.77,31.87,32.54,1163031,FLS
11/12/20,31.5,32.21,31.16,31.53,991619,FLS
11/11/20,33.04,33.1325,31.385,31.93,1375346,FLS
11/10/20,32.64,33.05,32.105,32.98,1418751,FLS
11/09/20,32.26,33.4,32.09,32.15,2378325,FLS
11/06/20,31.13,31.63,28.395,28.65,2005932,FLS
11/05/20,30.42,32.05,30.395,31.62,1216204,FLS
11/04/20,30.87,30.91,29.31,30.02,1154142,FLS
11/03/20,31.21,31.87,30.95,31.58,878976,FLS
11/02/20,29.68,30.54,29.42,30.54,627525,FLS
10/30/20,28.39,29.15,28.38,29.12,926121,FLS
10/29/20,28.35,28.62,27.58,28.49,1431205,FLS
10/28/20,28.75,29.49,28.63,28.8,1250493,FLS
10/27/20,29.77,29.89,29.46,29.53,1082535,FLS
10/26/20,31.06,31.35,29.64,29.95,1325411,FLS
10/23/20,30.9,31.92,30.63,31.75,1748145,FLS
10/22/20,29.25,30.6,29.25,30.55,824260,FLS
10/21/20,29.08,29.65,29.0,29.21,566882,FLS
10/20/20,29.13,29.46,28.97,29.07,766162,FLS
10/19/20,28.97,29.38,28.62,28.83,692461,FLS
10/16/20,29.07,29.18,28.8,28.86,806908,FLS
10/15/20,28.62,29.2,28.33,29.05,1204364,FLS
10/14/20,28.94,29.585,28.94,29.31,795487,FLS
10/13/20,29.35,29.62,28.69,28.88,1060085,FLS
10/12/20,29.47,29.94,28.98,29.86,720533,FLS
10/09/20,29.49,29.71,29.1,29.48,788614,FLS
10/08/20,28.82,29.18,28.4,29.16,553683,FLS
10/07/20,27.83,28.65,27.83,28.51,676206,FLS
10/06/20,28.23,28.5,27.5,27.55,476207,FLS
10/05/20,27.5,27.99,27.47,27.9,621938,FLS
10/02/20,25.96,27.5,25.87,27.23,522781,FLS
10/01/20,27.36,27.51,26.305,26.67,1086488,FLS
09/30/20,27.13,27.84,27.01,27.29,1248460,FLS
09/29/20,27.51,27.59,26.725,26.93,886004,FLS
09/28/20,27.15,27.94,27.15,27.43,637771,FLS
09/25/20,26.6,27.035,26.49,26.57,1394782,FLS
09/24/20,26.53,27.56,26.2,27.01,784136,FLS
09/23/20,27.02,27.61,26.58,26.66,754704,FLS
09/22/20,26.87,27.45,26.87,27.06,810915,FLS
09/21/20,27.65,27.87,26.08,26.75,1538761,FLS
09/18/20,28.83,29.3,28.15,28.49,2826858,FLS
09/17/20,28.9,29.31,28.31,28.93,952116,FLS
09/16/20,28.44,29.775,28.17,29.54,1417287,FLS
09/15/20,28.33,28.7,27.75,28.19,954556,FLS
09/14/20,28.47,28.74,28.05,28.24,685736,FLS
09/11/20,28.04,28.4801,27.85,28.14,678129,FLS
09/10/20,28.58,28.78,27.77,27.88,880521,FLS
09/09/20,28.56,28.71,28.075,28.57,948029,FLS
09/08/20,28.91,29.18,28.32,28.36,1401282,FLS
09/04/20,29.6,30.0,29.12,29.42,1000151,FLS
09/03/20,30.02,30.49,28.72,28.92,1356052,FLS
09/02/20,30.03,30.25,29.69,30.09,585986,FLS
09/01/20,29.4,30.09,29.25,29.89,553391,FLS
08/31/20,30.53,30.53,29.65,29.68,861998,FLS
08/28/20,29.85,30.67,29.68,30.53,582585,FLS
08/27/20,29.67,29.995,29.22,29.75,658858,FLS
08/26/20,29.65,29.69,29.18,29.52,581557,FLS
08/25/20,30.51,30.69,29.7,29.8,594851,FLS
08/24/20,29.51,30.19,29.11,30.12,720573,FLS
08/21/20,29.51,29.75,29.04,29.22,579022,FLS
08/20/20,29.99,30.18,29.49,29.53,623039,FLS
08/19/20,30.18,30.68,29.92,30.32,680675,FLS
08/18/20,31.07,31.3375,30.25,30.28,626929,FLS
08/17/20,31.95,32.07,31.29,31.29,790794,FLS
08/14/20,31.41,32.19,31.22,31.98,1380946,FLS
08/13/20,31.94,32.25,31.6301,31.81,1215650,FLS
08/12/20,32.16,32.47,31.375,32.34,1395387,FLS
08/11/20,31.51,32.54,31.5,31.66,1102500,FLS
08/10/20,30.17,31.105,29.99,30.93,946227,FLS
08/07/20,28.51,30.0,28.46,29.96,1229480,FLS
08/06/20,28.76,28.96,28.37,28.63,819263,FLS
08/05/20,28.82,29.33,28.68,28.97,639481,FLS
08/04/20,28.2,28.615,28.05,28.27,925437,FLS
08/03/20,28.03,28.82,27.68,28.13,1268022,FLS
07/31/20,29.77,30.07,27.11,27.87,3106033,FLS
07/30/20,29.78,30.095,29.11,29.94,1023562,FLS
07/29/20,29.73,30.66,29.62,30.45,689200,FLS
07/28/20,30.48,30.66,29.49,29.55,854443,FLS
07/27/20,30.23,30.78,29.85,30.7,569596,FLS
07/24/20,30.61,30.81,30.09,30.32,622829,FLS
07/23/20,30.25,30.94,29.99,30.45,908144,FLS
07/22/20,29.85,30.43,29.735,30.26,716785,FLS
07/21/20,29.23,30.4,29.23,30.1,943301,FLS
07/20/20,29.24,29.71,28.66,28.91,840622,FLS
07/17/20,30.02,30.52,29.45,29.49,725174,FLS
07/16/20,30.52,30.86,29.69,29.95,659764,FLS
07/15/20,30.09,30.885,29.49,30.67,1000750,FLS
07/14/20,28.19,29.25,27.81,29.09,2461483,FLS
07/13/20,28.16,28.88,27.67,28.32,839193,FLS
07/10/20,27.34,27.88,27.31,27.81,454304,FLS
07/09/20,27.6,27.85,26.68,27.3,889617,FLS
07/08/20,28.08,28.1,27.2798,27.57,1089711,FLS
07/07/20,28.71,28.91,27.96,28.1,750017,FLS
07/06/20,28.54,29.49,28.525,29.08,1066663,FLS
07/02/20,28.34,29.51,28.02,28.34,939492,FLS
07/01/20,28.69,29.0,27.57,27.63,1009330,FLS
06/30/20,27.8,28.845,27.8,28.52,1540763,FLS
06/29/20,27.46,28.37,27.255,28.23,780950,FLS
06/26/20,26.99,27.065,26.31,27.01,1700562,FLS
06/25/20,25.68,27.22,25.53,27.22,1394135,FLS
06/24/20,27.45,27.5221,25.79,25.8,1381504,FLS
06/23/20,28.14,28.37,27.62,28.04,1220642,FLS
06/22/20,27.66,27.77,26.74,27.66,979673,FLS
06/19/20,28.58,28.58,27.35,27.72,1824087,FLS
06/18/20,27.68,28.44,27.38,27.87,790110,FLS
06/17/20,29.64,29.91,28.265,28.31,846834,FLS
06/16/20,30.19,30.7,28.93,29.69,1415896,FLS
06/15/20,26.62,28.44,26.22,28.34,1507238,FLS
06/12/20,28.62,28.77,26.85,28.0,1209620,FLS
06/11/20,27.7,28.36,26.85,27.0,1336732,FLS
06/10/20,31.54,31.57,29.88,30.13,1192917,FLS
06/09/20,32.45,32.63,31.6,31.84,1261459,FLS
06/08/20,33.06,33.8,32.69,33.63,2258555,FLS
06/05/20,31.55,32.98,31.37,31.59,2022343,FLS
06/04/20,28.79,29.64,28.425,29.61,1796517,FLS
06/03/20,27.9,29.34,27.9,29.09,1267480,FLS
06/02/20,27.71,28.005,27.05,27.16,2562906,FLS
06/01/20,26.25,27.48,26.03,27.04,3456941,FLS
05/29/20,26.36,26.58,25.3,26.1,8587730,FLS
05/28/20,28.61,28.705,26.78,26.82,1581047,FLS
05/27/20,28.11,28.98,27.68,28.42,2343680,FLS
05/26/20,26.6,27.53,26.51,26.98,1698299,FLS
05/22/20,25.64,25.64,24.85,25.2,1242621,FLS
05/21/20,25.02,25.37,24.8,25.16,1356386,FLS
05/20/20,24.79,25.33,24.75,25.02,1600239,FLS
05/19/20,25.2,25.215,24.27,24.27,1367544,FLS
05/18/20,23.69,25.59,23.69,25.39,1758519,FLS
05/15/20,22.65,23.005,22.27,22.44,1644011,FLS
05/14/20,21.7,23.2,21.05,22.98,1908895,FLS
05/13/20,23.11,23.17,21.71,22.19,2000220,FLS
05/12/20,25.2,25.5699,23.38,23.4,1592501,FLS
05/11/20,26.19,26.19,24.5,25.01,2937624,FLS
05/08/20,26.0,27.64,25.83,26.78,2030311,FLS
05/07/20,27.17,27.89,27.0,27.43,1185355,FLS
05/06/20,27.25,27.5,26.45,26.65,770850,FLS
05/05/20,27.4,28.205,27.21,27.24,834476,FLS
05/04/20,25.96,26.93,25.6,26.89,1283959,FLS
05/01/20,27.6,27.92,25.91,26.55,978449,FLS
04/30/20,29.09,29.115,27.97,28.17,1098692,FLS
04/29/20,28.82,29.77,28.21,29.64,1462173,FLS
04/28/20,27.99,28.6,27.14,27.68,1430745,FLS
04/27/20,25.97,27.345,25.54,27.1,1343781,FLS
04/24/20,25.74,26.0,25.28,25.53,2116290,FLS
04/23/20,24.97,26.12,24.87,25.43,1013907,FLS
04/22/20,24.63,24.93,23.97,24.66,796792,FLS
04/21/20,24.0,24.3,23.59,23.93,1076888,FLS
04/20/20,24.0,25.02,23.1,24.82,1232250,FLS
04/17/20,23.98,25.38,23.78,24.8,1180506,FLS
04/16/20,23.75,23.75,22.21,23.1,1801241,FLS
04/15/20,24.64,24.99,23.05,23.86,1285066,FLS
04/14/20,26.55,26.67,25.425,25.63,1219055,FLS
04/13/20,27.05,27.05,25.55,26.12,1181659,FLS
04/09/20,29.29,29.765,26.76,27.19,3009336,FLS
04/08/20,26.89,28.92,26.75,28.74,1565138,FLS
04/07/20,27.16,28.29,26.47,26.68,2110046,FLS
04/06/20,24.71,26.38,24.71,26.18,1580950,FLS
04/03/20,24.2,24.98,23.39,23.76,2147058,FLS
04/02/20,23.22,25.21,23.1,24.1,2860492,FLS
04/01/20,22.61,23.2,22.0,23.14,2229263,FLS
03/31/20,22.52,24.48,22.52,23.89,2809838,FLS
03/30/20,21.6,22.68,20.86,22.49,1188780,FLS
03/27/20,22.82,23.3,21.52,21.69,1666612,FLS
03/26/20,22.77,24.09,22.62,23.94,1918918,FLS
03/25/20,21.31,24.18,20.625,23.0,2499495,FLS
03/24/20,20.55,21.56,20.19,21.34,3622925,FLS
03/23/20,20.2,20.445,18.98,19.24,2421260,FLS
03/20/20,20.94,22.2,20.38,20.43,2716856,FLS
03/19/20,20.02,21.14,19.6001,20.59,2179988,FLS
03/18/20,20.95,21.35,19.52,20.31,1490747,FLS
03/17/20,22.82,23.785,21.44,22.47,2254204,FLS
