Date, Open, High, Low, Close, Volume,ticker
12/24/20,269.17,272.53,268.91,270.49,368623,FLT
12/23/20,272.1,272.52,269.44,269.65,372006,FLT
12/22/20,272.99,273.755,268.88,269.46,462441,FLT
12/21/20,275.13,276.59,268.93,271.85,585895,FLT
12/18/20,282.4,282.45,277.695,279.47,1314755,FLT
12/17/20,281.55,284.06,279.13,282.01,923555,FLT
12/16/20,276.69,280.96,274.95,279.73,558809,FLT
12/15/20,271.49,276.2,271.44,275.94,497263,FLT
12/14/20,276.64,276.95,270.16,271.16,597930,FLT
12/11/20,270.09,275.06,270.09,273.68,583864,FLT
12/10/20,264.67,273.44,263.47,273.39,789530,FLT
12/09/20,269.49,270.045,266.14,267.06,500889,FLT
12/08/20,270.85,271.69,266.5,268.31,592859,FLT
12/07/20,267.06,273.83,266.58,273.62,1307612,FLT
12/04/20,263.9,269.97,263.72,268.05,1007932,FLT
12/03/20,263.14,265.58,261.58,262.23,626087,FLT
12/02/20,265.95,265.95,261.43,263.81,472945,FLT
12/01/20,268.57,271.45,265.91,267.26,708354,FLT
11/30/20,267.14,268.23,262.28,265.21,630636,FLT
11/27/20,269.78,270.38,266.23,267.6,346221,FLT
11/25/20,267.43,271.65,262.84,269.69,557002,FLT
11/24/20,258.94,267.56,257.03,267.06,1194775,FLT
11/23/20,255.0,257.34,252.06,254.66,1261518,FLT
11/20/20,258.63,258.82,253.68,253.93,535781,FLT
11/19/20,261.96,263.49,258.02,260.28,868893,FLT
11/18/20,267.31,270.24,262.62,262.62,505378,FLT
11/17/20,261.57,269.58,261.57,267.99,425104,FLT
11/16/20,266.0,267.97,262.08,265.11,660005,FLT
11/13/20,262.99,265.48,256.91,260.3,857967,FLT
11/12/20,264.75,266.165,256.6,260.35,923503,FLT
11/11/20,278.51,278.51,265.13,266.37,1271939,FLT
11/10/20,269.19,281.11,266.14,279.03,1643871,FLT
11/09/20,248.75,274.738,245.94,269.12,2067262,FLT
11/06/20,240.0,242.0225,229.79,232.11,1609734,FLT
11/05/20,241.03,242.345,238.8721,240.0,1008811,FLT
11/04/20,238.54,241.15,235.03,237.19,644978,FLT
11/03/20,233.4,237.44,232.6,235.14,623364,FLT
11/02/20,224.36,230.98,222.48,230.53,614763,FLT
10/30/20,218.23,221.12,216.17,220.91,638379,FLT
10/29/20,217.28,222.36,214.88,219.41,1538528,FLT
10/28/20,226.07,228.46,220.9327,221.62,1329173,FLT
10/27/20,241.6,242.8554,231.63,231.69,882210,FLT
10/26/20,255.35,255.7,239.135,241.21,1070827,FLT
10/23/20,258.8,260.3,256.45,259.2,718583,FLT
10/22/20,249.29,257.8,246.31,256.84,741405,FLT
10/21/20,242.49,249.45,241.8,248.28,594380,FLT
10/20/20,243.46,246.09,242.63,242.83,328812,FLT
10/19/20,251.13,251.18,239.76,241.55,689339,FLT
10/16/20,248.6,250.11,246.39,249.59,420251,FLT
10/15/20,246.58,248.105,244.67,246.51,469888,FLT
10/14/20,249.34,252.23,247.675,250.19,525762,FLT
10/13/20,249.99,251.44,247.81,248.76,648806,FLT
10/12/20,249.28,253.99,248.3628,251.2,496859,FLT
10/09/20,247.75,250.215,245.02,247.11,548941,FLT
10/08/20,241.41,245.86,241.41,245.12,410109,FLT
10/07/20,240.93,241.92,239.1,240.9,382367,FLT
10/06/20,241.06,246.255,236.84,238.94,465479,FLT
10/05/20,236.63,239.1375,234.94,238.92,616950,FLT
10/02/20,232.88,236.02,231.4,234.46,599424,FLT
10/01/20,241.39,243.3,236.62,237.18,508658,FLT
09/30/20,240.34,243.13,235.78,238.1,628376,FLT
09/29/20,242.88,243.75,240.31,240.75,1010816,FLT
09/28/20,240.83,243.445,239.59,241.71,531101,FLT
09/25/20,232.83,237.295,230.42,236.91,513020,FLT
09/24/20,232.14,235.51,229.44,233.6,825467,FLT
09/23/20,235.4,237.65,232.67,234.0,762130,FLT
09/22/20,236.51,237.43,232.595,236.04,767477,FLT
09/21/20,233.86,237.57,230.5,235.44,1109920,FLT
09/18/20,236.55,243.28,235.405,241.86,850750,FLT
09/17/20,230.68,236.315,229.13,235.93,487975,FLT
09/16/20,232.96,237.025,232.22,234.49,586599,FLT
09/15/20,236.96,239.3433,231.54,232.32,986557,FLT
09/14/20,234.11,236.31,232.795,235.04,1021460,FLT
09/11/20,234.71,235.505,228.01,231.0,562081,FLT
09/10/20,236.48,239.63,232.405,233.21,499124,FLT
09/09/20,235.48,237.41,230.99,234.96,659288,FLT
09/08/20,232.53,237.16,230.81,231.91,925700,FLT
09/04/20,248.29,249.0,237.59,238.04,693495,FLT
09/03/20,253.69,253.69,241.405,246.16,804745,FLT
09/02/20,251.41,254.78,247.77,253.65,510347,FLT
09/01/20,251.43,255.03,249.68,249.99,402704,FLT
08/31/20,255.64,257.11,251.38,251.45,808830,FLT
08/28/20,248.05,255.0693,247.675,255.0,555440,FLT
08/27/20,244.73,248.02,242.64,248.0,682799,FLT
08/26/20,242.27,245.125,240.15,244.8,546835,FLT
08/25/20,241.23,242.35,238.0,242.35,518216,FLT
08/24/20,240.84,241.02,237.4,240.09,586827,FLT
08/21/20,240.28,241.84,235.96,238.67,742005,FLT
08/20/20,242.55,244.295,240.99,241.21,752623,FLT
08/19/20,243.28,245.84,243.2,244.87,510430,FLT
08/18/20,245.28,246.98,239.38,243.7,800050,FLT
08/17/20,241.47,246.66,241.17,245.44,1274106,FLT
08/14/20,235.14,240.54,234.12,240.28,998469,FLT
08/13/20,229.3,235.955,228.11,234.63,938134,FLT
08/12/20,236.24,236.73,228.41,230.57,1038660,FLT
08/11/20,238.23,240.34,234.205,234.76,1014977,FLT
08/10/20,239.45,242.15,229.665,236.4,1101272,FLT
08/07/20,245.4,248.16,235.18,240.61,1809205,FLT
08/06/20,265.08,267.485,261.125,263.0,502214,FLT
08/05/20,260.8,268.62,260.8,265.29,544760,FLT
08/04/20,260.77,263.35,257.77,258.54,553977,FLT
08/03/20,258.65,263.57,255.5,263.21,476252,FLT
07/31/20,259.72,259.72,254.09,258.57,332788,FLT
07/30/20,260.63,260.9,251.325,259.49,426774,FLT
07/29/20,257.75,266.79,257.72,264.76,421985,FLT
07/28/20,258.38,261.155,256.15,256.22,417346,FLT
07/27/20,258.77,259.75,256.74,258.48,335255,FLT
07/24/20,258.13,261.425,255.35,258.08,421021,FLT
07/23/20,261.98,264.12,256.65,259.34,602794,FLT
07/22/20,258.56,262.58,258.44,262.18,318468,FLT
07/21/20,261.54,262.185,257.25,258.16,438261,FLT
07/20/20,258.11,260.89,256.31,259.45,368636,FLT
07/17/20,261.43,262.73,256.49,259.07,439064,FLT
07/16/20,263.65,265.93,260.01,260.29,593029,FLT
07/15/20,253.83,266.57,252.95,265.79,708938,FLT
07/14/20,246.71,249.4,240.98,249.1,587226,FLT
07/13/20,255.36,257.41,247.79,248.3,729519,FLT
07/10/20,252.12,254.12,249.18,253.01,445400,FLT
07/09/20,259.77,261.14,250.61,253.33,692311,FLT
07/08/20,253.64,257.3,250.62,253.64,862630,FLT
07/07/20,254.46,259.61,251.6,252.77,597610,FLT
07/06/20,255.68,262.02,254.58,256.19,441298,FLT
07/02/20,257.53,261.8,253.9117,254.84,611330,FLT
07/01/20,251.5,256.08,249.89,254.69,609824,FLT
06/30/20,245.66,253.31,244.5,251.53,779585,FLT
06/29/20,241.43,246.27,237.84,246.15,496072,FLT
06/26/20,246.03,247.1,237.74,238.52,969192,FLT
