Date, Open, High, Low, Close, Volume,ticker
12/24/20,28.05,28.53,28.05,28.31,1363508,FOXA
12/23/20,27.35,28.22,27.2901,28.11,3292816,FOXA
12/22/20,27.51,27.72,27.12,27.27,3071160,FOXA
12/21/20,27.78,27.93,27.315,27.72,2718870,FOXA
12/18/20,28.54,28.82,27.92,28.16,6018042,FOXA
12/17/20,28.57,28.7,27.85,28.54,3799814,FOXA
12/16/20,28.64,28.88,28.35,28.45,3169470,FOXA
12/15/20,28.88,28.94,27.985,28.58,4705494,FOXA
12/14/20,29.74,29.77,28.76,28.78,4596287,FOXA
12/11/20,28.91,29.37,28.5101,29.32,3492147,FOXA
12/10/20,29.08,29.23,28.88,29.11,3678535,FOXA
12/09/20,29.33,29.68,29.05,29.24,7025431,FOXA
12/08/20,29.58,29.79,29.105,29.255,4432752,FOXA
12/07/20,29.62,30.03,29.5013,29.68,5121561,FOXA
12/04/20,30.47,30.52,29.74,29.84,5831382,FOXA
12/03/20,30.68,31.01,30.235,30.32,4730938,FOXA
12/02/20,30.22,30.655,29.77,30.6,10815600,FOXA
12/01/20,29.12,30.58,28.97,30.14,8830091,FOXA
11/30/20,29.06,29.21,28.71,28.84,4109824,FOXA
11/27/20,29.07,29.42,29.07,29.16,1551712,FOXA
11/25/20,29.45,29.45,28.87,29.3,2204060,FOXA
11/24/20,28.85,29.75,28.61,29.48,4009861,FOXA
11/23/20,28.0,28.76,27.75,28.53,3551259,FOXA
11/20/20,27.73,27.9382,27.54,27.83,2846552,FOXA
11/19/20,27.61,27.975,27.38,27.71,4010242,FOXA
11/18/20,28.1,28.19,27.64,27.66,4151498,FOXA
11/17/20,27.07,28.215,26.665,28.16,5242826,FOXA
11/16/20,26.83,27.63,26.7,27.18,8104995,FOXA
11/13/20,25.95,26.76,25.6069,26.635,6483189,FOXA
11/12/20,27.12,27.225,25.33,25.64,14392490,FOXA
11/11/20,26.95,27.6,26.575,27.46,6876670,FOXA
11/10/20,26.01,27.135,25.88,26.85,4604839,FOXA
11/09/20,26.97,27.61,25.97,26.25,8566618,FOXA
11/06/20,26.43,26.615,25.645,25.95,7824090,FOXA
11/05/20,26.07,26.665,25.44,26.61,6588934,FOXA
11/04/20,26.93,27.1,24.98,25.63,15753240,FOXA
11/03/20,28.81,29.28,26.36,27.04,8345158,FOXA
11/02/20,26.66,27.46,26.29,27.4,7284235,FOXA
10/30/20,25.56,26.52,25.51,26.52,5643769,FOXA
10/29/20,24.935,25.81,24.935,25.57,2419883,FOXA
10/28/20,25.78,26.03,25.21,25.31,3730095,FOXA
10/27/20,26.35,26.36,26.045,26.185,3079386,FOXA
10/26/20,26.82,26.84,26.09,26.41,4847095,FOXA
10/23/20,27.62,27.665,26.72,27.08,3463775,FOXA
10/22/20,26.84,27.6,26.72,27.46,3572065,FOXA
10/21/20,25.9,26.7,25.78,26.57,2572494,FOXA
10/20/20,26.4,26.4,25.87,26.05,3402676,FOXA
10/19/20,27.09,27.11,25.97,26.02,3741377,FOXA
10/16/20,27.11,27.23,26.55,26.86,3428271,FOXA
10/15/20,26.79,26.98,26.37,26.93,6332893,FOXA
10/14/20,27.26,27.45,26.9,26.93,3288165,FOXA
10/13/20,28.89,28.915,27.16,27.23,7187039,FOXA
