Date, Open, High, Low, Close, Volume,ticker
12/24/20,86.57,87.01,85.32,86.58,231575,FRT
12/23/20,86.87,87.6,85.85,86.11,391074,FRT
12/22/20,86.47,86.87,85.0,86.02,637564,FRT
12/21/20,86.51,87.115,84.83,85.89,898573,FRT
12/18/20,90.67,91.12,87.28,88.31,1119147,FRT
12/17/20,91.25,91.5,89.61,90.73,484877,FRT
12/16/20,93.24,93.74,89.9,90.72,771163,FRT
12/15/20,89.73,93.37,88.4,93.31,827814,FRT
12/14/20,91.08,91.94,88.32,88.87,734886,FRT
12/11/20,90.51,91.12,88.4,90.15,462621,FRT
12/10/20,89.14,91.81,89.14,91.43,964770,FRT
12/09/20,90.07,90.88,89.32,90.71,578820,FRT
12/08/20,89.45,91.71,89.31,89.66,464867,FRT
12/07/20,92.62,92.62,89.79,90.3,744748,FRT
12/04/20,93.01,93.58,92.03,93.1,482068,FRT
12/03/20,90.02,92.64,89.96,91.81,770351,FRT
12/02/20,87.17,90.71,86.2,89.96,892645,FRT
12/01/20,88.96,90.78,87.18,87.6,872268,FRT
11/30/20,88.19,88.8,86.34,87.22,5379327,FRT
11/27/20,91.14,91.67,88.15,88.37,704579,FRT
11/25/20,92.54,92.54,89.6,91.04,1019540,FRT
11/24/20,95.49,97.0,93.47,93.61,1052128,FRT
11/23/20,91.43,95.5,90.34,93.07,1061299,FRT
11/20/20,90.33,91.49,89.44,89.78,1105290,FRT
11/19/20,89.96,91.43,88.29,90.79,999199,FRT
11/18/20,91.54,93.53,90.41,90.65,979315,FRT
11/17/20,91.23,91.9,89.69,91.31,763068,FRT
11/16/20,95.16,95.61,90.73,92.74,995370,FRT
11/13/20,86.19,89.22,86.19,88.47,908794,FRT
11/12/20,87.52,88.15,83.12,85.33,1226796,FRT
11/11/20,93.62,93.62,88.31,90.32,1197708,FRT
11/10/20,90.91,94.99,90.54,94.08,1969272,FRT
11/09/20,75.6,94.32,75.12,91.61,2783457,FRT
11/06/20,72.92,73.835,67.9,68.93,1071336,FRT
11/05/20,72.57,73.79,71.935,72.1,510544,FRT
11/04/20,75.4,75.77,71.79,71.89,755825,FRT
11/03/20,72.5,76.08,72.37,75.54,741562,FRT
11/02/20,69.54,71.45,68.4,71.45,561908,FRT
10/30/20,69.04,69.76,67.8101,68.78,1608179,FRT
10/29/20,67.91,70.0,67.01,69.31,627214,FRT
10/28/20,69.15,69.82,67.32,67.91,873283,FRT
10/27/20,73.3,73.47,70.2,70.21,787012,FRT
10/26/20,75.96,75.96,72.46,73.3,759905,FRT
10/23/20,75.98,77.02,75.57,76.72,361460,FRT
10/22/20,73.94,75.4,73.52,75.29,491106,FRT
