Date, Open, High, Low, Close, Volume,ticker
12/24/20,69.81,69.83,68.9,69.64,412084,FTV
12/23/20,69.06,69.65,68.19,69.35,2184528,FTV
12/22/20,69.39,69.92,68.26,68.46,2536871,FTV
12/21/20,68.55,70.02,68.53,69.81,1712916,FTV
12/18/20,69.52,70.1,69.18,69.83,2880745,FTV
12/17/20,69.35,69.74,68.77,69.33,1487263,FTV
12/16/20,69.58,69.74,68.68,68.92,1460654,FTV
12/15/20,68.85,69.81,67.97,69.4,1674943,FTV
12/14/20,69.25,69.58,68.23,68.26,1762289,FTV
12/11/20,68.38,69.07,68.3,68.55,1412055,FTV
12/10/20,68.94,70.15,68.63,68.93,1441378,FTV
12/09/20,68.72,69.78,68.41,69.64,3363944,FTV
12/08/20,68.92,69.21,68.36,68.4,3443817,FTV
12/07/20,71.52,71.565,69.31,69.39,2092764,FTV
12/04/20,70.01,71.7,69.78,71.28,3793871,FTV
12/03/20,69.51,70.43,68.67,68.83,3171325,FTV
12/02/20,70.25,70.45,69.12,69.65,1679637,FTV
12/01/20,70.77,71.695,70.44,70.55,2313770,FTV
11/30/20,69.57,70.5499,69.225,70.13,2266568,FTV
11/27/20,71.99,72.11,71.25,71.43,672770,FTV
11/25/20,72.88,72.88,71.57,71.87,1576428,FTV
11/24/20,72.43,73.1,71.855,73.0,2190937,FTV
11/23/20,71.98,72.27,71.46,71.68,1178939,FTV
11/20/20,71.56,71.77,70.96,71.32,1549831,FTV
11/19/20,70.95,71.38,69.82,71.33,1153520,FTV
11/18/20,71.75,72.16,70.98,70.99,1150383,FTV
11/17/20,71.4,71.99,70.18,71.65,1315425,FTV
11/16/20,72.01,72.26,70.83,72.16,2468728,FTV
11/13/20,70.15,71.2699,70.09,70.95,1690766,FTV
11/12/20,69.25,70.06,68.985,69.51,1400447,FTV
11/11/20,70.51,70.69,68.975,70.0,1782169,FTV
11/10/20,70.63,70.91,69.71,69.8,2504543,FTV
11/09/20,72.13,74.255,70.265,70.33,1916419,FTV
11/06/20,67.99,68.81,67.425,68.37,1827987,FTV
11/05/20,66.02,68.57,65.68,67.95,3190056,FTV
11/04/20,64.49,65.15,63.04,64.62,1819697,FTV
11/03/20,64.11,65.6,63.37,64.99,1604350,FTV
11/02/20,62.54,63.58,62.39,63.32,2873362,FTV
10/30/20,62.22,62.44,60.885,61.6,2682231,FTV
10/29/20,61.48,62.83,60.82,62.27,1876401,FTV
10/28/20,63.04,63.167,61.09,61.81,3424196,FTV
10/27/20,64.37,64.41,63.23,63.65,1868398,FTV
10/26/20,65.79,65.82,63.79,64.52,1699183,FTV
10/23/20,66.96,67.34,66.34,66.5,2773973,FTV
10/22/20,66.28,66.81,65.98,66.52,2255135,FTV
10/21/20,66.16,66.5799,65.61,65.82,2056435,FTV
10/20/20,66.3,66.655,65.55,65.89,2143619,FTV
10/19/20,67.1,67.245,65.53,65.77,1633640,FTV
10/16/20,67.7,67.84,67.02,67.14,1961157,FTV
10/15/20,66.4,67.65,66.07,67.42,1414861,FTV
10/14/20,66.23,67.12,66.02,67.0,2311221,FTV
10/13/20,66.78,67.79,66.17,66.42,2862236,FTV
10/12/20,69.75,69.99,67.56,67.7,4226219,FTV
10/09/20,70.0,71.02,69.3,69.82,13655620,FTV
10/08/20,68.1224,68.6659,67.5497,68.39,3089455,FTV
10/07/20,66.2661,68.1308,66.2661,67.7629,3355309,FTV
10/06/20,66.8096,67.4326,65.5638,65.7644,2517066,FTV
10/05/20,65.82300000000001,66.1783,65.0788,66.1073,3184075,FTV
10/02/20,62.3278,65.6975,62.2776,64.7192,1973362,FTV
10/01/20,64.251,64.4099,62.5368,62.9967,2197795,FTV
09/30/20,64.1339,64.6691,63.2016,63.7242,2602856,FTV
09/29/20,63.3563,64.3346,62.9466,63.7242,3200985,FTV
09/28/20,63.373000000000005,64.0252,62.7584,63.3228,1922567,FTV
09/25/20,60.3294,62.0686,60.0785,62.0184,2414430,FTV
09/24/20,59.7691,61.316,59.3427,60.8227,2845969,FTV
09/23/20,60.6889,61.5334,59.9113,59.9531,2058757,FTV
09/22/20,60.4381,61.0317,60.0116,60.8561,3310622,FTV
09/21/20,62.1355,62.6455,59.5517,60.5133,3923023,FTV
09/18/20,64.5102,65.2042,63.0636,63.373000000000005,10734600,FTV
09/17/20,63.5737,65.3045,63.2559,64.76100000000001,4802358,FTV
09/16/20,64.7778,65.3004,63.975,64.3011,5073253,FTV
09/15/20,65.0955,65.6892,64.343,64.55199999999999,2291490,FTV
09/14/20,65.2209,65.7895,64.736,64.9116,2914678,FTV
09/11/20,64.15899999999999,65.1206,63.7827,64.6941,3344030,FTV
09/10/20,63.7158,64.64399999999999,63.5402,63.9249,4934854,FTV
09/09/20,62.1773,63.7158,61.5836,63.2643,4617383,FTV
09/08/20,61.8595,62.4365,61.0317,61.5836,4115826,FTV
09/04/20,62.1271,62.7542,61.6923,62.0519,3440490,FTV
09/03/20,62.3612,62.5703,60.8394,61.291000000000004,2388035,FTV
09/02/20,61.6589,62.4449,61.1739,62.1522,2135497,FTV
09/01/20,59.9531,62.0356,59.9196,61.5334,2823468,FTV
08/31/20,60.6638,60.9816,60.0409,60.2959,1641115,FTV
08/28/20,59.3343,61.0067,58.8243,60.898,2963598,FTV
08/27/20,59.6521,59.9949,59.2047,59.233999999999995,3399926,FTV
08/26/20,59.0751,59.6241,58.4731,59.3678,3303121,FTV
08/25/20,60.321000000000005,60.4631,58.841,58.9915,4349632,FTV
08/24/20,60.3461,60.6137,59.7608,60.2039,1633094,FTV
08/21/20,60.2625,60.4882,59.3092,59.9698,1578693,FTV
08/20/20,59.0751,60.1872,59.0082,60.111999999999995,1455086,FTV
08/19/20,60.4548,60.4882,59.5685,59.7106,2065072,FTV
08/18/20,61.2241,61.3913,60.1454,60.2708,1775410,FTV
08/17/20,61.5,61.8428,61.0067,61.4415,1835073,FTV
08/14/20,61.4582,62.2358,61.3369,61.5251,965232,FTV
08/13/20,62.0101,62.1926,61.2157,61.684,1650752,FTV
08/12/20,61.8763,62.7124,60.9816,62.6623,2939102,FTV
08/11/20,60.898,61.6171,60.714,61.4247,8203708,FTV
08/10/20,60.4966,60.6471,59.9573,60.0869,4402051,FTV
08/07/20,59.1002,60.458999999999996,58.8326,60.3963,2257655,FTV
08/06/20,58.3644,59.3761,58.3267,59.1169,3196337,FTV
08/05/20,58.5483,59.1587,57.9881,58.5483,3990749,FTV
08/04/20,58.0634,58.5232,57.7791,58.0884,3108661,FTV
08/03/20,58.9581,59.0584,57.963,58.1637,3750227,FTV
07/31/20,60.0869,60.0869,58.3309,58.6905,2907660,FTV
07/30/20,60.622,60.8311,59.8862,60.3377,2778348,FTV
07/29/20,61.3244,61.8512,60.8311,61.5418,3781026,FTV
07/28/20,59.8946,60.0033,59.3343,59.3929,2114342,FTV
07/27/20,59.5517,60.321000000000005,59.3887,60.1203,2125286,FTV
07/24/20,60.7307,60.7307,59.2507,59.3678,1850337,FTV
07/23/20,60.0702,61.0568,60.0576,60.6471,1328578,FTV
07/22/20,59.3929,59.9865,59.2591,59.8109,1973899,FTV
07/21/20,59.326,60.0283,59.326,59.535,1325296,FTV
07/20/20,60.1538,60.2039,58.9581,59.1587,1144267,FTV
07/17/20,60.2625,60.6304,59.9196,60.2792,1221863,FTV
07/16/20,59.3845,60.3294,58.7239,59.9614,2042073,FTV
07/15/20,58.7156,59.8611,58.4647,59.5266,1793824,FTV
07/14/20,56.667,57.9714,56.0482,57.8292,1933959,FTV
07/13/20,56.5833,57.4111,56.391000000000005,56.5499,1289113,FTV
07/10/20,56.3492,56.5415,55.9646,56.2405,1725168,FTV
07/09/20,56.8426,57.3774,55.9228,56.2572,1190686,FTV
07/08/20,56.7673,57.1436,56.1402,57.0934,1231254,FTV
07/07/20,57.4697,57.6453,56.8676,56.9094,985730,FTV
