Date, Open, High, Low, Close, Volume,ticker
12/24/20,57.33,57.41,56.96,57.07,3441345,GILD
12/23/20,56.9,57.62,56.9,57.38,8495900,GILD
12/22/20,58.22,58.32,56.81,57.0,14976750,GILD
12/21/20,58.45,58.6101,57.7,58.54,12141930,GILD
12/18/20,59.18,59.18,58.53,59.08,22195840,GILD
12/17/20,58.93,59.28,58.61,59.07,9469049,GILD
12/16/20,59.31,59.47,58.69,58.94,8786440,GILD
12/15/20,59.82,60.07,59.265,59.43,8077712,GILD
12/14/20,60.39,60.42,59.75,59.84,12232980,GILD
12/11/20,60.22,60.81,60.09,60.76,7845100,GILD
12/10/20,60.66,60.895,60.13,60.45,7239492,GILD
12/09/20,61.17,61.4,60.47,60.82,7231631,GILD
12/08/20,60.56,61.25,60.5294,61.17,6184976,GILD
12/07/20,61.665,61.7,60.41,60.83,7405089,GILD
12/04/20,60.817,61.67,60.7,61.56,7232322,GILD
12/03/20,61.05,61.53,60.55,60.86,7368942,GILD
12/02/20,61.07,61.87,60.955,61.13,6470348,GILD
12/01/20,60.82,61.975,60.8,61.12,9623207,GILD
11/30/20,59.76,60.79,59.64,60.67,16315670,GILD
11/27/20,59.64,60.06,59.2789,60.03,5040697,GILD
11/25/20,60.18,60.44,59.465,59.5,8336142,GILD
11/24/20,59.63,60.98,59.59,60.25,7835432,GILD
11/23/20,60.07,60.285,59.365,59.89,8693719,GILD
11/20/20,59.6,60.2578,59.48,60.11,9445040,GILD
11/19/20,60.5,60.96,59.9,60.63,7525117,GILD
11/18/20,61.04,61.64,60.56,60.9,8884204,GILD
11/17/20,60.8,61.05,60.37,60.97,5488402,GILD
11/16/20,60.26,61.3,60.25,61.09,6969344,GILD
11/13/20,59.96,60.975,59.77,60.585,6745384,GILD
11/12/20,59.9,59.99,58.915,59.98,9229797,GILD
11/11/20,60.933,61.12,59.56,60.1,7336413,GILD
11/10/20,58.44,61.4492,58.18,60.62,10524420,GILD
11/09/20,59.4,60.3694,58.9883,59.05,10807130,GILD
11/06/20,59.42,59.5,58.72,59.07,7209788,GILD
11/05/20,60.34,60.47,59.2,59.63,7519760,GILD
11/04/20,59.39,61.19,59.37,59.87,12935150,GILD
11/03/20,58.82,59.39,58.4,58.83,6599731,GILD
11/02/20,58.78,59.15,57.825,58.53,9352635,GILD
10/30/20,57.79,58.58,57.18,58.15,11871690,GILD
10/29/20,57.8,58.89,57.04,58.53,12529370,GILD
