Date, Open, High, Low, Close, Volume,ticker
12/24/20,58.75,59.16,58.619,59.13,1127449,GIS
12/23/20,58.67,59.25,58.62,58.99,2521124,GIS
12/22/20,58.9,58.96,58.29,58.6,2771166,GIS
12/21/20,59.1,59.31,58.18,58.99,3196934,GIS
12/18/20,59.65,60.2,59.055,59.4,6367356,GIS
12/17/20,59.31,60.16,58.52,59.7,5089985,GIS
12/16/20,59.01,59.66,58.67,58.92,4057926,GIS
12/15/20,59.58,59.585,58.54,59.03,3468080,GIS
12/14/20,59.7,60.44,59.33,59.35,3582754,GIS
12/11/20,58.79,59.46,58.63,59.32,2351824,GIS
12/10/20,59.36,59.6434,58.53,58.87,3685106,GIS
12/09/20,60.28,60.46,59.1,59.33,3923121,GIS
12/08/20,59.64,60.53,59.59,60.4,2626931,GIS
12/07/20,60.37,60.57,59.52,59.74,3166603,GIS
12/04/20,60.31,60.81,60.01,60.44,3298369,GIS
12/03/20,60.15,60.63,59.92,60.44,3161992,GIS
12/02/20,61.21,61.84,59.95,60.22,3716310,GIS
12/01/20,60.7,61.43,60.45,61.31,3298566,GIS
11/30/20,60.09,60.85,59.62,60.82,4468181,GIS
11/27/20,60.35,60.35,59.81,60.13,1376069,GIS
11/25/20,60.74,61.09,59.93,60.0,3285235,GIS
11/24/20,61.55,61.55,60.21,60.57,3728650,GIS
11/23/20,61.23,61.44,60.685,61.02,2957318,GIS
11/20/20,61.95,62.36,60.89,61.36,3097041,GIS
11/19/20,60.92,62.02,60.5,62.0,2551564,GIS
11/18/20,61.2,62.0,60.85,61.13,4061821,GIS
11/17/20,61.0,61.54,60.53,61.28,3657939,GIS
11/16/20,60.73,61.27,59.89,61.21,3620650,GIS
11/13/20,60.66,61.085,60.25,60.97,1907694,GIS
11/12/20,60.22,60.5,58.98,60.49,4467157,GIS
11/11/20,59.01,60.21,58.49,59.89,3771327,GIS
11/10/20,58.22,58.97,57.24,58.92,6858574,GIS
11/09/20,61.06,61.67,58.3,58.36,4560787,GIS
11/06/20,60.61,61.36,60.5,61.07,1986791,GIS
11/05/20,60.96,61.68,60.52,60.56,2466404,GIS
11/04/20,61.49,61.775,60.41,60.47,2580073,GIS
11/03/20,60.15,61.705,60.15,60.89,2149522,GIS
11/02/20,59.79,60.57,59.44,59.73,2555102,GIS
10/30/20,59.01,59.63,58.67,59.12,2501815,GIS
10/29/20,59.7,59.945,58.72,59.22,2567620,GIS
10/28/20,60.42,61.06,59.47,59.52,3556220,GIS
10/27/20,60.89,61.71,60.81,61.12,2305573,GIS
10/26/20,61.75,61.938,60.66,60.98,2652072,GIS
10/23/20,61.65,61.965,61.19,61.78,1443562,GIS
10/22/20,60.77,61.47,60.31,61.31,1836748,GIS
10/21/20,60.73,61.42,60.73,60.97,1551680,GIS
10/20/20,61.6,61.76,60.97,61.12,2332183,GIS
10/19/20,62.38,62.58,61.15,61.29,2201031,GIS
10/16/20,62.86,62.9,62.32,62.37,2884061,GIS
10/15/20,62.05,62.99,61.54,62.7,2203095,GIS
10/14/20,62.69,62.94,61.91,62.09,1759694,GIS
10/13/20,62.36,62.865,62.17,62.72,2934794,GIS
10/12/20,62.01,62.8563,61.8,62.35,2232030,GIS
10/09/20,61.51,62.23,61.13,61.87,3061548,GIS
10/08/20,61.26,61.59,60.74,61.39,2459493,GIS
10/07/20,61.5,61.86,60.8,61.59,3213368,GIS
10/06/20,62.39,62.6199,60.97,61.23,3363096,GIS
10/05/20,62.41,63.03,62.25,62.68,2519934,GIS
10/02/20,62.35,63.29,61.98,62.52,4497713,GIS
10/01/20,61.81,62.68,60.77,62.57,6251093,GIS
09/30/20,59.93,62.03,59.79,61.68,7706299,GIS
09/29/20,59.87,60.24,59.43,59.86,2246498,GIS
09/28/20,59.87,60.495,59.15,59.9,2781725,GIS
09/25/20,59.76,60.28,59.29,59.67,5860021,GIS
09/24/20,58.1,59.32,57.98,58.7,4351904,GIS
09/23/20,58.7,59.37,57.48,57.72,5711103,GIS
09/22/20,58.01,58.77,57.63,57.99,3821214,GIS
09/21/20,57.0,58.2,56.92,57.87,3401490,GIS
09/18/20,57.33,58.06,57.15,57.32,4670956,GIS
09/17/20,58.38,58.6,57.315,57.58,4270097,GIS
09/16/20,59.19,59.54,58.67,58.75,2432486,GIS
09/15/20,58.88,59.49,58.245,59.02,2522911,GIS
09/14/20,58.86,59.64,58.275,58.76,3679889,GIS
09/11/20,58.6,59.05,57.84,58.54,3557379,GIS
09/10/20,59.86,60.13,58.38,58.49,3399766,GIS
09/09/20,60.13,60.78,59.52,59.98,4654566,GIS
09/08/20,63.0,63.35,59.145,59.52,5062297,GIS
09/04/20,62.94,63.44,62.35,63.15,2566441,GIS
09/03/20,64.45,65.52,62.4,62.97,3408497,GIS
09/02/20,63.06,64.73,62.95,64.5,2669073,GIS
09/01/20,63.92,64.08,62.49,63.12,2539203,GIS
08/31/20,63.32,64.155,63.29,63.95,2646176,GIS
08/28/20,64.71,64.71,63.0,63.39,2983105,GIS
08/27/20,64.5,65.16,64.39,64.71,2158854,GIS
08/26/20,63.67,64.35,63.63,64.25,2229886,GIS
08/25/20,64.59,64.6,63.77,63.9,1735827,GIS
08/24/20,64.02,64.23,63.52,64.13,1430985,GIS
08/21/20,64.26,64.26,63.37,64.02,1786186,GIS
08/20/20,64.21,64.48,63.93,64.21,1266630,GIS
08/19/20,64.85,64.98,64.42,64.46,1665273,GIS
08/18/20,64.27,65.06,63.67,64.63,2073802,GIS
08/17/20,63.38,64.4,63.18,64.28,1910115,GIS
08/14/20,63.11,63.6,62.95,63.27,2104022,GIS
08/13/20,62.94,63.33,62.57,62.97,1241362,GIS
08/12/20,62.26,63.54,62.24,63.06,2131362,GIS
08/11/20,63.87,63.9,62.01,62.14,4117426,GIS
08/10/20,64.26,64.31,63.5101,63.75,2250686,GIS
08/07/20,63.93,64.46,63.77,64.35,1846969,GIS
08/06/20,64.3,64.82,63.95,64.18,1607182,GIS
08/05/20,65.5,65.69,64.04,64.42,2844099,GIS
08/04/20,64.44,66.14,64.41,65.74,3823921,GIS
08/03/20,63.82,64.82,63.82,64.6,2580482,GIS
07/31/20,63.07,63.89,62.36,63.27,7100942,GIS
07/30/20,64.11,64.4,63.03,63.48,2663282,GIS
07/29/20,64.7,64.93,64.005,64.37,2131082,GIS
07/28/20,64.18,64.93,64.14,64.54,2950679,GIS
07/27/20,64.2,64.36,63.54,64.08,3150939,GIS
07/24/20,65.01,65.48,63.955,64.23,2779503,GIS
07/23/20,65.0,65.43,64.66,64.99,2214420,GIS
07/22/20,64.5,64.76,63.76,64.72,2030110,GIS
07/21/20,63.6,64.98,63.6,64.5,2800216,GIS
07/20/20,64.45,64.65,63.43,63.64,3519824,GIS
07/17/20,65.04,65.1236,64.58,64.64,5570208,GIS
07/16/20,64.61,65.29,64.5,64.69,3268621,GIS
07/15/20,65.23,65.41,64.53,64.6,3837941,GIS
07/14/20,63.63,65.285,63.602,65.17,4604478,GIS
07/13/20,63.7,64.98,63.54,63.56,5406328,GIS
07/10/20,62.75,63.6,62.59,63.55,3640135,GIS
07/09/20,62.37,62.95,62.13,62.55,3289761,GIS
07/08/20,62.88,63.15,62.59,62.94,4059917,GIS
07/07/20,62.23,63.3,62.08,62.98,4820294,GIS
07/06/20,61.79,62.385,61.14,62.19,5791136,GIS
07/02/20,61.12,62.07,60.85,61.48,5714982,GIS
07/01/20,60.48,61.1,59.67,60.43,6906807,GIS
06/30/20,61.27,61.65,60.245,61.65,5646501,GIS
06/29/20,59.68,61.04,59.64,60.74,4282291,GIS
06/26/20,60.58,61.06,59.155,59.21,5593415,GIS
06/25/20,60.29,60.55,59.725,60.33,3076189,GIS
06/24/20,60.59,60.8,59.41,60.29,4327597,GIS
06/23/20,61.92,62.165,60.95,61.0,3234427,GIS
06/22/20,61.7,61.99,61.275,61.52,2297793,GIS
06/19/20,62.36,62.41,61.04,61.58,13628620,GIS
06/18/20,61.64,62.1,61.24,61.76,2871692,GIS
06/17/20,61.79,62.28,61.51,61.8,3290784,GIS
06/16/20,61.41,61.86,60.78,61.79,3749013,GIS
06/15/20,59.85,60.87,59.04,60.87,5599276,GIS
06/12/20,60.72,60.949,59.65,60.15,4258991,GIS
06/11/20,62.22,62.89,60.4,60.58,4042695,GIS
06/10/20,63.04,63.52,62.645,62.78,4618458,GIS
06/09/20,62.28,63.0,61.24,62.82,8080335,GIS
06/08/20,60.05,62.3,59.93,62.14,4558370,GIS
06/05/20,60.66,61.15,58.96,61.0,5489886,GIS
06/04/20,60.78,61.2,59.71,60.76,5791999,GIS
06/03/20,63.59,63.65,61.41,61.47,3509176,GIS
06/02/20,63.43,63.525,62.62,63.42,3560572,GIS
06/01/20,62.93,64.0,62.76,63.54,2524186,GIS
05/29/20,62.22,63.33,61.88,63.04,5433824,GIS
05/28/20,61.36,62.08,61.32,61.91,2793199,GIS
05/27/20,59.55,60.84,59.48,60.82,3316945,GIS
05/26/20,59.98,60.37,59.575,59.92,3530842,GIS
05/22/20,59.79,60.04,59.48,59.96,2089528,GIS
05/21/20,60.89,60.89,59.39,59.95,3384600,GIS
05/20/20,61.07,61.35,60.27,60.93,2206242,GIS
05/19/20,61.83,61.998999999999995,60.66,60.73,2580220,GIS
05/18/20,63.02,63.04,61.28,61.58,3334366,GIS
05/15/20,62.21,63.4326,62.135,62.49,4684872,GIS
05/14/20,63.73,64.31,61.58,62.21,4164039,GIS
05/13/20,62.64,64.23,62.55,63.56,5467485,GIS
05/12/20,61.29,62.745,61.1362,62.51,4541949,GIS
05/11/20,59.97,61.3,59.9,60.81,2958306,GIS
05/08/20,59.39,60.0,58.9,59.76,2039619,GIS
05/07/20,59.39,59.5,58.48,58.77,2576451,GIS
05/06/20,59.97,60.39,58.94,58.97,2791617,GIS
05/05/20,59.7,60.45,59.4545,59.81,2344490,GIS
05/04/20,59.84,60.06,58.79,59.73,2266203,GIS
05/01/20,59.5,60.55,59.11,59.58,2606273,GIS
04/30/20,60.5,60.82,59.54,59.89,3263186,GIS
