Date, Open, High, Low, Close, Volume,ticker
12/24/20,93.3,93.56,91.88,92.87,76085,GL
12/23/20,92.11,93.63,92.11,92.9,554256,GL
12/22/20,92.23,92.93,91.59,91.75,477805,GL
12/21/20,93.31,93.31,89.92,92.25,471704,GL
12/18/20,93.37,94.06,92.08,92.81,1211647,GL
12/17/20,93.56,93.64,92.64,93.43,337911,GL
12/16/20,94.13,94.53,92.95,93.53,315612,GL
12/15/20,92.84,93.88,92.1,93.71,411822,GL
12/14/20,95.07,95.07,91.77,91.77,426554,GL
12/11/20,93.77,95.16,93.49,93.7,332176,GL
12/10/20,93.58,95.15,93.58,94.88,395074,GL
12/09/20,95.17,95.25,93.82,94.36,340974,GL
12/08/20,93.71,94.75,93.71,94.55,426363,GL
12/07/20,95.77,96.02,94.56,94.88,294777,GL
12/04/20,95.73,97.17,95.66,96.46,370396,GL
12/03/20,94.7,95.73,94.57,94.95,323238,GL
12/02/20,94.25,95.339,94.105,95.13,267992,GL
12/01/20,94.93,95.545,93.8554,94.44,477779,GL
11/30/20,95.25,95.78,92.93,93.1,1550246,GL
11/27/20,96.17,97.45,95.84,96.02,194139,GL
11/25/20,96.6,96.945,95.34,96.65,308926,GL
11/24/20,96.31,97.6,95.385,97.52,504204,GL
11/23/20,94.48,95.06,93.71,94.63,412975,GL
11/20/20,92.98,93.73,92.54,93.29,373757,GL
11/19/20,91.75,93.61,91.2025,93.35,399408,GL
11/18/20,93.89,95.21,92.38,92.46,381893,GL
11/17/20,92.99,94.22,92.245,93.79,334517,GL
11/16/20,94.57,94.97,92.93,94.26,369573,GL
11/13/20,90.44,92.57,90.36,92.04,331044,GL
11/12/20,91.03,91.395,88.57,89.35,342579,GL
11/11/20,93.18,93.18,90.77,91.99,340135,GL
11/10/20,91.83,93.4,91.44,92.77,388510,GL
11/09/20,93.01,93.59,90.0307,91.47,744886,GL
11/06/20,86.72,87.35,84.23,84.7,283386,GL
11/05/20,84.27,86.75,84.27,86.3,326894,GL
11/04/20,83.01,86.36,82.25,83.75,361947,GL
11/03/20,84.86,86.335,84.27,85.15,478698,GL
11/02/20,82.53,83.74,81.655,83.25,379683,GL
10/30/20,79.58,81.63,79.35,81.09,731635,GL
10/29/20,78.48,80.47,77.71,79.77,484095,GL
10/28/20,79.81,80.62,78.62,78.79,513120,GL
10/27/20,83.36,83.94,81.26,81.35,414926,GL
10/26/20,85.0,85.0,83.475,83.83,471957,GL
10/23/20,87.16,87.75,85.4,86.14,499290,GL
10/22/20,84.08,86.99,81.98100000000001,86.48,814931,GL
10/21/20,83.46,84.67,83.46,84.13,591163,GL
10/20/20,83.25,84.6,83.13,83.45,440298,GL
10/19/20,83.22,84.57,82.44,82.68,398105,GL
10/16/20,82.99,83.81,82.2974,83.24,413982,GL
10/15/20,80.43,83.26,80.23,82.87,428669,GL
10/14/20,81.86,83.02,81.44,81.52,451176,GL
10/13/20,81.75,82.4,80.78,81.32,537840,GL
10/12/20,81.75,82.985,81.75,82.44,266636,GL
10/09/20,83.83,84.0,81.77,81.79,300640,GL
10/08/20,82.9,83.6,82.19,82.97,457033,GL
10/07/20,81.94,83.04,81.71,82.14,399402,GL
