Date, Open, High, Low, Close, Volume,ticker
12/24/20,99.8,99.87,98.39,99.36,149479,GPC
12/23/20,98.97,100.33,98.55,99.4,585229,GPC
12/22/20,97.15,99.06,96.99,98.64,709339,GPC
12/21/20,95.77,97.545,94.09,97.36,692926,GPC
12/18/20,97.04,97.93,96.32,97.53,1725286,GPC
12/17/20,96.99,97.87,96.06,96.95,715689,GPC
12/16/20,96.73,97.69,95.98,96.5,666890,GPC
12/15/20,96.21,96.9,95.06,96.59,626453,GPC
12/14/20,97.86,98.9,95.79,95.82,608091,GPC
12/11/20,96.69,97.79,96.195,97.06,829703,GPC
12/10/20,97.75,98.05,96.17,97.04,590977,GPC
12/09/20,96.9,98.02,96.2,97.95,1161384,GPC
12/08/20,97.7,98.16,96.44,96.65,856610,GPC
12/07/20,97.73,98.44,97.24,98.25,789906,GPC
12/04/20,97.19,98.3,97.135,98.25,609212,GPC
12/03/20,96.01,97.719,95.8,97.26,664752,GPC
12/02/20,97.94,99.0,96.67,96.98,1130151,GPC
12/01/20,99.7,102.61,98.94,101.67,826290,GPC
11/30/20,98.01,98.49,96.55,98.37,1978899,GPC
11/27/20,98.85,99.2,97.6,98.36,270571,GPC
11/25/20,100.49,100.71,98.2,98.95,697249,GPC
11/24/20,98.68,101.53,97.71,101.16,861098,GPC
11/23/20,97.66,98.26,96.37,97.12,591128,GPC
11/20/20,98.0,98.07,96.41,96.96,714403,GPC
11/19/20,98.14,98.4,96.48,98.0,751440,GPC
11/18/20,98.6,100.65,98.51,98.65,957588,GPC
11/17/20,98.34,98.75,96.35,98.48,563565,GPC
11/16/20,100.68,100.77,98.14,99.57,739145,GPC
11/13/20,96.93,99.35,96.73,99.03,447443,GPC
11/12/20,97.21,97.495,95.25,95.93,599457,GPC
11/11/20,100.37,100.93,97.52,97.64,883008,GPC
11/10/20,98.73,101.19,98.4801,99.82,727509,GPC
11/09/20,100.25,104.44,98.32,98.49,1176718,GPC
11/06/20,96.59,96.6985,94.55,94.67,536267,GPC
11/05/20,95.98,98.115,95.97,96.22,685339,GPC
11/04/20,98.0,98.275,94.77,94.81,936361,GPC
11/03/20,94.83,98.7,94.76,98.15,882735,GPC
11/02/20,92.13,93.54,91.69,93.52,754028,GPC
10/30/20,90.13,90.78,88.99,90.43,922014,GPC
10/29/20,90.0,91.85,89.635,90.31,719214,GPC
10/28/20,92.15,92.8343,89.42,89.69,869404,GPC
10/27/20,95.5,95.93,93.71,93.87,719748,GPC
10/26/20,97.74,97.81,94.33,95.43,941652,GPC
10/23/20,97.63,99.18,97.1,98.78,914350,GPC
10/22/20,100.49,101.95,95.735,96.78,1413235,GPC
10/21/20,102.4,103.33,101.64,102.02,952328,GPC
10/20/20,101.33,103.59,101.22,101.85,886637,GPC
10/19/20,101.08,102.54,100.49,100.61,999924,GPC
10/16/20,101.34,101.765,100.67,100.92,733791,GPC
10/15/20,100.08,101.9,99.72,101.28,910614,GPC
10/14/20,100.01,101.58,100.01,100.93,709012,GPC
10/13/20,99.72,100.42,99.275,99.9,485081,GPC
10/12/20,100.28,100.99,99.8,100.23,596454,GPC
10/09/20,101.58,102.32,100.3,100.39,665161,GPC
10/08/20,99.15,101.2,98.8028,101.15,657277,GPC
10/07/20,97.58,99.43,97.58,98.75,506253,GPC
10/06/20,97.53,99.12,96.2,96.52,522713,GPC
10/05/20,96.93,97.82799999999999,96.3,97.4,717898,GPC
10/02/20,93.5,96.19,93.5,95.85,576899,GPC
10/01/20,95.69,96.61,94.22,94.97,673361,GPC
09/30/20,95.15,96.0,94.28,95.17,778074,GPC
09/29/20,95.94,95.94,94.61,94.74,534692,GPC
09/28/20,95.32,96.33,94.83,95.74,715000,GPC
09/25/20,93.34,94.94,92.82,94.1,754788,GPC
09/24/20,94.65,95.8,93.53,93.94,738571,GPC
09/23/20,97.02,97.02,94.47,94.67,1658130,GPC
09/22/20,96.86,98.11,95.96,96.43,927261,GPC
09/21/20,100.6,100.93,96.03,96.55,1117163,GPC
09/18/20,101.08,103.21,100.95,102.06,1252569,GPC
09/17/20,100.54,102.48,99.9871,101.83,682378,GPC
09/16/20,102.34,102.42,100.459,101.36,733836,GPC
09/15/20,103.43,104.39,101.52,101.84,1056689,GPC
09/14/20,104.27,104.27,102.36,103.02,1043622,GPC
09/11/20,99.11,100.79,98.8804,100.56,854997,GPC
09/10/20,99.98,100.39,98.07,98.77,1150212,GPC
09/09/20,98.06,100.37,97.61,99.67,767345,GPC
09/08/20,96.57,98.75,95.79,97.56,1351091,GPC
09/04/20,97.57,98.11,95.8211,97.47,608176,GPC
09/03/20,98.75,98.75,96.185,96.84,1133662,GPC
09/02/20,95.23,99.45,95.23,99.29,1083730,GPC
09/01/20,93.92,96.01,93.1441,95.66,728873,GPC
08/31/20,95.92,96.0,93.69,94.44,1200855,GPC
08/28/20,93.94,94.89,93.395,94.88,482652,GPC
08/27/20,94.37,94.84,93.21,93.65,410670,GPC
08/26/20,94.2,95.15,93.8,94.37,550907,GPC
08/25/20,95.45,95.61,93.84,94.5,566987,GPC
08/24/20,93.94,95.525,93.65,94.99,845500,GPC
08/21/20,92.21,93.52,91.72,93.28,850438,GPC
08/20/20,92.13,92.95,91.95,92.22,520325,GPC
08/19/20,93.64,93.94,92.78,93.04,459166,GPC
08/18/20,94.12,94.67,93.48,93.56,504282,GPC
08/17/20,95.0,95.27,93.96,94.22,463057,GPC
08/14/20,94.27,95.28,94.2,94.56,406038,GPC
08/13/20,95.95,96.15,93.835,94.36,487281,GPC
08/12/20,95.96,97.05,95.36,96.87,786464,GPC
08/11/20,95.07,96.5733,94.76,95.27,758616,GPC
08/10/20,92.77,94.25,92.34,94.07,577490,GPC
08/07/20,91.84,92.79,91.54,92.75,558988,GPC
08/06/20,92.13,92.8,91.37,92.23,500594,GPC
08/05/20,92.3,92.75,91.69,92.43,658808,GPC
08/04/20,90.57,91.23,90.21,91.19,687245,GPC
08/03/20,90.73,91.43,90.14,90.86,791766,GPC
07/31/20,90.69,91.7,89.37,90.15,1644819,GPC
07/30/20,90.4,92.28,87.89,90.48,1009804,GPC
07/29/20,89.34,91.76,89.34,91.65,740194,GPC
07/28/20,89.83,90.25,88.37,89.2,716710,GPC
07/27/20,88.07,89.9,87.04,89.43,760906,GPC
07/24/20,88.44,89.98,88.05,88.64,669010,GPC
07/23/20,88.54,89.5,88.09,88.46,568308,GPC
07/22/20,87.49,89.34,87.16,89.1,496917,GPC
07/21/20,87.07,88.93,87.07,87.63,531633,GPC
07/20/20,87.21,87.58,86.1,87.03,572416,GPC
07/17/20,89.25,89.25,87.47,87.86,452133,GPC
07/16/20,87.88,88.79,87.7058,88.64,454627,GPC
07/15/20,87.73,88.53,86.65,88.26,544168,GPC
07/14/20,84.45,86.37,84.085,86.17,727153,GPC
07/13/20,86.12,87.33,84.98,85.13,681962,GPC
07/10/20,84.94,85.73,83.88,85.58,479813,GPC
07/09/20,85.69,85.97,83.67,84.45,670385,GPC
07/08/20,86.91,87.21,85.25,86.14,512535,GPC
07/07/20,86.4,87.6,86.31,86.84,562807,GPC
07/06/20,88.21,88.56,86.64,87.45,443433,GPC
07/02/20,87.48,88.98,86.09,86.84,696949,GPC
07/01/20,86.84,87.42,85.78,85.9,760857,GPC
06/30/20,86.7,87.44,85.6,86.96,852670,GPC
06/29/20,84.95,87.34,84.3,87.02,734022,GPC
06/26/20,84.88,85.53,83.32,83.66,1290268,GPC
06/25/20,84.07,85.45,83.29,85.06,581219,GPC
06/24/20,87.39,87.5866,83.88,84.67,818588,GPC
06/23/20,88.72,89.43,87.49,88.44,638776,GPC
06/22/20,87.37,88.67,85.68,87.75,739071,GPC
06/19/20,89.95,90.97,87.31,87.58,2854415,GPC
06/18/20,87.72,89.32,87.72,88.24,667955,GPC
06/17/20,88.49,89.56,87.39,88.69,695246,GPC
06/16/20,89.13,89.65,86.57,88.58,751228,GPC
06/15/20,82.88,86.66,82.06,85.62,963163,GPC
06/12/20,86.33,86.83,83.72,85.59,817973,GPC
06/11/20,85.12,86.03,83.125,83.59,806799,GPC
06/10/20,91.87,92.2,88.49,88.51,690844,GPC
06/09/20,91.91,92.21,90.8201,91.66,579294,GPC
06/08/20,92.71,95.33,92.3,93.52,913617,GPC
