Date, Open, High, Low, Close, Volume,ticker
12/24/20,200.19,205.92,200.19,205.55,954126,GPN
12/23/20,198.76,200.92,196.92,200.26,1332930,GPN
12/22/20,200.52,200.78,196.875,197.83,2219684,GPN
12/21/20,203.89,209.66,199.99,200.42,3786438,GPN
12/18/20,195.01,197.31,193.56,196.33,2580572,GPN
12/17/20,195.35,197.46,195.32,195.42,1353538,GPN
12/16/20,193.37,195.475,192.04,194.67,1134175,GPN
12/15/20,192.43,194.44,191.32,193.57,1822441,GPN
12/14/20,193.3,196.55,191.78,191.88,1213260,GPN
12/11/20,192.35,194.7072,191.52,192.06,1109210,GPN
12/10/20,194.49,197.03,192.91,194.17,1352348,GPN
12/09/20,199.0,199.0,195.35,195.66,1685596,GPN
12/08/20,197.99,198.7,196.7769,198.58,1264725,GPN
12/07/20,198.88,200.345,198.25,199.23,977101,GPN
12/04/20,196.64,200.09,195.99,200.07,1124040,GPN
12/03/20,195.29,197.375,193.87,195.75,920840,GPN
12/02/20,195.0,195.79,193.21,195.38,1131724,GPN
12/01/20,197.29,198.73,195.53,195.98,1356573,GPN
11/30/20,196.03,196.8,191.27,195.19,1575202,GPN
11/27/20,198.0,198.0,195.78,197.03,679430,GPN
11/25/20,197.12,198.36,194.74,197.01,1306777,GPN
11/24/20,193.83,199.04,192.3,198.83,1982907,GPN
11/23/20,192.54,193.67,189.5201,192.15,1328160,GPN
11/20/20,191.61,192.89,189.14,190.7,1494339,GPN
11/19/20,187.44,191.76,184.5,190.55,1339408,GPN
11/18/20,190.18,192.13,187.73,187.92,1254089,GPN
11/17/20,188.79,190.26,185.71,189.83,1806454,GPN
11/16/20,190.0,194.25,189.3016,189.94,2239593,GPN
11/13/20,185.47,190.19,185.47,188.41,1854373,GPN
11/12/20,188.7,188.7,181.82,184.43,1877698,GPN
11/11/20,195.06,195.09,186.55,189.28,1974229,GPN
11/10/20,193.45,196.02,191.43,193.47,2697667,GPN
11/09/20,189.49,199.69,189.3,193.66,4822032,GPN
11/06/20,173.89,174.98,172.25,173.88,1109474,GPN
11/05/20,173.88,176.11,172.53,174.24,1371217,GPN
11/04/20,169.0,173.4795,168.12,170.86,2251358,GPN
11/03/20,162.1,166.33,161.26,165.9,2112162,GPN
11/02/20,159.91,162.13,158.55,160.36,2756405,GPN
10/30/20,155.33,157.81,153.33,157.74,3181079,GPN
10/29/20,154.0,161.16,154.0,156.17,3398047,GPN
10/28/20,162.0,163.25,158.41,159.1,2451257,GPN
10/27/20,168.75,169.6,164.43,164.76,2361951,GPN
10/26/20,174.55,174.55,167.72,168.8,1466531,GPN
10/23/20,177.77,177.9,175.81,176.99,1340290,GPN
10/22/20,174.55,176.86,170.95,175.92,1197758,GPN
10/21/20,174.0,176.39,173.43,174.0,1136220,GPN
10/20/20,172.82,176.65,172.13,174.3,1296708,GPN
10/19/20,177.26,177.91,171.42,171.97,1308103,GPN
10/16/20,176.88,179.94,176.84,177.06,1279454,GPN
10/15/20,175.16,176.37,173.33,176.02,2271637,GPN
10/14/20,180.58,181.31,175.75,177.19,1239360,GPN
10/13/20,183.11,183.75,179.75,180.03,877093,GPN
10/12/20,184.48,184.935,181.86,183.14,1622763,GPN
10/09/20,182.76,184.86,182.255,183.78,1073878,GPN
10/08/20,177.46,181.69,177.45,181.55,1006439,GPN
10/07/20,176.65,177.67,175.52,176.81,800008,GPN
10/06/20,176.9,180.21,174.52,174.92,1032125,GPN
