Date, Open, High, Low, Close, Volume,ticker
12/24/20,257.04,257.62,253.75,256.16,968146,GS
12/23/20,251.5,260.575,251.3,256.45,3376142,GS
12/22/20,256.86,257.7,249.8,250.09,3603652,GS
12/21/20,250.29,260.85,248.76,256.98,7408489,GS
12/18/20,245.39,245.39,240.56,242.13,4088144,GS
12/17/20,245.0,245.93,243.0,244.43,2983609,GS
12/16/20,243.56,243.9,241.12,243.77,2400910,GS
12/15/20,239.5,243.61,237.19,242.43,2348775,GS
12/14/20,243.28,243.5,237.39,237.79,1927781,GS
12/11/20,240.81,241.2,237.1,239.99,2077419,GS
12/10/20,240.0,245.1799,239.5138,244.4,2541804,GS
12/09/20,240.0,245.36,239.53,242.82,3552254,GS
12/08/20,237.01,239.19,236.58,238.84,1371782,GS
12/07/20,238.54,239.85,235.45,238.45,1788559,GS
12/04/20,237.7,239.75,236.95,239.58,2373011,GS
12/03/20,237.29,238.85,234.64,235.47,2142890,GS
12/02/20,232.08,238.13,231.5822,237.65,2136313,GS
12/01/20,231.96,234.8704,231.35,232.08,2580965,GS
11/30/20,232.05,235.0,230.36,230.58,2705408,GS
11/27/20,237.0,237.3,233.785,235.4,1050396,GS
11/25/20,235.0,237.45,232.43,236.54,2272937,GS
11/24/20,231.1,238.11599999999999,230.63,237.5,3920282,GS
11/23/20,226.06,230.0,225.73,228.83,3378180,GS
11/20/20,223.0,224.81,222.63,223.35,1848687,GS
11/19/20,224.3,224.94,222.11,224.57,1505154,GS
11/18/20,225.0,227.72,223.51,224.3,2856225,GS
11/17/20,220.02,224.85,218.33,224.65,2722921,GS
11/16/20,223.53,224.6,220.03,222.38,3004948,GS
11/13/20,215.85,220.96,215.41,219.08,2832645,GS
11/12/20,215.22,216.86,212.4,214.51,3009267,GS
11/11/20,218.64,219.92,215.03,218.05,2680710,GS
11/10/20,215.25,218.38,211.18,217.47,4166465,GS
11/09/20,214.49,218.0,209.37,214.93,6960521,GS
11/06/20,204.34,204.39,200.42,201.26,2475115,GS
11/05/20,199.65,204.12,199.06,202.96,2892815,GS
11/04/20,196.25,200.82,194.9,197.87,3868514,GS
11/03/20,193.94,199.0,193.22,197.93,4545470,GS
11/02/20,192.0,192.7,188.23,190.2,2459562,GS
10/30/20,189.51,190.4,185.52,189.04,3661181,GS
10/29/20,189.8,192.35,186.9,189.94,3581156,GS
10/28/20,191.31,193.365,188.94,189.77,4214584,GS
10/27/20,200.0,200.59,195.41,195.68,3430420,GS
10/26/20,202.49,202.81,198.51,201.14,3249695,GS
10/23/20,206.76,208.21,204.02,205.04,2110153,GS
10/22/20,203.2,206.365,202.2,205.4,2137823,GS
10/21/20,207.39,207.95,202.01,202.91,3083593,GS
10/20/20,206.7,211.38,206.465,208.03,3336684,GS
10/19/20,207.39,207.91,204.59,205.69,3235296,GS
10/16/20,208.32,209.995,205.81,206.21,3246646,GS
10/15/20,209.58,210.73,206.9,208.6,4334014,GS
10/14/20,213.88,214.45,210.27,211.23,7557023,GS
10/13/20,214.01,214.11,209.18,210.81,3317312,GS
10/12/20,207.41,214.89,207.41,214.12,3474215,GS
10/09/20,208.76,209.81,206.07,207.54,3040923,GS
10/08/20,205.15,208.16,204.11,207.98,2330609,GS
10/07/20,203.9,205.0,201.17,203.6,2326917,GS
10/06/20,204.25,206.09,199.9,201.09,2833119,GS
10/05/20,201.93,202.84,199.59,201.8,2551633,GS
10/02/20,195.34,200.6999,195.29,199.9,2541588,GS
10/01/20,201.53,203.13,197.8738,198.55,2288651,GS
09/30/20,198.68,203.08,198.36,200.97,3075829,GS
09/29/20,198.16,198.77,195.43,196.79,2401523,GS
09/28/20,197.78,201.865,197.15,199.07,3280138,GS
09/25/20,192.96,195.39,189.6085,194.95,3105989,GS
09/24/20,188.98,197.4594,187.05,195.11,5114566,GS
09/23/20,192.0,192.915,185.865,186.12,3116142,GS
09/22/20,194.0,196.14,188.43,191.62,3355768,GS
09/21/20,189.9,194.17,187.47,194.0,4871299,GS
09/18/20,195.01,196.65,192.3848,194.86,9066647,GS
09/17/20,198.21,199.89,194.51,194.83,4274772,GS
09/16/20,198.49,203.8,198.07,200.68,3571873,GS
09/15/20,202.0,202.585,197.98,198.0,3717632,GS
09/14/20,203.3,203.3,200.67,201.34,2756891,GS
09/11/20,200.24,201.91,198.95,200.92,2376385,GS
09/10/20,203.73,205.35,199.55,200.01,2510274,GS
09/09/20,204.19,204.83,202.03,202.22,4681380,GS
09/08/20,209.51,209.96,201.27,202.48,4574748,GS
09/04/20,210.89,213.35,205.32,210.94,3668891,GS
09/03/20,211.75,215.23,205.83,207.56,3533485,GS
09/02/20,205.79,210.93,205.37,210.04,3565242,GS
09/01/20,203.6,206.71,203.01,205.46,2458801,GS
08/31/20,205.5,206.41,203.63,204.87,3046152,GS
08/28/20,211.89,212.0,207.09,207.71,3697406,GS
08/27/20,206.68,213.0,206.41,210.15,3692411,GS
08/26/20,205.89,207.28,205.03,207.22,2563236,GS
08/25/20,209.99,210.49,205.17,206.0,2627906,GS
08/24/20,203.11,207.43,201.32,207.34,3097432,GS
08/21/20,200.11,203.35,199.82,202.43,1781141,GS
08/20/20,200.76,203.28,200.34,201.85,1764214,GS
08/19/20,202.4,206.1,201.77,203.02,2458524,GS
08/18/20,203.45,203.58,201.1,201.31,3067854,GS
08/17/20,207.0,207.85,202.53,203.07,3922588,GS
08/14/20,207.46,209.48,206.61,207.97,2287572,GS
08/13/20,210.41,212.2,207.69,208.39,2219859,GS
08/12/20,214.7,215.95,209.27,212.13,2439593,GS
08/11/20,212.72,216.95,210.53,211.06,4042742,GS
08/10/20,209.59,210.64,208.04,209.38,2432770,GS
08/07/20,203.48,208.8,202.45,208.27,3074961,GS
08/06/20,205.0,206.29,203.83,204.25,1882367,GS
08/05/20,203.17,204.8075,203.01,204.52,2323194,GS
08/04/20,199.35,201.72,198.475,201.64,1944676,GS
08/03/20,198.49,199.88,196.53,199.39,2295652,GS
