Date, Open, High, Low, Close, Volume,ticker
12/24/20,410.37,416.04,410.37,415.57,152847,GWW
12/23/20,410.1,412.375,403.435,410.66,321100,GWW
12/22/20,413.45,413.74,410.0,410.33,262546,GWW
12/21/20,405.0,414.01,401.6,411.78,317379,GWW
12/18/20,410.47,411.71,404.55,410.46,536557,GWW
12/17/20,407.58,411.08,407.04,410.04,259144,GWW
12/16/20,405.28,408.32,402.04,406.38,255878,GWW
12/15/20,403.51,408.0829,401.55,405.6,212588,GWW
12/14/20,400.0,405.89,400.0,400.46,241287,GWW
12/11/20,400.0,405.88,400.0,403.53,265562,GWW
12/10/20,408.32,408.32,400.5,402.32,254548,GWW
12/09/20,410.13,412.845,407.8116,411.22,245820,GWW
12/08/20,403.0,408.13,403.0,406.67,215271,GWW
12/07/20,402.44,409.1,402.31,405.0,227973,GWW
12/04/20,402.12,407.44,402.12,404.77,226402,GWW
12/03/20,405.07,410.3975,401.66,402.68,256397,GWW
12/02/20,411.72,415.4038,406.09,407.32,254321,GWW
12/01/20,424.33,427.9,412.77,413.14,346803,GWW
11/30/20,414.0,418.75,411.58,418.3,565460,GWW
11/27/20,413.83,418.7299,413.83,414.58,140646,GWW
11/25/20,420.14,421.69,410.21,414.58,507408,GWW
11/24/20,416.37,423.97,415.23,420.55,328945,GWW
11/23/20,411.35,416.28,407.92,414.85,241130,GWW
11/20/20,419.34,419.34,405.23,409.3,417585,GWW
11/19/20,413.06,424.08,411.53,422.86,290474,GWW
11/18/20,411.49,420.54,411.49,415.01,310371,GWW
11/17/20,412.47,412.9,405.52,410.46,245936,GWW
11/16/20,406.76,414.97,404.615,414.53,325507,GWW
11/13/20,400.0,409.0,400.0,403.31,214838,GWW
11/12/20,403.4,403.4,394.63,398.17,198261,GWW
11/11/20,405.0,407.4,399.49,403.39,286276,GWW
11/10/20,390.11,405.75,388.89,404.48,420172,GWW
11/09/20,403.16,411.87,388.22,388.22,406586,GWW
11/06/20,378.51,393.25,377.44,390.63,327403,GWW
11/05/20,379.89,383.75,376.9,378.84,304726,GWW
11/04/20,374.96,379.325,368.825,374.71,375157,GWW
11/03/20,366.73,374.04,366.73,371.22,230826,GWW
11/02/20,354.24,363.3,354.24,363.23,283619,GWW
10/30/20,348.87,351.925,345.0,350.02,382688,GWW
10/29/20,352.01,354.565,348.3,350.11,306719,GWW
10/28/20,352.58,358.61,350.8,352.55,528551,GWW
10/27/20,362.3,364.0,357.46,357.64,289938,GWW
10/26/20,356.92,361.48,356.11,361.28,415622,GWW
10/23/20,363.17,367.805,359.995,361.03,346560,GWW
10/22/20,371.36,375.61,352.76,362.02,597160,GWW
10/21/20,375.58,379.49,370.53,373.44,442565,GWW
10/20/20,377.96,381.29,374.59,375.84,248404,GWW
10/19/20,385.32,387.18,373.38,374.74,312165,GWW
10/16/20,388.18,390.38,382.75,383.54,432935,GWW
10/15/20,381.51,387.44,381.51,385.65,193861,GWW
10/14/20,386.59,391.0,383.77,386.24,246578,GWW
10/13/20,385.49,386.333,380.1128,384.16,296072,GWW
10/12/20,388.54,392.525,385.79,388.66,265527,GWW
10/09/20,386.68,392.35,383.1201,385.42,417295,GWW
10/08/20,376.73,389.17,376.39,385.99,468833,GWW
10/07/20,371.51,379.3,370.82,376.4,200233,GWW
10/06/20,372.44,374.18,367.35,367.71,315609,GWW
10/05/20,361.93,372.68,361.93,371.16,193593,GWW
10/02/20,355.11,362.02,353.47,359.39,162925,GWW
10/01/20,358.17,360.16,352.845,358.03,254934,GWW
09/30/20,356.08,359.765,353.61,356.77,335555,GWW
09/29/20,353.58,354.46,349.08,352.08,116619,GWW
09/28/20,351.42,357.03,351.42,353.67,156029,GWW
09/25/20,341.17,350.19,339.8,347.4,246851,GWW
09/24/20,340.52,347.18,337.25,342.48,246627,GWW
09/23/20,343.52,345.2,338.13,339.09,430251,GWW
09/22/20,341.6,345.17,338.8,343.68,376128,GWW
09/21/20,346.8,349.26,338.03,341.57,388384,GWW
09/18/20,354.57,357.45,349.78,351.09,465958,GWW
09/17/20,353.63,359.65,350.075,355.43,312918,GWW
09/16/20,361.09,362.8,356.09,356.71,330959,GWW
09/15/20,356.47,358.68,354.65,354.65,205797,GWW
09/14/20,358.64,358.64,352.65,354.34,202038,GWW
09/11/20,352.88,355.93,350.96,355.18,210863,GWW
09/10/20,360.25,360.25,350.46,351.32,229654,GWW
09/09/20,353.25,363.42,353.25,361.28,228295,GWW
09/08/20,358.38,358.59,349.77,350.16,378451,GWW
09/04/20,362.0,364.18,351.67,358.08,232177,GWW
09/03/20,371.82,371.82,357.46,360.12,169585,GWW
09/02/20,368.4,371.865,367.1,370.5,226923,GWW
09/01/20,364.25,367.76,362.87,367.42,178656,GWW
08/31/20,365.0,369.355,363.78,365.43,309972,GWW
08/28/20,361.49,366.53,361.02,365.98,215800,GWW
08/27/20,361.42,366.25,361.19,362.47,226188,GWW
08/26/20,352.23,365.66,352.23,361.49,501787,GWW
08/25/20,351.13,355.48,350.61,354.68,296549,GWW
08/24/20,352.33,353.72,346.03,349.16,322740,GWW
08/21/20,353.24,355.45,350.645,352.61,176550,GWW
08/20/20,349.54,355.65,349.03,354.25,164053,GWW
08/19/20,354.88,355.51,350.22,350.83,125354,GWW
08/18/20,352.86,355.36,352.17,353.25,217015,GWW
08/17/20,350.16,354.21,348.57,351.9,270875,GWW
08/14/20,351.25,354.3153,348.36,351.38,147750,GWW
08/13/20,353.95,354.86,350.52,352.07,120910,GWW
08/12/20,354.69,358.06,352.765,355.81,186459,GWW
08/11/20,352.07,356.78,351.4,352.92,368979,GWW
08/10/20,348.5,353.735,347.92,352.07,248357,GWW
08/07/20,345.4,349.51,343.38,349.38,197603,GWW
08/06/20,344.41,346.88,343.2748,346.59,294301,GWW
08/05/20,340.43,344.71,336.91,344.41,275365,GWW
08/04/20,341.04,342.92,337.695,338.52,259210,GWW
08/03/20,342.92,345.84,341.88,341.96,197899,GWW
07/31/20,340.19,341.72,335.16,341.53,478059,GWW
07/30/20,336.33,340.48,333.1,339.79,239513,GWW
07/29/20,335.21,343.18,335.21,340.76,488268,GWW
07/28/20,337.77,338.39,333.52,333.65,358943,GWW
07/27/20,341.05,346.11,339.31,339.79,385460,GWW
07/24/20,339.04,347.45,336.045,341.39,395831,GWW
07/23/20,338.94,343.1,326.64,338.66,519003,GWW
07/22/20,337.66,342.83,336.57,338.95,315543,GWW
07/21/20,333.34,339.28,333.065,337.32,360978,GWW
07/20/20,326.92,332.0,325.64,330.73,308211,GWW
07/17/20,335.04,336.32,329.76,330.27,824508,GWW
07/16/20,333.54,337.91,330.6,333.32,226268,GWW
07/15/20,331.2,335.02,326.84,333.62,390181,GWW
07/14/20,319.41,327.83,318.76,327.59,403300,GWW
07/13/20,314.38,324.37,313.39,319.53,582008,GWW
07/10/20,309.24,311.14,305.5,311.02,259071,GWW
07/09/20,310.29,312.93,306.94,308.99,266169,GWW
07/08/20,317.6,320.62,304.84,308.77,457398,GWW
07/07/20,319.23,324.79,318.81,320.85,334279,GWW
07/06/20,322.7,324.195,319.99,322.19,318659,GWW
07/02/20,313.2,318.3,310.445,317.51,311808,GWW
07/01/20,314.46,316.81,307.51,307.96,396699,GWW
06/30/20,304.43,315.94,304.0602,314.16,509265,GWW
06/29/20,296.5,305.41,296.385,303.47,360784,GWW
06/26/20,295.78,297.43,291.22,293.12,635625,GWW
06/25/20,293.54,296.53,291.34,295.95,287184,GWW
06/24/20,299.11,299.99,291.72,294.79,378652,GWW
06/23/20,307.27,307.985,301.23,301.48,338856,GWW
06/22/20,302.26,304.04,298.51,303.19,230976,GWW
06/19/20,309.68,309.68,299.99,303.01,398102,GWW
06/18/20,308.18,309.99,303.19,304.47,262620,GWW
06/17/20,310.95,313.67,309.13,310.27,204801,GWW
06/16/20,313.75,314.05,305.51,310.66,275800,GWW
06/15/20,297.13,306.12,294.805,302.81,532004,GWW
06/12/20,315.29,315.37,298.43,303.75,294006,GWW
06/11/20,312.56,315.44,305.74,305.94,290764,GWW
06/10/20,328.74,328.87,320.72,320.87,204617,GWW
06/09/20,325.76,329.09,324.01,326.34,243222,GWW
06/08/20,322.41,330.405,321.48,328.38,347203,GWW
06/05/20,322.45,324.44,319.48,322.83,443005,GWW
06/04/20,314.82,318.53,312.19,316.33,258358,GWW
06/03/20,318.75,319.48,315.435,318.0,357656,GWW
06/02/20,312.83,315.82,311.04,314.99,366600,GWW
06/01/20,309.06,312.58,303.97,305.94,305989,GWW
05/29/20,308.45,312.28,306.39,309.62,882721,GWW
05/28/20,316.58,316.58,308.805,309.21,250433,GWW
05/27/20,311.99,315.67,308.42,314.34,336826,GWW
05/26/20,300.0,307.2,300.0,305.76,487487,GWW
05/22/20,295.97,295.97,291.46,292.91,284695,GWW
05/21/20,296.36,299.37,294.29,295.44,330852,GWW
05/20/20,291.11,299.4,291.11,296.07,266270,GWW
05/19/20,290.4,293.5,286.41,286.51,262786,GWW
05/18/20,287.36,292.98,286.99,290.92,234246,GWW
05/15/20,274.68,279.65,273.44,278.79,435032,GWW
05/14/20,268.21,277.08,263.83,277.02,281037,GWW
05/13/20,276.45,279.57,270.295,273.07,351364,GWW
05/12/20,287.09,287.095,277.1,277.21,271690,GWW
05/11/20,282.62,288.12,278.99,286.59,220050,GWW
05/08/20,284.42,285.45,281.27,285.45,200672,GWW
05/07/20,283.82,287.95,279.88,281.11,284396,GWW
05/06/20,283.48,285.95,278.98,280.5,295527,GWW
05/05/20,275.68,281.98,274.54,279.21,286857,GWW
05/04/20,266.05,272.37,263.27,272.12,280204,GWW
05/01/20,271.05,272.4345,265.86,267.66,253214,GWW
04/30/20,276.35,277.2167,271.71,275.58,371115,GWW
04/29/20,291.75,292.7,278.58,280.64,471868,GWW
04/28/20,284.11,287.9,282.67,286.02,406399,GWW
04/27/20,272.33,279.195,270.48,277.12,340342,GWW
04/24/20,260.05,271.4923,259.1904,269.61,435595,GWW
04/23/20,264.2,272.3173,256.19,258.43,858688,GWW
04/22/20,276.35,278.0,271.53,276.13,364054,GWW
04/21/20,270.0,272.79,268.51,270.09,230332,GWW
04/20/20,276.3,277.24,271.77,274.51,299196,GWW
04/17/20,287.48,291.92,276.14,280.22,364019,GWW
04/16/20,279.59,283.12,275.43,279.92,291266,GWW
04/15/20,281.38,282.81,276.55,279.43,282059,GWW
04/14/20,283.31,288.57,280.0,287.63,457566,GWW
04/13/20,278.29,278.29,272.0,274.36,271043,GWW
04/09/20,274.94,282.21,273.36,279.87,447024,GWW
04/08/20,261.77,273.74,256.91,270.4,325914,GWW
04/07/20,253.26,272.53,253.26,257.93,600899,GWW
04/06/20,248.37,254.75,245.17,251.18,411637,GWW
04/03/20,236.61,242.935,234.01,238.76,332878,GWW
04/02/20,234.7,244.75,233.89,239.69,460354,GWW
