Date, Open, High, Low, Close, Volume,ticker
12/24/20,93.22,93.34,92.01,93.15,201042,HAS
12/23/20,92.99,93.445,91.84,92.75,671640,HAS
12/22/20,93.69,94.24,92.25,92.38,583536,HAS
12/21/20,92.65,94.8,91.33,93.6,1095548,HAS
12/18/20,93.75,94.3,92.0,93.81,1873729,HAS
12/17/20,94.76,96.07,93.03,93.21,934541,HAS
12/16/20,92.2,95.56,92.0,94.76,1485691,HAS
12/15/20,90.88,92.76,89.14,92.25,1015900,HAS
12/14/20,90.17,91.32,89.49,90.11,682729,HAS
12/11/20,88.18,89.5,87.52,89.0,889462,HAS
12/10/20,88.18,89.28,87.7,88.68,783709,HAS
12/09/20,91.05,91.54,88.43,88.76,1367049,HAS
12/08/20,89.02,91.11,88.84,89.72,701951,HAS
12/07/20,90.67,90.99,89.4,89.57,1079277,HAS
12/04/20,92.9,93.71,90.915,91.07,1477757,HAS
12/03/20,93.9,95.22,92.36,92.66,907267,HAS
12/02/20,94.77,94.97,91.3,93.93,1192135,HAS
12/01/20,94.34,97.13,93.79799999999999,96.19,1913996,HAS
11/30/20,92.01,93.25,90.69,93.03,1223378,HAS
11/27/20,91.89,93.2,91.4872,92.32,227885,HAS
11/25/20,91.55,92.3404,90.9,92.14,587620,HAS
11/24/20,93.44,94.0,91.81,92.1,1144678,HAS
11/23/20,93.22,93.74,91.875,92.62,679451,HAS
11/20/20,91.47,93.4,90.74,93.02,832960,HAS
11/19/20,91.67,92.56,90.24,91.75,628290,HAS
11/18/20,91.94,94.3,90.99,92.08,1032309,HAS
11/17/20,90.48,92.47,89.27,91.89,641809,HAS
11/16/20,89.86,90.94,87.77600000000001,90.89,891913,HAS
11/13/20,84.83,88.667,84.815,87.72,1152514,HAS
11/12/20,86.38,86.38,83.34,84.22,701143,HAS
11/11/20,86.33,87.43,85.65,86.53,981927,HAS
11/10/20,85.72,87.22,84.75,85.65,947819,HAS
11/09/20,88.08,88.73,85.06,85.4,1742682,HAS
11/06/20,84.48,85.46,83.18,84.34,588929,HAS
11/05/20,83.96,84.49,83.02,84.1,818847,HAS
11/04/20,84.1,84.635,82.23,82.38,839288,HAS
11/03/20,83.66,85.33,82.335,84.71,755213,HAS
11/02/20,83.53,84.1,82.01,82.4,839741,HAS
10/30/20,82.7,83.44,81.69,82.72,1198619,HAS
10/29/20,83.41,84.87,82.2,83.87,1015989,HAS
10/28/20,83.65,84.55,81.72,84.04,1717016,HAS
10/27/20,84.09,86.4,82.6701,85.1,2330374,HAS
10/26/20,87.02,87.8989,82.25,83.4,3951220,HAS
10/23/20,91.95,92.95,91.0,92.0,1971971,HAS
10/22/20,87.27,89.91,86.56,89.82,1167913,HAS
10/21/20,86.5,87.78,86.23,86.95,669418,HAS
10/20/20,87.24,88.09,86.31,86.66,548268,HAS
10/19/20,88.51,88.88,86.12,86.55,711960,HAS
10/16/20,86.88,87.85,86.16,87.6,636054,HAS
10/15/20,85.02,87.04,84.9,86.81,492218,HAS
10/14/20,87.38,88.14,85.75,85.85,607028,HAS
10/13/20,87.83,87.83,86.2245,86.89,644163,HAS
10/12/20,89.44,89.66,87.05,87.74,708638,HAS
10/09/20,88.15,90.0,88.11,89.16,836140,HAS
10/08/20,85.31,88.0,85.02,87.96,742037,HAS
10/07/20,84.29,85.17,83.66,84.93,521289,HAS
10/06/20,83.92,84.99,82.78,83.05,815858,HAS
10/05/20,83.2,84.58,82.835,83.09,808728,HAS
10/02/20,81.37,84.13,80.2429,82.97,812805,HAS
10/01/20,82.99,84.605,82.38,82.95,765285,HAS
09/30/20,84.03,85.82,82.285,82.72,1427836,HAS
09/29/20,79.18,81.9,78.84,81.24,941636,HAS
09/28/20,78.0,78.65,77.29,78.25,482437,HAS
09/25/20,76.05,77.23,75.4,76.97,693748,HAS
09/24/20,77.26,77.45,75.27,76.16,702509,HAS
09/23/20,77.92,79.75,76.78,76.88,987499,HAS
09/22/20,76.12,77.565,75.25,75.45,716814,HAS
09/21/20,78.42,78.53,75.6,76.07,1066948,HAS
09/18/20,80.29,81.97,79.51,79.91,1765716,HAS
09/17/20,77.22,80.586,77.1,80.41,1257111,HAS
09/16/20,76.78,80.01,76.65,78.51,1105517,HAS
09/15/20,77.43,78.44,76.395,77.41,1169489,HAS
09/14/20,78.73,80.425,77.1,77.18,1099914,HAS
09/11/20,79.29,79.29,78.055,78.65,782183,HAS
09/10/20,79.05,80.0,78.2,78.57,1098506,HAS
09/09/20,78.5,79.5,76.77,78.37,1464067,HAS
09/08/20,77.48,79.19,77.1578,78.09,869914,HAS
09/04/20,80.71,81.0,78.2,79.055,613541,HAS
09/03/20,82.65,83.26,79.26,80.01,755957,HAS
09/02/20,82.93,83.1375,80.9,82.56,645974,HAS
09/01/20,78.57,81.93,78.0,81.9,711420,HAS
08/31/20,80.59,80.595,78.5,78.94,750455,HAS
08/28/20,81.0,81.36,79.5,80.94,689127,HAS
08/27/20,79.47,82.08,79.405,80.68,658286,HAS
08/26/20,79.8,80.0,78.44,79.45,483115,HAS
08/25/20,80.65,80.65,78.85,79.38,452828,HAS
08/24/20,77.14,80.3,76.53,79.94,516990,HAS
08/21/20,77.34,77.92,76.33,76.82,591126,HAS
08/20/20,78.04,78.2,76.46,77.45,499966,HAS
08/19/20,78.94,79.94,78.285,78.59,363283,HAS
08/18/20,78.21,78.93,77.51,78.65,462943,HAS
08/17/20,79.75,79.75,77.98,78.39,546651,HAS
