Date, Open, High, Low, Close, Volume,ticker
12/24/20,12.51,12.51,12.16,12.35,4545227,HBAN
12/23/20,12.24,12.47,12.19,12.45,15787910,HBAN
12/22/20,12.317,12.435,12.11,12.13,11863130,HBAN
12/21/20,12.38,12.62,12.205,12.26,21485930,HBAN
12/18/20,12.34,12.43,12.115,12.39,28982520,HBAN
12/17/20,12.31,12.44,12.0,12.34,16954311,HBAN
12/16/20,12.6,12.65,12.385,12.52,13832950,HBAN
12/15/20,12.7,12.71,12.365,12.59,15842960,HBAN
12/14/20,12.9,12.95,12.15,12.51,36739559,HBAN
12/11/20,12.84,13.0,12.78,12.93,8445762,HBAN
12/10/20,12.75,13.05,12.63,13.03,8178218,HBAN
12/09/20,12.999,13.225,12.83,12.91,9150500,HBAN
12/08/20,12.83,13.045,12.81,12.9,8084324,HBAN
12/07/20,13.015999999999998,13.04,12.805,13.01,5532456,HBAN
12/04/20,13.08,13.2,13.02,13.11,8011254,HBAN
12/03/20,12.89,13.09,12.75,12.98,7935157,HBAN
12/02/20,12.38,12.88,12.31,12.83,9595406,HBAN
12/01/20,12.51,12.6,12.34,12.5,7614523,HBAN
11/30/20,12.4,12.515,12.045,12.08,12364220,HBAN
11/27/20,12.76,12.76,12.37,12.46,3931235,HBAN
11/25/20,12.7,12.8017,12.49,12.69,7493397,HBAN
11/24/20,12.47,12.96,12.4,12.93,10933720,HBAN
11/23/20,11.982000000000001,12.21,11.92,12.18,6964323,HBAN
11/20/20,11.87,11.915,11.7,11.75,4464762,HBAN
11/19/20,11.76,11.96,11.58,11.95,5199005,HBAN
11/18/20,12.16,12.25,11.87,11.87,6340651,HBAN
11/17/20,11.73,12.04,11.64,12.02,5404011,HBAN
11/16/20,12.11,12.32,11.92,12.03,6532322,HBAN
11/13/20,11.45,11.72,11.39,11.59,6282695,HBAN
11/12/20,11.45,11.515,11.11,11.29,7497175,HBAN
11/11/20,12.13,12.13,11.51,11.64,8137570,HBAN
11/10/20,12.0,12.335,11.79,12.13,17185189,HBAN
11/09/20,11.02,12.23,11.02,11.95,21582980,HBAN
11/06/20,10.68,10.68,10.07,10.15,8503267,HBAN
11/05/20,10.13,10.64,10.11,10.57,7109727,HBAN
11/04/20,10.66,10.66,10.06,10.08,15944300,HBAN
11/03/20,11.02,11.155,10.93,11.09,9123170,HBAN
11/02/20,10.6,10.91,10.37,10.81,10387830,HBAN
10/30/20,10.07,10.45,10.03,10.44,8822412,HBAN
10/29/20,9.8,10.21,9.66,10.135,7523658,HBAN
10/28/20,9.75,9.995,9.6822,9.83,10299380,HBAN
10/27/20,10.22,10.25,9.93,9.94,6038757,HBAN
10/26/20,10.36,10.405,10.155,10.28,7800253,HBAN
10/23/20,10.5,10.56,10.18,10.47,7551177,HBAN
10/22/20,9.89,10.485,9.79,10.38,10730060,HBAN
10/21/20,9.82,9.88,9.62,9.69,9932108,HBAN
10/20/20,9.71,10.02,9.6301,9.88,7865739,HBAN
10/19/20,9.67,9.78,9.51,9.52,4826805,HBAN
10/16/20,9.62,9.75,9.434,9.67,5901774,HBAN
10/15/20,9.385,9.685,9.3,9.66,6063678,HBAN
10/14/20,9.58,9.67,9.44,9.46,6016975,HBAN
10/13/20,9.92,9.92,9.55,9.56,6099905,HBAN
10/12/20,9.83,9.98,9.83,9.95,5581254,HBAN
10/09/20,10.06,10.16,9.81,9.85,7694572,HBAN
