Date, Open, High, Low, Close, Volume,ticker
12/24/20,14.79,14.8,14.37,14.59,2241452,HBI
12/23/20,14.11,14.845,14.08,14.73,5865709,HBI
12/22/20,14.47,14.55,14.07,14.07,3731823,HBI
12/21/20,14.21,14.465,14.0,14.42,5815311,HBI
12/18/20,14.07,14.51,13.94,14.43,12154670,HBI
12/17/20,13.99,14.305,13.89,14.17,5113458,HBI
12/16/20,14.2,14.25,13.94,13.97,5396265,HBI
12/15/20,13.89,14.19,13.74,14.14,7525059,HBI
12/14/20,13.84,13.98,13.6601,13.76,9099959,HBI
12/11/20,14.03,14.275,13.84,13.96,4593246,HBI
12/10/20,14.11,14.125,13.77,14.01,6186665,HBI
12/09/20,14.03,14.24,13.96,14.17,4981010,HBI
12/08/20,13.93,14.085,13.87,14.01,4601848,HBI
12/07/20,14.01,14.14,13.82,13.95,4666726,HBI
12/04/20,14.39,14.5,13.97,14.09,5613033,HBI
12/03/20,14.02,14.63,14.02,14.39,4076291,HBI
12/02/20,14.14,14.195,14.01,14.06,2855173,HBI
12/01/20,14.47,14.58,14.01,14.14,4660136,HBI
11/30/20,14.4,14.45,14.0,14.2,4904658,HBI
11/27/20,14.73,14.77,14.39,14.43,2805372,HBI
11/25/20,14.34,14.545,14.1611,14.5,4303258,HBI
11/24/20,14.17,14.89,14.16,14.82,5582546,HBI
11/23/20,13.73,14.17,13.645,14.01,4092340,HBI
11/20/20,13.52,13.7,13.3621,13.63,3315935,HBI
11/19/20,13.49,13.62,13.335,13.56,4104497,HBI
11/18/20,13.56,13.78,13.4,13.41,4735441,HBI
11/17/20,13.23,13.64,13.02,13.53,5697294,HBI
11/16/20,13.23,13.36,13.02,13.32,7543226,HBI
11/13/20,12.67,13.04,12.62,12.95,4634520,HBI
11/12/20,12.81,12.89,12.28,12.45,8206889,HBI
11/11/20,13.23,13.28,12.89,12.92,5657568,HBI
11/10/20,12.82,13.04,12.72,12.98,10399430,HBI
11/09/20,13.1,13.415,12.54,12.81,16176420,HBI
11/06/20,13.31,13.75,12.74,12.85,14479980,HBI
11/05/20,14.0,14.4,12.85,13.33,30430260,HBI
11/04/20,16.78,16.89,16.31,16.37,4347667,HBI
11/03/20,16.84,16.92,16.56,16.82,3319192,HBI
11/02/20,16.3,16.745,16.21,16.59,3412433,HBI
10/30/20,16.54,16.63,15.875,16.07,3381435,HBI
10/29/20,16.61,16.61,16.21,16.51,5454225,HBI
10/28/20,17.13,17.25,16.43,16.52,3708495,HBI
10/27/20,17.48,17.595,17.3,17.5,3114709,HBI
10/26/20,17.39,17.47,17.12,17.47,3861330,HBI
10/23/20,17.73,17.735,17.425,17.58,2478580,HBI
10/22/20,17.28,17.705,17.12,17.62,3379818,HBI
10/21/20,17.0,17.4,16.94,17.26,3006547,HBI
10/20/20,17.02,17.525,16.87,17.11,4486943,HBI
10/19/20,17.19,17.27,16.62,16.73,4369807,HBI
10/16/20,17.44,17.49,17.19,17.2,3931007,HBI
10/15/20,16.8,17.37,16.76,17.34,2557053,HBI
10/14/20,16.94,17.175,16.9,17.02,2791840,HBI
10/13/20,17.21,17.35,16.93,17.02,2419717,HBI
10/12/20,17.25,17.32,17.09,17.27,2999956,HBI
10/09/20,17.04,17.25,16.845,17.21,4469112,HBI
10/08/20,16.82,17.07,16.72,16.97,3639134,HBI
10/07/20,16.95,17.33,16.77,16.8,5555175,HBI
10/06/20,16.82,17.175,16.61,16.61,6874212,HBI
10/05/20,16.26,16.76,16.11,16.74,6212702,HBI
10/02/20,15.5,16.175,15.29,16.15,3537224,HBI
10/01/20,15.85,16.13,15.525,15.95,4368822,HBI
09/30/20,15.47,15.88,15.47,15.75,5010609,HBI
09/29/20,15.79,15.79,15.315,15.44,3652182,HBI
09/28/20,15.82,15.97,15.63,15.79,3781148,HBI
09/25/20,15.46,15.6,15.19,15.51,6205621,HBI
09/24/20,15.9,15.9082,15.3,15.58,3502440,HBI
09/23/20,15.85,16.25,15.825,16.0,6030069,HBI
09/22/20,15.34,15.68,15.32,15.64,3184104,HBI
09/21/20,15.35,15.435,15.13,15.29,5156511,HBI
09/18/20,15.77,15.875,15.505,15.67,14116530,HBI
09/17/20,15.94,16.095,15.55,15.8,6030695,HBI
09/16/20,15.81,16.44,15.745,16.21,6592931,HBI
09/15/20,15.92,16.12,15.58,15.71,6808307,HBI
09/14/20,15.55,15.84,15.39,15.78,4137077,HBI
09/11/20,15.47,15.53,15.2,15.39,3955836,HBI
09/10/20,15.52,15.655,15.22,15.28,2629709,HBI
09/09/20,15.54,15.54,15.14,15.38,3071429,HBI
09/08/20,15.25,15.69,15.19,15.52,4169453,HBI
09/04/20,15.7,15.8,15.24,15.41,5482516,HBI
09/03/20,15.94,16.145,15.42,15.51,3791460,HBI
09/02/20,15.7,15.99,15.58,15.92,4859563,HBI
09/01/20,15.24,15.6,15.13,15.54,4703154,HBI
08/31/20,15.7,15.7,15.19,15.29,4902336,HBI
08/28/20,15.81,15.895,15.46,15.72,3097849,HBI
08/27/20,15.74,16.0,15.68,15.73,3340231,HBI
08/26/20,15.87,15.99,15.56,15.57,4704803,HBI
08/25/20,16.18,16.28,15.845,16.01,4519137,HBI
08/24/20,15.72,16.06,15.62,16.04,4925959,HBI
08/21/20,15.74,15.94,15.51,15.68,3514450,HBI
08/20/20,15.7,15.85,15.55,15.65,3107719,HBI
08/19/20,15.7,16.1,15.66,15.78,4755923,HBI
08/18/20,15.77,15.885,15.46,15.76,3792560,HBI
08/17/20,15.78,15.9,15.59,15.84,4210598,HBI
08/14/20,15.58,15.895,15.45,15.77,3102350,HBI
08/13/20,15.86,15.87,15.45,15.6,5504266,HBI
08/12/20,16.12,16.18,15.64,15.97,5509732,HBI
08/11/20,16.56,16.755,15.905,15.95,6786633,HBI
08/10/20,15.0,16.025,14.93,15.78,10471960,HBI
08/07/20,14.27,15.05,14.1625,15.04,7000616,HBI
08/06/20,14.79,14.84,14.24,14.27,6645695,HBI
08/05/20,14.35,14.78,14.35,14.74,4792337,HBI
08/04/20,14.3,14.61,14.135,14.26,6068182,HBI
08/03/20,14.23,14.52,14.12,14.32,8092522,HBI
07/31/20,14.4,14.56,13.86,14.13,19984109,HBI
07/30/20,15.05,15.6,14.01,14.26,16741650,HBI
07/29/20,14.31,14.76,14.2442,14.64,6063571,HBI
07/28/20,14.09,14.46,14.03,14.21,5926555,HBI
07/27/20,13.96,14.22,13.885,14.16,5480112,HBI
