Date, Open, High, Low, Close, Volume,ticker
12/24/20,269.44,271.36,269.4,270.92,1093947,HD
12/23/20,270.06,271.0,268.2,269.81,2337149,HD
12/22/20,270.06,271.36,268.51,270.04,3143451,HD
12/21/20,268.56,271.95,265.88,270.99,4339037,HD
12/18/20,274.59,275.74,270.3,270.45,9817032,HD
12/17/20,272.16,274.33,271.3,273.97,4247048,HD
12/16/20,268.53,270.75,267.51,269.59,4669578,HD
12/15/20,267.51,268.7628,266.2,267.98,3756037,HD
12/14/20,266.14,268.5999,265.27,265.58,4576775,HD
12/11/20,263.36,265.3618,262.64599999999996,264.55,3454512,HD
12/10/20,264.08,266.07,262.11,264.81,4234320,HD
12/09/20,264.61,265.7708,262.25,265.58,4550125,HD
12/08/20,261.72,262.5,258.73,261.72,5338142,HD
12/07/20,263.5,264.5,261.0,262.64,6378989,HD
12/04/20,267.47,268.73,262.82,263.99,7732829,HD
12/03/20,270.63,271.93,267.14,268.14,4168929,HD
12/02/20,273.97,274.11,269.57,271.1,4168645,HD
12/01/20,278.73,278.95,275.55,276.6,3944872,HD
11/30/20,275.22,277.76,271.92,277.41,4624131,HD
11/27/20,275.24,276.58,274.36,275.99,1625328,HD
11/25/20,273.48,274.74,271.212,273.96,3001748,HD
11/24/20,274.0,275.545,272.57,273.31,4775318,HD
11/23/20,270.01,273.689,269.55,271.4,3294219,HD
11/20/20,271.45,272.37,268.87,269.81,4112543,HD
11/19/20,270.42,272.38,268.7,270.93,3929422,HD
11/18/20,270.5,275.38,269.0,269.83,5122219,HD
11/17/20,272.1,273.529,269.4001,272.47,8532219,HD
11/16/20,279.18,281.29,276.4,279.57,5360160,HD
11/13/20,276.42,279.73,275.26,277.17,3941687,HD
11/12/20,283.0,283.6943,273.84,276.24,3820310,HD
11/11/20,277.32,281.69,276.1701,277.75,2987878,HD
11/10/20,272.785,275.79,269.25,275.57,4828522,HD
11/09/20,287.98,288.42,269.47,269.97,7856419,HD
11/06/20,286.73,286.7799,282.85,284.24,2839134,HD
11/05/20,288.35,288.998,284.08,285.85,2516570,HD
11/04/20,276.76,287.04,276.01,282.72,3525318,HD
11/03/20,274.85,279.53,273.72,277.37,3037485,HD
11/02/20,270.15,274.78,268.52,270.74,2956798,HD
10/30/20,268.82,269.62,262.03,266.71,3874571,HD
10/29/20,269.69,273.7,267.3119,269.63,2872501,HD
10/28/20,270.25,273.6696,268.6901,269.72,3255851,HD
10/27/20,276.99,279.73,276.1157,276.84,3014280,HD
10/26/20,279.64,281.5299,272.0,276.04,2911876,HD
10/23/20,282.38,283.19,279.55,283.0,1750747,HD
10/22/20,283.93,285.68,280.65,281.16,2787332,HD
10/21/20,285.39,288.0187,283.28,284.51,2304473,HD
10/20/20,285.14,289.79,284.13,286.04,2281770,HD
10/19/20,289.76,290.11,283.38,283.73,2428441,HD
10/16/20,288.25,292.655,287.25,287.66,3109401,HD
10/15/20,284.12,290.25,283.12,287.54,2700137,HD
10/14/20,289.51,290.3,285.15,287.09,2221184,HD
10/13/20,285.7,290.77,285.7,290.36,2699882,HD
10/12/20,287.39,288.33,286.06,286.91,2411899,HD
10/09/20,285.47,287.28,284.09,285.92,2240096,HD
10/08/20,283.84,284.95,281.1707,284.52,2256215,HD
10/07/20,280.85,284.0,280.0,282.79,3423651,HD
10/06/20,282.5,283.0,275.77,276.47,2992517,HD
10/05/20,280.92,282.42,279.7,282.1,2330743,HD
10/02/20,274.94,281.08,274.1032,279.31,2943577,HD
10/01/20,279.44,280.0,275.85,277.62,2696923,HD
09/30/20,273.48,279.915,272.52,277.71,4779076,HD
09/29/20,273.4,273.8415,271.1138,272.11,2049239,HD
09/28/20,271.93,274.22,270.3,272.33,3061079,HD
09/25/20,264.19,270.15,263.9194,268.55,2457922,HD
09/24/20,265.71,269.7,263.8801,265.7,3095558,HD
09/23/20,275.42,276.62,264.685,266.55,4467612,HD
09/22/20,271.68,273.52,270.63,273.31,2972025,HD
09/21/20,271.87,272.8999,266.53,272.35,3547977,HD
09/18/20,278.41,279.835,270.81,275.19,6072932,HD
09/17/20,277.91,282.72,276.96,279.96,3166910,HD
09/16/20,285.61,286.58,280.6801,281.63,3380045,HD
09/15/20,283.04,286.7,282.38,285.58,4174935,HD
09/14/20,278.55,282.46,278.015,280.65,3055846,HD
09/11/20,273.98,277.98,273.46,276.33,3729223,HD
09/10/20,278.01,280.98,271.17,272.7,3156250,HD
09/09/20,272.46,279.74,271.75,277.04,4754651,HD
09/08/20,267.11,271.04,262.81,269.26,5241197,HD
09/04/20,275.55,276.77,264.6727,269.66,5253456,HD
09/03/20,287.3,287.7,272.17,274.63,5380082,HD
09/02/20,284.85,288.04,283.6,287.2,3464637,HD
09/01/20,284.03,286.68,283.5,285.94,3238088,HD
08/31/20,285.0,286.69,282.87,285.04,4105437,HD
08/28/20,288.31,288.83,284.77,286.29,3100102,HD
08/27/20,292.22,292.95,286.56,288.63,3430926,HD
08/26/20,287.73,292.12,286.275,291.93,4001938,HD
08/25/20,287.27,287.48,283.885,286.13,2854466,HD
08/24/20,284.99,286.85,281.9223,286.75,4430864,HD
08/21/20,279.97,283.55,278.42,283.23,5504045,HD
08/20/20,280.535,281.91,279.4351,280.68,3529991,HD
08/19/20,287.46,287.97,281.93,282.86,4986759,HD
08/18/20,288.9,290.58,283.04,285.0,6934290,HD
08/17/20,284.4,289.2172,283.57,288.24,5584428,HD
08/14/20,281.14,282.0,279.19,280.55,2490422,HD
08/13/20,281.16,282.655,279.74,281.66,2202427,HD
08/12/20,279.75,282.9673,276.96,281.58,3869967,HD
08/11/20,277.69,279.37,274.41,274.92,3321260,HD
08/10/20,272.42,275.0,271.795,274.73,2393112,HD
08/07/20,270.61,274.9199,269.81,271.64,2846290,HD
08/06/20,266.6,270.44,266.53,269.37,2203428,HD
08/05/20,268.39,268.39,265.89,267.48,1963860,HD
08/04/20,266.63,267.89,263.84,267.87,2223957,HD
08/03/20,266.73,268.58,265.67,266.18,2364447,HD
07/31/20,265.0,267.17,260.61,265.49,3640388,HD
07/30/20,263.34,267.345,261.55,266.31,2347799,HD
07/29/20,264.8,267.105,264.17,264.66,2874097,HD
07/28/20,268.56,269.07,264.6694,265.28,2226974,HD
07/27/20,265.09,268.68,265.09,267.42,2412476,HD
07/24/20,265.04,266.89,262.99,265.31,2984507,HD
07/23/20,267.8,267.8,261.8,263.81,2680102,HD
07/22/20,262.59,265.59,262.0,265.17,2749966,HD
07/21/20,261.62,263.87,260.72,262.42,2440478,HD
07/20/20,259.04,261.2,258.02,260.17,2451072,HD
07/17/20,260.03,260.65,257.72,260.38,3094992,HD
07/16/20,256.76,260.5,256.0,258.08,2511224,HD
07/15/20,260.14,261.2878,255.15,257.8,4343650,HD
07/14/20,249.0,258.18,248.46,257.79,4614212,HD
07/13/20,251.92,257.86,249.09,249.62,4437469,HD
07/10/20,248.29,250.33,246.635,250.11,2745258,HD
07/09/20,249.66,250.51,246.35,247.96,2994695,HD
07/08/20,247.87,249.785,246.22,249.17,2293978,HD
07/07/20,247.37,250.78,247.07,247.35,2927762,HD
07/06/20,250.27,251.5,247.04,249.55,3133849,HD
07/02/20,251.94,252.3,247.92,248.5,3369796,HD
07/01/20,249.65,250.3295,246.93,248.15,3677252,HD
06/30/20,247.0,251.65,246.09,250.51,4524580,HD
06/29/20,242.66,246.5,240.3401,246.12,3468293,HD
06/26/20,245.35,246.1,240.25,241.01,5002690,HD
06/25/20,244.8,246.35,242.2,245.38,2938448,HD
06/24/20,247.81,250.2873,242.73,246.13,3873027,HD
06/23/20,253.0,253.44,250.13,250.31,3105348,HD
06/22/20,245.7,250.06,245.51,249.16,3815172,HD
06/19/20,253.1,254.3,246.38,246.65,11114630,HD
06/18/20,249.36,251.75,247.13,249.21,3347826,HD
06/17/20,252.77,254.62,250.08,250.85,4234003,HD
06/16/20,249.4,251.65,242.87,249.95,5296424,HD
06/15/20,237.62,242.2199,234.31,241.36,6253342,HD
06/12/20,243.07,246.39,237.05,242.45,5238493,HD
06/11/20,248.86,250.62,238.74,239.47,6563710,HD
06/10/20,257.45,259.2867,254.22,254.45,3589810,HD
06/09/20,255.33,258.29,253.86,256.76,3716430,HD
06/08/20,252.49,256.81,252.26,256.77,3811872,HD
06/05/20,252.34,255.85,250.38,254.9,5054333,HD
06/04/20,249.77,252.173,247.47,248.95,4759381,HD
06/03/20,251.8,252.825,250.3913,251.0,4638114,HD
06/02/20,248.63,252.72,247.0,252.71,5301049,HD
06/01/20,249.41,249.78,245.87,247.29,3409936,HD
05/29/20,245.06,249.71,244.73,248.48,5342824,HD
05/28/20,249.52,252.23,244.43,245.14,5261750,HD
05/27/20,242.69,247.39,240.78,247.36,4664800,HD
05/26/20,248.15,248.22,242.07,242.48,4535235,HD
05/22/20,240.7,242.34,238.655,241.88,3041768,HD
05/21/20,237.62,241.18,235.79,240.88,4772695,HD
05/20/20,242.0,242.27,234.95,238.19,7534153,HD
05/19/20,240.45,242.46,237.8,238.1,9386987,HD
05/18/20,245.84,248.3199,244.04,245.35,8341251,HD
05/15/20,232.79,243.23,232.7,239.33,16176260,HD
05/14/20,226.37,234.66,226.2,234.48,6434481,HD
05/13/20,233.04,236.3,228.544,230.1,6237154,HD
05/12/20,238.57,239.25,232.9,232.9,4399618,HD
05/11/20,231.77,238.77,231.25,236.56,4378313,HD
05/08/20,232.7,235.55,231.15,234.43,4367213,HD
05/07/20,226.51,231.6315,226.4201,229.45,4503029,HD
05/06/20,227.37,228.44,223.8,223.92,3321131,HD
05/05/20,224.94,228.85,223.61,225.61,4655164,HD
05/04/20,216.68,222.66,215.21,221.84,4090943,HD
05/01/20,216.77,219.7,215.77,218.57,3819299,HD
04/30/20,216.79,222.11,216.52,219.83,5152681,HD
04/29/20,221.34,224.17,219.82,221.81,4381069,HD
04/28/20,223.99,224.22,216.91,217.63,5080746,HD
04/27/20,215.04,220.94,214.01,217.76,5472779,HD
04/24/20,204.73,212.93,203.85,212.18,5026219,HD
04/23/20,203.32,206.97,202.19,202.32,3565518,HD
04/22/20,201.89,205.71,201.14,204.17,4071352,HD
04/21/20,200.75,204.34,199.51,200.61,4844962,HD
04/20/20,206.13,211.03,205.36,206.05,4753058,HD
04/17/20,207.17,210.25,206.1631,209.42,6717580,HD
04/16/20,199.12,202.21,196.82,199.85,7262770,HD
04/15/20,198.67,202.2351,196.6141,198.48,5693945,HD
04/14/20,201.88,209.725,200.13,207.17,5655443,HD
04/13/20,200.45,200.45,195.37,198.79,4415560,HD
04/09/20,199.8,205.99,196.5,201.53,7125726,HD
04/08/20,194.21,196.77,191.54,194.82,6094736,HD
04/07/20,202.92,204.11,191.85,192.29,6438763,HD
04/06/20,188.0,192.41,185.127,191.33,7377810,HD
04/03/20,179.56,181.35,174.94,178.7,7299814,HD
04/02/20,174.95,182.72,174.0,181.31,6353948,HD
04/01/20,175.91,182.76,175.0,178.63,7858183,HD
03/31/20,194.8,195.49,185.45,186.71,7341134,HD
03/30/20,190.57,198.2,187.61,196.1,6936746,HD
03/27/20,188.49,196.3827,186.5,190.55,7121658,HD
03/26/20,183.49,198.2,182.5,195.21,10174080,HD
03/25/20,184.42,191.545,180.0,181.76,11497380,HD
03/24/20,173.39,185.67,172.01,184.72,14676620,HD
03/23/20,150.06,164.93,146.34,162.39,12241620,HD
03/20/20,162.78,170.22,151.81,152.15,12602420,HD
03/19/20,153.16,162.91,142.0,161.13,13499060,HD
03/18/20,159.8,162.33,140.63,155.63,14681870,HD
03/17/20,168.21,174.78,155.3,173.64,16234410,HD
03/16/20,181.97,186.1,163.11,164.96,12536630,HD
03/13/20,200.45,205.82,190.0,205.67,10292300,HD
03/12/20,195.41,206.58,184.84,190.59,10928670,HD
03/11/20,217.3,219.15,210.5,212.89,7261975,HD
03/10/20,217.21,225.83,211.0,225.7,7206600,HD
03/09/20,213.87,216.18,207.25,210.46,10120510,HD
03/06/20,227.57,230.29,222.25,228.51,7400162,HD
03/05/20,236.6,239.6099,233.15,234.81,6473854,HD
03/04/20,233.01,241.32,231.8,241.08,6769978,HD
03/03/20,230.03,235.82,225.5705,227.94,8432488,HD
03/02/20,219.98,230.0,218.49,229.94,7150821,HD
02/28/20,218.63,221.0599,212.33,217.84,11814660,HD
02/27/20,231.07,234.82,224.57,224.73,7612793,HD
02/26/20,239.1,241.0407,234.32,235.28,6965709,HD
02/25/20,246.1,246.97,236.48,237.38,8061529,HD
02/24/20,238.48,243.11,237.7,239.7,5350146,HD
02/21/20,246.5,247.36,244.0,245.34,3881083,HD
02/20/20,243.69,247.12,242.15,247.02,3701834,HD
02/19/20,244.91,245.5,243.01,243.64,2713341,HD
02/18/20,244.84,246.11,243.16,243.94,2893400,HD
02/14/20,243.44,245.2,242.63,245.03,2841585,HD
02/13/20,240.97,243.6,240.4,242.36,2468189,HD
02/12/20,242.13,242.3003,238.84,241.59,3592140,HD
02/11/20,240.61,242.45,240.2035,241.64,2692405,HD
02/10/20,236.6,240.61,236.18,240.61,2568037,HD
02/07/20,238.84,239.5299,236.52,237.3,2456067,HD
02/06/20,238.0,239.405,237.48,238.84,3930383,HD
02/05/20,237.1,238.32,235.86,238.11,3868791,HD
02/04/20,234.03,236.36,234.03,235.0,3505081,HD
02/03/20,230.3,233.53,229.35,231.54,5101207,HD
01/31/20,232.96,233.233,227.89,228.1,5304743,HD
01/30/20,232.0,233.295,231.57,232.79,4685674,HD
01/29/20,234.9,235.88,233.4,234.02,2564540,HD
01/28/20,231.82,235.25,231.35,233.86,3622093,HD
01/27/20,228.2,232.47,228.2,231.19,3595928,HD
01/24/20,234.46,235.43,230.56,232.0,4467501,HD
01/23/20,232.13,234.8167,230.64,233.65,4617883,HD
01/22/20,233.79,236.53,232.8759,232.9,4030827,HD
01/21/20,231.53,233.66,231.06,232.95,4873853,HD
01/17/20,229.61,232.6,228.91,231.91,7979597,HD
01/16/20,225.93,228.86,225.4,228.82,5390755,HD
01/15/20,222.28,224.98,222.13,224.59,3444310,HD
01/14/20,222.48,224.9458,222.31,222.81,3916025,HD
