Date, Open, High, Low, Close, Volume,ticker
12/24/20,25.4,25.5,24.99,25.35,731667,HFC
12/23/20,24.63,25.89,24.46,25.45,1402860,HFC
12/22/20,24.65,25.08,24.28,24.32,2254170,HFC
12/21/20,24.14,24.995,23.6,24.81,4736460,HFC
12/18/20,25.53,25.8,24.91,25.17,8018712,HFC
12/17/20,25.73,25.97,25.23,25.64,4877119,HFC
12/16/20,26.28,26.28,25.47,25.56,2436676,HFC
12/15/20,26.26,26.52,25.67,26.43,3970558,HFC
12/14/20,28.0,28.16,25.725,25.9,4755528,HFC
12/11/20,28.54,28.595,27.22,27.48,3244787,HFC
12/10/20,27.09,28.67,27.06,28.44,4031807,HFC
12/09/20,27.39,27.91,26.29,27.15,2948969,HFC
12/08/20,27.02,27.86,26.72,27.07,3196253,HFC
12/07/20,28.09,28.61,27.2,27.42,2674364,HFC
12/04/20,27.66,28.77,27.56,28.55,2957043,HFC
12/03/20,26.38,27.77,26.1,26.89,4812916,HFC
12/02/20,23.96,26.49,23.83,26.23,5060475,HFC
12/01/20,24.26,25.23,24.04,24.18,4969897,HFC
11/30/20,24.52,24.68,23.24,23.39,5402199,HFC
11/27/20,25.02,25.21,24.61,24.93,2862654,HFC
11/25/20,25.41,25.52,24.69,25.24,2124174,HFC
11/24/20,25.28,26.385,24.71,25.8,4279646,HFC
11/23/20,22.55,24.43,22.465,24.36,3040549,HFC
11/20/20,22.45,22.7321,21.91,22.15,1775708,HFC
11/19/20,22.3,22.9,22.18,22.88,2234021,HFC
11/18/20,23.82,24.1,22.64,22.72,2973465,HFC
11/17/20,23.63,23.68,22.78,23.61,3113852,HFC
11/16/20,23.615,24.47,22.72,24.17,4056663,HFC
11/13/20,20.81,22.33,20.81,22.14,2807994,HFC
11/12/20,20.9,21.58,20.365,20.67,3154456,HFC
11/11/20,21.89,22.13,20.99,21.3,2491501,HFC
11/10/20,22.6,22.72,20.83,21.65,4226755,HFC
11/09/20,19.49,23.2,19.49,22.56,6552772,HFC
11/06/20,18.52,18.97,17.42,17.57,4068116,HFC
11/05/20,18.87,19.7,18.5,18.67,3121080,HFC
11/04/20,19.05,19.68,18.42,18.73,3429722,HFC
11/03/20,19.5,19.61,18.72,19.05,2145806,HFC
11/02/20,18.88,19.5,18.31,19.22,2503004,HFC
10/30/20,17.71,18.55,17.65,18.51,4461035,HFC
10/29/20,17.03,17.85,16.81,17.79,2889460,HFC
10/28/20,18.0,18.11,17.02,17.23,3828027,HFC
10/27/20,19.24,19.345,18.48,18.57,3407428,HFC
10/26/20,20.03,20.14,19.22,19.38,1682947,HFC
10/23/20,20.15,20.89,19.995,20.39,1566946,HFC
10/22/20,19.02,20.01,18.55,19.93,2238434,HFC
10/21/20,19.42,19.75,18.96,19.15,2604423,HFC
10/20/20,19.7,20.0134,19.48,19.6,1941551,HFC
10/19/20,20.11,20.27,19.45,19.47,1863216,HFC
10/16/20,21.11,21.11,20.14,20.16,2009370,HFC
10/15/20,20.02,21.24,19.77,21.19,3189984,HFC
10/14/20,20.0,20.89,19.95,20.51,1916658,HFC
10/13/20,20.64,20.645,19.74,19.85,2380230,HFC
10/12/20,20.78,20.84,20.29,20.77,1627667,HFC
10/09/20,21.64,21.85,20.82,20.87,1901563,HFC
10/08/20,20.9,21.66,20.63,21.5,1827024,HFC
10/07/20,20.26,20.79,19.85,20.7,2342766,HFC
10/06/20,20.38,21.02,20.06,20.13,2303765,HFC
10/05/20,19.94,20.28,19.5686,20.03,2390825,HFC
10/02/20,18.5,19.81,18.38,19.6,2613153,HFC
10/01/20,19.39,19.6,18.59,18.94,3057826,HFC
09/30/20,20.14,20.31,19.6187,19.71,2480902,HFC
09/29/20,20.8,20.97,19.965,20.18,1812704,HFC
09/28/20,20.59,20.98,20.37,20.89,2458752,HFC
09/25/20,19.72,20.3,19.455,20.15,2046924,HFC
09/24/20,19.89,20.355,19.28,20.04,2386338,HFC
09/23/20,21.06,21.345,20.02,20.03,2124317,HFC
09/22/20,21.23,21.64,20.87,21.1,1626504,HFC
09/21/20,21.37,21.43,20.71,21.21,2249382,HFC
09/18/20,22.12,22.32,21.48,21.99,5399067,HFC
09/17/20,21.96,22.48,21.79,22.27,2497573,HFC
09/16/20,21.76,23.01,21.52,22.52,2795170,HFC
09/15/20,21.76,21.94,21.225,21.69,3267050,HFC
09/14/20,21.07,21.89,20.89,21.71,3115331,HFC
09/11/20,20.59,21.33,20.315,20.95,2594801,HFC
09/10/20,21.51,21.695,20.51,20.55,2733463,HFC
09/09/20,21.87,22.04,20.91,21.46,3697203,HFC
09/08/20,22.4,22.6,21.815,21.85,3081133,HFC
09/04/20,23.74,23.85,22.81,22.82,3782997,HFC
09/03/20,23.83,24.55,23.31,23.53,3879944,HFC
09/02/20,23.7,24.099,23.47,23.53,3607562,HFC
09/01/20,23.92,24.37,23.42,23.96,2896498,HFC
08/31/20,25.72,25.85,23.81,23.87,14127470,HFC
08/28/20,25.1,26.1,24.99,25.81,2471768,HFC
08/27/20,25.84,25.86,24.4545,24.96,3660669,HFC
08/26/20,26.16,26.6,25.74,25.91,3936354,HFC
08/25/20,26.28,26.66,25.61,26.05,3036179,HFC
08/24/20,25.28,26.54,25.0,26.14,3167304,HFC
08/21/20,25.17,25.66,24.75,24.98,2175861,HFC
08/20/20,25.52,25.79,24.7,25.35,2795457,HFC
08/19/20,25.57,26.17,25.16,25.9,2221850,HFC
08/18/20,26.37,26.5589,25.64,25.69,3291786,HFC
08/17/20,25.97,26.68,25.7,26.5,1712435,HFC
08/14/20,25.01,26.0,24.72,25.99,1737566,HFC
08/13/20,26.75,26.89,25.42,25.52,2886113,HFC
08/12/20,27.02,27.24,26.28,27.22,1967595,HFC
08/11/20,26.68,27.41,26.35,26.49,2485847,HFC
08/10/20,25.65,26.33,25.38,26.12,2727161,HFC
08/07/20,24.75,25.76,24.31,25.5,3041523,HFC
08/06/20,26.25,27.23,24.52,24.62,3344082,HFC
08/05/20,26.55,26.55,25.54,25.96,2790877,HFC
08/04/20,26.39,26.56,25.33,26.03,3317152,HFC
08/03/20,27.6,27.93,26.31,26.67,2701508,HFC
07/31/20,26.5,27.6,26.45,27.5,4821726,HFC
07/30/20,27.0,27.31,25.66,26.79,2799013,HFC
07/29/20,26.24,27.87,26.05,27.74,2261689,HFC
07/28/20,26.6,27.11,26.15,26.15,1241937,HFC
07/27/20,26.86,27.13,26.35,26.65,1513074,HFC
07/24/20,27.45,27.86,26.7,26.98,1463848,HFC
07/23/20,27.16,27.73,26.99,27.32,1508821,HFC
07/22/20,26.98,27.67,26.71,27.34,1701602,HFC
07/21/20,26.9,28.19,26.9,27.81,2603895,HFC
07/20/20,27.33,27.78,26.53,26.55,1388036,HFC
07/17/20,28.53,29.03,27.12,27.48,1551382,HFC
07/16/20,28.37,28.87,27.85,28.41,1442477,HFC
07/15/20,28.03,28.83,27.46,28.68,1652531,HFC
07/14/20,26.7,27.33,26.33,27.23,2279234,HFC
07/13/20,27.64,27.7,26.51,26.98,1937472,HFC
07/10/20,26.06,27.56,26.0542,27.56,1347773,HFC
07/09/20,27.43,27.53,26.1,26.21,1683298,HFC
07/08/20,26.31,27.76,26.26,27.6,2238699,HFC
07/07/20,27.59,27.97,26.89,27.1,2039815,HFC
07/06/20,27.68,28.28,27.0,28.05,2384651,HFC
07/02/20,28.38,28.76,27.18,27.22,1721036,HFC
07/01/20,29.41,29.94,27.42,27.71,2302765,HFC
06/30/20,27.58,29.42,26.96,29.2,2741686,HFC
06/29/20,28.47,29.15,28.08,28.45,1552599,HFC
06/26/20,29.37,29.55,27.95,28.21,2353642,HFC
06/25/20,29.07,29.93,28.7,29.64,1923572,HFC
06/24/20,30.83,30.83,29.19,29.58,2464170,HFC
06/23/20,32.28,32.47,31.42,31.48,1450332,HFC
06/22/20,31.94,32.45,31.045,31.73,2322330,HFC
06/19/20,33.6,33.66,32.02,32.24,4274148,HFC
06/18/20,30.61,32.8051,30.535,32.56,1641154,HFC
06/17/20,32.72,33.13,31.02,31.04,1686847,HFC
06/16/20,33.13,33.79,32.17,32.7,1904735,HFC
06/15/20,29.84,31.75,29.55,31.48,1669330,HFC
06/12/20,31.1,31.75,30.145,31.38,1848431,HFC
06/11/20,31.75,32.45,30.25,30.26,1996973,HFC
06/10/20,34.81,35.74,33.625,34.22,2424512,HFC
06/09/20,35.6,36.37,34.81,35.33,1808791,HFC
06/08/20,38.3,38.61,36.51,37.32,2538420,HFC
06/05/20,35.87,37.745,35.84,36.77,2487424,HFC
