Date, Open, High, Low, Close, Volume,ticker
12/24/20,48.17,48.42,47.72,48.41,490743,HIG
12/23/20,47.95,48.75,47.95,48.27,1563015,HIG
12/22/20,47.53,47.78,47.36,47.64,2475876,HIG
12/21/20,47.43,47.62,46.51,47.5,3493212,HIG
12/18/20,46.69,47.75,46.65,47.65,6120225,HIG
12/17/20,46.25,46.915,45.97,46.78,2206457,HIG
12/16/20,45.99,46.54,45.62,46.29,2523545,HIG
12/15/20,46.05,46.15,44.965,45.75,3174874,HIG
12/14/20,46.76,46.9453,45.515,45.54,1648951,HIG
12/11/20,46.84,47.26,46.23,46.24,1331088,HIG
12/10/20,47.09,47.83,46.55,47.4,1850040,HIG
12/09/20,46.66,47.785,46.34,47.57,3916984,HIG
12/08/20,44.83,46.31,44.76,46.2,1909130,HIG
12/07/20,46.15,46.35,45.42,45.54,1496429,HIG
12/04/20,46.15,46.85,46.15,46.49,2747481,HIG
12/03/20,45.4,46.27,45.11,45.84,1484960,HIG
12/02/20,45.07,45.55,44.72,45.46,2656762,HIG
12/01/20,45.32,45.6525,44.84,45.43,2851289,HIG
11/30/20,45.0,45.4164,43.93,44.2,7693669,HIG
11/27/20,46.52,46.575,45.74,45.83,1137762,HIG
11/25/20,47.29,47.29,46.33,46.58,2284954,HIG
11/24/20,47.25,47.98,46.36,47.53,2224491,HIG
11/23/20,46.51,46.61,45.78,46.34,1346977,HIG
11/20/20,45.77,46.32,45.34,45.77,1454893,HIG
11/19/20,45.39,46.35,44.71,46.24,2027555,HIG
11/18/20,46.43,47.2,45.87,45.88,1273089,HIG
11/17/20,45.81,46.83,45.225,46.43,1482068,HIG
11/16/20,46.95,47.0499,45.84,46.34,1903126,HIG
11/13/20,45.19,45.88,44.755,45.21,1891375,HIG
11/12/20,44.46,45.305,44.11,44.73,1678631,HIG
11/11/20,45.94,45.94,44.6,45.21,1386822,HIG
11/10/20,45.16,46.27,44.81,45.82,2400361,HIG
11/09/20,43.29,46.34,43.29,44.87,4445444,HIG
11/06/20,40.17,40.55,39.3,39.4,2677241,HIG
11/05/20,38.78,40.45,38.66,39.94,2884417,HIG
11/04/20,38.76,39.32,37.87,38.21,2923117,HIG
11/03/20,39.95,40.4,39.47,39.52,2640869,HIG
11/02/20,39.37,39.62,38.43,39.34,2606619,HIG
10/30/20,38.11,39.71,37.995,38.52,3732590,HIG
10/29/20,37.29,38.85,36.765,38.69,2974029,HIG
10/28/20,36.87,37.79,36.62,37.35,3011942,HIG
10/27/20,39.0,39.1,37.44,37.56,2552653,HIG
10/26/20,39.98,40.068000000000005,38.515,39.0,2856401,HIG
10/23/20,40.47,40.88,39.77,40.61,1447725,HIG
10/22/20,38.9,40.095,38.03,39.97,4095313,HIG
10/21/20,38.16,40.6884,38.08,40.4,4293520,HIG
10/20/20,37.72,38.68,37.5664,38.39,2292113,HIG
10/19/20,37.86,38.21,37.125,37.19,1616785,HIG
10/16/20,37.84,38.42,37.5,37.7,1541933,HIG
10/15/20,36.93,38.08,36.9,37.83,1439978,HIG
10/14/20,37.74,38.5494,37.39,37.42,1318157,HIG
10/13/20,38.81,38.81,37.61,37.74,1608324,HIG
10/12/20,38.59,39.21,38.39,39.04,1407120,HIG
10/09/20,39.39,39.47,38.52,38.61,3215497,HIG
10/08/20,38.32,39.36,38.05,39.33,2886655,HIG
10/07/20,38.3,38.93,37.89,37.95,2534170,HIG
10/06/20,39.4,39.63,37.87,37.91,2566572,HIG
10/05/20,38.78,39.63,38.57,39.23,3406170,HIG
10/02/20,36.14,37.83,36.1,37.56,2300092,HIG
10/01/20,36.89,37.22,36.28,36.77,1675115,HIG
09/30/20,36.82,37.265,36.48,36.86,2773456,HIG
09/29/20,36.68,36.76,35.62,36.53,1872498,HIG
09/28/20,36.6,37.39,36.53,36.88,1928186,HIG
09/25/20,35.03,35.94,34.955,35.8,1687319,HIG
09/24/20,35.25,35.98,34.69,35.41,2614052,HIG
09/23/20,35.98,36.55,35.255,35.29,3339783,HIG
09/22/20,36.15,36.7,35.38,35.84,3977872,HIG
09/21/20,36.04,36.87,35.575,36.24,2355645,HIG
