Date, Open, High, Low, Close, Volume,ticker
12/24/20,166.6,166.6,163.875,165.4,94666,HII
12/23/20,164.56,167.18,163.98,166.55,177176,HII
12/22/20,164.99,165.865,163.0286,163.63,298832,HII
12/21/20,166.87,168.09,163.44,165.27,420838,HII
12/18/20,170.56,172.51,168.5,169.62,977075,HII
12/17/20,174.63,174.91,170.4,170.47,414717,HII
12/16/20,176.45,177.14,173.12,174.62,310390,HII
12/15/20,175.4,177.27,173.78,176.07,316454,HII
12/14/20,179.0,179.9,174.06,174.98,412512,HII
12/11/20,173.97,179.28,173.97,177.7,446845,HII
12/10/20,171.54,176.27,171.54,174.46,479762,HII
12/09/20,172.84,174.93,172.4,173.44,457969,HII
12/08/20,169.24,172.74,169.24,171.59,420043,HII
12/07/20,167.4,170.38,165.11,170.04,461112,HII
12/04/20,164.12,169.62,163.56,167.69,284570,HII
12/03/20,164.04,166.09,163.14,163.73,314482,HII
12/02/20,162.69,164.905,160.3,163.17,359351,HII
12/01/20,162.95,166.55,162.335,164.42,373644,HII
11/30/20,163.2,164.38,159.0,160.19,612963,HII
11/27/20,165.63,165.63,163.4,164.53,139476,HII
11/25/20,169.13,169.5,165.13400000000001,165.53,284924,HII
11/24/20,166.82,172.54,166.82,170.87,398206,HII
11/23/20,160.1,165.26,160.0,165.11,424367,HII
11/20/20,162.2,162.92,157.71,158.74,530079,HII
11/19/20,162.26,163.4,160.69,162.21,275277,HII
11/18/20,164.74,165.08,163.0,163.02,258233,HII
11/17/20,162.01,165.27,161.56,162.82,311960,HII
11/16/20,165.27,166.73,162.67,163.26,488468,HII
11/13/20,160.14,165.19,159.58,164.01,378565,HII
11/12/20,157.16,159.48,156.06,158.53,314404,HII
11/11/20,161.53,162.1,157.92,158.04,448981,HII
11/10/20,157.2,164.4,157.135,161.54,488738,HII
11/09/20,160.0,164.69,155.24,155.97,632081,HII
11/06/20,151.5,154.82,151.5,152.72,323606,HII
11/05/20,151.99,159.45,148.85,151.81,794494,HII
11/04/20,157.89,158.74,150.66,150.72,566945,HII
11/03/20,152.28,158.0,151.595,156.9,392716,HII
11/02/20,149.43,152.12,147.32,149.5,397336,HII
10/30/20,142.64,147.66,142.64,147.48,301324,HII
10/29/20,140.56,143.47,138.8,142.97,324118,HII
10/28/20,144.05,146.3795,140.93,141.46,352444,HII
10/27/20,148.81,149.23,146.175,146.51,284139,HII
10/26/20,151.45,151.77,148.8579,149.71,341633,HII
10/23/20,153.25,153.845,152.11,152.82,258899,HII
10/22/20,149.94,152.53,149.2,152.23,233122,HII
10/21/20,147.7,150.15,146.65,149.52,295193,HII
10/20/20,147.68,149.475,146.15,147.7,229137,HII
10/19/20,148.43,149.98,146.5,146.96,215723,HII
10/16/20,147.79,150.43,146.245,148.0,376595,HII
10/15/20,150.48,150.48,146.85,147.55,379766,HII
10/14/20,147.37,152.88,147.37,151.53,237672,HII
10/13/20,148.0,150.08,147.575,148.46,261962,HII
10/12/20,149.98,152.27,148.108,149.45,243276,HII
10/09/20,150.92,151.39,149.01,149.98,406619,HII
10/08/20,148.78,149.7,146.15,149.64,279100,HII
10/07/20,148.42,150.64,147.37,147.94,317233,HII
10/06/20,147.91,151.28,146.58,147.13,413012,HII
10/05/20,146.11,147.07,144.5757,146.32,337511,HII
10/02/20,137.21,144.32,137.21,144.13,392810,HII
10/01/20,140.76,142.86,139.3,139.98,364151,HII
09/30/20,142.09,142.93,140.04,140.75,368203,HII
