Date, Open, High, Low, Close, Volume,ticker
12/24/20,106.56,106.89,105.65,106.89,822378.0,HLT
12/23/20,104.02,106.83,103.32,106.51,2196356.0,HLT
12/22/20,104.04,104.555,102.65,102.95,2393209.0,HLT
12/21/20,101.95,104.86,101.33,103.99,3331310.0,HLT
12/18/20,105.01,106.92,104.42,104.61,5231831.0,HLT
12/17/20,105.04,105.35,103.55,104.7,2410709.0,HLT
12/16/20,104.97,105.36,103.3,104.41,1956111.0,HLT
12/15/20,105.55,105.9,102.91,104.97,1923449.0,HLT
12/14/20,106.39,106.39,102.98,103.04,2034861.0,HLT
12/11/20,106.81,107.61,104.3,104.74,2302741.0,HLT
12/10/20,106.25,107.85,105.2,107.36,2360118.0,HLT
12/09/20,109.5,109.96,105.7,106.7,2165248.0,HLT
12/08/20,108.64,110.76,108.61,109.05,1838455.0,HLT
12/07/20,110.28,110.41,108.33,109.83,1622628.0,HLT
12/04/20,109.87,111.24,108.625,110.85,1261749.0,HLT
12/03/20,107.13,111.54,107.13,109.16,3119179.0,HLT
12/02/20,104.3,107.19,103.8,106.75,2069214.0,HLT
12/01/20,105.26,105.64,103.87,104.84,1946709.0,HLT
11/30/20,104.04,104.275,101.77,103.63,2952870.0,HLT
11/27/20,106.62,107.0,104.17,104.41,1008660.0,HLT
11/25/20,108.0,108.15,106.22,106.3,1847299.0,HLT
11/24/20,107.97,109.62,107.03,108.94,2827058.0,HLT
11/23/20,102.89,105.05,102.41,105.05,3428477.0,HLT
11/20/20,102.85,103.37,101.45,101.76,2302673.0,HLT
11/19/20,102.33,103.584,102.01,102.8,3283998.0,HLT
11/18/20,103.37,105.63,102.9,103.35,1901575.0,HLT
11/17/20,104.56,105.21,102.54,103.34,2732885.0,HLT
11/16/20,109.47,109.71,106.26,106.58,4475358.0,HLT
11/13/20,102.91,105.92,102.65,105.8,2638559.0,HLT
11/12/20,102.33,103.265,100.83,102.05,2702734.0,HLT
11/11/20,104.65,104.76,101.445,103.75,3696095.0,HLT
11/10/20,105.0,106.45,102.7425,104.24,4420093.0,HLT
11/09/20,112.39,116.73,102.6,104.19,9584600.0,HLT
11/06/20,93.65,95.06,92.28,92.84,2859004.0,HLT
11/05/20,93.33,96.08,93.07,94.08,2397699.0,HLT
11/04/20,91.27,96.62,90.58,93.09,2985196.0,HLT
11/03/20,88.75,91.95,88.75,90.65,3040828.0,HLT
11/02/20,88.0,88.51,86.52,88.0,2352787.0,HLT
10/30/20,85.76,88.0775,84.78,87.81,2335951.0,HLT
10/29/20,84.02,87.445,83.62,86.51,2546324.0,HLT
10/28/20,85.98,86.65,83.8442,84.02,2279512.0,HLT
