Date, Open, High, Low, Close, Volume,ticker
12/24/20,210.53,210.7,208.6,209.53,754913,HON
12/23/20,209.61,212.14,209.24,209.99,2047049,HON
12/22/20,210.57,211.205,207.85,207.94,2020057,HON
12/21/20,205.63,211.16,204.85,210.66,2467462,HON
12/18/20,212.29,212.51,208.62,210.04,6686160,HON
12/17/20,210.95,211.94,210.0,211.94,2148593,HON
12/16/20,213.39,214.33,209.23,210.31,2930114,HON
12/15/20,214.0,214.9,211.88,214.17,2502484,HON
12/14/20,216.0,216.7,211.7,211.85,3345475,HON
12/11/20,209.55,215.26,209.5487,214.63,3119537,HON
12/10/20,210.25,212.8,210.22,211.97,2987477,HON
12/09/20,212.84,213.82,210.715,212.24,2946483,HON
12/08/20,210.32,213.06,209.9,212.07,2302325,HON
12/07/20,211.51,211.79,209.35,211.1,2595130,HON
12/04/20,209.39,212.89,209.39,212.68,3198838,HON
12/03/20,206.61,209.44,206.41,208.22,2779431,HON
12/02/20,205.99,209.04,205.97,208.0,2460059,HON
12/01/20,207.09,209.8326,205.93,206.2,3795491,HON
11/30/20,207.17,208.25,203.92,203.92,6465704,HON
11/27/20,207.67,209.42,207.6,209.41,1434163,HON
11/25/20,208.0,208.6382,206.55,207.68,2434530,HON
11/24/20,208.3,208.79,206.74,207.89,4054512,HON
11/23/20,203.65,205.3,203.42,204.58,2807994,HON
11/20/20,201.77,203.33,200.5,202.0,2359051,HON
11/19/20,201.28,203.09,199.8901,202.72,3263013,HON
11/18/20,204.5,204.97,200.96,201.11,4422376,HON
11/17/20,206.91,206.91,203.36,205.33,3447826,HON
11/16/20,205.99,209.61,203.395,208.59,4898808,HON
11/13/20,198.84,201.895,198.84,201.54,2355376,HON
11/12/20,197.55,199.305,195.68,197.24,2660771,HON
11/11/20,202.3,202.95,198.34,199.29,3238480,HON
11/10/20,199.41,203.02,198.13,201.98,5882183,HON
11/09/20,204.9,210.0,193.42,196.99,7735225,HON
11/06/20,183.53,186.0,182.875,184.27,3080416,HON
11/05/20,180.39,184.38,180.22,183.28,4585133,HON
11/04/20,176.44,182.43,173.28,178.91,4318632,HON
11/03/20,175.525,180.39,174.25,179.21,3719819,HON
11/02/20,169.2,174.5,168.11,173.61,4198347,HON
10/30/20,161.54,165.76,161.05,164.95,4390007,HON
10/29/20,160.41,165.74,159.42,164.6,3113639,HON
10/28/20,162.52,165.51,160.97,161.16,3233699,HON
10/27/20,169.04,169.85,166.66,166.75,2009584,HON
10/26/20,173.2,173.2,167.5971,170.17,2323734,HON
10/23/20,178.0,178.6395,173.66,175.54,1988142,HON
10/22/20,173.61,177.25,173.04,176.85,1882797,HON
10/21/20,172.59,175.2199,172.545,172.87,1826974,HON
10/20/20,172.47,175.72,172.47,173.26,1580298,HON
10/19/20,174.59,175.16,171.05,171.59,2103613,HON
10/16/20,173.3,176.4,172.8,174.86,3628934,HON
10/15/20,171.06,173.535,170.33,172.61,2437453,HON
10/14/20,173.09,174.96,172.8,173.47,2386365,HON
10/13/20,173.93,174.935,170.52,171.55,2315273,HON
10/12/20,175.06,176.98,174.12,175.36,3396282,HON
10/09/20,174.4,176.06,173.265,174.38,2637024,HON
10/08/20,172.38,173.87,171.48,173.78,1977935,HON
10/07/20,168.99,172.195,168.52,171.55,2030602,HON
10/06/20,169.11,171.42,166.62,166.89,2345881,HON
10/05/20,166.99,169.25,166.74,168.72,1750113,HON
10/02/20,161.62,167.0,161.35,165.61,2340126,HON
10/01/20,166.2,167.14,162.1167,163.68,2409481,HON
09/30/20,165.77,167.92,163.02,164.61,2883408,HON
09/29/20,164.56,166.23,163.47,164.51,2192777,HON
09/28/20,164.44,166.15,163.23,164.64,2512994,HON
09/25/20,157.65,162.06,157.17,161.49,2594305,HON
09/24/20,158.32,160.915,156.851,158.76,2238312,HON
09/23/20,162.32,163.9,157.83,158.79,2508022,HON
09/22/20,160.855,163.0,160.12,162.68,2501159,HON
09/21/20,164.82,165.18,158.5941,161.37,4459569,HON
09/18/20,169.48,170.47,167.7,168.7,4908245,HON
09/17/20,168.04,171.45,166.71,170.34,2661506,HON
09/16/20,169.29,171.36,168.476,170.0,3153636,HON
09/15/20,169.27,169.99,168.0687,168.3,1851506,HON
09/14/20,168.01,169.54,167.37,168.47,2134219,HON
09/11/20,164.51,167.45,164.27,166.45,2116896,HON
09/10/20,167.3,167.3,163.82,164.27,2815199,HON
09/09/20,165.25,167.55,164.86,165.75,2807776,HON
09/08/20,165.19,166.435,163.2971,164.27,2796785,HON
09/04/20,168.72,169.66,164.58,166.69,3326851,HON
09/03/20,173.37,173.8203,165.0624,166.3,3527698,HON
09/02/20,168.73,172.93,167.915,172.47,4111867,HON
09/01/20,163.79,168.155,163.5,167.97,3975061,HON
08/31/20,168.58,168.59,164.69,165.55,4561896,HON
08/28/20,166.32,168.7,165.46,168.38,13012090,HON
08/27/20,166.19,168.69,165.09,165.99,4281073,HON
08/26/20,164.8,166.4258,163.34,165.31,3466570,HON
08/25/20,164.34,166.9994,163.52,164.53,7400493,HON
08/24/20,158.1,159.45,156.51,159.37,2087009,HON
08/21/20,155.96,157.76,155.96,157.5,2507892,HON
08/20/20,155.5,157.02,155.21,156.17,1600585,HON
08/19/20,157.57,158.13,156.16,156.85,2098217,HON
08/18/20,158.99,159.76,157.22,157.38,1869295,HON
08/17/20,160.03,160.88,158.05,158.76,2817232,HON
08/14/20,158.0,160.87,157.96,160.28,2845057,HON
08/13/20,157.68,159.65,157.5695,158.98,2575155,HON
08/12/20,162.52,162.815,158.99,160.07,2670107,HON
08/11/20,160.72,163.25,160.1,160.28,3773736,HON
08/10/20,155.16,159.875,155.16,159.43,2859020,HON
08/07/20,152.44,155.26,151.86,155.11,2520220,HON
08/06/20,150.92,152.8998,150.34,152.58,2502703,HON
08/05/20,148.79,151.0,148.55,150.82,4181000,HON
08/04/20,147.26,148.16,146.21,147.33,3047403,HON
08/03/20,150.13,150.25,147.31,148.53,2105414,HON
07/31/20,148.92,149.48,147.0,149.37,4061644,HON
07/30/20,152.93,153.07,149.03,149.16,2749145,HON
07/29/20,151.57,155.43,151.1722,154.58,3311499,HON
07/28/20,150.5,152.08,149.42,152.01,3904219,HON
07/27/20,148.8,150.96,147.92,150.76,3378500,HON
07/24/20,154.0,154.25,149.04,149.43,4368458,HON
07/23/20,154.36,155.49,152.8675,153.73,2625565,HON
07/22/20,154.11,155.61,153.91,154.61,1798752,HON
07/21/20,153.88,157.02,153.88,154.76,2394274,HON
07/20/20,154.12,154.88,152.52,153.39,4876393,HON
07/17/20,153.5,155.38,152.46,155.0,4888931,HON
07/16/20,151.01,153.5071,150.25,153.08,3697646,HON
07/15/20,151.2,152.69,150.87,151.93,2984976,HON
07/14/20,143.49,148.31,142.29,148.1,2649756,HON
07/13/20,143.58,145.88,142.25,143.49,2585695,HON
07/10/20,141.63,143.12,140.9,142.45,2325245,HON
07/09/20,144.74,145.52,141.33,141.37,3167289,HON
07/08/20,144.43,145.93,143.91,145.59,3587884,HON
07/07/20,146.0,146.1,144.26,144.97,2622255,HON
07/06/20,147.25,148.3,146.131,147.22,2337022,HON
07/02/20,145.58,147.15,144.5502,145.02,2758693,HON
07/01/20,145.22,146.48,142.97,144.11,2609510,HON
06/30/20,142.26,145.52,142.02,144.59,3688010,HON
06/29/20,140.11,143.3,139.28,143.24,2971245,HON
06/26/20,142.31,142.31,137.53,138.21,10255730,HON
06/25/20,138.03,142.8,137.79,142.46,4018969,HON
06/24/20,142.82,143.328,138.08,138.35,3371215,HON
06/23/20,146.89,147.241,144.72,144.86,2309765,HON
06/22/20,144.61,146.5,143.34,144.94,2529933,HON
06/19/20,150.46,150.84,144.73,145.37,5262473,HON
06/18/20,146.85,149.0,146.32,148.23,2581586,HON
06/17/20,149.69,150.07,147.81,148.34,3507610,HON
06/16/20,152.11,152.41,146.17,149.11,3804542,HON
06/15/20,140.12,148.1,139.7031,146.63,3314137,HON
06/12/20,148.21,149.0,141.15,144.51,3612553,HON
06/11/20,148.66,148.8218,143.09,143.44,4184897,HON
06/10/20,157.72,157.85,153.43,154.12,3309841,HON
06/09/20,160.36,161.0,157.54,158.1,3679119,HON
06/08/20,161.57,164.3,161.07,162.92,3573701,HON
06/05/20,162.91,165.72,160.5375,161.37,4525058,HON
06/04/20,152.01,156.18,151.13,155.91,3768304,HON
06/03/20,150.24,154.38,150.05,153.35,2992681,HON
06/02/20,147.79,148.73,146.4506,148.35,3625945,HON
06/01/20,145.49,147.79,144.905,146.18,2071314,HON
05/29/20,145.72,149.9,144.33,145.85,4135505,HON
05/28/20,150.0,151.21,144.68,147.56,3482059,HON
05/27/20,148.36,150.941,146.865,148.59,4291816,HON
05/26/20,143.77,146.255,143.41,144.94,4370192,HON
05/22/20,137.47,139.34,136.45,139.18,2958107,HON
05/21/20,137.53,138.7929,136.29,137.69,2374722,HON
05/20/20,134.55,136.68,134.26,136.03,2950112,HON
05/19/20,135.25,135.42,131.935,131.95,4427962,HON
05/18/20,130.5,137.59,129.68,136.04,6405777,HON
05/15/20,125.37,126.655,123.73,125.41,4660374,HON
05/14/20,120.27,127.26,117.11,127.05,5226246,HON
05/13/20,127.13,127.14,121.88,122.97,5786234,HON
05/12/20,135.32,136.03,127.5,127.59,4870394,HON
05/11/20,135.76,135.92,134.15,134.28,2356608,HON
05/08/20,134.67,137.32,134.4,136.91,2740689,HON
05/07/20,134.62,135.65,132.01,132.79,3096581,HON
05/06/20,136.11,136.11,132.98,133.04,2349534,HON
05/05/20,137.09,137.09,134.53,134.87,3122341,HON
05/04/20,133.9,136.36,132.81,135.2,4122981,HON
05/01/20,139.33,139.5,134.17,137.25,3681089,HON
04/30/20,143.49,143.99,140.56,141.9,4492640,HON
04/29/20,145.5,147.87,144.015,146.16,2651169,HON
04/28/20,143.32,146.59,142.12,142.76,3377927,HON
04/27/20,136.53,141.08,135.775,139.88,3137902,HON
04/24/20,135.7,136.24,132.36,135.52,2838091,HON
04/23/20,134.75,138.59,134.1601,134.68,2786493,HON
04/22/20,134.22,134.71200000000002,131.749,133.03,2629750,HON
04/21/20,133.07,134.02,130.72,132.0,2418381,HON
04/20/20,135.79,138.1891,134.89,135.7,2529045,HON
04/17/20,135.87,140.2,135.67,138.32,4750813,HON
04/16/20,134.58,135.304,129.5792,132.33,4016729,HON
04/15/20,137.57,137.97,132.51,134.84,3252800,HON
04/14/20,140.71,143.73,138.55,140.59,3486646,HON
04/13/20,142.76,143.21,136.5112,137.94,3016339,HON
04/09/20,140.0,146.3,139.695,143.43,4365272,HON
04/08/20,136.67,140.38,135.21,139.25,3890679,HON
04/07/20,140.64,142.22,135.0,135.24,4051696,HON
04/06/20,133.52,135.37,132.51,134.0,4830320,HON
04/03/20,132.5,132.84,126.53,127.45,4031583,HON
04/02/20,128.6,133.15,127.135,132.81,3504272,HON
04/01/20,128.28,131.28,125.5,129.71,4246432,HON
03/31/20,131.84,136.11,130.0,133.79,5296240,HON
03/30/20,130.75,133.76,130.1282,131.75,5035721,HON
03/27/20,131.42,135.21,128.14,131.27,3924962,HON
03/26/20,131.83,139.39,131.16,137.4,5594931,HON
03/25/20,120.29,135.34,119.8,129.65,7159221,HON
03/24/20,110.0,119.53,109.25,119.51,5799126,HON
03/23/20,107.49,111.08,101.08,103.86,8200419,HON
03/20/20,120.89,121.16,110.78,112.5,6801189,HON
03/19/20,117.75,122.42,112.02,118.96,6814084,HON
03/18/20,121.92,124.13,101.1,119.61,7633945,HON
03/17/20,136.23,141.97,130.19,131.8,8524753,HON
03/16/20,128.0,143.2344,124.01,135.27,5891059,HON
