Date, Open, High, Low, Close, Volume,ticker
12/24/20,24.33,24.45,24.155,24.26,2309792,HPQ
12/23/20,24.16,24.46,24.15,24.21,4538625,HPQ
12/22/20,24.09,24.365,24.06,24.16,7150299,HPQ
12/21/20,23.96,24.2,23.715,24.0,10390250,HPQ
12/18/20,24.1,24.53,24.06,24.46,17948070,HPQ
12/17/20,24.18,24.29,23.96,24.22,10914920,HPQ
12/16/20,24.07,24.3,23.8404,23.98,11160060,HPQ
12/15/20,23.5,23.78,23.455,23.71,6973744,HPQ
12/14/20,23.12,23.515,23.12,23.21,6512573,HPQ
12/11/20,23.01,23.345,22.9074,23.11,7718886,HPQ
12/10/20,22.89,23.44,22.85,23.17,10404980,HPQ
12/09/20,23.15,23.79,23.14,23.19,10541070,HPQ
12/08/20,23.33,23.76,23.3,23.52,7938622,HPQ
12/07/20,23.57,23.89,23.36,23.68,8380920,HPQ
12/04/20,23.26,23.88,23.25,23.78,8720681,HPQ
12/03/20,22.8,23.43,22.76,23.24,8730582,HPQ
12/02/20,22.355,22.98,22.255,22.82,8710024,HPQ
12/01/20,22.22,22.59,22.08,22.38,11565970,HPQ
11/30/20,22.09,22.285,21.8,21.93,14794220,HPQ
11/27/20,22.05,22.385,22.02,22.27,6690237,HPQ
11/25/20,22.88,23.35,21.86,22.25,18762279,HPQ
11/24/20,21.32,21.94,21.26,21.75,17525340,HPQ
11/23/20,20.7,21.27,20.58,21.19,8900633,HPQ
11/20/20,20.52,20.685,20.325,20.45,7255940,HPQ
11/19/20,20.36,20.575,20.13,20.5,5731894,HPQ
11/18/20,20.61,20.95,20.44,20.45,9110311,HPQ
11/17/20,20.03,20.9,19.85,20.5,12321520,HPQ
11/16/20,19.89,20.385,19.735,20.3,11140240,HPQ
11/13/20,19.06,19.655,19.03,19.61,6527357,HPQ
11/12/20,19.21,19.3581,18.69,18.93,8879036,HPQ
11/11/20,19.92,19.95,19.2,19.36,9736736,HPQ
11/10/20,19.77,20.075,19.66,19.87,11227230,HPQ
11/09/20,19.92,20.6,19.64,19.73,13947140,HPQ
11/06/20,19.1,19.34,18.97,19.25,6515724,HPQ
11/05/20,18.6,19.195,18.59,19.13,8926402,HPQ
11/04/20,18.64,18.665,18.25,18.28,8512730,HPQ
11/03/20,18.68,18.79,18.555,18.62,6340196,HPQ
11/02/20,18.18,18.49,18.02,18.41,7499051,HPQ
10/30/20,17.63,17.97,17.52,17.96,7883718,HPQ
10/29/20,17.28,17.91,17.25,17.78,7722001,HPQ
10/28/20,17.45,17.75,17.3,17.35,12223890,HPQ
10/27/20,18.28,18.38,17.96,17.98,8907288,HPQ
10/26/20,18.88,19.0,18.065,18.25,12399780,HPQ
10/23/20,19.3,19.45,19.06,19.12,6232418,HPQ
10/22/20,19.17,19.445,18.98,19.35,6150279,HPQ
10/21/20,19.31,19.47,19.21,19.22,5817083,HPQ
10/20/20,19.51,19.76,19.36,19.37,6142620,HPQ
10/19/20,19.67,19.77,19.315,19.36,5010531,HPQ
10/16/20,19.62,19.82,19.585,19.6,7409225,HPQ
