Date, Open, High, Low, Close, Volume,ticker
12/24/20,47.23,47.2875,46.82,47.17,567325,HRL
12/23/20,47.17,47.48,47.01,47.34,1145746,HRL
12/22/20,47.5,47.61,46.92,47.03,1464728,HRL
12/21/20,47.58,47.74,46.98,47.64,1805202,HRL
12/18/20,47.78,48.18,47.595,47.94,3127294,HRL
12/17/20,47.35,48.02,47.3,47.77,1854415,HRL
12/16/20,47.47,47.8895,47.19,47.22,1557189,HRL
12/15/20,47.2,47.55,47.03,47.33,1356298,HRL
12/14/20,47.3,48.02,47.155,47.2,1616646,HRL
12/11/20,46.71,47.49,46.57,47.2,1599319,HRL
12/10/20,47.11,47.21,46.49,46.6,1621534,HRL
12/09/20,47.29,47.29,46.74,47.07,1680185,HRL
12/08/20,47.04,47.67,46.75,47.48,1653815,HRL
12/07/20,47.5,47.69,46.9421,47.15,1655918,HRL
12/04/20,47.44,47.48,46.94,47.38,2105255,HRL
12/03/20,46.79,47.44,46.61,47.24,2042472,HRL
12/02/20,47.69,47.9198,46.7,46.97,1848135,HRL
12/01/20,47.41,47.83,47.16,47.53,2122826,HRL
11/30/20,47.25,47.3197,46.59,47.18,3413146,HRL
11/27/20,47.19,47.22,46.51,47.2,1146229,HRL
11/25/20,46.82,47.55,46.66,46.87,3062285,HRL
11/24/20,49.3,49.795,47.17,47.21,5300139,HRL
11/23/20,50.02,50.29,49.59,50.03,3349622,HRL
11/20/20,49.94,50.32,49.42,50.13,2570479,HRL
11/19/20,50.0,50.175,49.355,49.99,1640142,HRL
11/18/20,51.45,51.48,50.0,50.01,1697280,HRL
11/17/20,52.16,52.29,51.24,51.33,1536716,HRL
11/16/20,52.33,52.51,51.78,52.51,1070113,HRL
11/13/20,51.79,52.28,51.49,52.15,1122905,HRL
11/12/20,52.19,52.19,51.22,51.72,1510517,HRL
11/11/20,51.3,52.17,50.93,51.96,1511931,HRL
11/10/20,49.43,50.96,49.14,50.94,1497408,HRL
11/09/20,50.89,51.37,49.35,49.49,1972054,HRL
11/06/20,49.69,50.23,49.48,49.9,1784439,HRL
11/05/20,50.55,50.8,49.5,49.56,1533716,HRL
11/04/20,50.25,51.2,49.91,50.15,3339208,HRL
11/03/20,49.69,50.61,49.69,50.0,2111230,HRL
11/02/20,49.15,49.56,48.8,49.46,1735439,HRL
10/30/20,48.57,49.263000000000005,48.4,48.69,2034254,HRL
10/29/20,48.76,49.3,48.3,48.7,1798793,HRL
10/28/20,49.82,49.98,48.56,48.62,1895770,HRL
10/27/20,49.57,50.45,49.45,50.03,1918762,HRL
10/26/20,49.43,49.83,49.26,49.45,1350447,HRL
10/23/20,49.35,49.67,49.16,49.61,975548,HRL
10/22/20,49.25,49.65,49.0619,49.33,1000574,HRL
10/21/20,48.62,49.5,48.62,49.27,1265548,HRL
10/20/20,49.07,49.373999999999995,48.575,48.76,1058992,HRL
10/19/20,49.43,49.86,48.91,49.02,1902834,HRL
10/16/20,50.3,50.62,49.5,49.54,5537107,HRL
10/15/20,50.01,50.63,49.84,50.47,1502682,HRL
10/14/20,50.57,50.82,49.93,50.23,1652965,HRL
10/13/20,50.05,51.1,50.05,50.64,2421257,HRL
10/12/20,49.36,50.36,49.05,50.1,2254521,HRL
10/09/20,49.11,49.4099,48.77,48.96,1675397,HRL
10/08/20,49.46,49.81,48.875,49.1,1044051,HRL
10/07/20,48.87,49.6,48.74,49.33,1355421,HRL
10/06/20,49.44,49.66,48.69,48.85,1192183,HRL
10/05/20,48.99,49.51,48.73,49.5,904815,HRL
10/02/20,49.18,49.75,48.82,49.02,983265,HRL
10/01/20,49.07,49.395,48.45,49.28,1316815,HRL
09/30/20,48.7,49.23,48.5501,48.89,1490325,HRL
09/29/20,48.93,49.29,48.39,48.51,1345109,HRL
