Date, Open, High, Low, Close, Volume,ticker
12/24/20,66.31,66.4,65.25,65.83,155897,HSIC
12/23/20,66.65,66.95,66.08,66.44,518360,HSIC
12/22/20,66.59,67.51,66.01,66.1,528294,HSIC
12/21/20,66.73,66.74,65.115,66.46,897543,HSIC
12/18/20,69.34,69.34,67.38,67.78,1962676,HSIC
12/17/20,69.42,69.63,68.3373,68.89,920280,HSIC
12/16/20,69.23,69.54,68.73,69.15,678305,HSIC
12/15/20,68.47,69.46,67.81,68.94,718702,HSIC
12/14/20,70.81,71.29,67.99,68.07,1092413,HSIC
12/11/20,70.9,71.45,69.66,69.95,862428,HSIC
12/10/20,70.79,71.5512,70.44,71.31,499241,HSIC
12/09/20,70.8,71.49,70.4,71.15,803394,HSIC
12/08/20,68.38,70.57,68.24,70.45,899608,HSIC
12/07/20,68.39,69.47,68.16,68.73,858059,HSIC
12/04/20,67.07,68.44,66.56,68.42,822739,HSIC
12/03/20,66.72,67.07,65.88,66.47,974483,HSIC
12/02/20,65.22,66.59,64.945,66.49,935510,HSIC
12/01/20,65.19,65.7,64.5,64.91,1065548,HSIC
11/30/20,63.99,64.92,63.11,64.31,1323869,HSIC
11/27/20,64.54,64.7,63.43,63.68,292167,HSIC
11/25/20,64.23,64.66,63.41,64.13,568911,HSIC
11/24/20,64.45,65.385,63.72,64.57,510476,HSIC
11/23/20,63.74,64.53,63.2528,63.71,874935,HSIC
11/20/20,63.35,64.35,63.12,63.58,665907,HSIC
11/19/20,63.8,64.03,62.74,63.5,935492,HSIC
11/18/20,64.37,65.63,64.23,64.24,827232,HSIC
11/17/20,63.32,64.87,62.62,64.61,731556,HSIC
11/16/20,67.15,67.41,63.29,64.45,991077,HSIC
11/13/20,63.95,66.87,63.89,65.65,979927,HSIC
11/12/20,63.29,64.55,62.7204,63.36,685313,HSIC
11/11/20,67.67,68.35,62.73,63.58,1684377,HSIC
11/10/20,68.14,69.0,66.46,68.08,1518709,HSIC
11/09/20,64.3,69.89,64.3,68.0,2412145,HSIC
11/06/20,61.61,62.2199,61.065,61.67,1035560,HSIC
11/05/20,60.28,62.29,60.0401,61.57,1060460,HSIC
11/04/20,60.81,61.55,59.44,59.94,1442494,HSIC
11/03/20,63.84,63.84,60.22,60.41,1452738,HSIC
11/02/20,63.66,65.78,60.15,62.22,2341951,HSIC
10/30/20,63.01,64.73,62.51,63.58,1626745,HSIC
10/29/20,61.59,63.8,60.71,62.9,1404091,HSIC
10/28/20,65.03,65.54,61.97,61.98,971163,HSIC
10/27/20,67.58,67.58,65.58,65.61,1675164,HSIC
10/26/20,67.07,67.71,66.1445,66.87,1180555,HSIC
10/23/20,66.85,68.19,66.47,67.79,946243,HSIC
10/22/20,64.25,66.75,63.845,66.63,1324341,HSIC
10/21/20,62.27,64.48,62.13,63.62,928469,HSIC
10/20/20,62.55,63.28,62.1,62.51,939920,HSIC
10/19/20,62.3,63.14,61.68,61.87,739751,HSIC
10/16/20,61.465,62.74,61.14,62.34,772790,HSIC
10/15/20,60.12,61.48,59.85,61.36,520128,HSIC
10/14/20,59.61,61.14,59.61,60.87,738063,HSIC
10/13/20,59.32,60.1,59.1,59.66,616701,HSIC
10/12/20,60.55,60.56,59.72,59.89,541694,HSIC
10/09/20,61.63,61.815,60.28,60.46,473269,HSIC
10/08/20,60.13,61.32,59.56,61.09,782486,HSIC
10/07/20,59.17,60.2334,58.89,59.46,1083888,HSIC
10/06/20,60.51,60.61,58.56,58.84,851832,HSIC
10/05/20,58.67,60.635,58.215,60.51,882040,HSIC
10/02/20,56.97,58.145,56.75,57.97,1245658,HSIC
10/01/20,59.13,59.665,57.52,57.92,817626,HSIC
09/30/20,58.6,59.55,58.037,58.78,1150244,HSIC
09/29/20,59.64,59.64,58.41,58.57,752190,HSIC
09/28/20,59.84,60.41,59.39,59.65,708544,HSIC
09/25/20,57.6,58.89,57.34,58.79,1193966,HSIC
09/24/20,57.25,58.42,56.31,58.28,1140614,HSIC
09/23/20,59.0,59.3,56.91,57.18,950195,HSIC
09/22/20,59.86,59.94,58.33,59.03,1226428,HSIC
09/21/20,60.08,60.31,58.99,59.8,1232906,HSIC
09/18/20,62.68,62.97,60.7,60.97,1613794,HSIC
09/17/20,63.5,63.5,62.29,62.85,1219872,HSIC
09/16/20,64.33,65.69,63.97,64.15,1128595,HSIC
09/15/20,63.99,65.08,63.64,63.75,933058,HSIC
09/14/20,64.77,65.25,63.35,63.73,1069449,HSIC
09/11/20,63.87,64.58,63.06,64.37,973062,HSIC
09/10/20,65.4,65.81,63.53,63.75,987410,HSIC
09/09/20,64.01,65.12,63.22,64.77,1203591,HSIC
09/08/20,65.07,65.36,63.5,63.74,1217082,HSIC
09/04/20,66.37,66.5,65.285,65.64,845225,HSIC
09/03/20,67.08,67.28,65.1,65.98,848892,HSIC
09/02/20,65.09,67.13,64.62,66.89,748602,HSIC
09/01/20,66.38,66.38,64.54,65.16,799345,HSIC
08/31/20,66.62,66.88,66.09,66.44,941588,HSIC
08/28/20,66.45,66.86,65.53,66.44,569895,HSIC
08/27/20,65.97,67.04,65.57,66.45,914378,HSIC
08/26/20,65.52,65.79,65.01,65.67,607200,HSIC
08/25/20,65.75,65.84,65.07,65.49,733414,HSIC
08/24/20,66.54,67.08,65.265,65.66,1212458,HSIC
08/21/20,65.0,66.24,64.64,66.15,3188703,HSIC
08/20/20,65.04,65.48,64.54,65.14,706094,HSIC
08/19/20,66.21,66.41,65.055,65.14,931627,HSIC
08/18/20,66.77,66.973,66.01,66.28,610822,HSIC
08/17/20,67.25,67.54,66.51,66.78,645267,HSIC
08/14/20,66.64,68.07,66.08,67.23,1031693,HSIC
08/13/20,66.41,67.11,65.77,66.96,1149581,HSIC
08/12/20,67.41,67.545,65.7,66.67,1134257,HSIC
08/11/20,68.26,69.17,66.75,67.2,1474849,HSIC
08/10/20,68.12,68.49,67.45,67.99,1502191,HSIC
08/07/20,66.71,67.84,66.61,67.8,1332870,HSIC
