Date, Open, High, Low, Close, Volume,ticker
12/24/20,149.3,150.1799,148.84,149.95,188232,HSY
12/23/20,149.48,150.295,149.17,149.45,580120,HSY
12/22/20,149.41,149.66,148.2,148.62,559984,HSY
12/21/20,149.01,150.44,146.85,149.66,846072,HSY
12/18/20,151.89,152.35,150.13,150.88,1717323,HSY
12/17/20,151.1,152.785,150.35,151.61,797065,HSY
12/16/20,150.16,151.67,149.47,150.28,743555,HSY
12/15/20,149.51,150.82,149.22,150.23,689139,HSY
12/14/20,149.57,151.58,149.045,149.14,579571,HSY
12/11/20,148.99,150.2,148.98,149.11,608687,HSY
12/10/20,152.33,152.81,149.68,149.7,899783,HSY
12/09/20,150.45,152.7025,149.1,152.14,1179124,HSY
12/08/20,149.1,151.7,148.84,150.63,814281,HSY
12/07/20,151.8,152.71,148.68,149.72,879889,HSY
12/04/20,150.0,151.1,149.88299999999998,150.87,1002547,HSY
12/03/20,149.0,150.19,148.88,149.83,719353,HSY
12/02/20,150.04,151.79,148.445,149.25,1094650,HSY
12/01/20,149.0,150.13,148.09,150.04,1325479,HSY
11/30/20,147.4,148.03,146.23,147.89,1507420,HSY
11/27/20,148.44,148.45,146.4,148.05,1252908,HSY
11/25/20,148.42,149.33,147.805,148.15,1565286,HSY
11/24/20,147.6,148.87,147.12,148.21,2261499,HSY
11/23/20,147.48,148.35,146.31,146.83,656963,HSY
11/20/20,149.09,149.362,147.03,147.78,600645,HSY
11/19/20,149.08,149.91,147.64,149.4,659417,HSY
11/18/20,153.51,154.39,150.56,150.64,678171,HSY
11/17/20,154.52,154.97,152.595,152.93,701006,HSY
11/16/20,154.95,155.485,153.79,155.12,784111,HSY
11/13/20,154.07,154.32,152.24,154.0,580392,HSY
11/12/20,153.99,154.18,151.9,153.56,584487,HSY
11/11/20,152.93,153.83,151.55,153.66,697170,HSY
11/10/20,150.18,153.56,149.46,152.26,987701,HSY
11/09/20,152.57,154.49,149.61,149.72,1168401,HSY
11/06/20,148.9,150.73,146.81,149.4,1354941,HSY
11/05/20,145.58,146.28,143.8501,144.6,923599,HSY
11/04/20,143.8,146.59,143.12,143.94,985035,HSY
11/03/20,141.82,144.56,141.76,142.72,569798,HSY
11/02/20,139.66,142.0,139.18,140.78,1266214,HSY
10/30/20,137.13,138.21,135.83,137.46,783864,HSY
10/29/20,137.91,139.46,136.475,137.83,710810,HSY
10/28/20,140.62,141.84,138.12,138.2,858284,HSY
10/27/20,144.62,144.87,142.36,142.5,825133,HSY
10/26/20,145.89,145.89,143.18,144.2,610599,HSY
10/23/20,146.4,146.67,145.82,146.34,383672,HSY
10/22/20,145.92,146.08,144.46,145.44,442573,HSY
10/21/20,146.39,147.32,145.08,145.58,688587,HSY
10/20/20,148.64,149.21,146.73,146.88,434715,HSY
10/19/20,150.6,150.75,147.26,147.5,614242,HSY
10/16/20,150.93,151.65,149.81,149.92,912213,HSY
10/15/20,148.57,150.84,148.09,150.42,579589,HSY
10/14/20,148.51,150.23,148.26,149.47,576978,HSY
10/13/20,147.42,149.36,147.13,148.85,574279,HSY
10/12/20,147.02,148.97,146.53,148.08,601634,HSY
10/09/20,144.25,146.41,143.8495,145.63,612694,HSY
10/08/20,143.16,144.16,142.68,143.51,474316,HSY
10/07/20,142.02,144.08,141.75,143.41,615258,HSY
10/06/20,143.42,143.76,141.09,141.56,680343,HSY
10/05/20,143.18,144.14,142.6196,143.77,432715,HSY
10/02/20,143.5,144.05,142.09,142.92,535654,HSY
10/01/20,143.49,144.52,141.71,143.93,759662,HSY
09/30/20,141.43,144.4,141.22,143.34,798517,HSY
09/29/20,142.3,142.78,140.3,141.19,735261,HSY
09/28/20,140.31,141.92,139.65,140.41,589910,HSY
09/25/20,137.16,139.5625,136.5,139.52,684939,HSY
09/24/20,134.53,137.91,134.52,137.66,963889,HSY
09/23/20,138.06,138.49,134.0,134.34,1084134,HSY
09/22/20,136.98,138.3082,136.54,137.43,623009,HSY
09/21/20,138.0,138.67,135.01,137.0,1291215,HSY
09/18/20,140.87,141.52,138.12,138.92,1567924,HSY
09/17/20,142.55,142.55,139.56,140.5,857724,HSY
09/16/20,145.25,146.08,143.16,143.19,629194,HSY
09/15/20,144.68,146.365,143.75,144.34,882319,HSY
09/14/20,146.15,146.8,144.48,144.5,585604,HSY
09/11/20,145.45,146.9,145.1,145.5,484404,HSY
09/10/20,147.39,147.87,144.93,145.15,694948,HSY
09/09/20,146.78,149.06,146.63,147.72,624218,HSY
09/08/20,148.57,149.1,145.1846,145.52,924286,HSY
09/04/20,148.88,149.57,146.26,148.8,779532,HSY
09/03/20,149.74,152.18,146.99,148.36,861882,HSY
09/02/20,148.01,150.61,148.01,149.42,773493,HSY
09/01/20,148.64,148.75,146.62,148.42,644640,HSY
08/31/20,148.82,149.6,148.4576,148.64,682391,HSY
08/28/20,148.91,149.27,147.1948,149.2,406957,HSY
08/27/20,149.91,150.67,148.57,148.7,646534,HSY
08/26/20,148.38,149.48,147.285,149.15,1042531,HSY
08/25/20,149.7,149.7,147.97,148.67,503726,HSY
08/24/20,148.0,149.2,147.15,148.84,436801,HSY
08/21/20,148.03,148.28,146.74,147.43,707486,HSY
08/20/20,146.54,148.89,146.34,147.74,1241242,HSY
08/19/20,148.45,148.98,147.63,147.76,1220100,HSY
08/18/20,148.19,150.28,147.33,149.59,1046325,HSY
08/17/20,146.33,148.89,145.82,148.33,863891,HSY
08/14/20,146.47,146.93,145.705,146.07,513958,HSY
08/13/20,146.5,146.99,145.43,146.57,734862,HSY
08/12/20,142.97,146.73,142.5,146.02,878684,HSY
08/11/20,144.4,144.5,141.89,142.51,998564,HSY
08/10/20,144.28,144.75,143.53,143.92,561601,HSY
08/07/20,143.01,144.325,142.76,143.92,671897,HSY
08/06/20,141.82,143.75,141.73,143.67,617989,HSY
08/05/20,144.52,144.9,141.955,142.27,709462,HSY
08/04/20,144.32,145.7,144.14,144.3,974031,HSY
08/03/20,145.33,146.31,144.37,144.94,1060143,HSY
07/31/20,144.97,145.47,143.41,145.41,1757059,HSY
07/30/20,145.04,145.68,144.15,145.29,774019,HSY
07/29/20,145.68,146.65,145.27,145.81,863872,HSY
07/28/20,146.0,146.83,145.19,145.73,919440,HSY
07/27/20,145.96,146.73,144.41,146.29,879555,HSY
07/24/20,147.03,147.61,144.96,145.68,1162150,HSY
07/23/20,143.0,146.55,142.41,146.33,2281393,HSY
07/22/20,137.11,138.47,136.2,138.46,1589711,HSY
07/21/20,135.71,138.27,135.67,137.31,1162458,HSY
07/20/20,136.24,136.52,134.68,135.51,1080076,HSY
07/17/20,134.38,137.16,133.91,136.4,2708258,HSY
07/16/20,132.48,135.51,132.15,134.45,1614772,HSY
07/15/20,132.87,133.53,131.46,132.0,1155587,HSY
07/14/20,127.57,131.95,127.41,131.8,1856693,HSY
07/13/20,128.37,128.93,127.58,127.88,1248679,HSY
07/10/20,126.35,127.99,125.89,127.75,661434,HSY
07/09/20,128.09,128.22,126.06,126.75,810954,HSY
07/08/20,128.98,129.5,127.17,128.52,1024432,HSY
07/07/20,129.0,129.92,128.58,129.25,1097042,HSY
07/06/20,131.52,131.52,128.565,129.45,986160,HSY
07/02/20,131.05,131.68,129.2,129.86,1287362,HSY
07/01/20,129.77,130.99,129.49,130.12,1292280,HSY
06/30/20,128.25,130.35,127.89,129.62,2200364,HSY
06/29/20,126.16,128.26,125.5,127.61,797750,HSY
06/26/20,128.75,129.465,125.615,125.85,1539284,HSY
06/25/20,127.55,128.82,126.6793,128.67,1112339,HSY
06/24/20,129.3,129.94,126.93,127.98,969741,HSY
06/23/20,132.19,132.54,130.01,130.25,1072521,HSY
06/22/20,129.52,131.44,129.41,130.56,993079,HSY
06/19/20,133.04,133.645,129.4,129.45,3297253,HSY
06/18/20,131.64,132.97,131.37,132.54,595452,HSY
06/17/20,132.95,133.455,131.92,132.28,910406,HSY
06/16/20,132.54,133.18,130.59,132.58,789541,HSY
06/15/20,127.26,130.2,126.0,130.13,1183099,HSY
06/12/20,130.73,131.35,127.63,129.11,1085794,HSY
06/11/20,134.52,135.31,129.07,129.09,1189699,HSY
06/10/20,134.03,135.71,132.775,135.32,1352278,HSY
06/09/20,135.4,135.4,132.86,133.34,1276912,HSY
06/08/20,134.66,135.75,133.39,135.67,1987694,HSY
06/05/20,134.05,136.28,133.29,135.44,1304553,HSY
06/04/20,133.82,135.07,132.47,133.43,1133365,HSY
06/03/20,137.62,137.95,134.18,134.22,980953,HSY
06/02/20,136.21,137.2,135.26,137.18,2057611,HSY
06/01/20,135.87,137.4,134.82,136.43,746113,HSY
