Date, Open, High, Low, Close, Volume,ticker
12/24/20,403.89,407.245,403.0,404.83,271081,HUM
12/23/20,391.56,408.05,391.0,405.09,1638524,HUM
12/22/20,388.32,390.12,384.47,388.44,678283,HUM
12/21/20,386.58,390.15,381.24,389.01,851054,HUM
12/18/20,396.17,397.1275,387.26,391.62,1316408,HUM
12/17/20,393.64,398.655,393.49,396.34,769534,HUM
12/16/20,392.0,396.09,386.23,392.76,762567,HUM
12/15/20,391.0,395.21,385.76,392.33,970960,HUM
12/14/20,393.36,395.53,386.47,388.23,1197338,HUM
12/11/20,397.73,397.93,388.49,391.13,795870,HUM
12/10/20,408.51,408.7381,397.23,397.48,833733,HUM
12/09/20,410.0,412.0,404.47,408.14,1072215,HUM
12/08/20,402.8,410.26,401.615,409.28,731147,HUM
12/07/20,409.78,412.8,398.67,403.74,613569,HUM
12/04/20,403.81,413.04,403.0,412.78,522782,HUM
12/03/20,406.02,411.635,401.64,403.83,701085,HUM
12/02/20,407.04,408.625,403.42,405.75,793348,HUM
12/01/20,405.01,417.545,403.01,405.72,1070803,HUM
11/30/20,404.01,406.29,395.1,400.52,1336801,HUM
11/27/20,400.93,408.24,400.93,406.49,310149,HUM
11/25/20,410.77,410.77,400.06,401.04,750948,HUM
11/24/20,408.58,417.99,407.96,408.19,676473,HUM
11/23/20,409.33,412.57,404.67,409.29,1093473,HUM
11/20/20,405.54,410.0,401.67,406.21,743901,HUM
11/19/20,416.62,419.33,405.5406,407.17,1489900,HUM
11/18/20,422.74,424.0,413.72,418.44,545274,HUM
11/17/20,425.18,426.75,418.04,422.23,571201,HUM
11/16/20,434.67,437.865,423.86,428.54,652262,HUM
11/13/20,435.16,436.34,427.78,433.4,702398,HUM
11/12/20,426.8,434.9,423.005,431.8,755240,HUM
11/11/20,433.49,434.87,421.64,426.0,978641,HUM
11/10/20,422.31,431.34,408.89,430.67,1097415,HUM
11/09/20,448.06,453.96,422.56,422.99,955162,HUM
11/06/20,439.55,439.555,428.26,432.55,681796,HUM
11/05/20,459.99,462.42,438.98,440.79,1324589,HUM
11/04/20,445.01,474.7,445.01,452.01,1982086,HUM
11/03/20,410.69,430.435,409.67,423.43,971041,HUM
11/02/20,404.0,413.02,398.87,408.58,1079358,HUM
10/30/20,398.22,402.12,392.49,399.28,942804,HUM
10/29/20,411.91,414.0,396.49,396.75,1255177,HUM
10/28/20,423.14,427.485,412.52,413.25,652708,HUM
10/27/20,433.23,434.74,429.795,432.14,434310,HUM
10/26/20,441.57,445.0,430.89,435.13,378391,HUM
10/23/20,444.0,449.43,441.74,444.31,480009,HUM
10/22/20,436.3,443.7,434.72,441.16,477985,HUM
10/21/20,435.57,439.92,433.68,437.23,878535,HUM
10/20/20,434.55,440.66,431.5,436.41,380820,HUM
10/19/20,437.41,442.44,431.01,433.08,549223,HUM
10/16/20,435.75,445.2,434.23,437.72,455605,HUM
10/15/20,419.2,435.52,418.21,435.36,537429,HUM
10/14/20,429.5,431.67,422.29,423.0,357899,HUM
10/13/20,427.64,435.825,426.01,432.81,359506,HUM
10/12/20,436.6,440.35,429.84,430.52,634464,HUM
10/09/20,429.59,435.77,429.04,433.44,348855,HUM
10/08/20,430.1,434.065,425.51,427.32,452462,HUM
10/07/20,418.26,430.23,417.6392,429.41,492629,HUM
10/06/20,420.67,421.56,414.34,416.2,702882,HUM
10/05/20,412.8,419.88,410.635,419.62,356583,HUM
10/02/20,414.33,415.28,405.14,408.31,521457,HUM
10/01/20,415.92,417.14,409.69,415.36,541294,HUM
09/30/20,403.2,419.06,401.125,413.89,701680,HUM
09/29/20,400.59,404.24,398.6417,401.5,847649,HUM
09/28/20,403.97,409.47,399.27,400.0,697336,HUM
09/25/20,384.4,401.15,384.4,400.85,683996,HUM
09/24/20,383.81,388.07,382.7224,387.0,379270,HUM
09/23/20,388.6,391.4,384.46,385.42,998401,HUM
09/22/20,395.81,398.56,385.11,386.76,1086976,HUM
09/21/20,393.96,395.26,383.21,394.51,1151810,HUM
09/18/20,397.9,405.5099,397.03,402.63,1275253,HUM
09/17/20,396.34,399.3,391.52,397.5,559183,HUM
09/16/20,403.48,406.085,398.64099999999996,399.07,420408,HUM
09/15/20,404.74,407.0,398.61,399.99,509403,HUM
09/14/20,395.44,406.24,394.26,403.63,430327,HUM
09/11/20,395.78,397.13,386.33,391.36,731949,HUM
09/10/20,409.12,411.0,392.8,393.37,557230,HUM
09/09/20,406.95,411.98,405.64,408.22,464610,HUM
09/08/20,411.46,411.46,401.55,405.37,630901,HUM
09/04/20,421.21,421.31,409.75,413.19,738885,HUM
09/03/20,428.18,431.12,414.23,421.28,814796,HUM
09/02/20,417.32,429.065,415.37,427.77,736940,HUM
09/01/20,413.14,418.51,413.14,414.85,597449,HUM
08/31/20,407.75,416.28,406.69,415.17,1035276,HUM
08/28/20,408.85,413.21,404.79,408.04,537475,HUM
08/27/20,404.52,411.52,401.68,407.45,650502,HUM
08/26/20,404.21,405.09,397.59,403.73,535015,HUM
08/25/20,408.97,408.97,401.835,405.84,527666,HUM
08/24/20,420.03,422.75,405.08,406.08,593948,HUM
08/21/20,415.52,419.02,412.35,418.79,473515,HUM
08/20/20,417.08,418.28,412.16,413.96,335272,HUM
08/19/20,415.74,421.88,415.08,418.0,685841,HUM
08/18/20,422.55,422.55,415.45,417.17,379087,HUM
08/17/20,420.91,423.42,418.64,420.01,366854,HUM
08/14/20,417.37,422.02,413.55,422.02,337787,HUM
08/13/20,417.94,419.93,414.0168,419.5,322209,HUM
08/12/20,419.15,423.89,417.31,420.06,543232,HUM
08/11/20,423.22,425.46,414.76,415.77,566319,HUM
08/10/20,418.01,423.8498,414.75,419.76,639943,HUM
08/07/20,407.76,418.84,407.76,417.94,915788,HUM
08/06/20,403.72,410.75,403.04,407.63,899971,HUM
08/05/20,394.52,404.75,394.51,403.91,905234,HUM
08/04/20,391.95,396.3656,388.8905,391.18,748723,HUM
08/03/20,395.23,395.56,387.9,394.55,446368,HUM
07/31/20,396.56,398.11,387.35,392.45,722654,HUM
07/30/20,391.04,401.69,387.8043,398.54,492035,HUM
