Date, Open, High, Low, Close, Volume,ticker
12/24/20,27.76,27.82,27.11,27.38,878587,HWM
12/23/20,26.71,27.91,26.6999,27.77,3266719,HWM
12/22/20,26.51,26.615,26.1814,26.46,1872036,HWM
12/21/20,26.55,26.77,26.19,26.46,3672168,HWM
12/18/20,26.85,27.37,26.78,27.27,7408083,HWM
12/17/20,26.88,26.97,26.01,26.96,4039037,HWM
12/16/20,26.94,27.05,26.04,26.83,3198115,HWM
12/15/20,27.15,27.27,26.44,26.94,2454924,HWM
12/14/20,27.33,27.41,26.515,26.81,3583477,HWM
12/11/20,25.86,26.67,25.77,26.43,3822393,HWM
12/10/20,25.14,26.4378,25.14,26.13,3436925,HWM
12/09/20,25.56,25.82,25.08,25.45,2473708,HWM
12/08/20,25.23,25.51,24.91,25.45,2381522,HWM
12/07/20,25.37,25.8,25.12,25.58,2834078,HWM
12/04/20,25.35,25.65,25.19,25.37,5239344,HWM
12/03/20,24.27,25.52,24.26,25.05,6150287,HWM
12/02/20,23.61,24.35,23.52,24.26,3345864,HWM
12/01/20,24.34,24.54,23.67,23.77,6321946,HWM
11/30/20,24.36,24.56,23.43,23.46,6963079,HWM
11/27/20,24.62,24.79,24.32,24.6,1795045,HWM
11/25/20,24.75,25.36,24.45,24.55,4581023,HWM
11/24/20,25.0,25.4,24.75,25.24,4047464,HWM
11/23/20,24.29,24.7,24.05,24.32,4434933,HWM
11/20/20,23.475,23.96,23.31,23.95,4930736,HWM
11/19/20,22.94,23.62,22.675,23.57,4361126,HWM
11/18/20,23.9,24.02,23.17,23.19,4464403,HWM
11/17/20,22.73,23.65,22.708000000000002,23.5,4094922,HWM
11/16/20,23.44,23.94,22.88,23.18,6376122,HWM
11/13/20,21.84,22.55,21.83,22.36,3384121,HWM
11/12/20,21.83,22.1,21.15,21.44,4710061,HWM
11/11/20,23.89,23.89,22.065,22.28,4887844,HWM
11/10/20,22.55,24.145,22.45,23.0,7638722,HWM
11/09/20,20.08,24.46,20.0,22.43,9779357,HWM
11/06/20,18.84,19.06,18.67,18.85,2833354,HWM
11/05/20,18.38,19.11,18.05,18.84,4703158,HWM
11/04/20,18.39,18.705,17.93,18.17,1879431,HWM
11/03/20,18.26,18.75,18.07,18.63,2975472,HWM
11/02/20,17.54,17.97,17.335,17.85,2237725,HWM
10/30/20,17.14,17.3,16.84,17.25,2732740,HWM
10/29/20,16.66,17.34,16.57,17.21,2072426,HWM
10/28/20,17.01,17.22,16.59,16.68,2485703,HWM
10/27/20,18.12,18.24,17.46,17.53,1920267,HWM
10/26/20,18.56,18.62,18.0,18.28,1954530,HWM
10/23/20,19.0,19.155,18.645,18.95,1610834,HWM
10/22/20,18.24,18.88,18.19,18.85,2287986,HWM
10/21/20,18.14,18.315,17.925,18.14,1314823,HWM
10/20/20,18.76,18.76,18.21,18.22,2509725,HWM
10/19/20,18.6,18.845,18.25,18.61,2065401,HWM
10/16/20,18.75,18.825,18.5,18.59,2241495,HWM
10/15/20,18.01,18.5,17.74,18.5,1692932,HWM
10/14/20,17.94,18.35,17.88,18.26,1328491,HWM
10/13/20,17.94,17.95,17.535,17.85,1887651,HWM
10/12/20,18.2,18.38,17.81,18.19,1999068,HWM
10/09/20,18.87,18.9,18.27,18.3,1822590,HWM
10/08/20,18.24,18.79,18.18,18.73,1480805,HWM
10/07/20,17.93,18.31,17.61,18.11,1953076,HWM
10/06/20,18.37,18.43,17.49,17.53,2488142,HWM
10/05/20,18.03,18.31,18.0,18.18,2331488,HWM
10/02/20,16.64,17.97,16.51,17.88,1925312,HWM
10/01/20,16.94,17.24,16.825,17.23,2578036,HWM
09/30/20,17.29,17.39,16.595,16.72,2483795,HWM
09/29/20,17.51,17.57,17.15,17.3,1819435,HWM
09/28/20,16.93,17.56,16.93,17.19,1820907,HWM
09/25/20,16.3,16.78,16.26,16.67,1935826,HWM
09/24/20,16.39,16.78,16.15,16.47,2349709,HWM
09/23/20,17.11,17.565,16.43,16.44,2669781,HWM
